# time_fs msd_A2
0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 1.389207425519788444e-02
1.000000000000000000e+02 3.061978788408478008e-02
1.500000000000000000e+02 3.284760779230302269e-02
2.000000000000000000e+02 3.080094071754664251e-02
2.500000000000000000e+02 2.918311455430048704e-02
3.000000000000000000e+02 2.666518256568999046e-02
3.500000000000000000e+02 2.576086193601597948e-02
4.000000000000000000e+02 2.537313117212303126e-02
4.500000000000000000e+02 2.303942618903770390e-02
5.000000000000000000e+02 2.215057199865809456e-02
5.500000000000000000e+02 2.348125569738824733e-02
6.000000000000000000e+02 2.302341671938530621e-02
6.500000000000000000e+02 2.346398938803378673e-02
7.000000000000000000e+02 2.411787892975009867e-02
7.500000000000000000e+02 2.239920614055498221e-02
8.000000000000000000e+02 2.180761102027961584e-02
8.500000000000000000e+02 2.259371399825337023e-02
9.000000000000000000e+02 2.403576068931156592e-02
9.500000000000000000e+02 2.574233345370411166e-02
1.000000000000000000e+03 2.746862082316655837e-02
1.050000000000000000e+03 2.791004825955520005e-02
1.100000000000000000e+03 2.665082977492146121e-02
1.150000000000000000e+03 2.512834878544328854e-02
1.200000000000000000e+03 2.305811266104794421e-02
1.250000000000000000e+03 2.189750772033339718e-02
1.300000000000000000e+03 2.350285034366157016e-02
1.350000000000000000e+03 2.459766616980806064e-02
1.400000000000000000e+03 2.354356285439499971e-02
1.450000000000000000e+03 2.345525781084929415e-02
1.500000000000000000e+03 2.394964682155860392e-02
1.550000000000000000e+03 2.396017276769913523e-02
1.600000000000000000e+03 2.367581053199959915e-02
1.650000000000000000e+03 2.407060573826817762e-02
1.700000000000000000e+03 2.338899631503464638e-02
1.750000000000000000e+03 2.306270922732173156e-02
1.800000000000000000e+03 2.395229921535716594e-02
1.850000000000000000e+03 2.581126615158714846e-02
1.900000000000000000e+03 2.563804031138045003e-02
1.950000000000000000e+03 2.551252712146627119e-02
2.000000000000000000e+03 2.511882545777618242e-02
2.050000000000000000e+03 2.379677019984059033e-02
2.100000000000000000e+03 2.317296378860357262e-02
2.150000000000000000e+03 2.284678235493788068e-02
2.200000000000000000e+03 2.274510374997245829e-02
2.250000000000000000e+03 2.384274991426706472e-02
2.300000000000000000e+03 2.554237829392244988e-02
2.350000000000000000e+03 2.416078225464497048e-02
2.400000000000000000e+03 2.231075871941997149e-02
2.450000000000000000e+03 2.192963004119410225e-02
2.500000000000000000e+03 2.318806138300832584e-02
2.550000000000000000e+03 2.419160054073237615e-02
2.600000000000000000e+03 2.453675317101495015e-02
2.650000000000000000e+03 2.322731745292033051e-02
2.700000000000000000e+03 2.348884563337430911e-02
2.750000000000000000e+03 2.568625080788623782e-02
2.800000000000000000e+03 2.683099363394161538e-02
2.850000000000000000e+03 2.439876607880250153e-02
2.900000000000000000e+03 2.445542651321921598e-02
2.950000000000000000e+03 2.455973952232859761e-02
3.000000000000000000e+03 2.398744605239772759e-02
3.050000000000000000e+03 2.300803254829113936e-02
3.100000000000000000e+03 2.294288846887122119e-02
3.150000000000000000e+03 2.464254537834239048e-02
3.200000000000000000e+03 2.539549405922196870e-02
3.250000000000000000e+03 2.490010924615970733e-02
3.300000000000000000e+03 2.325509861895598204e-02
3.350000000000000000e+03 2.074029048819350796e-02
3.400000000000000000e+03 2.047550860161053560e-02
3.450000000000000000e+03 2.233707390010059024e-02
3.500000000000000000e+03 2.513845832446985271e-02
3.550000000000000000e+03 2.546734754101285039e-02
3.600000000000000000e+03 2.449513197777166904e-02
3.650000000000000000e+03 2.582669732044156827e-02
3.700000000000000000e+03 2.723210629207011360e-02
3.750000000000000000e+03 2.706456592043432127e-02
3.800000000000000000e+03 2.688273612682413535e-02
3.850000000000000000e+03 2.364006946841274576e-02
3.900000000000000000e+03 2.146225934999482915e-02
3.950000000000000000e+03 2.146856214169181459e-02
4.000000000000000000e+03 2.290905984045791405e-02
4.050000000000000000e+03 2.347409815255538032e-02
4.100000000000000000e+03 2.371323540560376156e-02
4.150000000000000000e+03 2.345288501276240889e-02
