# k_1_per_A S_k
1.000000000000000056e-01 2.492222157343165989e+00
1.397993311036789255e-01 2.179258827405679000e+00
1.795986622073578731e-01 1.798604489178736277e+00
2.193979933110368208e-01 1.377042993239722346e+00
2.591973244147157684e-01 9.433637812728465910e-01
2.989966555183947161e-01 5.259381632365698334e-01
3.387959866220736083e-01 1.503980255340503502e-01
3.785953177257525004e-01 -1.623696820019935316e-01
4.183946488294314481e-01 -3.977347937547421886e-01
4.581939799331103957e-01 -5.482168060923946484e-01
4.979933110367893434e-01 -6.136973965686691734e-01
5.377926421404682911e-01 -6.009595630870256944e-01
5.775919732441472387e-01 -5.226259697020205763e-01
6.173913043478260754e-01 -3.956251872927150082e-01
6.571906354515050230e-01 -2.393555533979085936e-01
6.969899665551839707e-01 -7.373855487461855596e-02
7.367892976588629184e-01 8.264469380267724929e-02
7.765886287625418660e-01 2.141585380285586648e-01
8.163879598662208137e-01 3.093195015991674346e-01
8.561872909698997614e-01 3.615127828013380284e-01
8.959866220735787090e-01 3.691817390840544943e-01
9.357859531772575457e-01 3.355093988284576501e-01
9.755852842809364933e-01 2.676615973738574183e-01
1.015384615384615552e+00 1.757014508273031517e-01
1.055183946488294389e+00 7.131078926536493778e-02
1.094983277591973447e+00 -3.353612010802375920e-02
1.134782608695652284e+00 -1.278077860313411307e-01
1.174581939799331343e+00 -2.024419137635600219e-01
1.214381270903010179e+00 -2.510775095733372986e-01
1.254180602006689238e+00 -2.704460953370828591e-01
1.293979933110368075e+00 -2.604162254653343833e-01
1.333779264214047133e+00 -2.237232504683850376e-01
1.373578595317725970e+00 -1.654468515084566160e-01
1.413377926421404807e+00 -9.231925983481192866e-02
1.453177257525083865e+00 -1.195570327929962318e-02
1.492976588628762702e+00 6.790451841064537586e-02
1.532775919732441761e+00 1.400713652178047219e-01
1.572575250836120597e+00 1.984378831879679561e-01
1.612374581939799656e+00 2.383457960085098026e-01
1.652173913043478493e+00 2.567796601978182824e-01
1.691973244147157551e+00 2.524086846885388313e-01
1.731772575250836388e+00 2.255115093440998031e-01
1.771571906354515225e+00 1.778274902748488984e-01
1.811371237458194283e+00 1.123777846855187335e-01
1.851170568561873120e+00 3.329149531148711816e-02
1.890969899665552179e+00 -5.434178915710874413e-02
1.930769230769231015e+00 -1.445887938330761013e-01
1.970568561872910074e+00 -2.307714725557830082e-01
2.010367892976588688e+00 -3.055746677944126688e-01
2.050167224080267747e+00 -3.611971654608587823e-01
2.089966555183946806e+00 -3.895812267141660623e-01
2.129765886287625865e+00 -3.827479420649568809e-01
2.169565217391304479e+00 -3.332505523281441562e-01
2.209364548494983538e+00 -2.347371424221156300e-01
2.249163879598662596e+00 -8.259074844499258994e-02
2.288963210702341655e+00 1.254075586476727233e-01
2.328762541806020270e+00 3.884649930111677696e-01
2.368561872909699328e+00 7.022953023822704477e-01
2.408361204013378387e+00 1.058851406527553385e+00
2.448160535117057002e+00 1.446343443722237554e+00
2.487959866220736060e+00 1.849590716502956145e+00
2.527759197324415119e+00 2.250724231209293436e+00
2.567558528428094178e+00 2.630218641720636796e+00
2.607357859531772792e+00 2.968192656611593705e+00
2.647157190635451851e+00 3.245880129598151420e+00
2.686956521739130910e+00 3.447144891280802259e+00
2.726755852842809524e+00 3.559895051849592207e+00
2.766555183946488583e+00 3.577250008253950675e+00
2.806354515050167642e+00 3.498327136600836607e+00
2.846153846153846700e+00 3.328544709486398467e+00
2.885953177257525315e+00 3.079380629863369467e+00
2.925752508361204374e+00 2.767579092408547048e+00
2.965551839464883432e+00 2.413853928475969468e+00
3.005351170568562047e+00 2.041192065232610986e+00
3.045150501672241106e+00 1.672907054362625434e+00
3.084949832775920164e+00 1.330625445976949317e+00
3.124749163879599223e+00 1.032403629419086366e+00
3.164548494983277838e+00 7.911671867082950005e-01
3.204347826086956896e+00 6.136385274576745541e-01
3.244147157190635955e+00 4.998735982366896424e-01
3.283946488294315014e+00 4.434689252653840619e-01
3.323745819397993628e+00 4.324320493511412122e-01
3.363545150501672687e+00 4.506385950909016502e-01
3.403344481605351746e+00 4.797352471833341570e-01
3.443143812709030360e+00 5.012968576647922614e-01
3.482943143812709419e+00 4.990136730437036983e-01
3.522742474916388478e+00 4.606752884082385702e-01
3.562541806020067536e+00 3.797330996556210758e-01
3.602341137123746151e+00 2.562618363444365555e-01
3.642140468227425210e+00 9.719975622204790611e-02
3.681939799331104268e+00 -8.417944441567959402e-02
3.721739130434782883e+00 -2.695294089282034289e-01
3.761538461538461942e+00 -4.373157283471229562e-01
3.801337792642141000e+00 -5.651399533229244376e-01
3.841137123745820059e+00 -6.322683078028175085e-01
3.880936454849498674e+00 -6.221013654966320860e-01
3.920735785953177732e+00 -5.243187925119257020e-01
3.960535117056856791e+00 -3.364588809202653241e-01
4.000334448160534961e+00 -6.474401067302149038e-02
4.040133779264214020e+00 2.759643410219363435e-01
4.079933110367893079e+00 6.631108870057471627e-01
4.119732441471572137e+00 1.068229982971981684e+00
4.159531772575251196e+00 1.459417053040258594e+00
4.199331103678930255e+00 1.804262780393860455e+00
4.239130434782608425e+00 2.072970854166917398e+00
4.278929765886287484e+00 2.241353040337474845e+00
4.318729096989966543e+00 2.293398616597045248e+00
4.358528428093645601e+00 2.223149072639625690e+00
4.398327759197324660e+00 2.035670624016768571e+00
4.438127090301003719e+00 1.747000860120154542e+00
4.477926421404682777e+00 1.383043765442943274e+00
4.517725752508360948e+00 9.774898950585613200e-01
4.557525083612040007e+00 5.689355243725198186e-01
4.597324414715719065e+00 1.974564112409814554e-01
4.637123745819398124e+00 -9.904992698052628164e-02
4.676923076923077183e+00 -2.884109068899742834e-01
4.716722408026756241e+00 -3.472763033983412573e-01
4.756521739130435300e+00 -2.634653481352668969e-01
4.796321070234113471e+00 -3.732931123128957474e-02
4.836120401337792529e+00 3.180142525363007788e-01
4.875919732441471588e+00 7.776140801038566863e-01
4.915719063545150647e+00 1.306712880225619600e+00
4.955518394648829705e+00 1.863693966099674526e+00
4.995317725752508764e+00 2.403682193354066410e+00
5.035117056856187823e+00 2.882470676230974860e+00
5.074916387959865993e+00 3.260411827042765331e+00
5.114715719063545052e+00 3.505912649132306935e+00
5.154515050167224111e+00 3.598209954025373136e+00
5.194314381270903169e+00 3.529167975007084124e+00
5.234113712374582228e+00 3.303932390094128646e+00
5.273913043478261287e+00 2.940382304358690746e+00
5.313712374581940345e+00 2.467434956322821282e+00
5.353511705685618516e+00 1.922365913782852154e+00
5.393311036789297575e+00 1.347399906255678292e+00
5.433110367892976633e+00 7.858953021142757178e-01
5.472909698996655692e+00 2.784820490890957956e-01
5.512709030100334751e+00 -1.404848596867731558e-01
5.552508361204013809e+00 -4.458268141711798638e-01
5.592307692307692868e+00 -6.235323216718240413e-01
5.632107023411371038e+00 -6.716606790951848982e-01
5.671906354515050097e+00 -6.000879389815332310e-01
5.711705685618729156e+00 -4.291364303595404106e-01
5.751505016722408214e+00 -1.872362795017310511e-01
5.791304347826087273e+00 9.214057689258525752e-02
5.831103678929766332e+00 3.739653888917434665e-01
5.870903010033445391e+00 6.252106654383469131e-01
5.910702341137123561e+00 8.181320167529445575e-01
5.950501672240802620e+00 9.329553042908849125e-01
5.990301003344481678e+00 9.597124620434418496e-01
6.030100334448160737e+00 8.990558957286874930e-01
6.069899665551839796e+00 7.619839425975951652e-01
6.109698996655518854e+00 5.685182541651073729e-01
6.149498327759197913e+00 3.454773901733960706e-01
6.189297658862876084e+00 1.235791721561538825e-01
6.229096989966555142e+00 -6.583121284647308613e-02
6.268896321070234201e+00 -1.940959770525847450e-01
6.308695652173913260e+00 -2.382698452456661897e-01
6.348494983277592318e+00 -1.835549703195842319e-01
6.388294314381271377e+00 -2.490673807310406218e-02
6.428093645484950436e+00 2.323435613907243180e-01
6.467892976588629494e+00 5.729037644339203261e-01
6.507692307692307665e+00 9.729242134285310817e-01
6.547491638795986724e+00 1.402242209933234118e+00
6.587290969899665782e+00 1.827238124825524057e+00
6.627090301003344841e+00 2.214015490368059780e+00
6.666889632107023900e+00 2.531588637706667200e+00
6.706688963210702958e+00 2.754764749077756925e+00
6.746488294314382017e+00 2.866441854935706246e+00
6.786287625418060188e+00 2.859106426964121095e+00
6.826086956521739246e+00 2.735397146345574626e+00
