# time_fs temperature_K pressure_eV_per_A3 kinetic_energy_eV potential_energy_eV total_energy_eV
0.000000000000000000e+00 3.009753479454575427e+02 7.245367900586648612e-03 1.941313250386638245e+01 -7.812180042571610556e+02 -7.618048717532947194e+02
5.000000000000000000e+01 2.752585336108500655e+02 8.208953355262827573e-03 1.775437896254465997e+01 -7.792979220779723164e+02 -7.615435431154276102e+02
1.000000000000000000e+02 2.949332321431633090e+02 7.487651112268293302e-03 1.902341156667221966e+01 -7.808121817529253121e+02 -7.617887701862531458e+02
1.500000000000000000e+02 2.955488190564283286e+02 7.470529698819386964e-03 1.906311737778411697e+01 -7.808292912797671761e+02 -7.617661739019830520e+02
2.000000000000000000e+02 2.809584299248029424e+02 8.032484072453979773e-03 1.812202648968073149e+01 -7.796655624612093334e+02 -7.615435359715286268e+02
2.500000000000000000e+02 2.931723962507919055e+02 7.635212395107098676e-03 1.890983634953395409e+01 -7.803307707051844773e+02 -7.614209343556505019e+02
3.000000000000000000e+02 2.857398990830666889e+02 7.787659203346454853e-03 1.843043478612814212e+01 -7.799933363899029928e+02 -7.615629016037748897e+02
3.500000000000000000e+02 2.776282490426749519e+02 8.166677546363550547e-03 1.790722736022409478e+01 -7.794669077169573939e+02 -7.615596803567333382e+02
4.000000000000000000e+02 2.969475656520593816e+02 7.443017789126431423e-03 1.915333756752948347e+01 -7.808065752291589661e+02 -7.616532376616295323e+02
4.500000000000000000e+02 2.879646521687562881e+02 7.753451789527658275e-03 1.857393300528695690e+01 -7.802368516807059677e+02 -7.616629186754190641e+02
5.000000000000000000e+02 2.913725081174163165e+02 7.605665124671512865e-03 1.879374223397307020e+01 -7.805276434680207558e+02 -7.617339012340477211e+02
5.500000000000000000e+02 2.923911501300709688e+02 7.593781165312023587e-03 1.885944539704160761e+01 -7.805578608245108398e+02 -7.616984154274692855e+02
6.000000000000000000e+02 2.897751954653638222e+02 7.706941134638197431e-03 1.869071438675544172e+01 -7.801761991566864936e+02 -7.614854847699310767e+02
6.500000000000000000e+02 2.706789359562494042e+02 8.452278120396949923e-03 1.745899152736086535e+01 -7.786476345556255865e+02 -7.611886430282647780e+02
7.000000000000000000e+02 2.806390984218958806e+02 8.126668053654834134e-03 1.810142937160807008e+01 -7.793739603902735098e+02 -7.612725310186654042e+02
7.500000000000000000e+02 3.090768641258126763e+02 6.986682240698555840e-03 1.993568628830441014e+01 -7.818148125572199660e+02 -7.618791262689155701e+02
8.000000000000000000e+02 2.879676743163793731e+02 7.705632844027599133e-03 1.857412793604342482e+01 -7.803435400237847261e+02 -7.617694120877413297e+02
8.500000000000000000e+02 2.868903135906256807e+02 7.788698572260522104e-03 1.850463737255943997e+01 -7.801772444183665129e+02 -7.616726070458071263e+02
9.000000000000000000e+02 2.868742683183827467e+02 7.780437238079539013e-03 1.850360244063481829e+01 -7.801375061827238824e+02 -7.616339037420890463e+02
9.500000000000000000e+02 2.894350696422935130e+02 7.697651228190636324e-03 1.866877601965553168e+01 -7.802704023845107031e+02 -7.616016263648551785e+02
1.000000000000000000e+03 2.873409544626625802e+02 7.812869173556643079e-03 1.853370404203994326e+01 -7.800385201720278019e+02 -7.615048161299878302e+02
1.050000000000000000e+03 2.819501737228412139e+02 7.996517555452225742e-03 1.818599469801616664e+01 -7.797585653941847568e+02 -7.615725706961685546e+02
1.100000000000000000e+03 2.929563726882181527e+02 7.511205129868691287e-03 1.889590267000561852e+01 -7.807298146340370977e+02 -7.618339119640314721e+02
1.150000000000000000e+03 2.894973635872673299e+02 7.717025064853022011e-03 1.867279402517067055e+01 -7.802840748149824321e+02 -7.616112807898117580e+02
1.200000000000000000e+03 2.853270388684771888e+02 7.879663792657077420e-03 1.840380499699054795e+01 -7.799537832352269788e+02 -7.615499782382364629e+02
1.250000000000000000e+03 2.911134297307488055e+02 7.667685630319639838e-03 1.877703148645305831e+01 -7.803753989451525968e+02 -7.615983674586994994e+02
1.300000000000000000e+03 2.850705190667016495e+02 7.818886628756002710e-03 1.838725928008805965e+01 -7.801017780844312028e+02 -7.617145188043431290e+02
1.350000000000000000e+03 2.850448091055551458e+02 7.889905886010503688e-03 1.838560096858243753e+01 -7.799484728357500671e+02 -7.615628718671675870e+02
1.400000000000000000e+03 2.943769909487545533e+02 7.548354328162257959e-03 1.898753359831075826e+01 -7.805213667391019499e+02 -7.615338331407912165e+02
1.450000000000000000e+03 2.850399904913158480e+02 7.872344124711312327e-03 1.838529016440079644e+01 -7.798997526126823914e+02 -7.615144624482816198e+02
1.500000000000000000e+03 2.856284856957428815e+02 7.886908365389470182e-03 1.842324854025921610e+01 -7.798635048236627654e+02 -7.614402562834035280e+02
1.550000000000000000e+03 2.840598462023871775e+02 7.936416854587362638e-03 1.832207013298038589e+01 -7.798204034447484219e+02 -7.614983333117680786e+02
1.600000000000000000e+03 2.947390685211954633e+02 7.468476943701155349e-03 1.901088786947767062e+01 -7.808157279447723340e+02 -7.618048400752946918e+02
1.650000000000000000e+03 2.868143508087438818e+02 7.793829349244878191e-03 1.849973771695607994e+01 -7.802335940975592621e+02 -7.617338563806031289e+02
1.700000000000000000e+03 2.856710101767316132e+02 7.830320791216543660e-03 1.842599140072844577e+01 -7.800598226725800259e+02 -7.616338312718515908e+02
1.750000000000000000e+03 2.898681206477796195e+02 7.670133307904741619e-03 1.869670812973638263e+01 -7.803305429199207310e+02 -7.616338347901843235e+02
1.800000000000000000e+03 2.980662289820596698e+02 7.369023311612664211e-03 1.922549217952929368e+01 -7.809561337342453271e+02 -7.617306415547160441e+02
1.850000000000000000e+03 2.795075475860787151e+02 8.068821602319649344e-03 1.802844350595318446e+01 -7.795977700877281222e+02 -7.615693265817749307e+02
1.900000000000000000e+03 2.908802457052381669e+02 7.654325095992405015e-03 1.876199094437569670e+01 -7.804216537240373555e+02 -7.616596627796616303e+02
1.950000000000000000e+03 2.896851297992014906e+02 7.668387176981384876e-03 1.868490508468736877e+01 -7.803284182333060244e+02 -7.616435131486186947e+02
2.000000000000000000e+03 2.819231136947608434e+02 7.960319176861692381e-03 1.818424930619498170e+01 -7.798213148755774000e+02 -7.616370655693824574e+02
2.050000000000000000e+03 2.917475686450432590e+02 7.602129834322275334e-03 1.881793391534995052e+01 -7.805227452141042477e+02 -7.617048112987542936e+02
2.100000000000000000e+03 2.931571034876491808e+02 7.490807691669985544e-03 1.890884995500275423e+01 -7.808040257388568079e+02 -7.618951757838540289e+02
2.150000000000000000e+03 2.850977903927043826e+02 7.857077072761422393e-03 1.838901830078148336e+01 -7.801357701420901094e+02 -7.617467518413086509e+02
2.200000000000000000e+03 2.887719784676800145e+02 7.734942317802318175e-03 1.862600614855881886e+01 -7.802695135014870402e+02 -7.616435073529281681e+02
2.250000000000000000e+03 2.958611029180013361e+02 7.482841255306202886e-03 1.908325991777923392e+01 -7.807913008523803455e+02 -7.617080409346010583e+02
2.300000000000000000e+03 2.797007868605562066e+02 8.031483927604768022e-03 1.804090758205108003e+01 -7.797231171270642562e+02 -7.616822095450131656e+02
2.350000000000000000e+03 2.875905768850769277e+02 7.791676623245345941e-03 1.854980487287324920e+01 -7.800513219338113231e+02 -7.615015170609381130e+02
2.400000000000000000e+03 2.831276323802989623e+02 7.946526013347200712e-03 1.826194165211419573e+01 -7.797925025629547235e+02 -7.615305609108405633e+02
2.450000000000000000e+03 2.935012186048691660e+02 7.532230522031826622e-03 1.893104563452526889e+01 -7.806487506667515390e+02 -7.617177050322262630e+02
2.500000000000000000e+03 2.888499525346855989e+02 7.716930681914216383e-03 1.863103553353994002e+01 -7.803358362648986031e+02 -7.617048007313586595e+02
2.550000000000000000e+03 2.927528289980705836e+02 7.598183335432867787e-03 1.888277395147722615e+01 -7.804230312090620600e+02 -7.615402572575848126e+02
2.600000000000000000e+03 2.788809594474485039e+02 8.098436292609026074e-03 1.798802810767018556e+01 -7.794217957552422149e+02 -7.614337676475720400e+02
2.650000000000000000e+03 2.941844501916485228e+02 7.498944409164195156e-03 1.897511457709985550e+01 -7.806186069300764530e+02 -7.616434923529766365e+02
2.700000000000000000e+03 2.880364480290191977e+02 7.788418855706283686e-03 1.857856389136459185e+01 -7.802059226280509847e+02 -7.616273587366863467e+02
2.750000000000000000e+03 2.937732678045868511e+02 7.542228566241432862e-03 1.894859300907850752e+01 -7.804404372812293786e+02 -7.614918442721508427e+02
2.800000000000000000e+03 2.713524657746606863e+02 8.351805257787033379e-03 1.750243469870157398e+01 -7.790168556248020195e+02 -7.615144209261004562e+02
2.850000000000000000e+03 3.031868011797304803e+02 7.190170005164681251e-03 1.955577287277401766e+01 -7.813347671287340290e+02 -7.617789942559600149e+02
2.900000000000000000e+03 2.860351279831103284e+02 7.741032815228501146e-03 1.844947726849303038e+01 -7.801671599579336771e+02 -7.617176826894406076e+02
2.950000000000000000e+03 2.919177502538965427e+02 7.560729910113476310e-03 1.882891075496469924e+01 -7.806498418758092157e+02 -7.618209311208445342e+02
3.000000000000000000e+03 2.812598704265108722e+02 8.013700369219176403e-03 1.814146962494624304e+01 -7.797204093741347606e+02 -7.615789397491885211e+02
3.050000000000000000e+03 2.847815592960547519e+02 7.852786620987975072e-03 1.836862116120507338e+01 -7.799152990107082815e+02 -7.615466778495032258e+02
3.100000000000000000e+03 2.924610985476165297e+02 7.561779710821199887e-03 1.886395712169785455e+01 -7.805009711575288520e+02 -7.616370140358310437e+02
3.150000000000000000e+03 2.847039799163403586e+02 7.874041570531575135e-03 1.836361723384609235e+01 -7.799748182260210569e+02 -7.616112009921749859e+02
3.200000000000000000e+03 2.875387101156391054e+02 7.766113571280084706e-03 1.854645942789073843e+01 -7.801124959234617791e+02 -7.615660364955710975e+02
3.250000000000000000e+03 2.878918682121212669e+02 7.761901735034340555e-03 1.856923838626265066e+01 -7.801901238940465646e+02 -7.616208855077838962e+02
3.300000000000000000e+03 2.931878578921645158e+02 7.546066766498325459e-03 1.891083363683586427e+01 -7.807608015898589429e+02 -7.618499679530231106e+02
3.350000000000000000e+03 2.919426121364209052e+02 7.574507349358125183e-03 1.883051436477206408e+01 -7.806127327151709778e+02 -7.617822183503989208e+02
3.400000000000000000e+03 2.741395063036519559e+02 8.177838274340716584e-03 1.768220087374644223e+01 -7.793902112827249766e+02 -7.617080104089785664e+02
3.450000000000000000e+03 3.012624369447881350e+02 7.262350055528637993e-03 1.943164995661609140e+01 -7.811203186698116951e+02 -7.616886687131956251e+02
3.500000000000000000e+03 2.843103614702043842e+02 7.926001711993594517e-03 1.833822855300240917e+01 -7.799365548853260179e+02 -7.615983263323236088e+02
3.550000000000000000e+03 2.789840794560075778e+02 8.073361625258223054e-03 1.799467942447610724e+01 -7.796381726853616101e+02 -7.616434932608855206e+02
3.600000000000000000e+03 2.985545261968154591e+02 7.367205389237621235e-03 1.925698771096079298e+01 -7.809875932588539627e+02 -7.617306055478932194e+02
3.650000000000000000e+03 2.841132887965017062e+02 7.844683911660163891e-03 1.832551721981981885e+01 -7.799915993922903681e+02 -7.616660821724705102e+02
3.700000000000000000e+03 2.866713691722742965e+02 7.788372069129512881e-03 1.849051529567356766e+01 -7.802017581090126441e+02 -7.617112428133390267e+02
3.750000000000000000e+03 3.028143804718406500e+02 7.222694761971758248e-03 1.953175146172224075e+01 -7.812559036105736823e+02 -7.617241521488514309e+02
3.800000000000000000e+03 2.708503484162109771e+02 8.377310544062594247e-03 1.747004775778227170e+01 -7.789812540025418457e+02 -7.615112062447595918e+02
3.850000000000000000e+03 2.889940786763856977e+02 7.734607248042417449e-03 1.864033177625614357e+01 -7.802418793904356562e+02 -7.616015476141794807e+02
3.900000000000000000e+03 2.945335216279438555e+02 7.474508575993203154e-03 1.899762994286776774e+01 -7.807831001315172443e+02 -7.617854701886494695e+02
3.950000000000000000e+03 2.944126048553112014e+02 7.490763706399923040e-03 1.898983072161897923e+01 -7.805236446121814424e+02 -7.615338138905624419e+02
4.000000000000000000e+03 2.708513795479524333e+02 8.465138017194510228e-03 1.747011426654208321e+01 -7.788167787483698703e+02 -7.613466644818278155e+02
4.050000000000000000e+03 2.920053343834526913e+02 7.594291838246154322e-03 1.883455999608665721e+01 -7.804103092941735440e+02 -7.615757492980868619e+02
4.100000000000000000e+03 2.875623784566683412e+02 7.744632212891408921e-03 1.854798605338908501e+01 -7.802205547563183927e+02 -7.616725687029293113e+02
4.150000000000000000e+03 2.879937576950740095e+02 7.756653259788762189e-03 1.857581033325702791e+01 -7.802741920847291794e+02 -7.616983817514721977e+02
4.200000000000000000e+03 2.920705847279597265e+02 7.567002510338058895e-03 1.883876869155784561e+01 -7.805565110764420069e+02 -7.617177423848841045e+02
4.250000000000000000e+03 2.785755897042723177e+02 8.122981369937049348e-03 1.796833153342442913e+01 -7.795440959826754579e+02 -7.615757644492509826e+02
4.300000000000000000e+03 2.981030573954220131e+02 7.439329621295977073e-03 1.922786763942456645e+01 -7.807520082622105519e+02 -7.615241406227860352e+02
4.350000000000000000e+03 2.809443710538164396e+02 8.025459828597442807e-03 1.812111968210603052e+01 -7.797452693776466504e+02 -7.616241496955406092e+02
4.400000000000000000e+03 2.903964400219172717e+02 7.627997709418859670e-03 1.873078512004308394e+01 -7.804936769720927714e+02 -7.617628918520497336e+02
4.450000000000000000e+03 2.903121314525550360e+02 7.682001400042606613e-03 1.872534715497580393e+01 -7.804818011103228628e+02 -7.617564539553470695e+02
4.500000000000000000e+03 2.850935145609627739e+02 7.866233083590478542e-03 1.838874250647231534e+01 -7.800258005565774511e+02 -7.616370580501051109e+02
4.550000000000000000e+03 2.874459018638863768e+02 7.780665378791088750e-03 1.854047322702403378e+01 -7.802259293908505242e+02 -7.616854561638265295e+02
4.600000000000000000e+03 2.956532816660861158e+02 7.494277113173470305e-03 1.906985529335371155e+01 -7.808133945802333074e+02 -7.617435392868795816e+02
4.650000000000000000e+03 2.783767790101209130e+02 8.073753334396790993e-03 1.795550809663768277e+01 -7.796248454333704103e+02 -7.616693373367327240e+02
4.700000000000000000e+03 3.040632271333049630e+02 7.156771403377226726e-03 1.961230299486777895e+01 -7.814268344880124459e+02 -7.618145314931446137e+02
4.750000000000000000e+03 2.823254983257047570e+02 7.982531386385037855e-03 1.821020341244108209e+01 -7.798504927975577630e+02 -7.616402893851167164e+02
4.800000000000000000e+03 2.831531441712268702e+02 7.948051823409114577e-03 1.826358718149417726e+01 -7.797941772149054032e+02 -7.615305900334112721e+02
4.850000000000000000e+03 2.908371936897285082e+02 7.636402245338914582e-03 1.875921405753977211e+01 -7.804220947097874159e+02 -7.616628806522476225e+02
4.900000000000000000e+03 2.898242621045157534e+02 7.665446219159823341e-03 1.869387922126390933e+01 -7.804632312599374018e+02 -7.617693520386734463e+02
4.950000000000000000e+03 2.839627046637454555e+02 7.916113630539855367e-03 1.831580443190501839e+01 -7.799206016653720326e+02 -7.616047972334670249e+02
5.000000000000000000e+03 2.966992741884068892e+02 7.441821744087646039e-03 1.913732258452051838e+01 -7.807969708435050507e+02 -7.616596482589845891e+02
5.050000000000000000e+03 2.898472496525114934e+02 7.701404701224508383e-03 1.869536193510817057e+01 -7.803324241415072038e+02 -7.616370622063990368e+02
5.100000000000000000e+03 2.818695101251823303e+02 8.016652571958897758e-03 1.818079183631908791e+01 -7.798017204693840085e+02 -7.616209286330649775e+02
5.150000000000000000e+03 2.873220424940249131e+02 7.750822749844641334e-03 1.853248420607803482e+01 -7.802792339142008586e+02 -7.617467497081228203e+02
