# time_fs msd_A2
0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 1.423245108306162368e-02
1.000000000000000000e+02 3.245754309934464205e-02
1.500000000000000000e+02 3.386772147215155043e-02
2.000000000000000000e+02 3.077109710313124386e-02
2.500000000000000000e+02 2.934463995760783206e-02
3.000000000000000000e+02 2.711657285686953217e-02
3.500000000000000000e+02 2.679911881850307459e-02
4.000000000000000000e+02 2.652765301712735335e-02
4.500000000000000000e+02 2.326096951167101051e-02
5.000000000000000000e+02 2.228420042347142513e-02
5.500000000000000000e+02 2.401091046970515661e-02
6.000000000000000000e+02 2.364901577125675877e-02
6.500000000000000000e+02 2.417383891733871498e-02
7.000000000000000000e+02 2.536368446022604570e-02
7.500000000000000000e+02 2.305955019296006617e-02
8.000000000000000000e+02 2.127172150860611594e-02
8.500000000000000000e+02 2.261394639381918842e-02
9.000000000000000000e+02 2.495913863640738389e-02
9.500000000000000000e+02 2.664314042964881571e-02
1.000000000000000000e+03 2.811689443764449695e-02
1.050000000000000000e+03 2.848763822088100361e-02
1.100000000000000000e+03 2.700029473570036975e-02
1.150000000000000000e+03 2.535506867344980431e-02
1.200000000000000000e+03 2.369563482660696704e-02
1.250000000000000000e+03 2.285171894465832382e-02
1.300000000000000000e+03 2.432660652416765087e-02
1.350000000000000000e+03 2.539639301386113768e-02
1.400000000000000000e+03 2.394378820086032894e-02
1.450000000000000000e+03 2.334001826769955407e-02
1.500000000000000000e+03 2.408676219446508754e-02
1.550000000000000000e+03 2.476973899399480608e-02
1.600000000000000000e+03 2.483782819687666357e-02
1.650000000000000000e+03 2.482529044836411306e-02
1.700000000000000000e+03 2.387619836089395139e-02
1.750000000000000000e+03 2.342271487376282671e-02
1.800000000000000000e+03 2.412846542398116093e-02
1.850000000000000000e+03 2.581804967928005151e-02
1.900000000000000000e+03 2.636379077061613493e-02
1.950000000000000000e+03 2.607621012112784978e-02
2.000000000000000000e+03 2.533046805732480991e-02
2.050000000000000000e+03 2.463391073158658490e-02
2.100000000000000000e+03 2.386263654501642739e-02
2.150000000000000000e+03 2.282355800055162545e-02
2.200000000000000000e+03 2.311516078842650729e-02
2.250000000000000000e+03 2.458230808067930415e-02
2.300000000000000000e+03 2.565226652554112100e-02
2.350000000000000000e+03 2.452680114391798255e-02
2.400000000000000000e+03 2.295558913861888914e-02
2.450000000000000000e+03 2.243861867728448936e-02
2.500000000000000000e+03 2.328753430526244589e-02
2.550000000000000000e+03 2.437168081046096196e-02
2.600000000000000000e+03 2.485380656385097545e-02
2.650000000000000000e+03 2.387910430801477163e-02
2.700000000000000000e+03 2.389529552061512782e-02
2.750000000000000000e+03 2.589548049208530503e-02
2.800000000000000000e+03 2.724554745122241550e-02
2.850000000000000000e+03 2.550712960424957043e-02
2.900000000000000000e+03 2.478231003598735382e-02
2.950000000000000000e+03 2.446634929924620949e-02
3.000000000000000000e+03 2.399552950047659922e-02
3.050000000000000000e+03 2.344911764446664867e-02
3.100000000000000000e+03 2.361342479366201896e-02
3.150000000000000000e+03 2.494093897023567930e-02
3.200000000000000000e+03 2.547156645918611725e-02
3.250000000000000000e+03 2.511227523636691203e-02
3.300000000000000000e+03 2.382455344902185621e-02
3.350000000000000000e+03 2.120539796647884223e-02
3.400000000000000000e+03 2.090986899154918116e-02
3.450000000000000000e+03 2.335141742745059160e-02
3.500000000000000000e+03 2.531232087833669778e-02
3.550000000000000000e+03 2.539285077885624492e-02
3.600000000000000000e+03 2.488832838497710004e-02
3.650000000000000000e+03 2.609058047576747960e-02
3.700000000000000000e+03 2.789928402573992050e-02
3.750000000000000000e+03 2.777741769820571069e-02
3.800000000000000000e+03 2.706394616054621713e-02
3.850000000000000000e+03 2.429901659944731437e-02
3.900000000000000000e+03 2.212468210386126996e-02
3.950000000000000000e+03 2.184032924683415242e-02
