# k_1_per_A S_k
1.000000000000000056e-01 2.443202808804556092e+00
1.397993311036789255e-01 2.137009782164367433e+00
1.795986622073578731e-01 1.764515982426336560e+00
2.193979933110368208e-01 1.351879358881049376e+00
2.591973244147157684e-01 9.272266176619009537e-01
2.989966555183947161e-01 5.182900436317219306e-01
3.387959866220736083e-01 1.501429071256596970e-01
3.785953177257525004e-01 -1.567588140344684522e-01
4.183946488294314481e-01 -3.880550348967877206e-01
4.581939799331103957e-01 -5.363581462067779082e-01
4.979933110367893434e-01 -6.014673073946603665e-01
5.377926421404682911e-01 -5.899266153312703320e-01
5.775919732441472387e-01 -5.139971257115254488e-01
6.173913043478260754e-01 -3.901673361780702010e-01
6.571906354515050230e-01 -2.373667896008235800e-01
6.969899665551839707e-01 -7.506922892618672627e-02
7.367892976588629184e-01 7.852639130093941322e-02
7.765886287625418660e-01 2.080661894425919201e-01
8.163879598662208137e-01 3.022262481989809180e-01
8.561872909698997614e-01 3.544219436354043573e-01
8.959866220735787090e-01 3.630049149727927471e-01
9.357859531772575457e-01 3.309650784765023612e-01
9.755852842809364933e-01 2.652042672139174329e-01
1.015384615384615552e+00 1.754872105935497695e-01
1.055183946488294389e+00 7.320098632771532277e-02
1.094983277591973447e+00 -2.993616930210718508e-02
1.134782608695652284e+00 -1.230818101158277500e-01
1.174581939799331343e+00 -1.972771697554829284e-01
1.214381270903010179e+00 -2.461721027673702267e-01
1.254180602006689238e+00 -2.664207239240670155e-01
1.293979933110368075e+00 -2.577407802720301788e-01
1.333779264214047133e+00 -2.226663601562284267e-01
1.373578595317725970e+00 -1.660532698694026088e-01
1.413377926421404807e+00 -9.441636217208904114e-02
1.453177257525083865e+00 -1.518674706429545829e-02
1.492976588628762702e+00 6.402587303074080971e-02
1.532775919732441761e+00 1.360931236145290768e-01
1.572575250836120597e+00 1.948974994379580883e-01
1.612374581939799656e+00 2.357028967358871796e-01
1.652173913043478493e+00 2.553618915713551374e-01
1.691973244147157551e+00 2.523768536050553513e-01
1.731772575250836388e+00 2.268474967521344476e-01
1.771571906354515225e+00 1.803454001378554938e-01
1.811371237458194283e+00 1.157558432871996779e-01
1.851170568561873120e+00 3.711969769084155768e-02
1.890969899665552179e+00 -5.050507693824690669e-02
1.930769230769231015e+00 -1.411589284177907633e-01
1.970568561872910074e+00 -2.280858327035546473e-01
2.010367892976588688e+00 -3.038535773907666826e-01
2.050167224080267747e+00 -3.605219872616212129e-01
2.089966555183946806e+00 -3.898917874925795779e-01
2.129765886287625865e+00 -3.838588678827548062e-01
2.169565217391304479e+00 -3.348836504192360675e-01
2.209364548494983538e+00 -2.365649711866311122e-01
2.249163879598662596e+00 -8.428521112961817607e-02
2.288963210702341655e+00 1.241282304987190166e-01
2.328762541806020270e+00 3.877970965423732652e-01
2.368561872909699328e+00 7.023233897420479988e-01
2.408361204013378387e+00 1.059538085968228405e+00
2.448160535117057002e+00 1.447536265984162629e+00
2.487959866220736060e+00 1.851044882519094603e+00
2.527759197324415119e+00 2.252137798475487784e+00
2.567558528428094178e+00 2.631275324614839484e+00
2.607357859531772792e+00 2.968606404478387084e+00
2.647157190635451851e+00 3.245435529353569937e+00
2.686956521739130910e+00 3.445728080977690233e+00
2.726755852842809524e+00 3.557511150760787721e+00
2.766555183946488583e+00 3.574024885044900124e+00
2.806354515050167642e+00 3.494493407291793030e+00
2.846153846153846700e+00 3.324413910243647852e+00
2.885953177257525315e+00 3.075305282257883910e+00
2.925752508361204374e+00 2.763909647156920890e+00
2.965551839464883432e+00 2.410896182564018719e+00
3.005351170568562047e+00 2.039170528233314350e+00
3.045150501672241106e+00 1.671938918219455728e+00
3.084949832775920164e+00 1.330708403229475589e+00
3.124749163879599223e+00 1.033418975629747827e+00
3.164548494983277838e+00 7.928976696460787732e-01
3.204347826086956896e+00 6.157985217797714572e-01
3.244147157190635955e+00 5.021476284439867488e-01
3.283946488294315014e+00 4.455535252302036398e-01
3.323745819397993628e+00 4.340755587960959394e-01
3.363545150501672687e+00 4.516737938347621384e-01
3.403344481605351746e+00 4.801006713139956972e-01
3.443143812709030360e+00 5.010441024049001602e-01
3.482943143812709419e+00 4.982997760887715177e-01
3.522742474916388478e+00 4.597411774911825955e-01
3.562541806020067536e+00 3.788708419836009922e-01
3.602341137123746151e+00 2.557748284126039051e-01
3.642140468227425210e+00 9.736087011646832323e-02
3.681939799331104268e+00 -8.316649090278471768e-02
3.721739130434782883e+00 -2.675605906771143516e-01
3.761538461538461942e+00 -4.344052866429097826e-01
3.801337792642141000e+00 -5.614245933099915042e-01
3.841137123745820059e+00 -6.279963534941330749e-01
3.880936454849498674e+00 -6.176080209860157488e-01
3.920735785953177732e+00 -5.199903227918813986e-01
3.960535117056856791e+00 -3.326898429398696955e-01
4.000334448160534961e+00 -6.189248291623816733e-02
4.040133779264214020e+00 2.776183534419159882e-01
4.079933110367893079e+00 6.633990723360977393e-01
4.119732441471572137e+00 1.067117497553522698e+00
4.159531772575251196e+00 1.457009942380234069e+00
4.199331103678930255e+00 1.800800166580701411e+00
4.239130434782608425e+00 2.068802711460462795e+00
4.278929765886287484e+00 2.236905960005990401e+00
4.318729096989966543e+00 2.289133242919531241e+00
4.358528428093645601e+00 2.219513738779718359e+00
4.398327759197324660e+00 2.033056047999763472e+00
4.438127090301003719e+00 1.745700557922188700e+00
4.477926421404682777e+00 1.383224142059219064e+00
4.517725752508360948e+00 9.791728808338296952e-01
4.557525083612040007e+00 5.719952683357690804e-01
4.597324414715719065e+00 2.016300835108937317e-01
4.637123745819398124e+00 -9.413857462838182144e-02
4.676923076923077183e+00 -2.832177741833412643e-01
4.716722408026756241e+00 -3.422964051283297060e-01
4.756521739130435300e+00 -2.591894411215089900e-01
4.796321070234113471e+00 -3.420170040592251937e-02
4.836120401337792529e+00 3.196330230416165596e-01
4.875919732441471588e+00 7.774765862372599035e-01
4.915719063545150647e+00 1.304704045019587255e+00
4.955518394648829705e+00 1.859838987245447051e+00
4.995317725752508764e+00 2.398143043115187112e+00
5.035117056856187823e+00 2.875532007590339223e+00
5.074916387959865993e+00 3.252457924912762532e+00
5.114715719063545052e+00 3.497397659045476725e+00
5.154515050167224111e+00 3.589623977338199268e+00
5.194314381270903169e+00 3.521001740575588901e+00
5.234113712374582228e+00 3.296643120969151575e+00
5.273913043478261287e+00 2.934363132769286953e+00
5.313712374581940345e+00 2.462989846896793011e+00
5.353511705685618516e+00 1.919691579526832115e+00
5.393311036789297575e+00 1.346575684658788408e+00
5.433110367892976633e+00 7.868814313244837377e-01
5.472909698996655692e+00 2.811262682569842797e-01
5.512709030100334751e+00 -1.364329523318976722e-01
5.552508361204013809e+00 -4.406946681121042264e-01
5.592307692307692868e+00 -6.176980417248989497e-01
5.632107023411371038e+00 -6.655231287207274971e-01
5.671906354515050097e+00 -5.940354210834644100e-01
5.711705685618729156e+00 -4.235162185051037920e-01
5.751505016722408214e+00 -1.823273393846180923e-01
5.791304347826087273e+00 9.614942218265154494e-02
5.831103678929766332e+00 3.769898592610307908e-01
5.870903010033445391e+00 6.272764508948931450e-01
5.910702341137123561e+00 8.193703262627962669e-01
5.950501672240802620e+00 9.335884193078433091e-01
5.990301003344481678e+00 9.600300669471892867e-01
6.030100334448160737e+00 8.993838735806093387e-01
6.069899665551839796e+00 7.626481766690831332e-01
6.109698996655518854e+00 5.698066652763831286e-01
6.149498327759197913e+00 3.476038729311350384e-01
6.189297658862876084e+00 1.266531926098910521e-01
6.229096989966555142e+00 -6.182587776407411084e-02
6.268896321070234201e+00 -1.893105507828503065e-01
6.308695652173913260e+00 -2.329861340813528248e-01
6.348494983277592318e+00 -1.781667402403408484e-01
6.388294314381271377e+00 -1.988786578355128398e-02
6.428093645484950436e+00 2.364817220249191276e-01
6.467892976588629494e+00 5.756620562106278260e-01
6.507692307692307665e+00 9.738676582702386897e-01
6.547491638795986724e+00 1.401049029969752668e+00
6.587290969899665782e+00 1.823740533136875230e+00
6.627090301003344841e+00 2.208227557136513752e+00
6.666889632107023900e+00 2.523717655918488401e+00
6.706688963210702958e+00 2.745204091358397047e+00
6.746488294314382017e+00 2.855745177735211193e+00
6.786287625418060188e+00 2.847945045867592562e+00
6.826086956521739246e+00 2.724504260887469442e+00
6.865886287625418305e+00 2.497803436840951186e+00
6.905685618729097364e+00 2.188579787978140345e+00
6.945484949832776422e+00 1.823845549866579763e+00
6.985284280936455481e+00 1.434269441899755027e+00
7.025083612040134540e+00 1.051290731446800297e+00
7.064882943143812710e+00 7.042554750733056590e-01
7.104682274247491769e+00 4.178546399127310851e-01
7.144481605351170828e+00 2.101056621040791050e-01
7.184280936454849886e+00 9.105710836526892393e-02
7.224080267558528945e+00 6.231739820294723842e-02
7.263879598662208004e+00 1.174215775428216757e-01
7.303678929765887062e+00 2.429641728023357317e-01
7.343478260869565233e+00 4.203501720480063986e-01
7.383277591973244292e+00 6.279579142054787511e-01
7.423076923076923350e+00 8.434728152433925707e-01
7.462876254180602409e+00 1.046142505127741984e+00
7.502675585284281468e+00 1.218722276958064121e+00
7.542474916387960526e+00 1.348922081309753995e+00
7.582274247491639585e+00 1.430227433456666475e+00
7.622073578595317755e+00 1.462039426364233785e+00
7.661872909698996814e+00 1.449155343191879108e+00
7.701672240802675873e+00 1.400682738429480212e+00
7.741471571906354932e+00 1.328538641067975590e+00
7.781270903010033990e+00 1.245725621657526316e+00
7.821070234113713049e+00 1.164593953650507663e+00
7.860869565217392108e+00 1.095292670423692716e+00
7.900668896321070278e+00 1.044583334545576170e+00
7.940468227424749337e+00 1.015142630312823480e+00
7.980267558528428395e+00 1.005419295461819074e+00
8.020066889632108342e+00 1.010044559164438693e+00
8.059866220735786513e+00 1.020730767168648745e+00
8.099665551839466460e+00 1.027537484817141245e+00
8.139464882943144630e+00 1.020344121714247709e+00
8.179264214046822801e+00 9.903472233464456487e-01
8.219063545150502748e+00 9.314009536096171660e-01
8.258862876254180918e+00 8.410404304381797758e-01
8.298662207357860865e+00 7.210666216423913255e-01
8.338461538461539035e+00 5.776236445712421563e-01
8.378260869565217206e+00 4.207583526092824044e-01
8.418060200668897153e+00 2.635112039793061633e-01
8.457859531772575323e+00 1.206399130893738292e-01
8.497658862876255270e+00 7.117506057718547829e-03
8.537458193979933441e+00 -6.343009463425808292e-02
8.577257525083613388e+00 -8.017719490428798501e-02
8.617056856187291558e+00 -3.628668799973122638e-02
8.656856187290969729e+00 7.029070556120819990e-02
8.696655518394649675e+00 2.364866462691980198e-01
8.736454849498327846e+00 4.542835157228521936e-01
8.776254180602007793e+00 7.113562874119373491e-01
8.816053511705685963e+00 9.921143807073040666e-01
8.855852842809365910e+00 1.279030627785124885e+00
8.895652173913044081e+00 1.554118790065372568e+00
8.935451505016722251e+00 1.800411304551727598e+00
8.975250836120402198e+00 2.003295522111046889e+00
9.015050167224080369e+00 2.151588137059093242e+00
9.054849498327760315e+00 2.238260680308659545e+00
9.094648829431438486e+00 2.260769529986522031e+00
9.134448160535118433e+00 2.220986910570245776e+00
9.174247491638796603e+00 2.124769802255542128e+00
9.214046822742474774e+00 1.981237134379469023e+00
9.253846153846154721e+00 1.801848735199417684e+00
9.293645484949832891e+00 1.599390333077451931e+00
9.333444816053512838e+00 1.386967127769831887e+00
9.373244147157191009e+00 1.177095311006087108e+00
9.413043478260870955e+00 9.809589747679491323e-01
9.452842809364549126e+00 8.078725995246838210e-01
9.492642140468227296e+00 6.649606967736644281e-01
9.532441471571907243e+00 5.570400280227463252e-01
9.572240802675585414e+00 4.866693753551918356e-01
9.612040133779265361e+00 4.543193333555791691e-01
9.651839464882943531e+00 4.586110038262443123e-01
9.691638795986623478e+00 4.965774377471845469e-01
9.731438127090301649e+00 5.639135815928301154e-01
9.771237458193979819e+00 6.551967820082194027e-01
9.811036789297659766e+00 7.640774554844151911e-01
9.850836120401337936e+00 8.834551193371805722e-01
9.890635451505017883e+00 1.005665777911063152e+00
9.930434782608696054e+00 1.122710645202543711e+00
9.970234113712376001e+00 1.226552459026130082e+00
1.001003344481605417e+01 1.309494560476871960e+00
1.004983277591973234e+01 1.364641060784224313e+00
1.008963210702341229e+01 1.386416396911142268e+00
1.012943143812709046e+01 1.371102644263776593e+00
1.016923076923077041e+01 1.317336559124824058e+00
1.020903010033444858e+01 1.226498603482061744e+00
1.024882943143812852e+01 1.102925512568866617e+00
1.028862876254180669e+01 9.538874832585815255e-01
1.032842809364548486e+01 7.892905686523209452e-01
1.036822742474916481e+01 6.210926866998085494e-01
1.040802675585284298e+01 4.624548082389263737e-01
1.044782608695652293e+01 3.266834269295249005e-01
1.048762541806020110e+01 2.260518766306396365e-01
1.052742474916388105e+01 1.706120648625176761e-01
1.056722408026755922e+01 1.671209988976070093e-01
1.060702341137123739e+01 2.182055346369755622e-01
1.064682274247491733e+01 3.218730921961129310e-01
1.068662207357859550e+01 4.714464577205774720e-01
1.072642140468227545e+01 6.559598131119677156e-01
1.076622073578595362e+01 8.610049423325292217e-01
1.080602006688963357e+01 1.069966412384585119e+00
1.084581939799331174e+01 1.265538204071018136e+00
1.088561872909698991e+01 1.431377403586583386e+00
1.092541806020066986e+01 1.553727948828831584e+00
1.096521739130434803e+01 1.622842385390099285e+00
1.100501672240802797e+01 1.634043541903654084e+00
1.104481605351170614e+01 1.588300237733175635e+00
1.108461538461538609e+01 1.492238688953052339e+00
1.112441471571906426e+01 1.357569392450525214e+00
1.116421404682274243e+01 1.199971761713261476e+00
1.120401337792642238e+01 1.037538765410761510e+00
1.124381270903010055e+01 8.889344515013802850e-01
1.128361204013378050e+01 7.714525566604983897e-01
1.132341137123745867e+01 6.991800101804241940e-01
1.136321070234113861e+01 6.814627731834038693e-01
1.140301003344481678e+01 7.218432740901798983e-01
1.144280936454849495e+01 8.175913482576385727e-01
1.148260869565217490e+01 9.598889246477081416e-01
1.152240802675585307e+01 1.134659297225346641e+00
1.156220735785953302e+01 1.323962237558931943e+00
1.160200668896321119e+01 1.507814158959077666e+00
1.164180602006689114e+01 1.666245014685267645e+00
1.168160535117056931e+01 1.781376054847373158e+00
1.172140468227424748e+01 1.839298260140795893e+00
1.176120401337792742e+01 1.831550929729433008e+00
1.180100334448160559e+01 1.756041564957102841e+00
1.184080267558528554e+01 1.617307422364790970e+00
1.188060200668896371e+01 1.426089475868579148e+00
1.192040133779264366e+01 1.198263314484477426e+00
1.196020066889632183e+01 9.532405768485104902e-01
1.200000000000000000e+01 7.120112539723295608e-01
