# time_fs temperature_K pressure_eV_per_A3 kinetic_energy_eV potential_energy_eV total_energy_eV
0.000000000000000000e+00 3.009753479454575427e+02 7.245367900586648612e-03 1.941313250386638245e+01 -7.812180042571610556e+02 -7.618048717532947194e+02
5.000000000000000000e+01 2.920160665907923772e+02 8.542364724890932209e-03 1.883525223139617921e+01 -7.788858139253073887e+02 -7.600505616939111633e+02
1.000000000000000000e+02 3.044781329413804656e+02 8.620082142047812146e-03 1.963906472629786748e+01 -7.789651519322471813e+02 -7.593260872059493067e+02
1.500000000000000000e+02 3.026675815321456753e+02 7.820437137142574602e-03 1.952228282155892103e+01 -7.802471286946562259e+02 -7.607248458730972516e+02
2.000000000000000000e+02 2.979841764632109289e+02 8.371339799154164929e-03 1.922019973138840854e+01 -7.792283387153211152e+02 -7.600081389839326675e+02
2.500000000000000000e+02 3.007033534247406692e+02 8.290423776150563848e-03 1.939558865614912975e+01 -7.792754658431277903e+02 -7.598798771869786606e+02
3.000000000000000000e+02 2.998856851938401178e+02 8.322948164661671602e-03 1.934284845061724312e+01 -7.791931908400121074e+02 -7.598503423893948820e+02
3.500000000000000000e+02 2.977316025707226004e+02 8.970270910249832780e-03 1.920390852855281238e+01 -7.782606137421876156e+02 -7.590567052136348138e+02
4.000000000000000000e+02 3.023785308125060283e+02 8.156229841613555839e-03 1.950363883639865037e+01 -7.795985451195018641e+02 -7.600949062831032279e+02
4.500000000000000000e+02 2.988330032546576831e+02 7.971767353551196394e-03 1.927494968711625489e+01 -7.799762566180302201e+02 -7.607013069309139155e+02
5.000000000000000000e+02 3.002063679312547606e+02 8.030207607692969873e-03 1.936353272431483674e+01 -7.798718964777181100e+02 -7.605083637534032732e+02
5.500000000000000000e+02 3.013929607537514244e+02 8.157737353563444122e-03 1.944006883881229086e+01 -7.796595742653961452e+02 -7.602195054265838507e+02
6.000000000000000000e+02 2.996811540297588863e+02 8.156897775310322646e-03 1.932965603928992593e+01 -7.794708368763069757e+02 -7.601411808370170320e+02
6.500000000000000000e+02 2.951631598468933930e+02 9.086938659824884967e-03 1.903824207358679388e+01 -7.777946899629018844e+02 -7.587564478893150408e+02
7.000000000000000000e+02 2.976724311013796296e+02 9.362795376047295878e-03 1.920009192502483231e+01 -7.773982586333335121e+02 -7.581981667083086904e+02
7.500000000000000000e+02 3.091286004238114060e+02 7.739362447683320601e-03 1.993902331778262393e+01 -7.804653421763568986e+02 -7.605263188585743137e+02
8.000000000000000000e+02 2.979390536821235287e+02 7.416005495201848097e-03 1.921728927864145575e+01 -7.809387476990463028e+02 -7.617214584204048151e+02
8.500000000000000000e+02 2.975492380835918311e+02 8.230211676457911685e-03 1.919214588428032897e+01 -7.795732225668911042e+02 -7.603810766826107965e+02
9.000000000000000000e+02 3.004399177300568908e+02 8.633610848209311711e-03 1.937859685903998042e+01 -7.788292569651694066e+02 -7.594506601061294759e+02
9.500000000000000000e+02 3.008075515591579574e+02 8.170686085973526830e-03 1.940230951287013994e+01 -7.794938631680778371e+02 -7.600915536552076901e+02
1.000000000000000000e+03 2.982508843468335158e+02 8.386540922618151636e-03 1.923740258710378370e+01 -7.791583584777188207e+02 -7.599209558906150050e+02
1.050000000000000000e+03 3.016583517839133037e+02 8.821473737807099952e-03 1.945718675650568485e+01 -7.785309492167052667e+02 -7.590737624601995321e+02
1.100000000000000000e+03 3.004481525963421973e+02 7.832689672289698188e-03 1.937912801400479523e+01 -7.802030443511735029e+02 -7.608239163371687255e+02
1.150000000000000000e+03 2.973557258581710698e+02 8.131837909547622381e-03 1.917966420264475502e+01 -7.796161384145249258e+02 -7.604364742118801814e+02
1.200000000000000000e+03 2.990054380578249038e+02 8.616677972686708625e-03 1.928607185943041458e+01 -7.787958592197070402e+02 -7.595097873602766185e+02
1.250000000000000000e+03 3.030310791727516175e+02 8.393800541589129319e-03 1.954572868817257003e+01 -7.792371780046183858e+02 -7.596914493164458690e+02
1.300000000000000000e+03 2.995473534420765418e+02 8.146694316285202353e-03 1.932102580244327328e+01 -7.796333278726225444e+02 -7.603123020701792711e+02
1.350000000000000000e+03 2.976399726545693625e+02 8.515918938430542401e-03 1.919799833120361399e+01 -7.789713984669020874e+02 -7.597734001356984663e+02
1.400000000000000000e+03 3.015251301591152355e+02 8.111742611765811531e-03 1.944859386319319228e+01 -7.796153819510798257e+02 -7.601667880878866299e+02
1.450000000000000000e+03 3.006601085651146832e+02 8.264129393553735006e-03 1.939279933072509721e+01 -7.793761288990237972e+02 -7.599833295682987000e+02
1.500000000000000000e+03 2.955839374246260718e+02 8.422226875454493292e-03 1.906538253850175124e+01 -7.789960854367952834e+02 -7.599307028982934753e+02
1.550000000000000000e+03 3.005918901822433895e+02 8.942146643277646204e-03 1.938839919458464678e+01 -7.782549164868443086e+02 -7.588665172922596867e+02
