# time_fs msd_A2
0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 3.585525628316157953e-02
1.000000000000000000e+02 3.418529750290206365e-02
1.500000000000000000e+02 2.761436990848354853e-02
2.000000000000000000e+02 2.879077727169022244e-02
2.500000000000000000e+02 2.621276337965403394e-02
3.000000000000000000e+02 3.283573637666274692e-02
3.500000000000000000e+02 2.883950354265946495e-02
4.000000000000000000e+02 2.678863978412025088e-02
4.500000000000000000e+02 2.593422833625784116e-02
5.000000000000000000e+02 2.910322760121285615e-02
5.500000000000000000e+02 2.987695178790813338e-02
6.000000000000000000e+02 2.591242361202358846e-02
6.500000000000000000e+02 2.652887513207477510e-02
7.000000000000000000e+02 3.348547873936832953e-02
7.500000000000000000e+02 3.083895598078834413e-02
8.000000000000000000e+02 2.673353923126755780e-02
8.500000000000000000e+02 2.680568641732207144e-02
9.000000000000000000e+02 2.698437195693639823e-02
9.500000000000000000e+02 2.924955531965788696e-02
1.000000000000000000e+03 2.939247413884677612e-02
1.050000000000000000e+03 2.605426665995515603e-02
1.100000000000000000e+03 2.887548854330471149e-02
1.150000000000000000e+03 2.932297804938539115e-02
1.200000000000000000e+03 3.127404864609202584e-02
1.250000000000000000e+03 2.721828078004678506e-02
1.300000000000000000e+03 2.737778094935362436e-02
1.350000000000000000e+03 2.920923905394504083e-02
1.400000000000000000e+03 2.717352944518798552e-02
1.450000000000000000e+03 2.730429084582040519e-02
1.500000000000000000e+03 2.736063004489771786e-02
1.550000000000000000e+03 2.835925419095295871e-02
1.600000000000000000e+03 3.157590638108734304e-02
1.650000000000000000e+03 3.073288954819513794e-02
1.700000000000000000e+03 2.822704682165060736e-02
1.750000000000000000e+03 2.718685192064422204e-02
1.800000000000000000e+03 2.498534150546680502e-02
1.850000000000000000e+03 2.824335827813715533e-02
1.900000000000000000e+03 2.991242420598477086e-02
1.950000000000000000e+03 2.914277191283569032e-02
2.000000000000000000e+03 3.015393685211749733e-02
2.050000000000000000e+03 2.917125972245495150e-02
2.100000000000000000e+03 2.715421558916831374e-02
2.150000000000000000e+03 2.835168009971421321e-02
2.200000000000000000e+03 2.860087385729866843e-02
2.250000000000000000e+03 2.756225817279140192e-02
2.300000000000000000e+03 2.833604344041162210e-02
2.350000000000000000e+03 3.097141787696275697e-02
2.400000000000000000e+03 2.910337653494139351e-02
2.450000000000000000e+03 2.916458754640280718e-02
2.500000000000000000e+03 2.841552274460016833e-02
2.550000000000000000e+03 2.924485482073512985e-02
2.600000000000000000e+03 2.848580753509794353e-02
2.650000000000000000e+03 2.766433436211220009e-02
2.700000000000000000e+03 2.706147443537082128e-02
2.750000000000000000e+03 2.868142392692426754e-02
2.800000000000000000e+03 3.208323964916425658e-02
2.850000000000000000e+03 2.834397784014986918e-02
2.900000000000000000e+03 2.586639182267891010e-02
2.950000000000000000e+03 3.044614012207338613e-02
3.000000000000000000e+03 2.785086333126029698e-02
3.050000000000000000e+03 2.713897573136115834e-02
3.100000000000000000e+03 2.948501420771548406e-02
3.150000000000000000e+03 2.788657609573789997e-02
3.200000000000000000e+03 3.053769575753657178e-02
3.250000000000000000e+03 2.608193299729325357e-02
3.300000000000000000e+03 2.831464049950293410e-02
3.350000000000000000e+03 2.858232790369858931e-02
3.400000000000000000e+03 3.292175366636775069e-02
3.450000000000000000e+03 2.702223249531316568e-02
3.500000000000000000e+03 2.637346880060613408e-02
3.550000000000000000e+03 3.005099049896585786e-02
3.600000000000000000e+03 3.074208879697195099e-02
3.650000000000000000e+03 2.761270007103777333e-02
3.700000000000000000e+03 2.792124762744013430e-02
3.750000000000000000e+03 3.041024386613958713e-02
3.800000000000000000e+03 3.242575443090878889e-02
3.850000000000000000e+03 2.932664506245286073e-02
3.900000000000000000e+03 2.805428972980798449e-02
3.950000000000000000e+03 2.656148023377677761e-02
4.000000000000000000e+03 2.918628433264082792e-02
4.050000000000000000e+03 3.047396475670962820e-02
4.100000000000000000e+03 2.954779717587987034e-02
4.150000000000000000e+03 2.844093564742091601e-02
4.200000000000000000e+03 2.930661093857679644e-02
4.250000000000000000e+03 3.069166333243102812e-02
