# k_1_per_A S_k
1.000000000000000056e-01 2.266945705819471080e+00
1.397993311036789255e-01 1.991103728923834915e+00
1.795986622073578731e-01 1.654606928387151621e+00
2.193979933110368208e-01 1.280437073078988464e+00
2.591973244147157684e-01 8.934278984384427247e-01
2.989966555183947161e-01 5.182359691023429304e-01
3.387959866220736083e-01 1.773801709505475888e-01
3.785953177257525004e-01 -1.104751715914749077e-01
4.183946488294314481e-01 -3.318453848956488539e-01
4.581939799331103957e-01 -4.792512738185839005e-01
4.979933110367893434e-01 -5.514884204883936381e-01
5.377926421404682911e-01 -5.533371209876365437e-01
5.775919732441472387e-01 -4.947632010596394458e-01
6.173913043478260754e-01 -3.897063480231111043e-01
6.571906354515050230e-01 -2.545878273439774464e-01
6.969899665551839707e-01 -1.066903208655352042e-01
7.367892976588629184e-01 3.743247304190067126e-02
7.765886287625418660e-01 1.633697804416640587e-01
8.163879598662208137e-01 2.599695516021323094e-01
8.561872909698997614e-01 3.200703359844433438e-01
8.959866220735787090e-01 3.408060242028769782e-01
9.357859531772575457e-01 3.234847657461685788e-01
9.755852842809364933e-01 2.730851023707052683e-01
1.015384615384615552e+00 1.974470981378803058e-01
1.055183946488294389e+00 1.062607568000992764e-01
1.094983277591973447e+00 9.966332544346756528e-03
1.134782608695652284e+00 -8.131926486906859708e-02
1.174581939799331343e+00 -1.587479936722098195e-01
1.214381270903010179e+00 -2.154780435320211573e-01
1.254180602006689238e+00 -2.471514025002177206e-01
1.293979933110368075e+00 -2.520913699282159026e-01
1.333779264214047133e+00 -2.312303373740374202e-01
1.373578595317725970e+00 -1.878045675221680089e-01
1.413377926421404807e+00 -1.268722973749440985e-01
1.453177257525083865e+00 -5.472264188084574599e-02
1.492976588628762702e+00 2.175501241105570749e-02
1.532775919732441761e+00 9.567751089748766091e-02
1.572575250836120597e+00 1.606994520736395593e-01
1.612374581939799656e+00 2.114358809949855589e-01
1.652173913043478493e+00 2.437609151523763007e-01
1.691973244147157551e+00 2.549845152027192530e-01
1.731772575250836388e+00 2.439235590825393762e-01
1.771571906354515225e+00 2.108921387355783272e-01
1.811371237458194283e+00 1.576387721775092121e-01
1.851170568561873120e+00 8.725516429146085162e-02
1.890969899665552179e+00 4.073314642653369511e-03
1.930769230769231015e+00 -8.644305767302418175e-02
1.970568561872910074e+00 -1.778183911623043567e-01
2.010367892976588688e+00 -2.627120845612340716e-01
2.050167224080267747e+00 -3.331141629824878603e-01
2.089966555183946806e+00 -3.806128256517542496e-01
2.129765886287625865e+00 -3.967520013370675613e-01
2.169565217391304479e+00 -3.734863799884322599e-01
2.209364548494983538e+00 -3.037261240089905723e-01
2.249163879598662596e+00 -1.819455749487237650e-01
2.288963210702341655e+00 -4.812329170167384262e-03
2.328762541806020270e+00 2.282221236448457313e-01
2.368561872909699328e+00 5.144387380104524787e-01
2.408361204013378387e+00 8.475448810135937094e-01
2.448160535117057002e+00 1.217609762179401978e+00
2.487959866220736060e+00 1.611289151059531299e+00
2.527759197324415119e+00 2.012362975970482637e+00
2.567558528428094178e+00 2.402579040287463830e+00
2.607357859531772792e+00 2.762762680087067935e+00
2.647157190635451851e+00 3.074119432404755603e+00
2.686956521739130910e+00 3.319629628963419510e+00
2.726755852842809524e+00 3.485413979370140858e+00
2.766555183946488583e+00 3.561940662792731693e+00
2.806354515050167642e+00 3.544949107177625347e+00
2.846153846153846700e+00 3.435984005209880898e+00
2.885953177257525315e+00 3.242464166677044624e+00
2.925752508361204374e+00 2.977252005298002935e+00
2.965551839464883432e+00 2.657736977673494483e+00
3.005351170568562047e+00 2.304495378716972631e+00
3.045150501672241106e+00 1.939634359809566000e+00
3.084949832775920164e+00 1.584964803722316518e+00
3.124749163879599223e+00 1.260171387670852905e+00
3.164548494983277838e+00 9.811556249225329429e-01
3.204347826086956896e+00 7.587173382507625963e-01
3.244147157190635955e+00 5.977121752119092246e-01
3.283946488294315014e+00 4.967796064911701448e-01
3.323745819397993628e+00 4.486812628074760001e-01
3.363545150501672687e+00 4.412287413945106263e-01
3.403344481605351746e+00 4.587192794235742666e-01
3.443143812709030360e+00 4.837433019607443319e-01
3.482943143812709419e+00 4.991857112755858639e-01
3.522742474916388478e+00 4.902177061303621963e-01
