# time_fs temperature_K pressure_eV_per_A3 kinetic_energy_eV potential_energy_eV total_energy_eV
0.000000000000000000e+00 3.032181167344946857e+02 8.263660140957647393e-03 1.955779274921313160e+01 -6.848917638909938432e+02 -6.653339711417806939e+02
5.000000000000000000e+01 2.951061139671519982e+02 8.601389031284236569e-03 1.903456257215992053e+01 -6.843144835603205820e+02 -6.652799209881607112e+02
1.000000000000000000e+02 2.973796995693018062e+02 8.483650915739238477e-03 1.918121052474046095e+01 -6.844923962712997536e+02 -6.653111857465593175e+02
1.500000000000000000e+02 3.017717374347694772e+02 8.316185097924776171e-03 1.946450021483087056e+01 -6.848098003959211155e+02 -6.653453001810902379e+02
2.000000000000000000e+02 2.990255276426552768e+02 8.481698802261950637e-03 1.928736765250756235e+01 -6.846099084576860605e+02 -6.653225408051785053e+02
2.500000000000000000e+02 3.104745693628939307e+02 8.054502592199181896e-03 2.002583930965326786e+01 -6.854024142096103560e+02 -6.653765748999570633e+02
3.000000000000000000e+02 2.924208733185326992e+02 8.715512044840096825e-03 1.886136256467671046e+01 -6.839563481241872296e+02 -6.650949855595105191e+02
3.500000000000000000e+02 3.118204550304084250e+02 7.969466136932615991e-03 2.011264993044619942e+01 -6.853726344149317811e+02 -6.652599844844855852e+02
4.000000000000000000e+02 3.086135058942140290e+02 8.108646239793135604e-03 1.990579933972810522e+01 -6.850747725276622759e+02 -6.651689731879341707e+02
4.500000000000000000e+02 3.026500806441697478e+02 8.272156220684103931e-03 1.952115400134314172e+01 -6.847839861978765157e+02 -6.652628321965333953e+02
5.000000000000000000e+02 3.017237942779149762e+02 8.321630844815726055e-03 1.946140784576136440e+01 -6.847299215340091223e+02 -6.652685136882477082e+02
5.500000000000000000e+02 3.080154387636785600e+02 8.150749127183385886e-03 1.986722356755756635e+01 -6.850674521933422056e+02 -6.652002286257846890e+02
6.000000000000000000e+02 3.006268160928968882e+02 8.346976444443352655e-03 1.939065194164836115e+01 -6.846904102615768579e+02 -6.652997583199285145e+02
6.500000000000000000e+02 2.913551810504158084e+02 8.739079296775571423e-03 1.879262462533874256e+01 -6.839387507319581800e+02 -6.651461261066194766e+02
7.000000000000000000e+02 3.008812053390904566e+02 8.322094480008285222e-03 1.940706023614033882e+01 -6.848290851754369442e+02 -6.654220249392966480e+02
7.500000000000000000e+02 2.935988101957713639e+02 8.644417739837475731e-03 1.893734036430423728e+01 -6.840777896343118982e+02 -6.651404492700077071e+02
8.000000000000000000e+02 2.997865372128494528e+02 8.382086007929587940e-03 1.933645333252666987e+01 -6.847471345269516405e+02 -6.654106811944250239e+02
8.500000000000000000e+02 2.956656968378775332e+02 8.493907911964068691e-03 1.907065608111486910e+01 -6.844159157714008188e+02 -6.653452596902859568e+02
9.000000000000000000e+02 2.824094845678670254e+02 9.088531974506064773e-03 1.821562058716561339e+01 -6.834186986879938104e+02 -6.652030781008281792e+02
9.500000000000000000e+02 3.067068050819064524e+02 8.151833800811181946e-03 1.978281572739163963e+01 -6.851110887871502655e+02 -6.653282730597586578e+02
1.000000000000000000e+03 2.926513645060167619e+02 8.648359936509177059e-03 1.887622941671009613e+01 -6.841390506463566226e+02 -6.652628212296465335e+02
1.050000000000000000e+03 3.096141703678082422e+02 8.043301282919473535e-03 1.997034293823344342e+01 -6.853156695301362333e+02 -6.653453265919027899e+02
1.100000000000000000e+03 3.103453331520015013e+02 8.001897068463192583e-03 2.001750347848477318e+01 -6.854225298671040036e+02 -6.654050263886192624e+02
1.150000000000000000e+03 2.966042708636495604e+02 8.572903095040987007e-03 1.913119479982183080e+01 -6.841835150204493630e+02 -6.650523202206275073e+02
1.200000000000000000e+03 2.965027779867370441e+02 8.533375231549537518e-03 1.912464843421032512e+01 -6.842623200117511715e+02 -6.651376715775408002e+02
1.250000000000000000e+03 3.131112541051994071e+02 7.897265729477014051e-03 2.019590742527373806e+01 -6.856436181512980284e+02 -6.654477107260242974e+02
1.300000000000000000e+03 2.986953097775300989e+02 8.462210917782132802e-03 1.926606835602172296e+01 -6.845004494487050124e+02 -6.652343810926832930e+02
1.350000000000000000e+03 2.878138063095513530e+02 8.857837693135781759e-03 1.856420333582267901e+01 -6.837246423819109395e+02 -6.651604390460882996e+02
1.400000000000000000e+03 3.004964859484068711e+02 8.433724443276698415e-03 1.938224555095389334e+01 -6.846194918190681165e+02 -6.652372462681141769e+02
1.450000000000000000e+03 2.884639544550371397e+02 8.838445732587478856e-03 1.860613837196971332e+01 -6.837381716933634834e+02 -6.651320333213938056e+02
1.500000000000000000e+03 2.999253913779543268e+02 8.410761087554573939e-03 1.934540952885402731e+01 -6.847135089036980844e+02 -6.653680993748440642e+02
1.550000000000000000e+03 3.037789999064477229e+02 8.232218321379955114e-03 1.959397012855878728e+01 -6.849961975649420083e+02 -6.654022274363832139e+02
1.600000000000000000e+03 2.889022315150673421e+02 8.824659073437707626e-03 1.863440756643315055e+01 -6.836924474710951927e+02 -6.650580399046619959e+02
1.650000000000000000e+03 2.939641202098726467e+02 8.664031201069287078e-03 1.896090313034852670e+01 -6.840872122674223874e+02 -6.651263091370738039e+02
1.700000000000000000e+03 2.985723198751927043e+02 8.441213259852789821e-03 1.925813541637396753e+01 -6.846233636285963939e+02 -6.653652282122224051e+02
1.750000000000000000e+03 2.984299705697802665e+02 8.454890489844640172e-03 1.924895378091223108e+01 -6.845458789853583994e+02 -6.652969252044462110e+02
1.800000000000000000e+03 3.150859346404133703e+02 7.844204139172524654e-03 2.032327578000643697e+01 -6.855433971453916229e+02 -6.652201213653852392e+02
1.850000000000000000e+03 3.152674971106670228e+02 7.829171730915683233e-03 2.033498669359727984e+01 -6.856802567416639249e+02 -6.653452700480665953e+02
1.900000000000000000e+03 2.971685127084266469e+02 8.523955438545146104e-03 1.916758881604826570e+01 -6.844702165282924398e+02 -6.653026277122442025e+02
1.950000000000000000e+03 3.022566808180716293e+02 8.329684454804996141e-03 1.949577942165356248e+01 -6.847386967553184149e+02 -6.652429173336648773e+02
2.000000000000000000e+03 2.920110262835406161e+02 8.718659969644404831e-03 1.883492712785130152e+01 -6.841176484270148421e+02 -6.652827212991635406e+02
2.050000000000000000e+03 2.940875470893284955e+02 8.613878097059751021e-03 1.896886425534355070e+01 -6.841861704017908323e+02 -6.652173061464472994e+02
2.100000000000000000e+03 2.976349713256275891e+02 8.473577190499308534e-03 1.919767574178855085e+01 -6.844349051884342998e+02 -6.652372294466457561e+02
2.150000000000000000e+03 3.015727044568284896e+02 8.318868571143561361e-03 1.945166244057532623e+01 -6.847514852322519801e+02 -6.652998227916766609e+02
2.200000000000000000e+03 3.063578141592840325e+02 8.137454981484212174e-03 1.976030555481516870e+01 -6.851796060929453915e+02 -6.654193005381301873e+02
2.250000000000000000e+03 2.937657118416387902e+02 8.680729571775461922e-03 1.894810564388097163e+01 -6.840033075885281733e+02 -6.650552019446472514e+02
2.300000000000000000e+03 3.104104990718879549e+02 8.043517562287752845e-03 2.002170672850550659e+01 -6.852049123143772249e+02 -6.651832055858717467e+02
2.350000000000000000e+03 3.068236284592164793e+02 8.099712011965461839e-03 1.979035092161518605e+01 -6.849422632474312422e+02 -6.651519123258160562e+02
2.400000000000000000e+03 2.998703356044404131e+02 8.378502652376501256e-03 1.934185839075044200e+01 -6.846928815319695332e+02 -6.653510231412191160e+02
2.450000000000000000e+03 3.022206621679009118e+02 8.303446284038836639e-03 1.949345619208294522e+01 -6.848217432234519038e+02 -6.653282870313689727e+02
2.500000000000000000e+03 2.969883014988242849e+02 8.564968487223101334e-03 1.915596505976864350e+01 -6.842140467432728883e+02 -6.650580816835042697e+02
2.550000000000000000e+03 2.986940510722952808e+02 8.516084914548362542e-03 1.926598716860330640e+01 -6.843325802948257888e+02 -6.650665931262225286e+02
2.600000000000000000e+03 2.942247928098472585e+02 8.649009726285447619e-03 1.897771670580571524e+01 -6.842775539252920680e+02 -6.652998372194863350e+02
2.650000000000000000e+03 2.878364379564462183e+02 8.832880377225594062e-03 1.856566309378275648e+01 -6.837915421675572816e+02 -6.652258790737745358e+02
2.700000000000000000e+03 3.025582550840678664e+02 8.348811771620704217e-03 1.951523118481458496e+01 -6.846785534121992214e+02 -6.651633222273845831e+02
2.750000000000000000e+03 3.141921354309030789e+02 7.865154683732918442e-03 2.026562507005786173e+01 -6.854858466039212317e+02 -6.652202215338634232e+02
2.800000000000000000e+03 3.004755902801335310e+02 8.415267746079634417e-03 1.938089776489860228e+01 -6.846893250497251984e+02 -6.653084272848266210e+02
2.850000000000000000e+03 2.931606961501876185e+02 8.717978436772098882e-03 1.890908168439313641e+01 -6.841975635926776249e+02 -6.652884819082844388e+02
2.900000000000000000e+03 2.970205419806049463e+02 8.530892630594574810e-03 1.915804459468427368e+01 -6.844920458221205308e+02 -6.653340012274362607e+02
2.950000000000000000e+03 2.933797024065100914e+02 8.678694529608845312e-03 1.892320774987387111e+01 -6.840239904922426604e+02 -6.651007827423687786e+02
3.000000000000000000e+03 3.092639891814779389e+02 8.030583786795044907e-03 1.994775599276765377e+01 -6.852022011297494828e+02 -6.652544451369818717e+02
3.050000000000000000e+03 3.008800140772361829e+02 8.343683700661146466e-03 1.940698339886984058e+01 -6.848548447781695359e+02 -6.654478613792996384e+02
3.100000000000000000e+03 2.898277035318608910e+02 8.785637191336174989e-03 1.869410119587249497e+01 -6.838831014439566616e+02 -6.651890002480841986e+02
3.150000000000000000e+03 3.091858992428277020e+02 8.085933403060047153e-03 1.994271913397976803e+01 -6.852142233541693486e+02 -6.652715042201896267e+02
3.200000000000000000e+03 2.921720804376477645e+02 8.715983350752866052e-03 1.884531523988546908e+01 -6.837925806818716410e+02 -6.649472654419861328e+02
3.250000000000000000e+03 3.178966795563010237e+02 7.714302588253092209e-03 2.050457090553473449e+01 -6.859979923081119750e+02 -6.654934214025772690e+02
3.300000000000000000e+03 2.948155242450470155e+02 8.574969065428183698e-03 1.901581932020259202e+01 -6.842731656628113797e+02 -6.652573463426087983e+02
3.350000000000000000e+03 2.993706527055691708e+02 8.445136878391485205e-03 1.930962847427415596e+01 -6.844958963920546466e+02 -6.651862679177804694e+02
3.400000000000000000e+03 2.982964513906796924e+02 8.546984468345657920e-03 1.924034169512719572e+01 -6.841677732906273377e+02 -6.649274315955001384e+02
3.450000000000000000e+03 3.147689275945111262e+02 7.786685119439472856e-03 2.030282859112944394e+01 -6.857877170530398416e+02 -6.654848884619103728e+02
3.500000000000000000e+03 3.057075467115187166e+02 8.204161395114628261e-03 1.971836282358288628e+01 -6.850695405453263902e+02 -6.653511777217435110e+02
3.550000000000000000e+03 3.008706717779252244e+02 8.414030080290594779e-03 1.940638081365595724e+01 -6.845755207028414588e+02 -6.651691398891855442e+02
3.600000000000000000e+03 2.874987899503722133e+02 8.875227572455046329e-03 1.854388454771137162e+01 -6.834940154399615722e+02 -6.649501308922501721e+02
3.650000000000000000e+03 3.064213964444886642e+02 8.201902270432886652e-03 1.976440665922788043e+01 -6.849591433849213900e+02 -6.651947367256934740e+02
3.700000000000000000e+03 3.024187423848698586e+02 8.311744577915725074e-03 1.950623251255125723e+01 -6.847749257907948959e+02 -6.652686932782436315e+02
3.750000000000000000e+03 3.047306048213546887e+02 8.228972541168786195e-03 1.965534934925086574e+01 -6.849809216953638042e+02 -6.653255723461129492e+02
3.800000000000000000e+03 2.894574389129290921e+02 8.879886847748886744e-03 1.867021885415286775e+01 -6.835805060495290491e+02 -6.649102871953762133e+02
3.850000000000000000e+03 3.016447184639976626e+02 8.362089683015314079e-03 1.945630739728973069e+01 -6.847136159832612066e+02 -6.652573085859714865e+02
3.900000000000000000e+03 2.949230098170306746e+02 8.627751103578903610e-03 1.902275221907758862e+01 -6.842516020220297150e+02 -6.652288498029521406e+02
3.950000000000000000e+03 3.146185301952563691e+02 7.868899069168202795e-03 2.029312784766357325e+01 -6.856812892898444716e+02 -6.653881614421809445e+02
