# time_fs msd_A2
0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 3.598254523364041030e-02
1.000000000000000000e+02 3.432770772028769651e-02
1.500000000000000000e+02 2.762091789705469619e-02
2.000000000000000000e+02 2.892966242683355990e-02
2.500000000000000000e+02 2.615713947869954120e-02
3.000000000000000000e+02 3.276133713461709673e-02
3.500000000000000000e+02 2.929266976267680747e-02
4.000000000000000000e+02 2.688063878660576153e-02
4.500000000000000000e+02 2.601710972759246204e-02
5.000000000000000000e+02 2.876708191660794223e-02
5.500000000000000000e+02 3.062886397993160731e-02
6.000000000000000000e+02 2.589793276038605471e-02
6.500000000000000000e+02 2.643867906572570925e-02
7.000000000000000000e+02 3.326855323858806529e-02
7.500000000000000000e+02 3.081437681465676662e-02
8.000000000000000000e+02 2.679853427718267150e-02
8.500000000000000000e+02 2.696879884889674325e-02
9.000000000000000000e+02 2.690757898587692667e-02
9.500000000000000000e+02 2.903622982238973638e-02
1.000000000000000000e+03 2.949990469133155838e-02
1.050000000000000000e+03 2.640109793753633513e-02
1.100000000000000000e+03 2.875964041384587028e-02
1.150000000000000000e+03 2.911452513731352734e-02
1.200000000000000000e+03 3.140190146454961695e-02
1.250000000000000000e+03 2.746646798894273461e-02
1.300000000000000000e+03 2.746954168554064171e-02
1.350000000000000000e+03 2.881044861616046532e-02
1.400000000000000000e+03 2.698452914975483369e-02
1.450000000000000000e+03 2.749242920990662559e-02
1.500000000000000000e+03 2.763548560099923085e-02
1.550000000000000000e+03 2.832048737574675845e-02
1.600000000000000000e+03 3.097918101573530342e-02
1.650000000000000000e+03 3.095991297555199598e-02
1.700000000000000000e+03 2.848619307140560011e-02
1.750000000000000000e+03 2.703343052897056939e-02
1.800000000000000000e+03 2.533781520527350964e-02
1.850000000000000000e+03 2.837046524652805241e-02
1.900000000000000000e+03 2.958968176834034236e-02
1.950000000000000000e+03 2.942873696738047481e-02
2.000000000000000000e+03 3.010786862697876348e-02
2.050000000000000000e+03 2.901263829292599281e-02
2.100000000000000000e+03 2.761823664451285715e-02
2.150000000000000000e+03 2.831126684178605565e-02
2.200000000000000000e+03 2.914205414797915727e-02
2.250000000000000000e+03 2.712961081482520576e-02
2.300000000000000000e+03 2.859412470565237188e-02
2.350000000000000000e+03 3.130211554209888503e-02
2.400000000000000000e+03 2.954644143007993662e-02
2.450000000000000000e+03 2.926074490996373456e-02
2.500000000000000000e+03 2.790234746924250345e-02
2.550000000000000000e+03 2.944104321345078143e-02
2.600000000000000000e+03 2.895365119843366919e-02
2.650000000000000000e+03 2.684420521284833563e-02
2.700000000000000000e+03 2.672246245489584907e-02
2.750000000000000000e+03 2.906852621005101903e-02
2.800000000000000000e+03 3.206337578194475707e-02
2.850000000000000000e+03 2.810159438323840686e-02
2.900000000000000000e+03 2.628355574048726537e-02
2.950000000000000000e+03 2.983671270093401356e-02
3.000000000000000000e+03 2.829433386608315795e-02
3.050000000000000000e+03 2.708815074170570214e-02
3.100000000000000000e+03 2.871749901747018205e-02
3.150000000000000000e+03 2.866753064326932332e-02
3.200000000000000000e+03 3.087241769159494720e-02
3.250000000000000000e+03 2.637297258334420427e-02
3.300000000000000000e+03 2.790259456086827822e-02
3.350000000000000000e+03 2.825231700767186910e-02
3.400000000000000000e+03 3.326050306607862550e-02
3.450000000000000000e+03 2.696041404174287504e-02
3.500000000000000000e+03 2.732230499796974715e-02
3.550000000000000000e+03 2.989845909192540008e-02
3.600000000000000000e+03 2.981004190168837914e-02
3.650000000000000000e+03 2.837592727083973476e-02
3.700000000000000000e+03 2.863327277378447527e-02
3.750000000000000000e+03 3.037917819652135101e-02
3.800000000000000000e+03 3.124008662322620700e-02
3.850000000000000000e+03 3.042737250049241601e-02
3.900000000000000000e+03 2.824077866068894910e-02
3.950000000000000000e+03 2.811846966364979841e-02
4.000000000000000000e+03 2.837144589783956519e-02
4.050000000000000000e+03 2.926513296262494429e-02
4.100000000000000000e+03 2.885385365172319153e-02
4.150000000000000000e+03 2.802310252621378894e-02
4.200000000000000000e+03 2.933600369300835842e-02
4.250000000000000000e+03 3.055491957436480902e-02
4.300000000000000000e+03 3.137090508487574286e-02
4.350000000000000000e+03 2.736471355095555433e-02
4.400000000000000000e+03 2.803092287362452320e-02
4.450000000000000000e+03 2.963704199778913542e-02
4.500000000000000000e+03 2.883721838201324175e-02
4.550000000000000000e+03 2.855270723435733571e-02
4.600000000000000000e+03 2.892625753367512875e-02
4.650000000000000000e+03 2.880004991823689395e-02
4.700000000000000000e+03 2.890716710089735048e-02
4.750000000000000000e+03 2.971752277990402299e-02
4.800000000000000000e+03 3.102960171382835447e-02
4.850000000000000000e+03 2.861951972878129871e-02
4.900000000000000000e+03 2.915841211224702925e-02
4.950000000000000000e+03 2.859662594134460348e-02
5.000000000000000000e+03 2.923317475628227011e-02
5.050000000000000000e+03 2.775426769839926811e-02
5.100000000000000000e+03 2.781980436085046068e-02
5.150000000000000000e+03 3.098827349894031635e-02
5.200000000000000000e+03 3.000418838999111340e-02
5.250000000000000000e+03 2.761726845241398512e-02
5.300000000000000000e+03 2.870066519278900025e-02
5.350000000000000000e+03 2.958944714624228006e-02
5.400000000000000000e+03 2.828774883867063786e-02
5.450000000000000000e+03 2.788384102125926467e-02
5.500000000000000000e+03 2.732570430575950726e-02
5.550000000000000000e+03 2.820009137190584991e-02
5.600000000000000000e+03 3.238466977899980698e-02
5.650000000000000000e+03 2.940680496646673817e-02
5.700000000000000000e+03 2.907621654303120182e-02
5.750000000000000000e+03 3.008596154872354017e-02
5.800000000000000000e+03 2.962309410368120510e-02
5.850000000000000000e+03 2.719720218624111993e-02
5.900000000000000000e+03 2.846461142391986873e-02
5.950000000000000000e+03 2.790244157262840308e-02
6.000000000000000000e+03 3.119437270470086163e-02
6.050000000000000000e+03 3.249461163557226806e-02
6.100000000000000000e+03 3.039854078582444538e-02
6.150000000000000000e+03 2.831554159734567255e-02
6.200000000000000000e+03 2.789888507805712847e-02
6.250000000000000000e+03 2.783650866801148233e-02
6.300000000000000000e+03 2.857267554343680821e-02
6.350000000000000000e+03 3.006604867320829960e-02
6.400000000000000000e+03 2.915096543525757047e-02
6.450000000000000000e+03 3.043328429273083405e-02
6.500000000000000000e+03 3.194581808445542265e-02
6.550000000000000000e+03 2.913344386251613682e-02
6.600000000000000000e+03 2.677319812948758884e-02
6.650000000000000000e+03 2.841664509705765090e-02
6.700000000000000000e+03 2.907332031755592225e-02
6.750000000000000000e+03 2.817519646920669044e-02
6.800000000000000000e+03 2.784095486721943624e-02
6.850000000000000000e+03 2.994109462006697142e-02
6.900000000000000000e+03 2.955528795712049003e-02
6.950000000000000000e+03 3.112314651658177819e-02
7.000000000000000000e+03 3.002067289388325733e-02
7.050000000000000000e+03 2.756813934181948783e-02
7.100000000000000000e+03 2.830825718792486650e-02
7.150000000000000000e+03 2.986190783875994348e-02
7.200000000000000000e+03 2.862328988135433988e-02
7.250000000000000000e+03 2.769106564462898643e-02
7.300000000000000000e+03 2.864668950932252114e-02
7.350000000000000000e+03 3.088314486906510586e-02
7.400000000000000000e+03 2.964015624674124286e-02
7.450000000000000000e+03 2.847963450676092856e-02
7.500000000000000000e+03 2.652978157995869099e-02
7.550000000000000000e+03 3.111944807405148464e-02
7.600000000000000000e+03 2.970010820844836558e-02
7.650000000000000000e+03 2.637199499057378202e-02
7.700000000000000000e+03 2.670803444485858255e-02
7.750000000000000000e+03 2.699482938964378395e-02
7.800000000000000000e+03 3.197023284261844844e-02
7.850000000000000000e+03 3.237603113975467267e-02
7.900000000000000000e+03 2.651916675010563065e-02
7.950000000000000000e+03 2.716475150665411190e-02
8.000000000000000000e+03 3.178261236480715152e-02
8.050000000000000000e+03 2.939352033152902929e-02
8.100000000000000000e+03 2.751868026871950521e-02
8.150000000000000000e+03 2.798307667423402187e-02
8.200000000000000000e+03 3.034597497463607796e-02
8.250000000000000000e+03 3.044518340876769744e-02
8.300000000000000000e+03 2.824434200848407669e-02
8.350000000000000000e+03 2.834881366040655978e-02
8.400000000000000000e+03 3.003028742311771374e-02
8.450000000000000000e+03 3.046963822091197302e-02
8.500000000000000000e+03 2.771102463601684759e-02
8.550000000000000000e+03 2.640704194650042927e-02
8.600000000000000000e+03 2.910872680033082041e-02
8.650000000000000000e+03 3.016972463874901741e-02
8.700000000000000000e+03 2.988874850153580912e-02
8.750000000000000000e+03 2.998789160510155830e-02
8.800000000000000000e+03 2.663914679936299837e-02
8.850000000000000000e+03 2.737918818205059210e-02
8.900000000000000000e+03 2.972485641290594297e-02
8.950000000000000000e+03 2.841426925453477415e-02
9.000000000000000000e+03 2.814649731737226684e-02
9.050000000000000000e+03 2.910116355153044218e-02
9.100000000000000000e+03 2.922689119811421044e-02
9.150000000000000000e+03 2.856638513429841236e-02
9.200000000000000000e+03 2.702680158422124737e-02
9.250000000000000000e+03 2.713243462813541215e-02
9.300000000000000000e+03 2.777387996613449317e-02
9.350000000000000000e+03 2.998967791512884007e-02
9.400000000000000000e+03 2.989955562082599952e-02
9.450000000000000000e+03 2.674495018243695094e-02
9.500000000000000000e+03 2.763783620582790229e-02
9.550000000000000000e+03 2.837857276083811595e-02
9.600000000000000000e+03 2.809082086795320829e-02
9.650000000000000000e+03 2.881906901897322501e-02
9.700000000000000000e+03 2.821322408873850121e-02
9.750000000000000000e+03 2.973827605029330176e-02
9.800000000000000000e+03 3.025268133728919659e-02
9.850000000000000000e+03 2.921156498840116189e-02
9.900000000000000000e+03 2.734707446150095797e-02
9.950000000000000000e+03 2.701389596621273786e-02
1.000000000000000000e+04 2.951013573574772994e-02
