# k_1_per_A S_k
1.000000000000000056e-01 2.247146824504978824e+00
1.397993311036789255e-01 1.973985420023182114e+00
1.795986622073578731e-01 1.640722712320839882e+00
2.193979933110368208e-01 1.270094403402073802e+00
2.591973244147157684e-01 8.866730950241794584e-01
2.989966555183947161e-01 5.148627678651220840e-01
3.387959866220736083e-01 1.769604965389092177e-01
3.785953177257525004e-01 -1.085417783465627561e-01
4.183946488294314481e-01 -3.282690224708568749e-01
4.581939799331103957e-01 -4.747821404252667854e-01
4.979933110367893434e-01 -5.468474860570724516e-01
5.377926421404682911e-01 -5.491537649608617677e-01
5.775919732441472387e-01 -4.915256237623801816e-01
6.173913043478260754e-01 -3.877290398920125725e-01
6.571906354515050230e-01 -2.539984569968207762e-01
6.969899665551839707e-01 -1.074362965467705600e-01
7.367892976588629184e-01 3.555957223542693946e-02
7.765886287625418660e-01 1.606954966127529527e-01
8.163879598662208137e-01 2.568884921484970718e-01
8.561872909698997614e-01 3.169944503743188369e-01
8.959866220735787090e-01 3.381150001654453785e-01
9.357859531772575457e-01 3.214838033181769417e-01
9.755852842809364933e-01 2.719742430473106598e-01
1.015384615384615552e+00 1.973047928082525271e-01
1.055183946488294389e+00 1.070426322711841571e-01
1.094983277591973447e+00 1.151836409395812222e-02
1.134782608695652284e+00 -7.923555019978301139e-02
1.174581939799331343e+00 -1.564218994491592962e-01
1.214381270903010179e+00 -2.132120608143925899e-01
1.254180602006689238e+00 -2.452241649160640247e-01
1.293979933110368075e+00 -2.507255229740497082e-01
1.333779264214047133e+00 -2.305688456628531835e-01
1.373578595317725970e+00 -1.878978183944579605e-01
1.413377926421404807e+00 -1.276769717933241566e-01
1.453177257525083865e+00 -5.611188494942975780e-02
1.492976588628762702e+00 1.997190790976488550e-02
1.532775919732441761e+00 9.372874352942106579e-02
1.572575250836120597e+00 1.588211749422863139e-01
1.612374581939799656e+00 2.098432101929448290e-01
1.652173913043478493e+00 2.426229692755295098e-01
1.691973244147157551e+00 2.544063277343540097e-01
1.731772575250836388e+00 2.439367459570414010e-01
1.771571906354515225e+00 2.114550559615827607e-01
1.811371237458194283e+00 1.586457085872892137e-01
1.851170568561873120e+00 8.855302775738982390e-02
1.890969899665552179e+00 5.483414365620165043e-03
1.930769230769231015e+00 -8.510105945042378828e-02
1.970568561872910074e+00 -1.767034348310643210e-01
2.010367892976588688e+00 -2.619424193774388954e-01
2.050167224080267747e+00 -3.327540717568109319e-01
2.089966555183946806e+00 -3.806668014009202405e-01
2.129765886287625865e+00 -3.971668273395305704e-01
2.169565217391304479e+00 -3.741605608989420073e-01
2.209364548494983538e+00 -3.045252147340962168e-01
2.249163879598662596e+00 -1.827212638349513529e-01
2.288963210702341655e+00 -5.422731335980479628e-03
2.328762541806020270e+00 2.278935777912274308e-01
2.368561872909699328e+00 5.144681763642454664e-01
2.408361204013378387e+00 8.479584387190768346e-01
2.448160535117057002e+00 1.218380664987593454e+00
2.487959866220736060e+00 1.612341627930270249e+00
2.527759197324415119e+00 2.013582332321329105e+00
2.567558528428094178e+00 2.403826468239971703e+00
2.607357859531772792e+00 2.763892826463334895e+00
2.647157190635451851e+00 3.074998452809352134e+00
2.686956521739130910e+00 3.320151456251699162e+00
2.726755852842809524e+00 3.485512819132263296e+00
2.766555183946488583e+00 3.561598253912605649e+00
2.806354515050167642e+00 3.544195979866476165e+00
2.846153846153846700e+00 3.434894740787842959e+00
2.885953177257525315e+00 3.241147414100530533e+00
2.925752508361204374e+00 2.975836645510538503e+00
2.965551839464883432e+00 2.656356271520158963e+00
3.005351170568562047e+00 2.303271136523777685e+00
3.045150501672241106e+00 1.938663111510373405e+00
3.084949832775920164e+00 1.584307641580646964e+00
3.124749163879599223e+00 1.259848643849262650e+00
3.164548494983277838e+00 9.811469024321318733e-01
3.204347826086956896e+00 7.589667203705563470e-01
3.244147157190635955e+00 5.981377837882029258e-01
3.283946488294315014e+00 4.972861452158381379e-01
3.323745819397993628e+00 4.491738323058733773e-01
3.363545150501672687e+00 4.416260887713436833e-01
3.403344481605351746e+00 4.589647567725593236e-01
3.443143812709030360e+00 4.838121373820519766e-01
3.482943143812709419e+00 4.990876964972150720e-01
3.522742474916388478e+00 4.899950106992474463e-01
3.562541806020067536e+00 4.457915358111580462e-01
3.602341137123746151e+00 3.611502818060596809e-01
3.642140468227425210e+00 2.369592480869279205e-01
3.681939799331104268e+00 8.045832141891040568e-02
3.721739130434782883e+00 -9.532080052247660085e-02
3.761538461538461942e+00 -2.727746843796259313e-01
3.801337792642141000e+00 -4.315015131578805452e-01
3.841137123745820059e+00 -5.504601573302430051e-01
3.880936454849498674e+00 -6.103020007823247717e-01
3.920735785953177732e+00 -5.956376806484249276e-01
3.960535117056856791e+00 -4.969996742867477391e-01
4.000334448160534961e+00 -3.122848659165149421e-01
4.040133779264214020e+00 -4.750714379211418148e-02
4.079933110367893079e+00 2.832453503218872459e-01
4.119732441471572137e+00 6.586765368852703917e-01
4.159531772575251196e+00 1.051918229548851835e+00
4.199331103678930255e+00 1.432802229040158304e+00
4.239130434782608425e+00 1.770567336338200626e+00
4.278929765886287484e+00 2.036750064716521536e+00
4.318729096989966543e+00 2.207981594460228791e+00
4.358528428093645601e+00 2.268414091582875880e+00
4.398327759197324660e+00 2.211527461648402859e+00
4.438127090301003719e+00 2.041120775739300619e+00
4.477926421404682777e+00 1.771366285705009869e+00
4.517725752508360948e+00 1.425891318671913321e+00
4.557525083612040007e+00 1.035946109730490727e+00
4.597324414715719065e+00 6.378048246430947366e-01
4.637123745819398124e+00 2.696238712128810056e-01
4.676923076923077183e+00 -3.196160119945146150e-02
4.716722408026756241e+00 -2.351912163496330255e-01
4.756521739130435300e+00 -3.161695208463044526e-01
4.796321070234113471e+00 -2.612077311319549455e-01
4.836120401337792529e+00 -6.828800938092771666e-02
4.875919732441471588e+00 2.525002061523472507e-01
4.915719063545150647e+00 6.796083264697232451e-01
4.955518394648829705e+00 1.181717188401025798e+00
4.995317725752508764e+00 1.720324556737893751e+00
5.035117056856187823e+00 2.253004844883534030e+00
