# time_fs temperature_K pressure_eV_per_A3 kinetic_energy_eV potential_energy_eV total_energy_eV
0.000000000000000000e+00 3.032181167344946857e+02 8.263660140957647393e-03 1.955779274921313160e+01 -6.848917638909938432e+02 -6.653339711417806939e+02
5.000000000000000000e+01 2.988856176812134322e+02 8.696978762075105451e-03 1.927834335653574271e+01 -6.841990028732268456e+02 -6.649206595166911029e+02
1.000000000000000000e+02 2.989514510889785015e+02 8.546942469410973714e-03 1.928258966001823183e+01 -6.844059788390294443e+02 -6.651233891790111556e+02
1.500000000000000000e+02 2.993963389328894209e+02 8.320461352489530102e-03 1.931128525493043568e+01 -6.847733753913263399e+02 -6.654620901363958865e+02
2.000000000000000000e+02 3.006652547171294714e+02 8.488166538397519389e-03 1.939313126133546206e+01 -6.846068238859758139e+02 -6.652136926246403164e+02
2.500000000000000000e+02 3.040899873519639982e+02 8.003661763720248956e-03 1.961402904875959052e+01 -6.854354293096969286e+02 -6.658214002609373665e+02
3.000000000000000000e+02 2.970497116069627737e+02 8.930412274339633028e-03 1.915992605715433328e+01 -6.836435488258020996e+02 -6.644836227686478196e+02
3.500000000000000000e+02 3.127746119830723615e+02 8.308971338493034015e-03 2.017419375946074922e+01 -6.848014239517818851e+02 -6.646272301923211216e+02
4.000000000000000000e+02 3.075813135017573927e+02 8.219294837590412212e-03 1.983922216714227815e+01 -6.849431055930054981e+02 -6.651038834258632733e+02
4.500000000000000000e+02 3.032289367519708208e+02 8.538172002216412940e-03 1.955849064834139028e+01 -6.843638768995747341e+02 -6.648053862512333581e+02
5.000000000000000000e+02 3.033577441647016713e+02 8.196757892532621423e-03 1.956679882171138374e+01 -6.849645880961812736e+02 -6.653977892744699147e+02
5.500000000000000000e+02 3.080952731140365586e+02 8.551230479043256394e-03 1.987237294219053751e+01 -6.843936435590711653e+02 -6.645212706168806562e+02
6.000000000000000000e+02 3.031652655729796493e+02 8.323231186219259142e-03 1.955438381021371441e+01 -6.847881761587145775e+02 -6.652337923485008560e+02
6.500000000000000000e+02 2.959151174063580925e+02 8.700772006594286595e-03 1.908674389222018419e+01 -6.840502585583795963e+02 -6.649635146661594263e+02
7.000000000000000000e+02 3.006928230320615967e+02 8.307661699892701992e-03 1.939490943803444978e+01 -6.848487956075501870e+02 -6.654538861695157266e+02
