# time_fs msd_A2
0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 8.428940120559384741e-03
1.000000000000000000e+02 2.515223935027508656e-02
1.500000000000000000e+02 3.466312842843477515e-02
2.000000000000000000e+02 3.258008483480961254e-02
2.500000000000000000e+02 2.965580192969026127e-02
3.000000000000000000e+02 2.813197976262553357e-02
3.500000000000000000e+02 2.507755463790072373e-02
4.000000000000000000e+02 2.221592302343476308e-02
4.500000000000000000e+02 2.217281793952379648e-02
5.000000000000000000e+02 2.176402134641690356e-02
5.500000000000000000e+02 1.958200058144482156e-02
6.000000000000000000e+02 1.701197703061163233e-02
6.500000000000000000e+02 1.800752770413321588e-02
7.000000000000000000e+02 2.172156853244869290e-02
7.500000000000000000e+02 2.377620780244018434e-02
8.000000000000000000e+02 2.446383900636882325e-02
8.500000000000000000e+02 2.577139112055273559e-02
9.000000000000000000e+02 2.552871640665130629e-02
9.500000000000000000e+02 2.258200929203405677e-02
1.000000000000000000e+03 2.006014472070317273e-02
1.050000000000000000e+03 1.930022800283806919e-02
1.100000000000000000e+03 1.910680547456291428e-02
1.150000000000000000e+03 2.043707235880806716e-02
1.200000000000000000e+03 2.352910265486801364e-02
1.250000000000000000e+03 2.677961772306962016e-02
1.300000000000000000e+03 2.785295479057075044e-02
1.350000000000000000e+03 2.532050221026944589e-02
1.400000000000000000e+03 2.147829423905200583e-02
1.450000000000000000e+03 1.942197957324678578e-02
1.500000000000000000e+03 1.989558143273778210e-02
1.550000000000000000e+03 2.099214527993565477e-02
1.600000000000000000e+03 2.285440976608466707e-02
1.650000000000000000e+03 2.379107816736829653e-02
1.700000000000000000e+03 2.349571508120983782e-02
1.750000000000000000e+03 2.233300841351521654e-02
1.800000000000000000e+03 2.093160959033316809e-02
1.850000000000000000e+03 2.033102150690607041e-02
1.900000000000000000e+03 2.077708230192050823e-02
1.950000000000000000e+03 2.168277694786259133e-02
2.000000000000000000e+03 2.216207824593751513e-02
2.050000000000000000e+03 2.210172051773342042e-02
2.100000000000000000e+03 2.180976530707464528e-02
2.150000000000000000e+03 2.238415410608783976e-02
2.200000000000000000e+03 2.318867816138497212e-02
2.250000000000000000e+03 2.387553233357176188e-02
2.300000000000000000e+03 2.420753864945594802e-02
2.350000000000000000e+03 2.425367756127572161e-02
2.400000000000000000e+03 2.415951822751126465e-02
2.450000000000000000e+03 2.247486023659701210e-02
2.500000000000000000e+03 2.037627581979800651e-02
2.550000000000000000e+03 1.954803813997252684e-02
2.600000000000000000e+03 1.971957835356202143e-02
2.650000000000000000e+03 1.984102658140572684e-02
2.700000000000000000e+03 2.013252613705318259e-02
2.750000000000000000e+03 2.201533070807808190e-02
2.800000000000000000e+03 2.429666798899801985e-02
2.850000000000000000e+03 2.446682503322456653e-02
2.900000000000000000e+03 2.308705097462337985e-02
2.950000000000000000e+03 2.188279564233462302e-02
3.000000000000000000e+03 2.154341948234935952e-02
3.050000000000000000e+03 2.178944911058244491e-02
3.100000000000000000e+03 2.156595776588715596e-02
3.150000000000000000e+03 2.100661562735552795e-02
3.200000000000000000e+03 2.100387940047313690e-02
3.250000000000000000e+03 2.150868301538618604e-02
3.300000000000000000e+03 2.150225487284879167e-02
3.350000000000000000e+03 2.226344523459750438e-02
3.400000000000000000e+03 2.254573572821556848e-02
3.450000000000000000e+03 2.246552509452638333e-02
3.500000000000000000e+03 2.190120113456708179e-02
3.550000000000000000e+03 2.133650248723583873e-02
3.600000000000000000e+03 2.281666689344548013e-02
3.650000000000000000e+03 2.326947818781728572e-02
3.700000000000000000e+03 2.296465751561529989e-02
3.750000000000000000e+03 2.230933544487382486e-02
3.800000000000000000e+03 2.265181187291005066e-02
3.850000000000000000e+03 2.334964680588080127e-02
3.900000000000000000e+03 2.289882548943885862e-02
3.950000000000000000e+03 2.168673419786162210e-02
4.000000000000000000e+03 2.000202729074039218e-02
4.050000000000000000e+03 2.018712897386144497e-02
4.100000000000000000e+03 2.109261297053434056e-02
4.150000000000000000e+03 2.096442119878846877e-02
4.200000000000000000e+03 2.091047981828441510e-02
4.250000000000000000e+03 2.193520040162147758e-02
4.300000000000000000e+03 2.256950901088353167e-02
4.350000000000000000e+03 2.279687883753816341e-02
4.400000000000000000e+03 2.351220968520940230e-02
4.450000000000000000e+03 2.282718819945168259e-02
4.500000000000000000e+03 2.203630150588073780e-02
4.550000000000000000e+03 2.223255173744351568e-02
4.600000000000000000e+03 2.360393945172643143e-02
4.650000000000000000e+03 2.421821657788212484e-02
4.700000000000000000e+03 2.360585739788927107e-02
4.750000000000000000e+03 2.101896285695815589e-02
4.800000000000000000e+03 1.908586548453490572e-02
4.850000000000000000e+03 1.944007144376232871e-02
4.900000000000000000e+03 2.033024631929459397e-02
4.950000000000000000e+03 2.130035538119735491e-02
5.000000000000000000e+03 2.350982194800219777e-02
5.050000000000000000e+03 2.381557781084312278e-02
5.100000000000000000e+03 2.305651482780475547e-02
5.150000000000000000e+03 2.187086448044733150e-02
5.200000000000000000e+03 2.114369313735373415e-02
5.250000000000000000e+03 1.994675708165728756e-02
5.300000000000000000e+03 1.951409543308589914e-02
5.350000000000000000e+03 2.123033320780860420e-02
5.400000000000000000e+03 2.265520540690778642e-02
5.450000000000000000e+03 2.334116876416095568e-02
5.500000000000000000e+03 2.239159907466167082e-02
5.550000000000000000e+03 2.205226688142413252e-02
5.600000000000000000e+03 2.236325170829336559e-02
5.650000000000000000e+03 2.284424285878470032e-02
5.700000000000000000e+03 2.396286231265619404e-02
5.750000000000000000e+03 2.500756348361319464e-02
5.800000000000000000e+03 2.361256905068943174e-02
5.850000000000000000e+03 2.048211616784667566e-02
5.900000000000000000e+03 1.786414824889357225e-02
5.950000000000000000e+03 1.824835574437495833e-02
6.000000000000000000e+03 2.082179666322343803e-02
6.050000000000000000e+03 2.308855675749934416e-02
6.100000000000000000e+03 2.371330527436140562e-02
6.150000000000000000e+03 2.185008072367381968e-02
6.200000000000000000e+03 2.089952461665279052e-02
6.250000000000000000e+03 2.108652812942577934e-02
6.300000000000000000e+03 2.115987056010423112e-02
6.350000000000000000e+03 2.198199558433853312e-02
6.400000000000000000e+03 2.300673587975819376e-02
6.450000000000000000e+03 2.305873506218759569e-02
6.500000000000000000e+03 2.283821529553000523e-02
6.550000000000000000e+03 2.327719562116049509e-02
6.600000000000000000e+03 2.390256536913094865e-02
6.650000000000000000e+03 2.330059841215110714e-02
6.700000000000000000e+03 2.097980444905406597e-02
6.750000000000000000e+03 2.047397612324334398e-02
6.800000000000000000e+03 2.162349085922922118e-02
6.850000000000000000e+03 2.175319631024679248e-02
6.900000000000000000e+03 2.162469888134925522e-02
6.950000000000000000e+03 2.239144689559487492e-02
7.000000000000000000e+03 2.216831179514953953e-02
7.050000000000000000e+03 2.162013308302482631e-02
7.100000000000000000e+03 2.196724201354883013e-02
7.150000000000000000e+03 2.230773940787941084e-02
7.200000000000000000e+03 2.252982112235136364e-02
7.250000000000000000e+03 2.310391981729532224e-02
7.300000000000000000e+03 2.322915908813531771e-02
7.350000000000000000e+03 2.264479552939748994e-02
7.400000000000000000e+03 2.238607228784010930e-02
7.450000000000000000e+03 2.130820995866492679e-02
7.500000000000000000e+03 2.160659911889380516e-02
7.550000000000000000e+03 2.230005434757967309e-02
