# k_1_per_A S_k
1.000000000000000056e-01 2.649658041352451310e+00
1.397993311036789255e-01 2.316377919238616467e+00
1.795986622073578731e-01 1.911086478807350275e+00
2.193979933110368208e-01 1.462352946493541195e+00
2.591973244147157684e-01 1.000875872751891382e+00
2.989966555183947161e-01 5.568937111503818871e-01
3.387959866220736083e-01 1.577059182417570593e-01
3.785953177257525004e-01 -1.744671715699195325e-01
4.183946488294314481e-01 -4.240954640773322293e-01
4.581939799331103957e-01 -5.832873485441467665e-01
4.979933110367893434e-01 -6.520097062368861440e-01
5.377926421404682911e-01 -6.375875996893292097e-01
5.775919732441472387e-01 -5.535618702937343816e-01
6.173913043478260754e-01 -4.180429817464785813e-01
6.571906354515050230e-01 -2.517433863115032810e-01
6.969899665551839707e-01 -7.589438451426300247e-02
7.367892976588629184e-01 8.974488651759593427e-02
7.765886287625418660e-01 2.285984219707780651e-01
8.163879598662208137e-01 3.285545382643977330e-01
8.561872909698997614e-01 3.827193532566364187e-01
8.959866220735787090e-01 3.896039462847168400e-01
9.357859531772575457e-01 3.527667152800958439e-01
9.755852842809364933e-01 2.799868848438089586e-01
1.015384615384615552e+00 1.820882760720109461e-01
1.055183946488294389e+00 7.156024813611094881e-02
1.094983277591973447e+00 -3.886700447680646597e-02
1.134782608695652284e+00 -1.375429575773450264e-01
1.174581939799331343e+00 -2.149862778580686751e-01
1.214381270903010179e+00 -2.646517442707241319e-01
1.254180602006689238e+00 -2.833254689264499415e-01
1.293979933110368075e+00 -2.711438148793978709e-01
1.333779264214047133e+00 -2.312726272096736757e-01
1.373578595317725970e+00 -1.693167797336603275e-01
1.413377926421404807e+00 -9.255226282236450608e-02
1.453177257525083865e+00 -9.082334834651151212e-03
1.492976588628762702e+00 7.298443050984848579e-02
1.532775919732441761e+00 1.462514849874907430e-01
1.572575250836120597e+00 2.045879588570850283e-01
1.612374581939799656e+00 2.434879057282222092e-01
1.652173913043478493e+00 2.602333164648761299e-01
1.691973244147157551e+00 2.538845403899607778e-01
1.731772575250836388e+00 2.251405148173866166e-01
1.771571906354515225e+00 1.761211304092615837e-01
1.811371237458194283e+00 1.101243836671702558e-01
1.851170568561873120e+00 3.140235196648366589e-02
1.890969899665552179e+00 -5.501557275159418836e-02
1.930769230769231015e+00 -1.434433971845643363e-01
1.970568561872910074e+00 -2.276145889695404545e-01
2.010367892976588688e+00 -3.007421166545884983e-01
2.050167224080267747e+00 -3.556022994871790299e-01
2.089966555183946806e+00 -3.846853446164646417e-01
2.129765886287625865e+00 -3.804494375561402464e-01
