# time_fs temperature_K pressure_eV_per_A3 kinetic_energy_eV potential_energy_eV total_energy_eV
0.000000000000000000e+00 2.979429187681815847e+02 1.028512357833027101e-02 1.921753857955030398e+01 -9.077413714834965504e+02 -8.885238329039462997e+02
5.000000000000000000e+01 3.124799883052137375e+02 9.800292237308773705e-03 2.015519031437433384e+01 -9.087875690002977080e+02 -8.886323786859234133e+02
1.000000000000000000e+02 3.144800706440261706e+02 9.746237742399729842e-03 2.028419710422293321e+01 -9.087780798918206528e+02 -8.884938827875977267e+02
1.500000000000000000e+02 2.764717819207206730e+02 1.122662488614836751e-02 1.783263437568858834e+01 -9.059896435730341864e+02 -8.881570091973455874e+02
2.000000000000000000e+02 3.188630279992148076e+02 9.615766744349029879e-03 2.056690109468560834e+01 -9.088174944322871625e+02 -8.882505933376015719e+02
2.500000000000000000e+02 3.008605254553264103e+02 1.024966639260090247e-02 1.940572636834546216e+01 -9.075253165443465377e+02 -8.881195901760011111e+02
3.000000000000000000e+02 2.831015763517342521e+02 1.088948301277241175e-02 1.826026101900419363e+01 -9.061777279878447189e+02 -8.879174669688404720e+02
3.500000000000000000e+02 2.907307912190413504e+02 1.061817189668406644e-02 1.875235101949931504e+01 -9.070703308242509593e+02 -8.883179798047516442e+02
4.000000000000000000e+02 3.215388941897091399e+02 9.444404798368957743e-03 2.073949644268765269e+01 -9.094242939190152129e+02 -8.886847974763275033e+02
4.500000000000000000e+02 3.091900500041168129e+02 9.867304491674137520e-03 1.994298686115226715e+01 -9.087026427256073475e+02 -8.887596558644551124e+02
5.000000000000000000e+02 3.067545513769818513e+02 9.960586402125038569e-03 1.978589539873081904e+01 -9.082985060239720951e+02 -8.885126106252412228e+02
5.500000000000000000e+02 2.822573392087189745e+02 1.091775448878126720e-02 1.820580709899406813e+01 -9.064152327632866673e+02 -8.882094256642925529e+02
6.000000000000000000e+02 3.050107408006114156e+02 1.005838504897253217e-02 1.967341832706427951e+01 -9.081972573673768920e+02 -8.885238390403126232e+02
6.500000000000000000e+02 3.141138617983314703e+02 9.722265295735376192e-03 2.026057636287621477e+01 -9.088106199959977403e+02 -8.885500436331215042e+02
7.000000000000000000e+02 2.951815292915962914e+02 1.045506292209768921e-02 1.903942691635373308e+01 -9.073873419856859073e+02 -8.883479150693322026e+02
7.500000000000000000e+02 2.958455621987236555e+02 1.045550309357945809e-02 1.908225752989397250e+01 -9.073291037343958578e+02 -8.882468462045019351e+02
8.000000000000000000e+02 3.089753603591399269e+02 9.974742836424218065e-03 1.992913922029531548e+01 -9.081984430479614048e+02 -8.882693038276661355e+02
8.500000000000000000e+02 2.973205796016965792e+02 1.028524227531046713e-02 1.917739724311264737e+01 -9.075889429070442702e+02 -8.884115456639316335e+02
9.000000000000000000e+02 2.920849669970673403e+02 1.053815953502865686e-02 1.883969635855050484e+01 -9.072437613008971766e+02 -8.884040649423466220e+02
9.500000000000000000e+02 3.110574699162334582e+02 9.910704253927603985e-03 2.006343682637947978e+01 -9.085760562089858468e+02 -8.885126193826063172e+02
1.000000000000000000e+03 3.066896408295596075e+02 9.977006196975569605e-03 1.978170862042286871e+01 -9.083092875847230516e+02 -8.885275789643002327e+02
1.050000000000000000e+03 2.947767168656769741e+02 1.044389623766236314e-02 1.901331621553644169e+01 -9.073537410387027649e+02 -8.883404248231663587e+02
1.100000000000000000e+03 3.049008989931091378e+02 1.008410684173706093e-02 1.966633344925597626e+01 -9.081078227074804090e+02 -8.884414892582244647e+02
1.150000000000000000e+03 3.034808899462673253e+02 1.010155003399542360e-02 1.957474181568462868e+01 -9.081397569622916990e+02 -8.885650151466070383e+02
1.200000000000000000e+03 3.052189123735152521e+02 1.004150154495704259e-02 1.968684554745262005e+01 -9.081245920376962886e+02 -8.884377464902436259e+02
1.250000000000000000e+03 2.976085184126627610e+02 1.036770950683701953e-02 1.919596950934126056e+01 -9.073529970000510048e+02 -8.881570274907097655e+02
1.300000000000000000e+03 2.814236812808219952e+02 1.100704098404916426e-02 1.815203554618205928e+01 -9.060994522370190225e+02 -8.879474166908369170e+02
1.350000000000000000e+03 2.985635274731439495e+02 1.039659416158547275e-02 1.925756829994013231e+01 -9.074146004866354360e+02 -8.881570321866953464e+02
1.400000000000000000e+03 3.178499633528348340e+02 9.610173343581576016e-03 2.050155767586607070e+01 -9.092125555845389044e+02 -8.887109979086728799e+02
1.450000000000000000e+03 3.157232173050430788e+02 9.588385429855099049e-03 2.036438098312465073e+01 -9.091876715363009680e+02 -8.888232905531763208e+02
1.500000000000000000e+03 2.901043166284948143e+02 1.054051551194076265e-02 1.871194294515168011e+01 -9.073443470841591534e+02 -8.886324041390074626e+02
1.550000000000000000e+03 3.038919219568603580e+02 1.010815483603045781e-02 1.960125368431254955e+01 -9.081026610807784891e+02 -8.885014073964659929e+02
1.600000000000000000e+03 2.980189693238351651e+02 1.030156275242481365e-02 1.922244389662684938e+01 -9.076751962485071772e+02 -8.884527523518803491e+02
1.650000000000000000e+03 3.034041789679331487e+02 1.011269659166103528e-02 1.956979390085682624e+01 -9.079476885441785043e+02 -8.883778946433217243e+02
1.700000000000000000e+03 2.999369490817856558e+02 1.029944157644401351e-02 1.934615500929768928e+01 -9.076454367738999736e+02 -8.882992817646022559e+02
1.750000000000000000e+03 2.970042156522032428e+02 1.038666226650847117e-02 1.915699153442957936e+01 -9.074899636888095529e+02 -8.883329721543799451e+02
1.800000000000000000e+03 3.038948666291832410e+02 1.012287935516340172e-02 1.960144361785486566e+01 -9.080804065659210664e+02 -8.884789629480661688e+02
1.850000000000000000e+03 3.043297762991185778e+02 1.006592223966036766e-02 1.962949561316710856e+01 -9.081122077107285122e+02 -8.884827120975613752e+02
1.900000000000000000e+03 3.065665256064963273e+02 1.002127932429110538e-02 1.977376759749562396e+01 -9.082190494567786345e+02 -8.884452818592829999e+02
1.950000000000000000e+03 2.938987213303059320e+02 1.051391385147879345e-02 1.895668485425614946e+01 -9.072971642707582305e+02 -8.883404794165020348e+02
2.000000000000000000e+03 3.017839666570336021e+02 1.019005165278381690e-02 1.946528900871001611e+01 -9.079180642191240622e+02 -8.884527752104140745e+02
2.050000000000000000e+03 3.023987701315288064e+02 1.020057613046204507e-02 1.950494428744193343e+01 -9.079165385551765439e+02 -8.884115942677345856e+02
2.100000000000000000e+03 3.032761044030556832e+02 1.009976853837555449e-02 1.956153299671529311e+01 -9.081378184650475305e+02 -8.885762854683322303e+02
2.150000000000000000e+03 2.948692639376278066e+02 1.045090314885006519e-02 1.901928557011279253e+01 -9.074084216440097634e+02 -8.883891360738970207e+02
2.200000000000000000e+03 3.037196465890026502e+02 1.017155751807788042e-02 1.959014179569375358e+01 -9.078894438969576868e+02 -8.882993021012639474e+02
2.250000000000000000e+03 3.079928558730580903e+02 9.957583169566642731e-03 1.986576695441324247e+01 -9.082923422268954710e+02 -8.884265752724821823e+02
2.300000000000000000e+03 2.963298353751893615e+02 1.040918641731616336e-02 1.911349350788011847e+01 -9.074764394527670675e+02 -8.883629459448869738e+02
2.350000000000000000e+03 2.994386751835972404e+02 1.029941809626064297e-02 1.931401597440735429e+01 -9.076095918842713672e+02 -8.882955759098640556e+02
2.400000000000000000e+03 2.933925072379853418e+02 1.050981695599365051e-02 1.892403367097277567e+01 -9.073281517166095682e+02 -8.884041180456367783e+02
2.450000000000000000e+03 3.090778406530395159e+02 9.888245352759289161e-03 1.993574927503265215e+01 -9.085794302351284841e+02 -8.886436809600958213e+02
2.500000000000000000e+03 3.108222489675435440e+02 9.808882651441499373e-03 2.004826490125081406e+01 -9.087555714000876605e+02 -8.887073064988368287e+02
