# time_fs msd_A2
0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 8.413440042266536953e-03
1.000000000000000000e+02 2.430127118876603681e-02
1.500000000000000000e+02 3.359833879571254983e-02
2.000000000000000000e+02 3.300858236290081515e-02
2.500000000000000000e+02 3.046561780947111206e-02
3.000000000000000000e+02 2.871539830766120516e-02
3.500000000000000000e+02 2.546251570962936722e-02
4.000000000000000000e+02 2.210606736079237175e-02
4.500000000000000000e+02 2.126922587061955833e-02
5.000000000000000000e+02 2.096028859401624644e-02
5.500000000000000000e+02 1.962123956350179943e-02
6.000000000000000000e+02 1.814964320939625383e-02
6.500000000000000000e+02 1.882166286279175413e-02
7.000000000000000000e+02 2.121409246541955396e-02
7.500000000000000000e+02 2.282747642730412196e-02
8.000000000000000000e+02 2.373981689698002537e-02
8.500000000000000000e+02 2.508022725799369246e-02
9.000000000000000000e+02 2.521382038189894439e-02
9.500000000000000000e+02 2.292582833002803841e-02
1.000000000000000000e+03 2.049249313869569086e-02
1.050000000000000000e+03 1.973382411287303781e-02
1.100000000000000000e+03 1.983871053266103232e-02
1.150000000000000000e+03 2.089785349416577176e-02
1.200000000000000000e+03 2.313953903929670541e-02
1.250000000000000000e+03 2.571514463778662787e-02
1.300000000000000000e+03 2.705523407026309141e-02
1.350000000000000000e+03 2.564994711032247271e-02
1.400000000000000000e+03 2.227673987141912809e-02
1.450000000000000000e+03 1.960125124694213350e-02
1.500000000000000000e+03 1.935402032819821122e-02
1.550000000000000000e+03 2.085745809988781910e-02
1.600000000000000000e+03 2.292591258713990582e-02
1.650000000000000000e+03 2.385043343207540398e-02
1.700000000000000000e+03 2.357427526013732705e-02
1.750000000000000000e+03 2.240891754962874571e-02
1.800000000000000000e+03 2.083303101835046189e-02
1.850000000000000000e+03 1.991560200008753168e-02
1.900000000000000000e+03 2.031127470737659896e-02
1.950000000000000000e+03 2.150435778917876919e-02
2.000000000000000000e+03 2.238570729706262571e-02
2.050000000000000000e+03 2.215661163172490122e-02
2.100000000000000000e+03 2.159809949951973715e-02
2.150000000000000000e+03 2.217319750914800366e-02
2.200000000000000000e+03 2.314314682375805468e-02
2.250000000000000000e+03 2.371308596025603968e-02
2.300000000000000000e+03 2.400953126911581359e-02
2.350000000000000000e+03 2.439409338065086363e-02
2.400000000000000000e+03 2.438170020846160829e-02
2.450000000000000000e+03 2.273047093469481375e-02
2.500000000000000000e+03 2.044985318127066562e-02
2.550000000000000000e+03 1.955811298375809831e-02
2.600000000000000000e+03 1.998910214814030722e-02
2.650000000000000000e+03 2.009208388670568127e-02
2.700000000000000000e+03 1.972403141333660057e-02
2.750000000000000000e+03 2.100099529352949732e-02
2.800000000000000000e+03 2.355837545094333074e-02
2.850000000000000000e+03 2.437234304474896959e-02
2.900000000000000000e+03 2.305991407623888059e-02
2.950000000000000000e+03 2.174819578948353205e-02
3.000000000000000000e+03 2.172308287723498030e-02
3.050000000000000000e+03 2.215045334712318140e-02
3.100000000000000000e+03 2.149449449608460683e-02
3.150000000000000000e+03 2.065764262922265351e-02
3.200000000000000000e+03 2.081284855267340542e-02
3.250000000000000000e+03 2.127595579225629793e-02
3.300000000000000000e+03 2.122668868919999272e-02
3.350000000000000000e+03 2.171850856721574755e-02
3.400000000000000000e+03 2.241506913545146182e-02
3.450000000000000000e+03 2.265253542042908880e-02
3.500000000000000000e+03 2.217012283945005852e-02
3.550000000000000000e+03 2.157964375749733821e-02
3.600000000000000000e+03 2.246150756158039191e-02
3.650000000000000000e+03 2.287419344218888373e-02
3.700000000000000000e+03 2.238206317548239663e-02
3.750000000000000000e+03 2.198213936734916621e-02
3.800000000000000000e+03 2.236713212658639899e-02
3.850000000000000000e+03 2.293683856306313537e-02
3.900000000000000000e+03 2.260286504418115849e-02
3.950000000000000000e+03 2.168203613342519626e-02
4.000000000000000000e+03 2.053119249075745570e-02
4.050000000000000000e+03 2.056836485612854176e-02
4.100000000000000000e+03 2.087244855656109066e-02
4.150000000000000000e+03 2.050777217553416756e-02
4.200000000000000000e+03 2.037970258166389367e-02
4.250000000000000000e+03 2.135717370403782123e-02
4.300000000000000000e+03 2.259387424211143497e-02
4.350000000000000000e+03 2.284039352718239199e-02
4.400000000000000000e+03 2.272990736456029573e-02
4.450000000000000000e+03 2.223439885386791284e-02
4.500000000000000000e+03 2.204659023489961150e-02
4.550000000000000000e+03 2.236713358386746911e-02
4.600000000000000000e+03 2.351877965586234367e-02
4.650000000000000000e+03 2.433257939036409176e-02
4.700000000000000000e+03 2.377484435828677509e-02
4.750000000000000000e+03 2.132870260241953586e-02
4.800000000000000000e+03 1.919653842187642526e-02
