# r_A g_r
2.294999999999999818e-02 0.000000000000000000e+00
6.884999999999999454e-02 0.000000000000000000e+00
1.147499999999999909e-01 0.000000000000000000e+00
1.606499999999999873e-01 0.000000000000000000e+00
2.065499999999999836e-01 0.000000000000000000e+00
2.524499999999999522e-01 0.000000000000000000e+00
2.983500000000000041e-01 0.000000000000000000e+00
3.442499999999999449e-01 0.000000000000000000e+00
3.901499999999999968e-01 0.000000000000000000e+00
4.360499999999999376e-01 0.000000000000000000e+00
4.819499999999999340e-01 0.000000000000000000e+00
5.278499999999999304e-01 0.000000000000000000e+00
5.737499999999999822e-01 0.000000000000000000e+00
6.196500000000000341e-01 0.000000000000000000e+00
6.655499999999998639e-01 0.000000000000000000e+00
7.114499999999999158e-01 0.000000000000000000e+00
7.573499999999999677e-01 0.000000000000000000e+00
8.032500000000000195e-01 0.000000000000000000e+00
8.491499999999998494e-01 0.000000000000000000e+00
8.950499999999999012e-01 0.000000000000000000e+00
9.409499999999999531e-01 0.000000000000000000e+00
9.868499999999998940e-01 0.000000000000000000e+00
1.032749999999999835e+00 0.000000000000000000e+00
1.078649999999999887e+00 0.000000000000000000e+00
1.124549999999999939e+00 0.000000000000000000e+00
1.170449999999999990e+00 0.000000000000000000e+00
1.216349999999999820e+00 0.000000000000000000e+00
1.262249999999999872e+00 0.000000000000000000e+00
1.308149999999999924e+00 0.000000000000000000e+00
1.354049999999999976e+00 0.000000000000000000e+00
1.399949999999999806e+00 0.000000000000000000e+00
1.445849999999999858e+00 0.000000000000000000e+00
1.491749999999999909e+00 0.000000000000000000e+00
1.537649999999999961e+00 0.000000000000000000e+00
1.583549999999999791e+00 0.000000000000000000e+00
1.629449999999999843e+00 0.000000000000000000e+00
1.675349999999999895e+00 0.000000000000000000e+00
1.721249999999999947e+00 0.000000000000000000e+00
1.767149999999999777e+00 0.000000000000000000e+00
1.813049999999999828e+00 0.000000000000000000e+00
1.858949999999999880e+00 0.000000000000000000e+00
1.904849999999999932e+00 0.000000000000000000e+00
1.950749999999999762e+00 0.000000000000000000e+00
1.996649999999999814e+00 0.000000000000000000e+00
2.042549999999999422e+00 0.000000000000000000e+00
2.088449999999999918e+00 0.000000000000000000e+00
2.134349999999999525e+00 0.000000000000000000e+00
2.180250000000000021e+00 0.000000000000000000e+00
2.226149999999999629e+00 0.000000000000000000e+00
2.272050000000000125e+00 0.000000000000000000e+00
2.317949999999999733e+00 0.000000000000000000e+00
2.363850000000000229e+00 0.000000000000000000e+00
2.409749999999999837e+00 0.000000000000000000e+00
2.455649999999999444e+00 0.000000000000000000e+00
2.501549999999999940e+00 0.000000000000000000e+00
2.547449999999999548e+00 0.000000000000000000e+00
2.593350000000000044e+00 0.000000000000000000e+00
2.639249999999999652e+00 3.616340185862979527e-03
2.685150000000000148e+00 9.441280639393033469e-02
2.731049999999999756e+00 8.224144632237818664e-01
2.776949999999999363e+00 3.588155803446207770e+00
2.822849999999999859e+00 8.182413897888421772e+00
2.868749999999999467e+00 1.110811198869107841e+01
2.914649999999999963e+00 9.627048161315437724e+00
2.960549999999999571e+00 5.732678092257243563e+00
3.006450000000000067e+00 2.382416013050840053e+00
3.052349999999999675e+00 7.096950002292502502e-01
3.098250000000000171e+00 1.669115138931746567e-01
3.144149999999999778e+00 3.051845876908549152e-02
3.190049999999999386e+00 3.741797312085373868e-03
3.235949999999999882e+00 1.678338402730124290e-04
3.281849999999999490e+00 0.000000000000000000e+00
3.327749999999999986e+00 0.000000000000000000e+00
3.373649999999999594e+00 0.000000000000000000e+00
3.419550000000000090e+00 0.000000000000000000e+00
3.465449999999999697e+00 0.000000000000000000e+00
3.511349999999999305e+00 0.000000000000000000e+00
3.557249999999999801e+00 0.000000000000000000e+00
3.603149999999999409e+00 0.000000000000000000e+00
3.649049999999999905e+00 0.000000000000000000e+00
3.694949999999999513e+00 4.290864007905766483e-05
3.740850000000000009e+00 8.372425454396126157e-04
3.786749999999999616e+00 7.108498275523603485e-03
3.832650000000000112e+00 3.629150281957835289e-02
3.878549999999999720e+00 1.472413432207859418e-01
3.924449999999999328e+00 4.416836355934891656e-01
3.970349999999999824e+00 1.019403068283260660e+00
4.016249999999999432e+00 1.754044310489877079e+00
4.062149999999999039e+00 2.265048238701327321e+00
4.108049999999999535e+00 2.149559359539731762e+00
4.153950000000000031e+00 1.519600510080247435e+00
4.199849999999999639e+00 8.201025825007656200e-01
4.245749999999999247e+00 3.292345175014062542e-01
4.291649999999999743e+00 9.917207503467334595e-02
4.337550000000000239e+00 2.220048304403117109e-02
4.383449999999999847e+00 3.689055069712992869e-03
4.429349999999999454e+00 3.284540109635638206e-04
4.475249999999999062e+00 5.850018984821848435e-05
4.521149999999999558e+00 0.000000000000000000e+00
4.567050000000000054e+00 0.000000000000000000e+00
4.612949999999999662e+00 0.000000000000000000e+00
4.658849999999999270e+00 6.747523960113408327e-04
4.704749999999999766e+00 8.283867008212644420e-03
4.750650000000000261e+00 6.346505709470989798e-02
4.796549999999999869e+00 2.975058285815900816e-01
4.842449999999999477e+00 1.056374543103324237e+00
4.888349999999999085e+00 2.687147064812462016e+00
4.934249999999999581e+00 4.843304594193442725e+00
4.980150000000000077e+00 6.298892901927734655e+00
5.026049999999999685e+00 5.914758353296493354e+00
5.071949999999999292e+00 4.061509785319053378e+00
5.117849999999999788e+00 2.048181533764762641e+00
5.163749999999999396e+00 7.571106270194403187e-01
5.209649999999999892e+00 2.130188016126733086e-01
5.255549999999999500e+00 4.243973139028615893e-02
5.301449999999999108e+00 6.732479893836864314e-03
5.347349999999999604e+00 6.965680934007740426e-04
5.393250000000000099e+00 4.028012166552298704e-05
5.439149999999999707e+00 3.960315688330764299e-04
5.485049999999999315e+00 3.719067561184983411e-03
5.530949999999998923e+00 2.688620620724354801e-02
5.576849999999999419e+00 1.392153609118710056e-01
5.622749999999999915e+00 4.740594193281642554e-01
5.668649999999999523e+00 1.144776602907246588e+00
5.714549999999999130e+00 1.945141821088035128e+00
5.760449999999999626e+00 2.362419960911953165e+00
5.806350000000000122e+00 2.126328793696198094e+00
5.852249999999999730e+00 1.386440734652225171e+00
5.898149999999999338e+00 6.727059935332359020e-01
5.944049999999998946e+00 2.458387063646511883e-01
5.989949999999999442e+00 6.818297989206152654e-02
6.035849999999999937e+00 1.355540757491709505e-02
6.081749999999999545e+00 2.629134733716142081e-03
6.127649999999999153e+00 3.994054118156363520e-03
6.173549999999999649e+00 2.340948426641607100e-02
6.219450000000000145e+00 1.059516493101512330e-01
6.265349999999999753e+00 3.715806701609162266e-01
6.311249999999999361e+00 1.002489450940376781e+00
6.357149999999998968e+00 2.022313723847108502e+00
6.403049999999999464e+00 3.100857806320311383e+00
6.448949999999999960e+00 3.594222564577138179e+00
6.494849999999999568e+00 3.121184684544579202e+00
6.540749999999999176e+00 2.057863852122172599e+00
6.586649999999999672e+00 1.042302429360262517e+00
6.632549999999999280e+00 3.921007076400137570e-01
6.678449999999999775e+00 1.121284467053973860e-01
6.724349999999999383e+00 2.470654145122257173e-02
6.770249999999998991e+00 5.623479898595479948e-03
6.816149999999999487e+00 1.098251383209354962e-02
6.862049999999999983e+00 5.073426199927491553e-02
6.907949999999999591e+00 1.710686721667834254e-01
