# k_1_per_A S_k
1.000000000000000056e-01 2.658434416662545985e+00
1.397993311036789255e-01 2.323933817854764161e+00
1.795986622073578731e-01 1.917171116522195851e+00
2.193979933110368208e-01 1.466828303981977388e+00
2.591973244147157684e-01 1.003723403202911646e+00
2.989966555183947161e-01 5.582101712816625039e-01
3.387959866220736083e-01 1.576890079075824458e-01
3.785953177257525004e-01 -1.755416690307665117e-01
4.183946488294314481e-01 -4.259025376578122746e-01
4.581939799331103957e-01 -5.854845769484338103e-01
4.979933110367893434e-01 -6.542688016946858198e-01
5.377926421404682911e-01 -6.396225878233456896e-01
5.775919732441472387e-01 -5.551512817202324257e-01
6.173913043478260754e-01 -4.190441595889280446e-01
6.571906354515050230e-01 -2.520979182101090732e-01
6.969899665551839707e-01 -7.562464411365676931e-02
7.367892976588629184e-01 9.054716441342458566e-02
7.765886287625418660e-01 2.297898083846030559e-01
8.163879598662208137e-01 3.299615176297169272e-01
8.561872909698997614e-01 3.841612712250030981e-01
8.959866220735787090e-01 3.909146997263939216e-01
9.357859531772575457e-01 3.538128777383837686e-01
9.755852842809364933e-01 2.806804962317853702e-01
1.015384615384615552e+00 1.823932340974091515e-01
1.055183946488294389e+00 7.149203240094625933e-02
1.094983277591973447e+00 -3.924776146018160716e-02
1.134782608695652284e+00 -1.381418552600803817e-01
1.174581939799331343e+00 -2.156897836383513400e-01
1.214381270903010179e+00 -2.653430951363262569e-01
1.254180602006689238e+00 -2.838998223341862026e-01
1.293979933110368075e+00 -2.715208434705300711e-01
1.333779264214047133e+00 -2.314051687433267279e-01
1.373578595317725970e+00 -1.691947167297096488e-01
1.413377926421404807e+00 -9.220144114629125198e-02
1.453177257525083865e+00 -8.558956418750263140e-03
1.492976588628762702e+00 7.360296461477600083e-02
1.532775919732441761e+00 1.468779118253471516e-01
1.572575250836120597e+00 2.051370984671344599e-01
1.612374581939799656e+00 2.438876452015651397e-01
1.652173913043478493e+00 2.604332667259177114e-01
