# time_fs temperature_K pressure_eV_per_A3 kinetic_energy_eV potential_energy_eV total_energy_eV
0.000000000000000000e+00 2.979429187681815847e+02 1.028512357833027101e-02 1.921753857955030398e+01 -9.077413714834965504e+02 -8.885238329039462997e+02
5.000000000000000000e+01 3.049672123665214940e+02 9.786474190464319531e-03 1.967061071087763224e+01 -9.087446071460610710e+02 -8.890739964351834033e+02
1.000000000000000000e+02 2.995762748624724736e+02 9.086322266723474012e-03 1.932289125544525277e+01 -9.097535584811573699e+02 -8.904306672257121136e+02
1.500000000000000000e+02 2.916724848586707139e+02 1.086049902056572709e-02 1.881309095560692768e+01 -9.068097826984021594e+02 -8.879966917427951785e+02
2.000000000000000000e+02 3.070925894379573151e+02 1.016919360344229611e-02 1.980769910363177999e+01 -9.078079010520489192e+02 -8.880002019484171569e+02
2.500000000000000000e+02 2.970777464754397670e+02 9.876380762525982168e-03 1.916173432690196421e+01 -9.080443931172825387e+02 -8.888826587903805603e+02
3.000000000000000000e+02 2.956920563234350539e+02 1.096094065448877976e-02 1.907235628742530409e+01 -9.061959090473120568e+02 -8.871235527598867066e+02
3.500000000000000000e+02 2.996283246267085474e+02 1.134111473491418616e-02 1.932624850372756953e+01 -9.059210742436690680e+02 -8.865948257399414842e+02
4.000000000000000000e+02 3.094717884646206016e+02 9.842708740017724542e-03 1.996115920019109780e+01 -9.086231715896331025e+02 -8.886620123894419976e+02
4.500000000000000000e+02 3.015810156447558370e+02 9.000642791006171692e-03 1.945219851834249170e+01 -9.100544390398450787e+02 -8.906022405215026083e+02
5.000000000000000000e+02 2.968913970814361392e+02 9.130920477166440744e-03 1.914971465318947352e+01 -9.097183970062336584e+02 -8.905686823530442098e+02
5.500000000000000000e+02 2.916571479986724285e+02 1.073985280804567490e-02 1.881210171679593302e+01 -9.068386324153323130e+02 -8.880265306985363623e+02
6.000000000000000000e+02 3.038862823975962328e+02 1.097922353618608488e-02 1.960088992856974599e+01 -9.066451106637659905e+02 -8.870442207351962907e+02
6.500000000000000000e+02 3.050837021431746621e+02 9.764246408758073259e-03 1.967812438761212590e+01 -9.086185307578623451e+02 -8.889404063702502299e+02
7.000000000000000000e+02 2.969447481194112584e+02 9.838545263324754986e-03 1.915315583459020843e+01 -9.084638800683720774e+02 -8.893107242337819116e+02
7.500000000000000000e+02 2.990418157269839412e+02 1.035880680463316904e-02 1.928841824599126298e+01 -9.075525703489955731e+02 -8.882641521030043350e+02
8.000000000000000000e+02 3.002387508148261190e+02 1.013308288241457356e-02 1.936562144425126775e+01 -9.078597730724100074e+02 -8.884941516281587610e+02
8.500000000000000000e+02 2.999618261638394188e+02 1.016519315100133415e-02 1.934775959948594348e+01 -9.077946992407502194e+02 -8.884469396412642936e+02
9.000000000000000000e+02 2.978222958802153926e+02 1.058071830230207164e-02 1.920975831407982071e+01 -9.072276429548975329e+02 -8.880178846408176696e+02
9.500000000000000000e+02 3.040545696227807184e+02 1.031312185461919113e-02 1.961174457903701907e+01 -9.077553474988336575e+02 -8.881436029197966491e+02
1.000000000000000000e+03 3.011856742556041127e+02 9.699968052932949475e-03 1.942669870640023433e+01 -9.087195601363581545e+02 -8.892928614299579522e+02
1.050000000000000000e+03 2.974927126001933289e+02 9.958202674830137283e-03 1.918849994880238796e+01 -9.083069433808938129e+02 -8.891184434320914534e+02
1.100000000000000000e+03 3.011774781006684520e+02 9.929466435093100077e-03 1.942617004834609418e+01 -9.083805983835727602e+02 -8.889544283352266802e+02
1.150000000000000000e+03 2.984990059207563036e+02 1.017196754986886623e-02 1.925340661209955684e+01 -9.079393039187202703e+02 -8.886858973066207454e+02
1.200000000000000000e+03 3.009611558324205589e+02 9.964918122759158434e-03 1.941221710208089490e+01 -9.082218829132767723e+02 -8.888096658111958277e+02
1.250000000000000000e+03 2.983768876638265510e+02 1.012496667033683205e-02 1.924552989422515026e+01 -9.078218631094781585e+02 -8.885763332152530438e+02
1.300000000000000000e+03 2.957167956514659295e+02 1.113674360268887900e-02 1.907395199237721783e+01 -9.059983348770921339e+02 -8.869243828847148734e+02
1.350000000000000000e+03 3.003193221509199589e+02 1.122151227077359051e-02 1.937081835500917748e+01 -9.059860731835833576e+02 -8.866152548285741659e+02
1.400000000000000000e+03 3.095654842241281131e+02 9.964605562812941728e-03 1.996720264596427086e+01 -9.084555457392306153e+02 -8.884883430932663941e+02
1.450000000000000000e+03 3.016293885635532206e+02 8.780996495024931750e-03 1.945531860737510854e+01 -9.104570841478777083e+02 -8.910017655405025607e+02
1.500000000000000000e+03 2.946604710807434344e+02 9.583648560840943298e-03 1.900581827644829147e+01 -9.090820683781691969e+02 -8.900762501017209161e+02
1.550000000000000000e+03 2.974764832931720662e+02 1.021074089529054076e-02 1.918745314649847700e+01 -9.079361574565797355e+02 -8.887487043100812798e+02
1.600000000000000000e+03 3.004424803808170168e+02 1.062378280900814001e-02 1.937876215190900453e+01 -9.071527555214523773e+02 -8.877739933695434047e+02
1.650000000000000000e+03 3.011427228828127340e+02 1.015538224290073524e-02 1.942392831109405904e+01 -9.078475088191263467e+02 -8.884235805080322734e+02
1.700000000000000000e+03 2.994719656781222170e+02 1.022904718741195901e-02 1.931616323592144369e+01 -9.077219838154619538e+02 -8.884058205795405456e+02
1.750000000000000000e+03 2.980214106574347852e+02 1.044356596763298430e-02 1.922260136444931078e+01 -9.074375123925669868e+02 -8.882149110281176263e+02
1.800000000000000000e+03 3.045534564416677199e+02 1.024293805488653980e-02 1.964392314776564774e+01 -9.079339503596460190e+02 -8.882900272118803287e+02
1.850000000000000000e+03 2.998030646269181148e+02 9.624496243054199776e-03 1.933751936295557883e+01 -9.088792855733153147e+02 -8.895417662103596967e+02
1.900000000000000000e+03 2.989216057822379184e+02 9.724524596848560173e-03 1.928066461566384149e+01 -9.086857512353030870e+02 -8.894050866196392917e+02
1.950000000000000000e+03 2.981741213424299985e+02 1.049792205259163572e-02 1.923245131655603757e+01 -9.073171504628410275e+02 -8.880846991462849473e+02
2.000000000000000000e+03 2.994676679265344887e+02 1.052297735741429367e-02 1.931588602776599117e+01 -9.073588600606478849e+02 -8.880429740328819435e+02
2.050000000000000000e+03 3.028910078020019796e+02 1.017336318634135157e-02 1.953669398118104183e+01 -9.080104792541443430e+02 -8.884737852729632550e+02
2.100000000000000000e+03 3.007636204746152089e+02 9.724555905985785703e-03 1.939947592543153831e+01 -9.087441348399743219e+02 -8.893446589145428334e+02
2.150000000000000000e+03 2.954393599098195864e+02 1.032943411796873566e-02 1.905605718188640907e+01 -9.076001914327265467e+02 -8.885441342508401021e+02
2.200000000000000000e+03 3.032622217342376416e+02 1.044175864879108399e-02 1.956063755431075180e+01 -9.075032599502873154e+02 -8.879426223959765139e+02
2.250000000000000000e+03 3.008464569014403764e+02 9.684012188585148020e-03 1.940481893621657861e+01 -9.086879344975399135e+02 -8.892831155613233705e+02
2.300000000000000000e+03 2.983190695644050834e+02 1.016696162871047471e-02 1.924180058405788074e+01 -9.079024522844595140e+02 -8.886606517004016723e+02
2.350000000000000000e+03 2.980210308881710262e+02 1.043134887836863478e-02 1.922257686905097174e+01 -9.073792227386555851e+02 -8.881566458696046311e+02
2.400000000000000000e+03 3.000387219380394299e+02 1.076070587694383414e-02 1.935271943378374360e+01 -9.069234572607250584e+02 -8.875707378269413539e+02
2.450000000000000000e+03 3.041880901022585135e+02 9.990077231828119186e-03 1.962035674869734692e+01 -9.083486508071871413e+02 -8.887282940584898370e+02
2.500000000000000000e+03 3.004216144459197722e+02 9.350762817429783894e-03 1.937741628367846047e+01 -9.093659457121623291e+02 -8.899885294284838437e+02
2.550000000000000000e+03 2.969680829081715956e+02 1.011177172144530310e-02 1.915466094572056122e+01 -9.081320397982539134e+02 -8.889773788525333202e+02
2.600000000000000000e+03 2.982044160674363980e+02 1.035670313459541997e-02 1.923440534872090524e+01 -9.076143479601798845e+02 -8.883799426114590005e+02
2.650000000000000000e+03 3.021878766637202602e+02 1.045052141818408366e-02 1.949134150281948763e+01 -9.074904512982965343e+02 -8.879991097954770112e+02
2.700000000000000000e+03 3.034009144413020067e+02 9.659466815402268508e-03 1.956958333647510528e+01 -9.087871156396430479e+02 -8.892175323031679000e+02
2.750000000000000000e+03 2.972019229613896414e+02 9.878058427355151591e-03 1.916974380207016182e+01 -9.084049102963730320e+02 -8.892351664943029164e+02
2.800000000000000000e+03 2.961536290610816877e+02 1.066543525127028672e-02 1.910212807032139182e+01 -9.071009947210890232e+02 -8.879988666507675816e+02
2.850000000000000000e+03 3.033100383373177920e+02 1.053867837837194760e-02 1.956372176056822809e+01 -9.073537741493348676e+02 -8.877900523887666395e+02
2.900000000000000000e+03 3.020616514903351231e+02 1.002027013329968852e-02 1.948319988579677542e+01 -9.081968242672049882e+02 -8.887136243814081809e+02
2.950000000000000000e+03 2.986589880445014842e+02 9.812109561271948471e-03 1.926372557738264746e+01 -9.086006972264599426e+02 -8.893369716490773271e+02
3.000000000000000000e+03 2.988009537814604641e+02 1.013524150011663183e-02 1.927288247239550145e+01 -9.080485704623088168e+02 -8.887756879899133082e+02
3.050000000000000000e+03 2.989052610796283034e+02 1.021063760966286690e-02 1.927961037025914948e+01 -9.079761299295038270e+02 -8.886965195592447344e+02
3.100000000000000000e+03 3.046380036648698137e+02 9.861255487720106683e-03 1.964937650618207954e+01 -9.085572084881578121e+02 -8.889078319819757326e+02
3.150000000000000000e+03 2.982231343902004141e+02 9.713859057101262989e-03 1.923561269438076593e+01 -9.087958516806465923e+02 -8.895602389862658583e+02
3.200000000000000000e+03 2.988244519169980435e+02 1.006560642135083741e-02 1.927439811951377635e+01 -9.081327642184941169e+02 -8.888583660989803548e+02
3.250000000000000000e+03 2.974128144829073221e+02 1.072257758493522228e-02 1.918334646115540565e+01 -9.070365919497362484e+02 -8.878532454885807965e+02
3.300000000000000000e+03 3.052368075085666987e+02 9.834448342874323526e-03 1.968799979689630320e+01 -9.085448756670530202e+02 -8.888568758701567276e+02
3.350000000000000000e+03 2.968238090336634514e+02 1.007322792857711161e-02 1.914535517412899424e+01 -9.080622852189105743e+02 -8.889169300447815658e+02
3.400000000000000000e+03 2.994617588323137056e+02 1.035597611739555966e-02 1.931550488681916633e+01 -9.075699271093026255e+02 -8.882544222224834130e+02
3.450000000000000000e+03 3.006310613870132897e+02 1.032036094487076387e-02 1.939092576625812470e+01 -9.076394805947562645e+02 -8.882485548284981860e+02
3.500000000000000000e+03 2.999566777906704829e+02 1.046781288257338585e-02 1.934742752560949342e+01 -9.075079212410358878e+02 -8.881604937154263553e+02
3.550000000000000000e+03 3.078450460434171987e+02 9.222185702735740190e-03 1.985623311110088807e+01 -9.096903003053735119e+02 -8.898340671942726203e+02
3.600000000000000000e+03 2.914825695693459124e+02 1.004225939626699447e-02 1.880084127900935798e+01 -9.081018863721394609e+02 -8.893010450931301420e+02
3.650000000000000000e+03 3.010602842361508920e+02 1.044745007859815451e-02 1.941861095742369869e+01 -9.074607464272603465e+02 -8.880421354698366940e+02
3.700000000000000000e+03 2.996908451312127113e+02 1.031329068527069015e-02 1.933028112249994734e+01 -9.076353651349863867e+02 -8.883050840124864180e+02
3.750000000000000000e+03 3.015209997590874309e+02 1.020116493272028510e-02 1.944832744933710345e+01 -9.078093689905720112e+02 -8.883610415412349539e+02
3.800000000000000000e+03 3.008773342521503196e+02 9.971673747464056270e-03 1.940681054817015649e+01 -9.082993363940655627e+02 -8.888925258458954204e+02
3.850000000000000000e+03 3.001056486667055765e+02 1.012694934871498365e-02 1.935703625727282784e+01 -9.080805020929158218e+02 -8.887234658356429691e+02
3.900000000000000000e+03 2.997200357454063351e+02 9.721803598721132783e-03 1.933216393870093697e+01 -9.086002492826785328e+02 -8.892680853439776456e+02
3.950000000000000000e+03 2.959043326702200147e+02 1.078822728815826380e-02 1.908604826876431915e+01 -9.068620710096718085e+02 -8.877760227409074787e+02
4.000000000000000000e+03 3.034088962797553677e+02 1.027118659285456218e-02 1.957009817095765314e+01 -9.077895956414732836e+02 -8.882194974705156483e+02
4.050000000000000000e+03 3.003665795648550443e+02 9.890104682074832634e-03 1.937386649315329734e+01 -9.085214700902624827e+02 -8.891476035971091960e+02
