# time_fs msd_A2
0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 2.125735328156668491e-01
1.000000000000000000e+02 2.870927430146064663e-01
1.500000000000000000e+02 2.916505698059347895e-01
2.000000000000000000e+02 2.979728376365056719e-01
2.500000000000000000e+02 3.018666541749532861e-01
3.000000000000000000e+02 2.782637877899540868e-01
3.500000000000000000e+02 2.627928841366242718e-01
4.000000000000000000e+02 2.649379825764870966e-01
4.500000000000000000e+02 2.596264026531543978e-01
5.000000000000000000e+02 2.407398342719367645e-01
5.500000000000000000e+02 2.457373843760365384e-01
6.000000000000000000e+02 2.519836375663379036e-01
6.500000000000000000e+02 2.575075910499114440e-01
7.000000000000000000e+02 2.704867141069159375e-01
7.500000000000000000e+02 2.747808504433064680e-01
8.000000000000000000e+02 2.698428012106875995e-01
8.500000000000000000e+02 2.722906459756924691e-01
9.000000000000000000e+02 3.058383106906786830e-01
9.500000000000000000e+02 2.979220310125417770e-01
1.000000000000000000e+03 2.787667640161717864e-01
1.050000000000000000e+03 2.611385699240463265e-01
1.100000000000000000e+03 2.587933837055233499e-01
1.150000000000000000e+03 2.742337710147603747e-01
1.200000000000000000e+03 2.640048242596751416e-01
1.250000000000000000e+03 2.718939621456359923e-01
1.300000000000000000e+03 2.676839657087962676e-01
1.350000000000000000e+03 2.780011557657980914e-01
1.400000000000000000e+03 2.637959063933287829e-01
1.450000000000000000e+03 2.637078626174129692e-01
1.500000000000000000e+03 2.612374769700327448e-01
1.550000000000000000e+03 2.740514134383457145e-01
1.600000000000000000e+03 2.867419287160022368e-01
1.650000000000000000e+03 2.794435966994301412e-01
1.700000000000000000e+03 2.787214082380053415e-01
1.750000000000000000e+03 2.772025586153425980e-01
1.800000000000000000e+03 2.749407551021888496e-01
1.850000000000000000e+03 2.683806951400735108e-01
1.900000000000000000e+03 2.625309314762461210e-01
1.950000000000000000e+03 2.726324022357493604e-01
2.000000000000000000e+03 2.642025414813233275e-01
2.050000000000000000e+03 2.875071478287783977e-01
2.100000000000000000e+03 2.768817097949993200e-01
2.150000000000000000e+03 2.738295797425024936e-01
2.200000000000000000e+03 2.524804150614085585e-01
2.250000000000000000e+03 2.464483020860519791e-01
2.300000000000000000e+03 2.448145118144221810e-01
2.350000000000000000e+03 2.611676563464873646e-01
2.400000000000000000e+03 2.760003025999336890e-01
2.450000000000000000e+03 2.541876559732548779e-01
2.500000000000000000e+03 2.668623799335838598e-01
2.550000000000000000e+03 2.522641241102344112e-01
2.600000000000000000e+03 2.634746217382244460e-01
2.650000000000000000e+03 2.792632376748654388e-01
2.700000000000000000e+03 2.796769738121450688e-01
2.750000000000000000e+03 2.576275750234524597e-01
2.800000000000000000e+03 2.527708292388611278e-01
2.850000000000000000e+03 2.376177429083925208e-01
2.900000000000000000e+03 2.460604175785301717e-01
2.950000000000000000e+03 2.572063779010993478e-01
3.000000000000000000e+03 2.697238332130634797e-01
3.050000000000000000e+03 2.697009167087003334e-01
3.100000000000000000e+03 2.559590621776688946e-01
3.150000000000000000e+03 2.596355634804507484e-01
3.200000000000000000e+03 2.865219213624309869e-01
3.250000000000000000e+03 2.655169409741536257e-01
3.300000000000000000e+03 2.785177962544652108e-01
3.350000000000000000e+03 2.808883334699554535e-01
3.400000000000000000e+03 2.661300761163133966e-01
3.450000000000000000e+03 2.543702919234709370e-01
3.500000000000000000e+03 2.660304729161198090e-01
3.550000000000000000e+03 2.817519833129342732e-01
3.600000000000000000e+03 2.569219964157259950e-01
3.650000000000000000e+03 2.346416026583783565e-01
3.700000000000000000e+03 2.418982643052469961e-01
3.750000000000000000e+03 2.696729032522037217e-01
3.800000000000000000e+03 2.730676770025134426e-01
