# time_fs temperature_K pressure_eV_per_A3 kinetic_energy_eV potential_energy_eV total_energy_eV
0.000000000000000000e+00 4.035380046767914337e+03 2.254504274253477658e-01 2.602849970475343184e+02 -5.958703172728684194e+02 -3.355853202253341010e+02
5.000000000000000000e+01 3.936552676412528399e+03 2.298585698769272934e-01 2.539105585800175220e+02 -5.896325893474222539e+02 -3.357220307674047035e+02
1.000000000000000000e+02 4.238069409173047461e+03 2.158608801330787474e-01 2.733586108047916241e+02 -6.091879319293688013e+02 -3.358293211245771772e+02
1.500000000000000000e+02 3.995544093099700149e+03 2.269385800361426175e-01 2.577155485785551718e+02 -5.934311105341804478e+02 -3.357155619556252759e+02
2.000000000000000000e+02 3.857232634939696254e+03 2.344338548768974961e-01 2.487943572504544250e+02 -5.844132165696196353e+02 -3.356188593191652103e+02
2.500000000000000000e+02 3.945728562766977120e+03 2.307150511636098245e-01 2.545024100351460277e+02 -5.902815434900614946e+02 -3.357791334549154953e+02
3.000000000000000000e+02 4.026529012127285569e+03 2.258239140414410595e-01 2.597140987681643765e+02 -5.954496092511487859e+02 -3.357355104829844095e+02
3.500000000000000000e+02 3.991786213650721493e+03 2.276337798623083719e-01 2.574731625752676223e+02 -5.931551844799076889e+02 -3.356820219046400666e+02
4.000000000000000000e+02 3.993454029500284378e+03 2.275757709647296123e-01 2.575807379308594705e+02 -5.935466737172824878e+02 -3.359659357864230174e+02
4.500000000000000000e+02 4.004656807598279102e+03 2.271687361238183822e-01 2.583033254022665801e+02 -5.941591528766040256e+02 -3.358558274743374454e+02
5.000000000000000000e+02 3.943260190985226927e+03 2.291678306862174608e-01 2.543431982299432832e+02 -5.901789645104050805e+02 -3.358357662804618258e+02
5.500000000000000000e+02 3.982716215222264509e+03 2.281109057523342254e-01 2.568881409696662104e+02 -5.926170901964133009e+02 -3.357289492267470905e+02
6.000000000000000000e+02 4.095960312633342710e+03 2.232152950895503751e-01 2.641924689929713281e+02 -5.998211776646822955e+02 -3.356287086717109673e+02
