# r_A g_r
2.033437500000000175e-02 0.000000000000000000e+00
6.100312500000000526e-02 0.000000000000000000e+00
1.016718750000000088e-01 0.000000000000000000e+00
1.423406249999999984e-01 0.000000000000000000e+00
1.830093750000000297e-01 0.000000000000000000e+00
2.236781250000000054e-01 0.000000000000000000e+00
2.643468749999999812e-01 0.000000000000000000e+00
3.050156250000000124e-01 0.000000000000000000e+00
3.456843750000000437e-01 0.000000000000000000e+00
3.863531250000000750e-01 0.000000000000000000e+00
4.270218749999999952e-01 0.000000000000000000e+00
4.676906250000000265e-01 0.000000000000000000e+00
5.083593750000000577e-01 0.000000000000000000e+00
5.490281249999999780e-01 0.000000000000000000e+00
5.896968750000000092e-01 0.000000000000000000e+00
6.303656250000000405e-01 0.000000000000000000e+00
6.710343750000000718e-01 0.000000000000000000e+00
7.117031250000001030e-01 0.000000000000000000e+00
7.523718750000001343e-01 0.000000000000000000e+00
7.930406250000000545e-01 0.000000000000000000e+00
8.337093750000000858e-01 0.000000000000000000e+00
8.743781250000000060e-01 0.000000000000000000e+00
9.150468750000000373e-01 0.000000000000000000e+00
9.557156250000000686e-01 0.000000000000000000e+00
9.963843750000000998e-01 0.000000000000000000e+00
1.037053125000000131e+00 0.000000000000000000e+00
1.077721875000000162e+00 0.000000000000000000e+00
1.118390624999999972e+00 0.000000000000000000e+00
1.159059375000000003e+00 0.000000000000000000e+00
1.199728125000000034e+00 0.000000000000000000e+00
1.240396875000000065e+00 0.000000000000000000e+00
1.281065625000000097e+00 0.000000000000000000e+00
1.321734375000000128e+00 0.000000000000000000e+00
1.362403125000000159e+00 0.000000000000000000e+00
1.403071875000000190e+00 0.000000000000000000e+00
1.443740625000000222e+00 0.000000000000000000e+00
1.484409375000000253e+00 0.000000000000000000e+00
1.525078125000000062e+00 0.000000000000000000e+00
1.565746875000000093e+00 0.000000000000000000e+00
1.606415625000000125e+00 0.000000000000000000e+00
1.647084375000000156e+00 0.000000000000000000e+00
1.687753125000000187e+00 0.000000000000000000e+00
1.728421875000000218e+00 0.000000000000000000e+00
1.769090625000000028e+00 0.000000000000000000e+00
1.809759375000000059e+00 0.000000000000000000e+00
1.850428125000000090e+00 0.000000000000000000e+00
1.891096875000000122e+00 1.285969313781077489e-04
1.931765625000000153e+00 1.725350474553967364e-03
1.972434375000000184e+00 1.004782262265772885e-02
2.013103125000000215e+00 5.299598810136531973e-02
2.053771875000000247e+00 1.950581475959489441e-01
2.094440625000000278e+00 5.046939969442235663e-01
2.135109375000000309e+00 9.836090594122652853e-01
2.175778125000000340e+00 1.533172377715032120e+00
2.216446875000000372e+00 2.082643625878076943e+00
2.257115624999999959e+00 2.502866951886945746e+00
2.297784374999999990e+00 2.732026499168333622e+00
2.338453125000000021e+00 2.879700100096147519e+00
2.379121875000000053e+00 2.793059064197720875e+00
2.419790625000000084e+00 2.698000117104397244e+00
2.460459375000000115e+00 2.512005334248422983e+00
2.501128125000000146e+00 2.319526872347508206e+00
2.541796875000000178e+00 2.104312762638164802e+00
2.582465625000000209e+00 1.886089381975980084e+00
2.623134375000000240e+00 1.698863389129130042e+00
2.663803125000000271e+00 1.533965075134995804e+00
2.704471875000000303e+00 1.384430275099462593e+00
2.745140625000000334e+00 1.250158084863504326e+00
2.785809375000000365e+00 1.134220001631643493e+00
2.826478125000000396e+00 1.039125896622354883e+00
2.867146875000000428e+00 9.545829388594707643e-01
2.907815625000000459e+00 8.962494994700924700e-01
2.948484375000000490e+00 8.186894975246463702e-01
2.989153125000000077e+00 7.715489168283548027e-01
3.029821875000000109e+00 7.146037581980414499e-01
3.070490625000000140e+00 6.798481310776604003e-01
3.111159375000000171e+00 6.501696705220620931e-01
3.151828125000000203e+00 6.347956043003808446e-01
3.192496875000000234e+00 6.039702865943309407e-01
3.233165625000000265e+00 5.855280149101096399e-01
3.273834375000000296e+00 5.859603889196116633e-01
3.314503125000000328e+00 5.817579826987151481e-01
3.355171875000000359e+00 5.809358935514119526e-01
3.395840625000000390e+00 5.810229720642167139e-01
3.436509375000000421e+00 5.819946771845138089e-01
3.477178125000000453e+00 5.975585528051768902e-01
3.517846875000000484e+00 6.058222018575233347e-01
3.558515625000000071e+00 6.286623809880484970e-01
3.599184375000000102e+00 6.510314039169441402e-01
3.639853125000000134e+00 6.748527793555315624e-01
3.680521875000000165e+00 7.000143636582804030e-01
3.721190625000000196e+00 7.329544362049731365e-01
3.761859375000000227e+00 7.693837925027929847e-01
3.802528125000000259e+00 8.075622146024238335e-01
3.843196875000000290e+00 8.476038561355077050e-01
3.883865625000000321e+00 8.849463839131351817e-01
3.924534375000000352e+00 9.297040077601388397e-01
3.965203125000000384e+00 9.651361321159085405e-01
4.005871875000000415e+00 1.005336046690807006e+00
4.046540625000000446e+00 1.054152950208584683e+00
4.087209375000000477e+00 1.077492145381300226e+00
4.127878125000000509e+00 1.117794819232387438e+00
4.168546875000000540e+00 1.151960368688382141e+00
4.209215625000000571e+00 1.184732979925051222e+00
