# k_1_per_A S_k
1.000000000000000056e-01 -7.594358004654526706e-01
1.397993311036789255e-01 -6.771038758609886354e-01
1.795986622073578731e-01 -5.752739941558098202e-01
2.193979933110368208e-01 -4.599138004229417209e-01
2.591973244147157684e-01 -3.376452829960847613e-01
2.989966555183947161e-01 -2.152863524524535332e-01
3.387959866220736083e-01 -9.938605956443380407e-02
3.785953177257525004e-01 4.211887977600414779e-03
4.183946488294314481e-01 9.074519025991933940e-02
4.581939799331103957e-01 1.568215124259931814e-01
4.979933110367893434e-01 2.005995495427154163e-01
5.377926421404682911e-01 2.218512083876165164e-01
5.775919732441472387e-01 2.219029019351591581e-01
6.173913043478260754e-01 2.034633738555660099e-01
6.571906354515050230e-01 1.703541732740213588e-01
6.969899665551839707e-01 1.271661953247124055e-01
7.367892976588629184e-01 7.887102193622141932e-02
7.765886287625418660e-01 3.041873682042239846e-02
8.163879598662208137e-01 -1.364575688400693210e-02
8.561872909698997614e-01 -4.951811172768949554e-02
8.959866220735787090e-01 -7.439638479432963969e-02
9.357859531772575457e-01 -8.665068159350752808e-02
9.755852842809364933e-01 -8.588984956816170246e-02
1.015384615384615552e+00 -7.292313268677164118e-02
1.055183946488294389e+00 -4.962335874131085234e-02
1.094983277591973447e+00 -1.870618264872403458e-02
1.134782608695652284e+00 1.655349215343715485e-02
1.174581939799331343e+00 5.264207079800065081e-02
1.214381270903010179e+00 8.613647792303658068e-02
1.254180602006689238e+00 1.140136290926407892e-01
1.293979933110368075e+00 1.339140830506838631e-01
1.333779264214047133e+00 1.443382633685348360e-01
1.373578595317725970e+00 1.447598560900816844e-01
1.413377926421404807e+00 1.356484119405907407e-01
1.453177257525083865e+00 1.184011673608437176e-01
1.492976588628762702e+00 9.519196792166995102e-02
1.532775919732441761e+00 6.875226763051711654e-02
1.572575250836120597e+00 4.210489768369951591e-02
1.612374581939799656e+00 1.827517873311557128e-02
1.652173913043478493e+00 5.681144067182231083e-06
1.691973244147157551e+00 -1.049960907307334601e-02
1.731772575250836388e+00 -1.177871964373000679e-02
1.771571906354515225e+00 -3.244437688290302546e-03
1.811371237458194283e+00 1.476563934104602183e-02
1.851170568561873120e+00 4.102648241597817158e-02
1.890969899665552179e+00 7.354751106641310709e-02
1.930769230769231015e+00 1.097686450607779918e-01
1.970568561872910074e+00 1.468136810599347530e-01
2.010367892976588688e+00 1.817790610891996117e-01
2.050167224080267747e+00 2.120328662746117088e-01
2.089966555183946806e+00 2.354977555926670574e-01
2.129765886287625865e+00 2.508926645093972896e-01
2.169565217391304479e+00 2.579112880476209790e-01
2.209364548494983538e+00 2.573204285180917816e-01
2.249163879598662596e+00 2.509677706421248322e-01
2.288963210702341655e+00 2.416960217704963165e-01
2.328762541806020270e+00 2.331680177588818514e-01
2.368561872909699328e+00 2.296147209744303641e-01
2.408361204013378387e+00 2.355244320607021713e-01
2.448160535117057002e+00 2.552964867705225238e-01
2.487959866220736060e+00 2.928858188947003338e-01
2.527759197324415119e+00 3.514657966032025405e-01
2.567558528428094178e+00 4.331356080734682923e-01
2.607357859531772792e+00 5.386952821254646917e-01
2.647157190635451851e+00 6.675064430821104899e-01
2.686956521739130910e+00 8.174505188780252229e-01
2.726755852842809524e+00 9.849888564041030525e-01
2.766555183946488583e+00 1.165321621116197415e+00
2.806354515050167642e+00 1.352635059388594074e+00
2.846153846153846700e+00 1.540420242438310883e+00
2.885953177257525315e+00 1.721841276456482106e+00
2.925752508361204374e+00 1.890127530197912575e+00
2.965551839464883432e+00 2.038962935109333685e+00
3.005351170568562047e+00 2.162845935581967360e+00
3.045150501672241106e+00 2.257396131315750232e+00
3.084949832775920164e+00 2.319587834494724721e+00
3.124749163879599223e+00 2.347896308207499949e+00
3.164548494983277838e+00 2.342348909118714850e+00
3.204347826086956896e+00 2.304480217508892093e+00
3.244147157190635955e+00 2.237196974574840347e+00
3.283946488294315014e+00 2.144564757705723412e+00
3.323745819397993628e+00 2.031533369722271942e+00
3.363545150501672687e+00 1.903621553831958968e+00
3.403344481605351746e+00 1.766583648033278386e+00
3.443143812709030360e+00 1.626081070051210276e+00
3.482943143812709419e+00 1.487380121858583593e+00
3.522742474916388478e+00 1.355094694503063524e+00
3.562541806020067536e+00 1.232988321976193902e+00
3.602341137123746151e+00 1.123845043122940535e+00
3.642140468227425210e+00 1.029413100147185345e+00
3.681939799331104268e+00 9.504200643316373931e-01
3.721739130434782883e+00 8.866529485670876509e-01
3.761538461538461942e+00 8.370926056939085314e-01
3.801337792642141000e+00 8.000885074275151387e-01
3.841137123745820059e+00 7.735580397755670301e-01
