# time_fs msd_A2
0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 6.866860435153074316e-02
1.000000000000000000e+02 9.171569931889309024e-02
1.500000000000000000e+02 7.530767649589147072e-02
2.000000000000000000e+02 7.406400864113606153e-02
2.500000000000000000e+02 7.994912876366783161e-02
3.000000000000000000e+02 6.950096282379439327e-02
3.500000000000000000e+02 7.179268175490421955e-02
4.000000000000000000e+02 6.953628827578542393e-02
4.500000000000000000e+02 6.965834192330974672e-02
5.000000000000000000e+02 7.126264787290229052e-02
5.500000000000000000e+02 7.065503784277391008e-02
6.000000000000000000e+02 7.345478503972290019e-02
6.500000000000000000e+02 8.003915706210022740e-02
7.000000000000000000e+02 7.701778517556853720e-02
7.500000000000000000e+02 7.345276218627168341e-02
8.000000000000000000e+02 7.671766778214754445e-02
8.500000000000000000e+02 7.709870938441830412e-02
9.000000000000000000e+02 7.559544178856857088e-02
9.500000000000000000e+02 7.250191744661853288e-02
1.000000000000000000e+03 6.959946933690419613e-02
1.050000000000000000e+03 6.660497849196544973e-02
1.100000000000000000e+03 6.926808555909187703e-02
1.150000000000000000e+03 7.677005904960869376e-02
1.200000000000000000e+03 7.782812181980233723e-02
1.250000000000000000e+03 7.807097414119722190e-02
1.300000000000000000e+03 7.267687738656943008e-02
1.350000000000000000e+03 7.125144656402242205e-02
1.400000000000000000e+03 7.104405277415450082e-02
1.450000000000000000e+03 7.210536407612501419e-02
1.500000000000000000e+03 6.987026280384436849e-02
1.550000000000000000e+03 6.982781309067177811e-02
1.600000000000000000e+03 7.225744408812526109e-02
1.650000000000000000e+03 7.411828021835917268e-02
1.700000000000000000e+03 7.736174838103614115e-02
1.750000000000000000e+03 7.739479734698224977e-02
1.800000000000000000e+03 7.482721961669358546e-02
1.850000000000000000e+03 7.614108743781562716e-02
1.900000000000000000e+03 7.479658556597633401e-02
1.950000000000000000e+03 7.314204162947575416e-02
2.000000000000000000e+03 7.513509228325172817e-02
2.050000000000000000e+03 7.238876706338359668e-02
2.100000000000000000e+03 6.999525690142485712e-02
2.150000000000000000e+03 7.362837504113493858e-02
2.200000000000000000e+03 7.196104412793220828e-02
2.250000000000000000e+03 7.179009552171453090e-02
2.300000000000000000e+03 7.418055388388779259e-02
2.350000000000000000e+03 7.278099692448609936e-02
2.400000000000000000e+03 7.410589682448970317e-02
2.450000000000000000e+03 7.591156582571441380e-02
2.500000000000000000e+03 7.030162666740813471e-02
2.550000000000000000e+03 7.007407841296271755e-02
2.600000000000000000e+03 6.796670590166370429e-02
2.650000000000000000e+03 7.531404116300520479e-02
2.700000000000000000e+03 7.838271464806570443e-02
2.750000000000000000e+03 7.809087520766402890e-02
2.800000000000000000e+03 7.868219917080668258e-02
2.850000000000000000e+03 7.276655213531890709e-02
2.900000000000000000e+03 7.773137943593945443e-02
2.950000000000000000e+03 7.897819921558317524e-02
3.000000000000000000e+03 7.447046796377670974e-02
3.050000000000000000e+03 7.351079329779726390e-02
3.100000000000000000e+03 7.357343285891393414e-02
3.150000000000000000e+03 6.966321767932727449e-02
3.200000000000000000e+03 7.282861145987701290e-02
3.250000000000000000e+03 7.516945266663460634e-02
3.300000000000000000e+03 7.236324389784472289e-02
3.350000000000000000e+03 7.361464246107750353e-02
3.400000000000000000e+03 6.968046268289404543e-02
3.450000000000000000e+03 7.273121292342059341e-02
3.500000000000000000e+03 7.512615589724970511e-02
3.550000000000000000e+03 7.441721457343607182e-02
3.600000000000000000e+03 7.288218026407909667e-02
3.650000000000000000e+03 7.362679367751757964e-02
3.700000000000000000e+03 7.403744733502783115e-02
3.750000000000000000e+03 7.025673152285354106e-02
3.800000000000000000e+03 6.775324007911726065e-02
3.850000000000000000e+03 7.519455767427311865e-02
3.900000000000000000e+03 7.754364851615994092e-02
3.950000000000000000e+03 7.842981855952452230e-02
4.000000000000000000e+03 7.548491408473378961e-02
4.050000000000000000e+03 6.971324608594740846e-02
4.100000000000000000e+03 6.528284832592050335e-02
4.150000000000000000e+03 7.052989877001202002e-02
4.200000000000000000e+03 7.188105427522718804e-02
4.250000000000000000e+03 6.962732284096556645e-02
4.300000000000000000e+03 7.028205240383833541e-02
4.350000000000000000e+03 7.417488903162328118e-02
4.400000000000000000e+03 7.080124280550501026e-02
4.450000000000000000e+03 7.272413116114052889e-02
4.500000000000000000e+03 7.372595633087519751e-02
4.550000000000000000e+03 7.626560987248574841e-02
4.600000000000000000e+03 7.903485740418737804e-02
4.650000000000000000e+03 7.402805304273149534e-02
4.700000000000000000e+03 6.622850184714509925e-02
4.750000000000000000e+03 6.885116258467631478e-02
4.800000000000000000e+03 6.880848872727149401e-02
4.850000000000000000e+03 7.203876267749939610e-02
4.900000000000000000e+03 7.454504497132888319e-02
4.950000000000000000e+03 7.706433288431330242e-02
5.000000000000000000e+03 8.114108402676767362e-02
5.050000000000000000e+03 8.047269782261799731e-02
5.100000000000000000e+03 8.142595609011468727e-02
5.150000000000000000e+03 7.396097784224447969e-02
5.200000000000000000e+03 6.850076417273560925e-02
5.250000000000000000e+03 6.952856275262281338e-02
5.300000000000000000e+03 7.660789779408361255e-02
5.350000000000000000e+03 7.422451793724146873e-02
5.400000000000000000e+03 6.988405205269532239e-02
5.450000000000000000e+03 7.050736105418221877e-02
5.500000000000000000e+03 7.497677710281555608e-02
5.550000000000000000e+03 8.164832908936427158e-02
5.600000000000000000e+03 7.751658218358543906e-02
5.650000000000000000e+03 7.647937327904426319e-02
5.700000000000000000e+03 7.503299058876322647e-02
5.750000000000000000e+03 7.405514933176998715e-02
5.800000000000000000e+03 7.391042815803371135e-02
5.850000000000000000e+03 7.870515409220116276e-02
5.900000000000000000e+03 7.434706934167399639e-02
5.950000000000000000e+03 6.735555531373325910e-02
6.000000000000000000e+03 7.580673855719129162e-02
6.050000000000000000e+03 8.121643068121277287e-02
6.100000000000000000e+03 8.157102033204054192e-02
6.150000000000000000e+03 8.277290308843876510e-02
6.200000000000000000e+03 7.810714307382200794e-02
6.250000000000000000e+03 7.205556118858950920e-02
6.300000000000000000e+03 7.027777079277067185e-02
6.350000000000000000e+03 7.461924251403345698e-02
6.400000000000000000e+03 7.692185935169587596e-02
6.450000000000000000e+03 7.319763837658410655e-02
6.500000000000000000e+03 6.765967522148344515e-02
6.550000000000000000e+03 6.761227085579668561e-02
6.600000000000000000e+03 7.264847085727675624e-02
6.650000000000000000e+03 7.837980926410870186e-02
6.700000000000000000e+03 7.690764813627033736e-02
6.750000000000000000e+03 7.552041944390716632e-02
6.800000000000000000e+03 7.450989197296814526e-02
6.850000000000000000e+03 7.451738557859570455e-02
6.900000000000000000e+03 7.824951535399313207e-02
6.950000000000000000e+03 7.425924871603550859e-02
7.000000000000000000e+03 7.115998135199205765e-02
7.050000000000000000e+03 7.006503546808995342e-02
7.100000000000000000e+03 7.423263497395624078e-02
7.150000000000000000e+03 8.304128746809003037e-02
7.200000000000000000e+03 8.165698805275022065e-02
7.250000000000000000e+03 8.104941058676888577e-02
7.300000000000000000e+03 7.810413727437059972e-02
7.350000000000000000e+03 7.422978549083671107e-02
7.400000000000000000e+03 7.715946762666456293e-02
7.450000000000000000e+03 6.975934472737725656e-02
7.500000000000000000e+03 7.436177150756409504e-02
7.550000000000000000e+03 7.434915511846480751e-02
7.600000000000000000e+03 7.199634557553669101e-02
7.650000000000000000e+03 7.785242027764928407e-02
7.700000000000000000e+03 8.211014225771501307e-02
7.750000000000000000e+03 7.505655958265933236e-02
7.800000000000000000e+03 7.634330871029308685e-02
7.850000000000000000e+03 7.742577817520655825e-02
7.900000000000000000e+03 7.380252512281403054e-02
7.950000000000000000e+03 7.108658906183944193e-02
8.000000000000000000e+03 7.431731186734304162e-02
8.050000000000000000e+03 7.637172289451144014e-02
8.100000000000000000e+03 7.282769575543546203e-02
8.150000000000000000e+03 7.239664197355975828e-02
8.200000000000000000e+03 7.308559300554517968e-02
8.250000000000000000e+03 7.407396060703783092e-02
8.300000000000000000e+03 7.279296894034670284e-02
8.350000000000000000e+03 7.226262000387473350e-02
8.400000000000000000e+03 7.501918916263963788e-02
8.450000000000000000e+03 7.651994802621890635e-02
8.500000000000000000e+03 7.970390056319588690e-02
8.550000000000000000e+03 7.475434949742665314e-02
8.600000000000000000e+03 7.191381118193723720e-02
8.650000000000000000e+03 7.563423377541210468e-02
8.700000000000000000e+03 7.115148158158042524e-02
8.750000000000000000e+03 6.944539141055297571e-02
8.800000000000000000e+03 7.927285651141512124e-02
8.850000000000000000e+03 7.649808754336419325e-02
8.900000000000000000e+03 7.353580031230004532e-02
8.950000000000000000e+03 7.422618858347755644e-02
9.000000000000000000e+03 7.824391603167844822e-02
9.050000000000000000e+03 7.955595011945643114e-02
9.100000000000000000e+03 7.921034760002777786e-02
9.150000000000000000e+03 8.013536330929486862e-02
9.200000000000000000e+03 7.914408241940609767e-02
9.250000000000000000e+03 7.034311417535753230e-02
9.300000000000000000e+03 7.365080627778991529e-02
9.350000000000000000e+03 7.440288152754076512e-02
9.400000000000000000e+03 7.260485873639495324e-02
9.450000000000000000e+03 7.878948677244372589e-02
9.500000000000000000e+03 8.004456530484369003e-02
9.550000000000000000e+03 7.636459159589767398e-02
9.600000000000000000e+03 7.832024345401937537e-02
9.650000000000000000e+03 8.009327475889248260e-02
9.700000000000000000e+03 7.749096337845884364e-02
9.750000000000000000e+03 7.168656990032894194e-02
9.800000000000000000e+03 6.835970602472110635e-02
9.850000000000000000e+03 7.533397987048010003e-02
