# k_1_per_A S_k
1.000000000000000056e-01 -8.037013241409836084e-01
1.397993311036789255e-01 -7.169504318212414073e-01
1.795986622073578731e-01 -6.096461051900754491e-01
2.193979933110368208e-01 -4.880699918668254256e-01
2.591973244147157684e-01 -3.591931851011929133e-01
2.989966555183947161e-01 -2.301940101597304000e-01
3.387959866220736083e-01 -1.079690760129514704e-01
3.785953177257525004e-01 1.325964630997211735e-03
4.183946488294314481e-01 9.267217246632397654e-02
4.581939799331103957e-01 1.624911084216781321e-01
4.979933110367893434e-01 2.088356285821593161e-01
5.377926421404682911e-01 2.314556982376988481e-01
5.775919732441472387e-01 2.317371014393626583e-01
6.173913043478260754e-01 2.125208248931662602e-01
6.571906354515050230e-01 1.778200425253033679e-01
6.969899665551839707e-01 1.324592955740303557e-01
7.367892976588629184e-01 8.166605505679291888e-02
7.765886287625418660e-01 3.064794560962280645e-02
8.163879598662208137e-01 -1.581071398302635878e-02
8.561872909698997614e-01 -5.370173056724358851e-02
8.959866220735787090e-01 -8.006870693257139848e-02
9.357859531772575457e-01 -9.318591950171084548e-02
9.755852842809364933e-01 -9.262908998252883386e-02
1.015384615384615552e+00 -7.923582755601854544e-02
1.055183946488294389e+00 -5.496261190488072046e-02
1.094983277591973447e+00 -2.265353762529986881e-02
1.134782608695652284e+00 1.425702911283499574e-02
1.174581939799331343e+00 5.208077087829499074e-02
1.214381270903010179e+00 8.722099638067637439e-02
1.254180602006689238e+00 1.164976774509028923e-01
1.293979933110368075e+00 1.374245700769990419e-01
1.333779264214047133e+00 1.484157261763132674e-01
1.373578595317725970e+00 1.489052204341897445e-01
1.413377926421404807e+00 1.393716968557208169e-01
1.453177257525083865e+00 1.212677111858664336e-01
1.492976588628762702e+00 9.686209491196950960e-02
1.532775919732441761e+00 6.901099930096177282e-02
1.572575250836120597e+00 4.087927506552702095e-02
1.612374581939799656e+00 1.563791303013328804e-02
1.652173913043478493e+00 -3.834911356626280465e-03
1.691973244147157551e+00 -1.522221421576674949e-02
1.731772575250836388e+00 -1.698190792921128178e-02
1.771571906354515225e+00 -8.486678209143283524e-03
1.811371237458194283e+00 9.922566838802437950e-03
1.851170568561873120e+00 3.697466637927993016e-02
1.890969899665552179e+00 7.059457222271159349e-02
1.930769230769231015e+00 1.081073481596703800e-01
1.970568561872910074e+00 1.465022292151167971e-01
2.010367892976588688e+00 1.827338507837856785e-01
2.050167224080267747e+00 2.140343794031526192e-01
2.089966555183946806e+00 2.382091140732812695e-01
2.129765886287625865e+00 2.538892714731874056e-01
2.169565217391304479e+00 2.607190203350686630e-01
2.209364548494983538e+00 2.594591078597618949e-01
2.249163879598662596e+00 2.519961854067477303e-01
2.288963210702341655e+00 2.412546330004593509e-01
2.328762541806020270e+00 2.310156708103475731e-01
2.368561872909699328e+00 2.256561785469175518e-01
2.408361204013378387e+00 2.298263015452787217e-01
2.448160535117057002e+00 2.480900692610594760e-01
2.487959866220736060e+00 2.845564780615748024e-01
2.527759197324415119e+00 3.425295436301201146e-01
2.567558528428094178e+00 4.242046337857182658e-01
2.607357859531772792e+00 5.304350556119650228e-01
2.647157190635451851e+00 6.605876671707889836e-01
2.686956521739130910e+00 8.124996352550473144e-01
2.726755852842809524e+00 9.825408981807213227e-01
2.766555183946488583e+00 1.165779014075887465e+00
2.806354515050167642e+00 1.356235495286248316e+00
2.846153846153846700e+00 1.547216031156325666e+00
2.885953177257525315e+00 1.731691689470102435e+00
2.925752508361204374e+00 1.902704649559790795e+00
2.965551839464883432e+00 2.053770500609734206e+00
3.005351170568562047e+00 2.179249718459942642e+00
3.045150501672241106e+00 2.274663529973072418e+00
3.084949832775920164e+00 2.336933747888318536e+00
3.124749163879599223e+00 2.364531940829689649e+00
3.164548494983277838e+00 2.357530022531357794e+00
3.204347826086956896e+00 2.317551470645064171e+00
3.244147157190635955e+00 2.247629370769939960e+00
3.283946488294315014e+00 2.151983804005975109e+00
3.323745819397993628e+00 2.035736301363447520e+00
3.363545150501672687e+00 1.904582821074974675e+00
3.403344481605351746e+00 1.764448735637693000e+00
3.443143812709030360e+00 1.621149553706134228e+00
3.482943143812709419e+00 1.480079598706701027e+00
3.522742474916388478e+00 1.345947804742359644e+00
3.562541806020067536e+00 1.222575467782823333e+00
3.602341137123746151e+00 1.112765588714024201e+00
3.642140468227425210e+00 1.018247799097178552e+00
3.681939799331104268e+00 9.396972206765410451e-01
3.721739130434782883e+00 8.768204053355359573e-01
3.761538461538461942e+00 8.284971090054390475e-01
3.801337792642141000e+00 7.929633652153238454e-01
3.841137123745820059e+00 7.680193345096290036e-01
3.880936454849498674e+00 7.512447957738891402e-01
3.920735785953177732e+00 7.402058822525365844e-01
3.960535117056856791e+00 7.326386111514582300e-01
4.000334448160534961e+00 7.265976846913565490e-01
4.040133779264214020e+00 7.205626596905813086e-01
4.079933110367893079e+00 7.134975606318478825e-01
4.119732441471572137e+00 7.048640062684796703e-01
4.159531772575251196e+00 6.945916093506305788e-01
4.199331103678930255e+00 6.830125143884326899e-01
4.239130434782608425e+00 6.707692457021190435e-01
4.278929765886287484e+00 6.587064124798203135e-01
4.318729096989966543e+00 6.477572100913225883e-01
4.358528428093645601e+00 6.388351034462713685e-01
4.398327759197324660e+00 6.327396918497986134e-01
4.438127090301003719e+00 6.300837118621205324e-01
4.477926421404682777e+00 6.312456558977428411e-01
4.517725752508360948e+00 6.363498135749017237e-01
4.557525083612040007e+00 6.452729248367370385e-01
4.597324414715719065e+00 6.576742929909792368e-01
4.637123745819398124e+00 6.730443278930622331e-01
4.676923076923077183e+00 6.907652079358028718e-01
4.716722408026756241e+00 7.101767367187992175e-01
4.756521739130435300e+00 7.306405349083656686e-01
4.796321070234113471e+00 7.515963977543296259e-01
4.836120401337792529e+00 7.726058593122335783e-01
4.875919732441471588e+00 7.933795907471089537e-01
4.915719063545150647e+00 8.137870523827838154e-01
4.955518394648829705e+00 8.338486393952504461e-01
4.995317725752508764e+00 8.537122394969525185e-01
5.035117056856187823e+00 8.736175110421738887e-01
5.074916387959865993e+00 8.938521802659878945e-01
5.114715719063545052e+00 9.147051787276494483e-01
5.154515050167224111e+00 9.364214754623891857e-01
5.194314381270903169e+00 9.591630282932855911e-01
