# time_fs temperature_K pressure_eV_per_A3 kinetic_energy_eV potential_energy_eV total_energy_eV
0.000000000000000000e+00 8.103016460112086861e+03 8.676623923384949033e-02 5.226505535917609677e+02 -2.551349936589280674e+02 2.675155599328329004e+02
5.000000000000000000e+01 8.164893767578920233e+03 -7.424789849884678994e-02 5.266416856796082584e+02 -2.735089715978481877e+02 2.531327140817600707e+02
1.000000000000000000e+02 7.810679860194231878e+03 8.982057705563824268e-02 5.037946267237453526e+02 -2.498526655624187640e+02 2.539419611613265886e+02
1.500000000000000000e+02 7.844378565808673557e+03 1.179781008254929403e-01 5.059682181549628126e+02 -2.469702943340129764e+02 2.589979238209498362e+02
2.000000000000000000e+02 8.076920242299599522e+03 9.765529196959253644e-02 5.209673282455595427e+02 -2.688894196546690409e+02 2.520779085908905017e+02
2.500000000000000000e+02 8.015585671313559942e+03 1.251931926651307925e-01 5.170112030620592805e+02 -2.872064068541430970e+02 2.298047962079161834e+02
3.000000000000000000e+02 7.885448318276893588e+03 1.599692963841934518e-02 5.086172475588960538e+02 -2.591542211612857614e+02 2.494630263976102924e+02
3.500000000000000000e+02 8.005031197307153889e+03 5.947892907561089931e-02 5.163304316839592047e+02 -2.572152392477597687e+02 2.591151924361994361e+02
4.000000000000000000e+02 7.970004081068298547e+03 7.572000719363813914e-02 5.140711567851510608e+02 -2.655105231296237207e+02 2.485606336555273401e+02
4.500000000000000000e+02 7.796691546831856613e+03 7.605066911182892242e-02 5.028923701679738656e+02 -2.403351043144723178e+02 2.625572658535015762e+02
5.000000000000000000e+02 8.068294424467317185e+03 1.175742475174321872e-01 5.204109566168683614e+02 -2.872552545463594242e+02 2.331557020705089371e+02
5.500000000000000000e+02 8.051206448582372104e+03 1.192114538492986507e-03 5.193087695362925160e+02 -2.887348552653880915e+02 2.305739142709044245e+02
6.000000000000000000e+02 7.980094013743254436e+03 7.947886764444721253e-02 5.147219649038595435e+02 -2.775026207388848434e+02 2.372193441649747001e+02
6.500000000000000000e+02 8.120569851008856858e+03 1.019366229211524505e-01 5.237827602847586377e+02 -2.717189764348954668e+02 2.520637838498631709e+02
7.000000000000000000e+02 8.016911015362486978e+03 7.821020767884981351e-02 5.170966887332634769e+02 -2.819911061955808123e+02 2.351055825376826647e+02
7.500000000000000000e+02 7.862452642854894293e+03 6.456055651759802505e-02 5.071340094896303867e+02 -2.601722658179448331e+02 2.469617436716855536e+02
8.000000000000000000e+02 8.012186467088878999e+03 1.112927732233201794e-01 5.167919518759674702e+02 -2.956516620183610371e+02 2.211402898576064331e+02
8.500000000000000000e+02 7.878572254186706232e+03 2.417012826141106546e-02 5.081737363404554344e+02 -2.649199750422072270e+02 2.432537612982482074e+02
9.000000000000000000e+02 7.865555307798533249e+03 1.314107411423514615e-01 5.073341336728139481e+02 -2.735626874940266475e+02 2.337714461787873006e+02
9.500000000000000000e+02 8.043853867153509782e+03 5.709550115189126335e-02 5.188345225971384025e+02 -2.803601864447451817e+02 2.384743361523932208e+02
1.000000000000000000e+03 8.086791835270360934e+03 8.673871254086719385e-02 5.216040532918924555e+02 -2.804219833312936316e+02 2.411820699605988239e+02
1.050000000000000000e+03 8.208385403976240923e+03 5.557302745000603644e-02 5.294469283878720489e+02 -2.883456572173471955e+02 2.411012711705248535e+02
1.100000000000000000e+03 7.969101306937312074e+03 7.440011333352156142e-02 5.140129271861305824e+02 -2.527948943920639522e+02 2.612180327940666302e+02
1.150000000000000000e+03 7.896334018167206523e+03 4.862154768636708230e-02 5.093193832514387509e+02 -2.362834227934033891e+02 2.730359604580353334e+02
1.200000000000000000e+03 7.999304050817191637e+03 2.715443537621502548e-02 5.159610265003199174e+02 -2.626017474142569768e+02 2.533592790860629407e+02
1.250000000000000000e+03 8.109618648409407797e+03 1.420768418337338135e-01 5.230763996190395346e+02 -2.701839649148734566e+02 2.528924347041660781e+02
1.300000000000000000e+03 8.227233104553955854e+03 4.441065025558624951e-02 5.306626190123902234e+02 -2.701950508826552664e+02 2.604675681297349570e+02
1.350000000000000000e+03 7.775266767074231211e+03 1.202736138195716342e-01 5.015104560306861003e+02 -2.422420131491254267e+02 2.592684428815606452e+02
1.400000000000000000e+03 8.051470294442045997e+03 6.518990962986788429e-02 5.193257877893468049e+02 -2.814234082835490653e+02 2.379023795057977395e+02
