# k_1_per_A S_k
1.000000000000000056e-01 -6.634700180900008348e-01
1.397993311036789255e-01 -5.948270733889726714e-01
1.795986622073578731e-01 -5.095748122492580467e-01
2.193979933110368208e-01 -4.124499433892132583e-01
2.591973244147157684e-01 -3.087453705542906324e-01
2.989966555183947161e-01 -2.039627291059560310e-01
3.387959866220736083e-01 -1.034563076256276304e-01
3.785953177257525004e-01 -1.209353872224583348e-02
4.183946488294314481e-01 6.604421577611874206e-02
4.581939799331103957e-01 1.279000647029674420e-01
4.979933110367893434e-01 1.716033488568370347e-01
5.377926421404682911e-01 1.965447636328091496e-01
5.775919732441472387e-01 2.033613439621206886e-01
6.173913043478260754e-01 1.938344934784352880e-01
6.571906354515050230e-01 1.707105930823095141e-01
6.969899665551839707e-01 1.374592713879838612e-01
7.367892976588629184e-01 9.798874864159212716e-02
7.765886287625418660e-01 5.634046166613004836e-02
8.163879598662208137e-01 1.638624620423623224e-02
8.561872909698997614e-01 -1.844936437630506632e-02
8.959866220735787090e-01 -4.542158938976270655e-02
9.357859531772575457e-01 -6.263638653945169388e-02
9.755852842809364933e-01 -6.914885339588106028e-02
1.015384615384615552e+00 -6.498378109127456170e-02
1.055183946488294389e+00 -5.107924961970300437e-02
1.094983277591973447e+00 -2.916012121012601099e-02
1.134782608695652284e+00 -1.553607075144514127e-03
1.174581939799331343e+00 2.903665263557497767e-02
1.214381270903010179e+00 5.977866417046306946e-02
1.254180602006689238e+00 8.796166740564570485e-02
1.293979933110368075e+00 1.112269397350357236e-01
1.333779264214047133e+00 1.277614781747038464e-01
1.373578595317725970e+00 1.364396089631948472e-01
1.413377926421404807e+00 1.369021039515665450e-01
1.453177257525083865e+00 1.295676796460770719e-01
1.492976588628762702e+00 1.155773856322345194e-01
1.532775919732441761e+00 9.667790019118815970e-02
1.572575250836120597e+00 7.505470243266565422e-02
1.612374581939799656e+00 5.313009137677338067e-02
1.652173913043478493e+00 3.334376170682196161e-02
1.691973244147157551e+00 1.793491532230206964e-02
1.731772575250836388e+00 8.744598177425011443e-03
1.771571906354515225e+00 7.055138944584871119e-03
1.811371237458194283e+00 1.348038656040606575e-02
1.851170568561873120e+00 2.791616206132652156e-02
1.890969899665552179e+00 4.955530646970363051e-02
1.930769230769231015e+00 7.696632845767570341e-02
1.970568561872910074e+00 1.082293654794388438e-01
2.010367892976588688e+00 1.411183928579370361e-01
2.050167224080267747e+00 1.733147269436238203e-01
2.089966555183946806e+00 2.026341784801058976e-01
2.129765886287625865e+00 2.272489321337697321e-01
2.169565217391304479e+00 2.458854571396320576e-01
2.209364548494983538e+00 2.579814725032770761e-01
2.249163879598662596e+00 2.637880618398076304e-01
2.288963210702341655e+00 2.644072162195203468e-01
2.328762541806020270e+00 2.617600512547533231e-01
2.368561872909699328e+00 2.584863105557685392e-01
2.408361204013378387e+00 2.577811160540984803e-01
2.448160535117057002e+00 2.631798444102941836e-01
2.487959866220736060e+00 2.783061209134731762e-01
2.527759197324415119e+00 3.066009150854430709e-01
2.567558528428094178e+00 3.510523702842930360e-01
2.607357859531772792e+00 4.139461816179811349e-01
2.647157190635451851e+00 4.966550433439160805e-01
2.686956521739130910e+00 5.994830213450961232e-01
2.726755852842809524e+00 7.215768736592849120e-01
2.766555183946488583e+00 8.609116337209216097e-01
2.806354515050167642e+00 1.014352541021160681e+00
2.846153846153846700e+00 1.177790041479380267e+00
2.885953177257525315e+00 1.346339479358028779e+00
2.925752508361204374e+00 1.514592633871298277e+00
2.965551839464883432e+00 1.676904734546333042e+00
3.005351170568562047e+00 1.827698262677000862e+00
3.045150501672241106e+00 1.961763862731478847e+00
3.084949832775920164e+00 2.074539096691486062e+00
3.124749163879599223e+00 2.162347522144515644e+00
3.164548494983277838e+00 2.222583510568091114e+00
3.204347826086956896e+00 2.253832110951293988e+00
3.244147157190635955e+00 2.255917806655298286e+00
3.283946488294315014e+00 2.229880870619147082e+00
3.323745819397993628e+00 2.177884841773003899e+00
3.363545150501672687e+00 2.103063082320776545e+00
3.403344481605351746e+00 2.009316127320190049e+00
3.443143812709030360e+00 1.901074359605384512e+00
3.482943143812709419e+00 1.783042264877326977e+00
3.522742474916388478e+00 1.659941059755582149e+00
3.562541806020067536e+00 1.536265844971544059e+00
3.602341137123746151e+00 1.416071707761259013e+00
3.642140468227425210e+00 1.302800549048562795e+00
3.681939799331104268e+00 1.199157070259325053e+00
3.721739130434782883e+00 1.107038591249852377e+00
3.761538461538461942e+00 1.027519474390207410e+00
3.801337792642141000e+00 9.608871872068861508e-01
3.841137123745820059e+00 9.067237099789828836e-01
3.880936454849498674e+00 8.640233052688979232e-01
3.920735785953177732e+00 8.313357759134835101e-01
3.960535117056856791e+00 8.069233415025305334e-01
4.000334448160534961e+00 7.889191842889630157e-01
4.040133779264214020e+00 7.754765072399849579e-01
4.079933110367893079e+00 7.648984998021856052e-01
4.119732441471572137e+00 7.557417594287001439e-01
4.159531772575251196e+00 7.468882707221926598e-01
4.199331103678930255e+00 7.375837812414445249e-01
4.239130434782608425e+00 7.274431138739798630e-01
4.278929765886287484e+00 7.164254158563967412e-01
4.318729096989966543e+00 7.047843902330697130e-01
4.358528428093645601e+00 6.930000555379357552e-01
4.398327759197324660e+00 6.816994531219434661e-01
4.438127090301003719e+00 6.715739424265876334e-01
4.477926421404682777e+00 6.633003195815125874e-01
4.517725752508360948e+00 6.574720392020996229e-01
4.557525083612040007e+00 6.545454279402866948e-01
4.597324414715719065e+00 6.548040940293605727e-01
4.637123745819398124e+00 6.583429175138251210e-01
4.676923076923077183e+00 6.650712100609256217e-01
4.716722408026756241e+00 6.747330083714808691e-01
4.756521739130435300e+00 6.869411351541558908e-01
4.796321070234113471e+00 7.012207181514537035e-01
4.836120401337792529e+00 7.170573546195122550e-01
4.875919732441471588e+00 7.339450595074901162e-01
4.915719063545150647e+00 7.514295147688001553e-01
4.955518394648829705e+00 7.691428844064064352e-01
4.995317725752508764e+00 7.868274869211554501e-01
5.035117056856187823e+00 8.043468169930453326e-01
5.074916387959865993e+00 8.216836660860494801e-01
5.114715719063545052e+00 8.389262935686876421e-01
5.154515050167224111e+00 8.562446436078372525e-01
5.194314381270903169e+00 8.738594058056073921e-01
5.234113712374582228e+00 8.920072222375632354e-01
5.273913043478261287e+00 9.109055223632246401e-01
5.313712374581940345e+00 9.307203224585378631e-01
5.353511705685618516e+00 9.515398883318932910e-01
5.393311036789297575e+00 9.733564838870761848e-01
5.433110367892976633e+00 9.960575865029366316e-01
5.472909698996655692e+00 1.019427026965597616e+00
5.512709030100334751e+00 1.043155593502219869e+00
5.552508361204013809e+00 1.066859808163418188e+00
5.592307692307692868e+00 1.090106909387457579e+00
5.632107023411371038e+00 1.112443609609322426e+00
5.671906354515050097e+00 1.133425972548396832e+00
5.711705685618729156e+00 1.152647779599508260e+00
5.751505016722408214e+00 1.169765014184187546e+00
5.791304347826087273e+00 1.184514552302431190e+00
5.831103678929766332e+00 1.196725755903019328e+00
5.870903010033445391e+00 1.206324361144531565e+00
5.910702341137123561e+00 1.213328769314169664e+00
5.950501672240802620e+00 1.217839518567973789e+00
5.990301003344481678e+00 1.220023281333761922e+00
6.030100334448160737e+00 1.220093148807565253e+00
6.069899665551839796e+00 1.218287199794216846e+00
6.109698996655518854e+00 1.214847393273643439e+00
6.149498327759197913e+00 1.210000677747603337e+00
6.189297658862876084e+00 1.203943897758531945e+00
6.229096989966555142e+00 1.196833635254574757e+00
6.268896321070234201e+00 1.188781597251466149e+00
6.308695652173913260e+00 1.179855603667419039e+00
6.348494983277592318e+00 1.170085693065625598e+00
6.388294314381271377e+00 1.159474397911029575e+00
6.428093645484950436e+00 1.148009884954162008e+00
6.467892976588629494e+00 1.135680438835552586e+00
6.507692307692307665e+00 1.122488702402214766e+00
6.547491638795986724e+00 1.108464175317078304e+00
6.587290969899665782e+00 1.093672699023898520e+00
6.627090301003344841e+00 1.078221994487408741e+00
