# time_fs temperature_K pressure_eV_per_A3 total_energy_eV
0.000000000000000000e+00 3.943469998820856745e+03 1.020191902974802722e-01 -2.509433853990845478e+02
1.000000000000000000e+00 3.934345922736243665e+03 1.009515166721847157e-01 -2.509273843166122901e+02
2.000000000000000000e+00 3.925697925222346385e+03 1.046784312189755484e-01 -2.509553462449326560e+02
3.000000000000000000e+00 3.917831373409200296e+03 1.076393081014114239e-01 -2.509273644644708554e+02
4.000000000000000000e+00 3.911067950024481434e+03 1.081332755672448215e-01 -2.508993573727383932e+02
5.000000000000000000e+00 3.905868082130225503e+03 1.113803411674779281e-01 -2.508673659584613347e+02
6.000000000000000000e+00 3.902870201844819348e+03 1.085799666664312435e-01 -2.508393695089153823e+02
7.000000000000000000e+00 3.902923549244501828e+03 1.221217034413882435e-01 -2.508393505002395045e+02
8.000000000000000000e+00 3.906921874806892902e+03 1.281548918275200732e-01 -2.508353271220701686e+02
9.000000000000000000e+00 3.915601552889557297e+03 1.292509573233601716e-01 -2.508393265798382288e+02
1.000000000000000000e+01 3.929266772259285062e+03 1.298782822638678003e-01 -2.508833127380351016e+02
1.100000000000000000e+01 3.947534140045257118e+03 1.303402157816299367e-01 -2.508953469938110743e+02
1.200000000000000000e+01 3.969338063529507508e+03 1.289341008506132424e-01 -2.509313541321637615e+02
1.300000000000000000e+01 3.993244251758972496e+03 1.291684982506338120e-01 -2.509433678735376247e+02
1.400000000000000000e+01 4.017807029377904655e+03 1.253433817380940618e-01 -2.510033704316379897e+02
1.500000000000000000e+01 4.041886107687842468e+03 1.447547647046264485e-01 -2.510033820410457679e+02
1.600000000000000000e+01 4.064926902972688367e+03 1.458654143776651479e-01 -2.509993750752297217e+02
1.700000000000000000e+01 4.086965018073365627e+03 1.419357234713513605e-01 -2.510273315453893872e+02
1.800000000000000000e+01 4.108525647070037849e+03 1.319860689445804258e-01 -2.510432948297585654e+02
1.900000000000000000e+01 4.130550124282975048e+03 1.326879481510372383e-01 -2.510672705021997331e+02
2.000000000000000000e+01 4.154168422873584859e+03 1.328180275794613452e-01 -2.510712682997707077e+02
2.100000000000000000e+01 4.180449795877505494e+03 1.326855157066710589e-01 -2.510872437628267448e+02
2.200000000000000000e+01 4.210091972903273927e+03 1.255534694760574999e-01 -2.510592372836278230e+02
2.300000000000000000e+01 4.243220066999037044e+03 1.353839952237327893e-01 -2.510272751427175422e+02
2.400000000000000000e+01 4.279154361578087446e+03 1.276722768226803972e-01 -2.510632851651795647e+02
2.500000000000000000e+01 4.316357969324023543e+03 1.345288346423241799e-01 -2.510433391860677261e+02
2.600000000000000000e+01 4.352618977760956113e+03 1.344944344560023430e-01 -2.510034448197055497e+02
2.700000000000000000e+01 4.385301088435900056e+03 1.353461075641804734e-01 -2.510074915330843055e+02
2.800000000000000000e+01 4.411758777690977695e+03 1.403056173642314441e-01 -2.509435795329077337e+02
2.900000000000000000e+01 4.429721038083884196e+03 1.346886292382238892e-01 -2.509436550728082409e+02
3.000000000000000000e+01 4.437590135910088065e+03 1.352574946177794168e-01 -2.509596508486106643e+02
3.100000000000000000e+01 4.434622758192761466e+03 1.250323719788395127e-01 -2.509756507145413309e+02
3.200000000000000000e+01 4.421006837752582214e+03 1.264530445290881766e-01 -2.508996488918378702e+02
3.300000000000000000e+01 4.397786662720406639e+03 1.276315230046606020e-01 -2.508836169928783590e+02
3.400000000000000000e+01 4.366829846706810713e+03 1.184191000396526972e-01 -2.508795811119127279e+02
3.500000000000000000e+01 4.330670863165419178e+03 1.219772879786929776e-01 -2.508875581694688321e+02
3.600000000000000000e+01 4.292321037831867216e+03 1.186544897160622808e-01 -2.508955064710403633e+02
3.700000000000000000e+01 4.254879958175602951e+03 1.188635654560623589e-01 -2.508954695292225665e+02
3.800000000000000000e+01 4.221168026623216065e+03 1.137411842750593038e-01 -2.508914314704375386e+02
3.900000000000000000e+01 4.193247315516897288e+03 1.156536507412765091e-01 -2.508914221390621151e+02
4.000000000000000000e+01 4.172033701440564982e+03 1.124746291244814456e-01 -2.508474653483314398e+02
4.100000000000000000e+01 4.157214671641676432e+03 1.106560750617298639e-01 -2.508514899346915570e+02
4.200000000000000000e+01 4.147509909102869642e+03 1.124708590994144275e-01 -2.508595194515574178e+02
4.300000000000000000e+01 4.141218310057912277e+03 1.143211247545777021e-01 -2.508715244686092944e+02
4.400000000000000000e+01 4.136797095128376895e+03 1.161697014267735750e-01 -2.508755417040438829e+02
4.500000000000000000e+01 4.133195786973295071e+03 1.178480405446428042e-01 -2.508635520560677321e+02
4.600000000000000000e+01 4.129813232809914552e+03 1.195454300686142612e-01 -2.508435763135563263e+02
4.700000000000000000e+01 4.126305993794922870e+03 1.241205819747126654e-01 -2.508715699046220777e+02
4.800000000000000000e+01 4.122332428933172196e+03 1.167133755555338631e-01 -2.508675789689833096e+02
4.900000000000000000e+01 4.117493110517067180e+03 1.195954691831521699e-01 -2.508396097073190276e+02
5.000000000000000000e+01 4.111333578526063320e+03 1.261589233969055424e-01 -2.508076189912812879e+02
5.100000000000000000e+01 4.103520513802897767e+03 1.274465127985550394e-01 -2.508156078030550873e+02
5.200000000000000000e+01 4.094001398692518706e+03 1.267287636705263232e-01 -2.508555885299008708e+02
5.300000000000000000e+01 4.083059498271905795e+03 1.135409921517106652e-01 -2.508515832030608124e+02
5.400000000000000000e+01 4.071228820102629925e+03 1.142439812018676421e-01 -2.508475736022358831e+02
5.500000000000000000e+01 4.059197819012568289e+03 1.157317136180264078e-01 -2.508515439662870108e+02
5.600000000000000000e+01 4.047649348920077045e+03 1.163401081671190662e-01 -2.508555242904011209e+02
5.700000000000000000e+01 4.037147390218950477e+03 1.165341295184820908e-01 -2.508115272698792353e+02
5.800000000000000000e+01 4.028067576657947029e+03 1.250265597778574822e-01 -2.508315093024009172e+02
5.900000000000000000e+01 4.020580749398396165e+03 1.295966684007917591e-01 -2.508155079677020751e+02
6.000000000000000000e+01 4.014694370598732803e+03 1.357093572620592659e-01 -2.508155182080208760e+02
6.100000000000000000e+01 4.010348077312412897e+03 1.367877470264970974e-01 -2.508155171981350122e+02
6.200000000000000000e+01 4.007428881039662429e+03 1.345455132209002758e-01 -2.507995449446346470e+02
6.300000000000000000e+01 4.005861988941675463e+03 1.346526201126375388e-01 -2.508475198262054278e+02
6.400000000000000000e+01 4.005604814936107687e+03 1.313946807151311347e-01 -2.508555020522910581e+02
