# time_fs msd_A2
0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 3.076472157230402682e-01
1.000000000000000000e+02 3.480398196028017255e-01
1.500000000000000000e+02 3.412356340312400205e-01
2.000000000000000000e+02 3.702192965086847365e-01
2.500000000000000000e+02 3.656749875072267675e-01
3.000000000000000000e+02 3.511357487040808745e-01
3.500000000000000000e+02 3.268262429555853776e-01
4.000000000000000000e+02 3.166477724761526114e-01
4.500000000000000000e+02 3.063256967955149124e-01
5.000000000000000000e+02 3.151722481650285901e-01
5.500000000000000000e+02 3.196154250335103697e-01
6.000000000000000000e+02 3.296775128310271419e-01
6.500000000000000000e+02 3.251357325084621719e-01
7.000000000000000000e+02 3.466089409587815862e-01
7.500000000000000000e+02 3.501709476369259666e-01
8.000000000000000000e+02 3.499730238716713404e-01
8.500000000000000000e+02 3.438369665611434312e-01
9.000000000000000000e+02 3.459032933996031844e-01
9.500000000000000000e+02 3.248616086306813089e-01
1.000000000000000000e+03 3.333157590857321884e-01
1.050000000000000000e+03 3.427321409735301083e-01
1.100000000000000000e+03 3.556602859501986069e-01
1.150000000000000000e+03 3.668422256710543450e-01
1.200000000000000000e+03 3.516318365650745736e-01
1.250000000000000000e+03 3.336819260158794265e-01
1.300000000000000000e+03 3.304102985649683411e-01
1.350000000000000000e+03 3.220054355393294765e-01
1.400000000000000000e+03 3.234395913999301708e-01
1.450000000000000000e+03 3.563322102262560520e-01
1.500000000000000000e+03 3.481843793826004951e-01
1.550000000000000000e+03 3.252523339398207813e-01
1.600000000000000000e+03 3.262786832618437272e-01
1.650000000000000000e+03 3.035381877014756147e-01
1.700000000000000000e+03 3.238628391494242087e-01
1.750000000000000000e+03 3.568714230259509845e-01
1.800000000000000000e+03 3.542446234010007688e-01
1.850000000000000000e+03 3.684008063832017732e-01
1.900000000000000000e+03 3.676558661268791717e-01
1.950000000000000000e+03 3.539360030867106377e-01
2.000000000000000000e+03 3.265174803043922602e-01
2.050000000000000000e+03 3.292512291452266981e-01
2.100000000000000000e+03 3.324858583719012550e-01
2.150000000000000000e+03 3.311371689071607727e-01
2.200000000000000000e+03 3.415417353273403345e-01
2.250000000000000000e+03 3.235095018552204826e-01
2.300000000000000000e+03 3.366976414568351172e-01
2.350000000000000000e+03 3.436163593313118492e-01
2.400000000000000000e+03 3.455133678920697671e-01
2.450000000000000000e+03 3.421247798718462518e-01
2.500000000000000000e+03 3.373902787008579707e-01
2.550000000000000000e+03 3.283060831991471140e-01
2.600000000000000000e+03 3.201472574518043346e-01
2.650000000000000000e+03 3.329387435006584406e-01
2.700000000000000000e+03 3.597259465537119838e-01
2.750000000000000000e+03 3.661062750222681683e-01
2.800000000000000000e+03 3.509883699607626029e-01
2.850000000000000000e+03 3.530510981512376967e-01
2.900000000000000000e+03 3.553581465509207393e-01
2.950000000000000000e+03 3.328113770239964353e-01
3.000000000000000000e+03 3.267900443755180628e-01
3.050000000000000000e+03 3.187653348870014836e-01
3.100000000000000000e+03 3.350227134244415650e-01
3.150000000000000000e+03 3.718660974320386892e-01
3.200000000000000000e+03 3.268499682200127765e-01
3.250000000000000000e+03 3.174325153377782205e-01
3.300000000000000000e+03 3.270189506669109458e-01
3.350000000000000000e+03 3.376902886576001461e-01
3.400000000000000000e+03 3.422293134261187864e-01
3.450000000000000000e+03 3.332437645813423055e-01
3.500000000000000000e+03 3.168086837959064317e-01
3.550000000000000000e+03 3.228014611794221556e-01
3.600000000000000000e+03 3.422143381979604881e-01
3.650000000000000000e+03 3.375962723644866936e-01
3.700000000000000000e+03 3.504352956164958899e-01
3.750000000000000000e+03 3.478439254941722569e-01
3.800000000000000000e+03 3.337619572538376156e-01
3.850000000000000000e+03 3.257471514868403584e-01
3.900000000000000000e+03 3.295582710953721683e-01
3.950000000000000000e+03 3.061709054667352548e-01
4.000000000000000000e+03 2.901381813200345494e-01
4.050000000000000000e+03 3.189584332477554685e-01
4.100000000000000000e+03 3.402287404214801025e-01
4.150000000000000000e+03 3.390324277844241618e-01
4.200000000000000000e+03 3.403751100730701418e-01
4.250000000000000000e+03 3.390806510893387138e-01
4.300000000000000000e+03 3.439794875305145494e-01
4.350000000000000000e+03 3.426925661232510523e-01
4.400000000000000000e+03 3.649289304517370214e-01
4.450000000000000000e+03 3.763520166727137295e-01
4.500000000000000000e+03 3.586592320838675185e-01
4.550000000000000000e+03 3.291172911951338875e-01
4.600000000000000000e+03 3.102089660764742463e-01
4.650000000000000000e+03 3.256634155505371275e-01
4.700000000000000000e+03 3.497680426872459836e-01
4.750000000000000000e+03 3.418434162059543202e-01
4.800000000000000000e+03 3.517494844156465184e-01
4.850000000000000000e+03 3.586825405994384375e-01
4.900000000000000000e+03 3.490574975032028626e-01
4.950000000000000000e+03 3.365319638976158045e-01
5.000000000000000000e+03 3.276347594090537885e-01
5.050000000000000000e+03 3.435984621509163839e-01
5.100000000000000000e+03 3.447133344454609283e-01
5.150000000000000000e+03 3.670462260930342224e-01
5.200000000000000000e+03 3.469641534760111168e-01
5.250000000000000000e+03 3.340477722613759415e-01
5.300000000000000000e+03 3.496922678166815568e-01
5.350000000000000000e+03 3.327140156484326150e-01
5.400000000000000000e+03 3.297115680267240778e-01
5.450000000000000000e+03 3.158695471784456199e-01
5.500000000000000000e+03 2.928833642361411416e-01
5.550000000000000000e+03 3.318005981103083202e-01
5.600000000000000000e+03 3.419380734680352862e-01
5.650000000000000000e+03 3.248119811402140344e-01
5.700000000000000000e+03 3.265821594640708203e-01
5.750000000000000000e+03 3.322457811617539614e-01
5.800000000000000000e+03 3.367075371143342655e-01
5.850000000000000000e+03 3.697696171704708545e-01
