# time_fs temperature_K pressure_eV_per_A3 kinetic_energy_eV potential_energy_eV total_energy_eV
0.000000000000000000e+00 7.941076008000085494e+03 6.316666903974607061e-01 5.122052746808914208e+02 -3.760814640889292946e+02 1.361238105919621262e+02
5.000000000000000000e+01 7.980352964155431437e+03 6.282180506670975717e-01 5.147386673969302819e+02 -3.785865618458030895e+02 1.361521055511271925e+02
1.000000000000000000e+02 8.214598538513126186e+03 6.179354147378566253e-01 5.298476801599100554e+02 -3.936600681286051326e+02 1.361876120313049228e+02
1.500000000000000000e+02 7.938543812645029902e+03 6.310132399317966989e-01 5.120419462080150197e+02 -3.759100433280365792e+02 1.361319028799784405e+02
2.000000000000000000e+02 8.000243520516838544e+03 6.264577534674787840e-01 5.160216229906541230e+02 -3.798936289071316423e+02 1.361279940835224807e+02
2.500000000000000000e+02 8.257663815600995804e+03 6.151390693562424072e-01 5.326254223774355978e+02 -3.963774015847285455e+02 1.362480207927070524e+02
3.000000000000000000e+02 8.053435140672249872e+03 6.247316358058261354e-01 5.194525218241342372e+02 -3.831400507343221307e+02 1.363124710898121066e+02
3.500000000000000000e+02 8.172654033158015409e+03 6.180961986061965785e-01 5.271422285479213770e+02 -3.909226388053817800e+02 1.362195897425395970e+02
4.000000000000000000e+02 8.244362242477161999e+03 6.162526286374271356e-01 5.317674610748719033e+02 -3.953358931018167368e+02 1.364315679730551665e+02
4.500000000000000000e+02 7.962741769967828986e+03 6.307381498475556070e-01 5.136027323489302034e+02 -3.772428201916734452e+02 1.363599121572567583e+02
5.000000000000000000e+02 7.863937863383624062e+03 6.337372996682353321e-01 5.072298073120052777e+02 -3.710730232733157550e+02 1.361567840386895227e+02
5.500000000000000000e+02 7.905957812807602750e+03 6.336443559988557128e-01 5.099401251222243445e+02 -3.739199697613769331e+02 1.360201553608474114e+02
6.000000000000000000e+02 8.210712913577970539e+03 6.175537388365046620e-01 5.295970544783004925e+02 -3.935294661699726930e+02 1.360675883083277995e+02
6.500000000000000000e+02 8.165493848902743593e+03 6.183492091065655449e-01 5.266803913687352861e+02 -3.904689190539314723e+02 1.362114723148038138e+02
7.000000000000000000e+02 8.389497675375943800e+03 6.076160999862820766e-01 5.411288038197290007e+02 -4.049370231122769042e+02 1.361917807074520965e+02
7.500000000000000000e+02 8.145795118894196094e+03 6.187663157824525584e-01 5.254098087166200912e+02 -3.890975244066199821e+02 1.363122843100001091e+02
8.000000000000000000e+02 8.525831775521295640e+03 6.017753479499391434e-01 5.499224540936934318e+02 -4.133825741256915762e+02 1.365398799680018556e+02
8.500000000000000000e+02 8.091094082169744979e+03 6.227696564819733549e-01 5.218815513982730181e+02 -3.855808541044958133e+02 1.363006972937772048e+02
9.000000000000000000e+02 7.947934502948047339e+03 6.334074087931562680e-01 5.126476526766666666e+02 -3.763362223221791396e+02 1.363114303544875270e+02
9.500000000000000000e+02 8.302423582114726742e+03 6.142921936392279347e-01 5.355124604159484534e+02 -3.991972185176829839e+02 1.363152418982654694e+02
1.000000000000000000e+03 8.286300450059414288e+03 6.140045066376251803e-01 5.344725064758542885e+02 -3.983645697398954439e+02 1.361079367359588446e+02
1.050000000000000000e+03 8.038241477330312591e+03 6.238970277238169437e-01 5.184725193033642654e+02 -3.821723743151200097e+02 1.363001449882442557e+02
1.100000000000000000e+03 8.305892576191879925e+03 6.131594798017510062e-01 5.357362130991321010e+02 -3.997962833437711652e+02 1.359399297553609358e+02
1.150000000000000000e+03 7.835299683255516356e+03 6.353480808698471760e-01 5.053826235167487653e+02 -3.693775020123520108e+02 1.360051215043967545e+02
1.200000000000000000e+03 7.962340485429757791e+03 6.278427215564179598e-01 5.135768491994879241e+02 -3.774082019580120573e+02 1.361686472414758668e+02
1.250000000000000000e+03 7.924456708894224903e+03 6.314134679219890467e-01 5.111333175991375697e+02 -3.747247291161031626e+02 1.364085884830344071e+02
1.300000000000000000e+03 8.063833623069526766e+03 6.239326202392071474e-01 5.201232316280947998e+02 -3.836824354517227107e+02 1.364407961763720891e+02
1.350000000000000000e+03 8.441512701938825558e+03 6.061170047418611428e-01 5.444838114964386477e+02 -4.082402348096861715e+02 1.362435766867524762e+02
1.400000000000000000e+03 8.343059124027193320e+03 6.103011318199924595e-01 5.381334829179511416e+02 -4.016413814397882902e+02 1.364921014781628514e+02
1.450000000000000000e+03 8.238132939433760839e+03 6.159937794475093265e-01 5.313656664222074824e+02 -3.951652388069995254e+02 1.362004276152079569e+02
1.500000000000000000e+03 8.257911338114434329e+03 6.145899001467132194e-01 5.326413877625872146e+02 -3.962971828027592665e+02 1.363442049598279482e+02
1.550000000000000000e+03 8.100576011284203560e+03 6.237894453011295637e-01 5.224931428377307157e+02 -3.861404957729752141e+02 1.363526470647555016e+02
1.600000000000000000e+03 7.879058434818617570e+03 6.362843443580004088e-01 5.082050953507282998e+02 -3.718858000745432264e+02 1.363192952761850734e+02
1.650000000000000000e+03 8.435140556663334792e+03 6.072424054379352842e-01 5.440728034141773151e+02 -4.078927586550235560e+02 1.361800447591537591e+02
1.700000000000000000e+03 7.866896954352429930e+03 6.338697477210744058e-01 5.074206708676438211e+02 -3.710764206709948780e+02 1.363442501966489431e+02
1.750000000000000000e+03 7.916721269908955946e+03 6.294373226091020124e-01 5.106343760644846839e+02 -3.744455923522957619e+02 1.361887837121889220e+02
1.800000000000000000e+03 8.026753649346405837e+03 6.278408702803235375e-01 5.177315459035307867e+02 -3.813110841315184985e+02 1.364204617720122883e+02
1.850000000000000000e+03 7.959946740558521924e+03 6.312887055698565009e-01 5.134224508851974633e+02 -3.772147004428334753e+02 1.362077504423639880e+02
1.900000000000000000e+03 7.781558167878656604e+03 6.397659029000847264e-01 5.019162560348557918e+02 -3.656359121994378825e+02 1.362803438354179093e+02
1.950000000000000000e+03 8.096323958468618002e+03 6.233148166018883662e-01 5.222188822868720308e+02 -3.858115596119779411e+02 1.364073226748940897e+02
2.000000000000000000e+03 8.218084913600676373e+03 6.164649356309171990e-01 5.300725539311169996e+02 -3.936967279788062228e+02 1.363758259523107768e+02
2.050000000000000000e+03 8.199628134792741548e+03 6.170796447231980952e-01 5.288820780498234626e+02 -3.925144817582678343e+02 1.363675962915556283e+02
2.100000000000000000e+03 7.920250820163695607e+03 6.300417993441634890e-01 5.108620346659018310e+02 -3.746300901087591342e+02 1.362319445571426968e+02
2.150000000000000000e+03 8.474890363602526122e+03 6.039269774477632469e-01 5.466366953554318115e+02 -4.103893999574993927e+02 1.362472953979324188e+02
2.200000000000000000e+03 8.197078219748469564e+03 6.166548652950059051e-01 5.287176066438894395e+02 -3.925941605211436354e+02 1.361234461227458041e+02
2.250000000000000000e+03 7.983508986954928332e+03 6.303079901471485558e-01 5.149422332012729839e+02 -3.787939287596122426e+02 1.361483044416607413e+02
2.300000000000000000e+03 7.988747693683309990e+03 6.270706334320929054e-01 5.152801336591052177e+02 -3.791352149094432775e+02 1.361449187496619402e+02
2.350000000000000000e+03 8.024920505835990298e+03 6.265533055647933836e-01 5.176133067915595802e+02 -3.815488425990596397e+02 1.360644641924999405e+02
2.400000000000000000e+03 8.061965038039376850e+03 6.229481309938159628e-01 5.200027065118928249e+02 -3.836748727810862079e+02 1.363278337308066170e+02
