# time_fs temperature_K pressure_eV_per_A3 total_energy_eV
0.000000000000000000e+00 2.999531722889511229e+02 3.071971132679048380e-02 -4.872856999705783210e+02
1.000000000000000000e+00 3.007033760088766599e+02 3.014153634671306106e-02 -4.872869207902454605e+02
2.000000000000000000e+00 3.014391443294645114e+02 3.137261256964479078e-02 -4.872946109497857492e+02
3.000000000000000000e+00 3.021525451516362182e+02 3.166976079571216796e-02 -4.873326985730353726e+02
4.000000000000000000e+00 3.028388771026483823e+02 3.187669348293794419e-02 -4.873291370223838612e+02
5.000000000000000000e+00 3.034894549362965677e+02 3.407747777109708387e-02 -4.873437894752504462e+02
6.000000000000000000e+00 3.041003643902879503e+02 3.313019892623722540e-02 -4.873485432474763002e+02
7.000000000000000000e+00 3.046686820799926636e+02 3.333583955651971131e-02 -4.873552522583074733e+02
8.000000000000000000e+00 3.051918852662366248e+02 3.341197362192554338e-02 -4.873837618145631723e+02
9.000000000000000000e+00 3.056712636615715155e+02 3.346844171877658147e-02 -4.874219234861377572e+02
1.000000000000000000e+01 3.061070527956698015e+02 3.357929799862226228e-02 -4.874496096648659318e+02
1.100000000000000000e+01 3.065002768618633695e+02 3.340783012789157180e-02 -4.874626775299640258e+02
1.200000000000000000e+01 3.068538507641328010e+02 3.246247972778334989e-02 -4.874889743626068253e+02
1.300000000000000000e+01 3.071708367755684890e+02 3.220139786654481473e-02 -4.875243751825540812e+02
1.400000000000000000e+01 3.074556548591793330e+02 2.976976283356651612e-02 -4.875687675932641696e+02
1.500000000000000000e+01 3.077112619463745773e+02 2.836940928166909598e-02 -4.875940658288367899e+02
1.600000000000000000e+01 3.079401464592156685e+02 2.736478545606681190e-02 -4.876161676455542988e+02
1.700000000000000000e+01 3.081456983037016357e+02 2.842107800917058336e-02 -4.876429883931128870e+02
1.800000000000000000e+01 3.083303320672309269e+02 2.839291661513375017e-02 -4.876904414823991942e+02
1.900000000000000000e+01 3.084954886439068105e+02 2.763045446649212838e-02 -4.877184858283723088e+02
2.000000000000000000e+01 3.086429774653071263e+02 2.789151493415025634e-02 -4.877390499576943057e+02
2.100000000000000000e+01 3.087757574887918395e+02 2.693740767849736595e-02 -4.877800661235211237e+02
2.200000000000000000e+01 3.088971696342026689e+02 2.784596437907484873e-02 -4.878015122876105352e+02
2.300000000000000000e+01 3.090081035023928848e+02 2.847456598582517526e-02 -4.878353365201144811e+02
2.400000000000000000e+01 3.091087312825917479e+02 2.755796601885247485e-02 -4.878615166241337420e+02
2.500000000000000000e+01 3.091979744760890867e+02 2.773860946248736525e-02 -4.878960081123593113e+02
2.600000000000000000e+01 3.092762191851506373e+02 3.008689684187528662e-02 -4.879107882545339976e+02
2.700000000000000000e+01 3.093436168854073003e+02 3.022134464771412607e-02 -4.879737803522172612e+02
2.800000000000000000e+01 3.093985385449857404e+02 3.040491910825805777e-02 -4.880169879010783234e+02
