# k_1_per_A S_k
1.000000000000000056e-01 -3.108523210458998598e+00
1.397993311036789255e-01 -2.923412097191116832e+00
1.795986622073578731e-01 -2.686797570457830187e+00
2.193979933110368208e-01 -2.406656330816290268e+00
2.591973244147157684e-01 -2.092338003207589114e+00
2.989966555183947161e-01 -1.754195550476583154e+00
3.387959866220736083e-01 -1.403178813279235104e+00
3.785953177257525004e-01 -1.050408439941108885e+00
4.183946488294314481e-01 -7.067482033527572316e-01
4.581939799331103957e-01 -3.823936395070668404e-01
4.979933110367893434e-01 -8.649409068389846134e-02
5.377926421404682911e-01 1.731763616994100863e-01
5.775919732441472387e-01 3.904858574797099857e-01
6.173913043478260754e-01 5.611392256877418827e-01
6.571906354515050230e-01 6.827928377955196915e-01
6.969899665551839707e-01 7.550862693906076339e-01
7.367892976588629184e-01 7.795908588247162374e-01
7.765886287625418660e-01 7.596788709063215794e-01
8.163879598662208137e-01 7.003203849025241290e-01
8.561872909698997614e-01 6.078180775865303920e-01
8.959866220735787090e-01 4.894926303371807119e-01
9.357859531772575457e-01 3.533334448134645145e-01
9.755852842809364933e-01 2.076306236959454266e-01
1.015384615384615552e+00 6.060471281756363293e-02
1.055183946488294389e+00 -7.994950578394544038e-02
1.094983277591973447e+00 -2.069898138551016231e-01
1.134782608695652284e+00 -3.145102011320670687e-01
1.174581939799331343e+00 -3.977698026645528628e-01
1.214381270903010179e+00 -4.534582572351957275e-01
1.254180602006689238e+00 -4.797916455527000412e-01
1.293979933110368075e+00 -4.765364052634335490e-01
1.333779264214047133e+00 -4.449619145580356872e-01
1.373578595317725970e+00 -3.877256357645946228e-01
1.413377926421404807e+00 -3.086976702204771161e-01
1.453177257525083865e+00 -2.127341648305545174e-01
1.492976588628762702e+00 -1.054111174153922192e-01
1.532775919732441761e+00 7.268335068768450036e-03
1.572575250836120597e+00 1.191791533806502157e-01
1.612374581939799656e+00 2.243779158643737226e-01
1.652173913043478493e+00 3.173907851341448705e-01
1.691973244147157551e+00 3.934731144538482495e-01
1.731772575250836388e+00 4.488294780723073307e-01
1.771571906354515225e+00 4.807849775671625414e-01
1.811371237458194283e+00 4.879011141765728921e-01
1.851170568561873120e+00 4.700322039105255811e-01
1.890969899665552179e+00 4.283211177516860202e-01
1.930769230769231015e+00 3.651359207116928740e-01
1.970568561872910074e+00 2.839516318912077564e-01
