# time_fs temperature_K pressure_eV_per_A3 kinetic_energy_eV potential_energy_eV total_energy_eV
0.000000000000000000e+00 5.959253301214239400e+03 1.417060501655971194e-01 3.843762446004049593e+02 -6.140504203893734712e+02 -2.296741757889685118e+02
5.000000000000000000e+01 5.834539179938686175e+03 1.361050890977539563e-01 3.763320915561353104e+02 -6.339852209678650752e+02 -2.576531294117297648e+02
1.000000000000000000e+02 6.196835991270182603e+03 1.374952435221526714e-01 3.997005037936093004e+02 -6.513486988822160129e+02 -2.516481950886067125e+02
1.500000000000000000e+02 6.031928943527929732e+03 1.508850457896720454e-01 3.890638772708884972e+02 -6.463453042716400887e+02 -2.572814270007515915e+02
2.000000000000000000e+02 5.999255888265437534e+03 1.521706216505780696e-01 3.869564410458065140e+02 -6.263800402096055677e+02 -2.394235991637990537e+02
2.500000000000000000e+02 5.861469690018416259e+03 1.528235097649545959e-01 3.780691293705056069e+02 -6.395331238393740705e+02 -2.614639944688684636e+02
3.000000000000000000e+02 5.988990832579484049e+03 1.125743334454555045e-01 3.862943373633909800e+02 -6.411145917467060826e+02 -2.548202543833151026e+02
3.500000000000000000e+02 5.970973337281589011e+03 1.294291163327859484e-01 3.851321955933307777e+02 -6.290753622842044024e+02 -2.439431666908736247e+02
4.000000000000000000e+02 5.911763592340757896e+03 2.134814736962573067e-01 3.813131232609854919e+02 -6.407258454990482051e+02 -2.594127222380627131e+02
4.500000000000000000e+02 5.906501711079777124e+03 1.707733192892110230e-01 3.809737280286638565e+02 -6.315505169350149117e+02 -2.505767889063510552e+02
5.000000000000000000e+02 5.901492294902301182e+03 1.812322594761134331e-01 3.806506169809179596e+02 -6.348848337944925788e+02 -2.542342168135746192e+02
5.500000000000000000e+02 6.305647273312438301e+03 1.596310922416063482e-01 4.067189119477039867e+02 -6.677898945895522047e+02 -2.610709826418482180e+02
6.000000000000000000e+02 6.071826336184974934e+03 1.372853994937009436e-01 3.916372886000793301e+02 -6.565736904936354676e+02 -2.649364018935561376e+02
6.500000000000000000e+02 5.817963389039076901e+03 1.560380867152072748e-01 3.752629407858575519e+02 -6.245589068187869088e+02 -2.492959660329293570e+02
7.000000000000000000e+02 5.827474283741442378e+03 7.470211141696134205e-02 3.758764005271543738e+02 -6.404025345747165829e+02 -2.645261340475622092e+02
7.500000000000000000e+02 5.983781889725818473e+03 1.566941934708713791e-01 3.859583566974873747e+02 -6.279016123408325711e+02 -2.419432556433451964e+02
8.000000000000000000e+02 6.132012120308299927e+03 1.642213555230834787e-01 3.955193161814444238e+02 -6.532986048564642942e+02 -2.577792886750198704e+02
8.500000000000000000e+02 5.921360047413136272e+03 1.134768523697635839e-01 3.819321017094172248e+02 -6.372261339902133841e+02 -2.552940322807961593e+02
9.000000000000000000e+02 6.144534579062154990e+03 1.608739431990686697e-01 3.963270240310150143e+02 -6.596272195521105459e+02 -2.633001955210955316e+02
9.500000000000000000e+02 6.048310497252833557e+03 1.023182540006293273e-01 3.901204995997657079e+02 -6.453387405530278329e+02 -2.552182409532621250e+02
1.000000000000000000e+03 6.026792699195792920e+03 1.417799473841052094e-01 3.887325857133816953e+02 -6.367117860155466360e+02 -2.479792003021649407e+02
1.050000000000000000e+03 5.953994524978294066e+03 1.605364289890914009e-01 3.840370496444941750e+02 -6.382298725461506592e+02 -2.541928229016564842e+02
1.100000000000000000e+03 5.831333878701771937e+03 2.009205959883408887e-01 3.761253472561393778e+02 -6.169323025569150332e+02 -2.408069553007756554e+02
1.150000000000000000e+03 5.883335062862008272e+03 1.258799524268629233e-01 3.794794620876423323e+02 -6.284969334986051308e+02 -2.490174714109627985e+02
1.200000000000000000e+03 6.128179068749333965e+03 1.079986730172838999e-01 3.952720815214753429e+02 -6.610966049927496897e+02 -2.658245234712743468e+02
1.250000000000000000e+03 5.902618880780474683e+03 1.222810137411634440e-01 3.807232826031333843e+02 -6.380069555159172978e+02 -2.572836729127839135e+02
1.300000000000000000e+03 6.000251313937525083e+03 2.174351736031409077e-01 3.870206467377407762e+02 -6.346688002328171478e+02 -2.476481534950763717e+02
1.350000000000000000e+03 5.983200422971345688e+03 1.639582556311297012e-01 3.859208516618483600e+02 -6.312482679055757444e+02 -2.453274162437273844e+02
1.400000000000000000e+03 6.023489700776292011e+03 1.550748435185434759e-01 3.885195398728650389e+02 -6.478747023631055981e+02 -2.593551624902405592e+02
1.450000000000000000e+03 5.739472743367376097e+03 1.982365340499199491e-01 3.702002360987783618e+02 -6.092912123270381244e+02 -2.390909762282597626e+02
1.500000000000000000e+03 6.071757443730000887e+03 1.268877884633220765e-01 3.916328449857898022e+02 -6.539099893139352844e+02 -2.622771443281454822e+02
1.550000000000000000e+03 5.952509963949421035e+03 2.100547818997999805e-01 3.839412943603477970e+02 -6.579067884989099184e+02 -2.739654941385621214e+02
1.600000000000000000e+03 6.010651809770210093e+03 1.527807059561185898e-01 3.876914864097739724e+02 -6.308804104387771758e+02 -2.431889240290032035e+02
1.650000000000000000e+03 6.085601207873128260e+03 1.185074353063690911e-01 3.925257780100304217e+02 -6.390514415856807773e+02 -2.465256635756503556e+02
1.700000000000000000e+03 6.026753059394528464e+03 1.784178079749141610e-01 3.887300289168878180e+02 -6.435976368292588177e+02 -2.548676079123709997e+02
1.750000000000000000e+03 5.873065481616548823e+03 1.570937765211615211e-01 3.788170665032921534e+02 -6.415938649609769300e+02 -2.627767984576847766e+02
1.800000000000000000e+03 5.901401589430331114e+03 1.820054812831291557e-01 3.806447664109021503e+02 -6.226854847386861138e+02 -2.420407183277839636e+02
1.850000000000000000e+03 6.043780952464882830e+03 1.086667619125559758e-01 3.898283406114932745e+02 -6.437721048065254763e+02 -2.539437641950322018e+02
1.900000000000000000e+03 6.158359694762642903e+03 1.087747357998959941e-01 3.972187542169154426e+02 -6.636971830737671780e+02 -2.664784288568517354e+02
1.950000000000000000e+03 5.990318255488560681e+03 1.836205926994421422e-01 3.863799571226120406e+02 -6.288634771679288633e+02 -2.424835200453168227e+02
2.000000000000000000e+03 5.905153753971401784e+03 1.528100770000708208e-01 3.808867837984036555e+02 -6.426400913353746773e+02 -2.617533075369710218e+02
2.050000000000000000e+03 5.981639714658888806e+03 1.656742264807627152e-01 3.858201848216023109e+02 -6.472187135509186646e+02 -2.613985287293163537e+02
2.100000000000000000e+03 5.976666042086845664e+03 1.363135486358092729e-01 3.854993792628380334e+02 -6.381809740866279981e+02 -2.526815948237899647e+02
2.150000000000000000e+03 6.046129471139804082e+03 1.077709453645504523e-01 3.899798218026781456e+02 -6.389516395838043081e+02 -2.489718177811261626e+02
2.200000000000000000e+03 5.952369259780713037e+03 1.784981663507402005e-01 3.839322188374200095e+02 -6.303877430430836739e+02 -2.464555242056636644e+02
2.250000000000000000e+03 6.091389815086124145e+03 1.884676812153415759e-01 3.928991474557535639e+02 -6.511248878569725775e+02 -2.582257404012190136e+02
2.300000000000000000e+03 5.802411999602196374e+03 1.001691981569668433e-01 3.742598646674370571e+02 -6.138177811596534639e+02 -2.395579164922164068e+02
2.350000000000000000e+03 5.940771457684029883e+03 1.509064632259765337e-01 3.831841520259902154e+02 -6.376177555553000502e+02 -2.544336035293098348e+02
2.400000000000000000e+03 5.947238394742513265e+03 1.159032930548248436e-01 3.836012742483499096e+02 -6.427999070310747811e+02 -2.591986327827248715e+02
2.450000000000000000e+03 6.025406522897150353e+03 2.000542684729791909e-01 3.886431763170874092e+02 -6.498504706382955192e+02 -2.612072943212081100e+02
2.500000000000000000e+03 5.935444774104977114e+03 1.753211687994957468e-01 3.828405769962337217e+02 -6.315579628310539420e+02 -2.487173858348202202e+02
2.550000000000000000e+03 6.038567097677236234e+03 1.216865362177490667e-01 3.894920431222157049e+02 -6.310751769492333096e+02 -2.415831338270176047e+02
2.600000000000000000e+03 5.868363897776003796e+03 2.092928746819864572e-01 3.785138108689101841e+02 -6.413999095208426979e+02 -2.628860986519325138e+02
2.650000000000000000e+03 6.035712474431333249e+03 1.162519905986434815e-01 3.893079178119548374e+02 -6.609600650321993953e+02 -2.716521472202445580e+02
2.700000000000000000e+03 6.000385381971233983e+03 1.271927594348120361e-01 3.870292942250538886e+02 -6.383144647697668006e+02 -2.512851705447129120e+02
2.750000000000000000e+03 5.881849640007042581e+03 1.594925813026392136e-01 3.793836512150756448e+02 -6.125309421547154898e+02 -2.331472909396398450e+02
2.800000000000000000e+03 6.142959597862699411e+03 1.401097516476254023e-01 3.962254365790032580e+02 -6.500043504285142717e+02 -2.537789138495110137e+02
2.850000000000000000e+03 6.002101487806496152e+03 1.313522597751593524e-01 3.871399843204321769e+02 -6.490974024965397575e+02 -2.619574181761075806e+02
2.900000000000000000e+03 6.209345632730630314e+03 1.520267997266925020e-01 4.005073849182771255e+02 -6.453025422765572330e+02 -2.447951573582801075e+02
2.950000000000000000e+03 5.992262377497273519e+03 1.458468500818731750e-01 3.865053544297884400e+02 -6.303250813702993582e+02 -2.438197269405109182e+02
3.000000000000000000e+03 5.989231067686386268e+03 1.447422145247497516e-01 3.863098327054321430e+02 -6.372544021423358345e+02 -2.509445694369036914e+02
3.050000000000000000e+03 6.179653911119507029e+03 1.532561765620380489e-01 3.985922469183067847e+02 -6.449639772549810459e+02 -2.463717303366742613e+02
3.100000000000000000e+03 6.193149933754175436e+03 9.079910664635761075e-02 3.994627503581083374e+02 -6.557140480222436736e+02 -2.562512976641353362e+02
3.150000000000000000e+03 5.980325439781823661e+03 1.587482544636095727e-01 3.857354131201685163e+02 -6.492491607503276327e+02 -2.635137476301591164e+02
3.200000000000000000e+03 6.025247233917152698e+03 1.880695069030366706e-01 3.886329020600885542e+02 -6.222727618832025200e+02 -2.336398598231139658e+02
3.250000000000000000e+03 6.006263243845434772e+03 1.136686660045453795e-01 3.874084206624256126e+02 -6.465076329977785008e+02 -2.590992123353528882e+02
3.300000000000000000e+03 6.024975234259783974e+03 9.548610861939539618e-02 3.886153578810534555e+02 -6.508203437130720204e+02 -2.622049858320185649e+02
3.350000000000000000e+03 6.119335417299398614e+03 1.722792480835016737e-01 3.947016594633647628e+02 -6.314594005189754853e+02 -2.367577410556107225e+02
3.400000000000000000e+03 5.988176648823898176e+03 2.693190604974706193e-01 3.862418219090935736e+02 -6.430416607992833633e+02 -2.567998388901897897e+02
3.450000000000000000e+03 6.026516281635220366e+03 1.404279302965595888e-01 3.887147565763230546e+02 -6.459930643873753979e+02 -2.572783078110523434e+02
3.500000000000000000e+03 6.025132129970562346e+03 1.272145799161100432e-01 3.886254777704178878e+02 -6.318407582808989673e+02 -2.432152805104810795e+02
3.550000000000000000e+03 5.934428108932803298e+03 8.813339233852161836e-02 3.827750013408380596e+02 -6.318801419000270698e+02 -2.491051405591890102e+02
3.600000000000000000e+03 6.035602954594747644e+03 1.594151499035256214e-01 3.893008537015087427e+02 -6.428959935738826061e+02 -2.535951398723738635e+02
3.650000000000000000e+03 5.946424831475729661e+03 1.877032309174300473e-01 3.835487988160390955e+02 -6.428504594110390826e+02 -2.593016605949999871e+02
3.700000000000000000e+03 5.933626256455328985e+03 6.280879449550355598e-02 3.827232812630973626e+02 -6.246030406232482619e+02 -2.418797593601508993e+02
3.750000000000000000e+03 6.123694134055024733e+03 1.068712033890314717e-01 3.949827999172305226e+02 -6.418899784214496549e+02 -2.469071785042191323e+02
3.800000000000000000e+03 5.816191920836776262e+03 1.761805305096639795e-01 3.751486797768666293e+02 -6.190248025258467806e+02 -2.438761227489801513e+02
3.850000000000000000e+03 5.988570272540884616e+03 1.639020875243217823e-01 3.862672109299109593e+02 -6.510038145801431710e+02 -2.647366036502322117e+02
3.900000000000000000e+03 6.007910913384544983e+03 9.871898508797800897e-02 3.875146965660957221e+02 -6.327732130715531866e+02 -2.452585165054574645e+02
3.950000000000000000e+03 5.924679308644982484e+03 1.134274812714873154e-01 3.821461965133559602e+02 -6.309496498141324992e+02 -2.488034533007765390e+02
4.000000000000000000e+03 6.002881617981850468e+03 1.644090033315217525e-01 3.871903032936231739e+02 -6.402215295540065654e+02 -2.530312262603833915e+02
4.050000000000000000e+03 6.049444732214121359e+03 8.112818179536433749e-02 3.901936585934982986e+02 -6.472544639931503525e+02 -2.570608053996520539e+02
4.100000000000000000e+03 5.943136728969734577e+03 1.632544056877690830e-01 3.833367137729586034e+02 -6.413659801451849489e+02 -2.580292663722263455e+02
4.150000000000000000e+03 6.076501076292853213e+03 1.304308301750746746e-01 3.919388127938542539e+02 -6.366000628818385394e+02 -2.446612500879842855e+02
4.200000000000000000e+03 6.094287230459714010e+03 9.868598505866892079e-02 3.930860328898936018e+02 -6.389259542849408717e+02 -2.458399213950472699e+02
4.250000000000000000e+03 5.958624051706697173e+03 1.244809534677770446e-01 3.843356575418591774e+02 -6.429895441084678396e+02 -2.586538865666086622e+02
4.300000000000000000e+03 5.851577426709397514e+03 1.810633188318633013e-01 3.774310710720700399e+02 -6.410859908624631771e+02 -2.636549197903931372e+02
4.350000000000000000e+03 6.007353833837700222e+03 1.959727404600171974e-01 3.874787645233822104e+02 -6.302060718342825112e+02 -2.427273073109003008e+02
4.400000000000000000e+03 6.083399608579764390e+03 2.258073263572422940e-01 3.923837732275981125e+02 -6.423350371653976936e+02 -2.499512639377995811e+02
4.450000000000000000e+03 5.947973478622358016e+03 8.846116342510053354e-02 3.836486877021703208e+02 -6.430560289452876077e+02 -2.594073412431172869e+02
4.500000000000000000e+03 6.005815294578122121e+03 1.801811014710578140e-01 3.873795276034401809e+02 -6.411667158367160937e+02 -2.537871882332759128e+02
4.550000000000000000e+03 6.010832433687167395e+03 1.936361096837673212e-01 3.877031367859831903e+02 -6.547195628225993005e+02 -2.670164260366161102e+02
4.600000000000000000e+03 5.941895259350581910e+03 1.704092018711557133e-01 3.832566380644972241e+02 -6.409349623113307644e+02 -2.576783242468335402e+02
4.650000000000000000e+03 6.016860275095514226e+03 1.703628608780943521e-01 3.880919370142123057e+02 -6.236579934102724110e+02 -2.355660563960601053e+02
4.700000000000000000e+03 6.047391973211510958e+03 1.149170012196598367e-01 3.900612541198820509e+02 -6.459685811267709141e+02 -2.559073270068888633e+02
4.750000000000000000e+03 6.086142392206765180e+03 8.355338382724004920e-02 3.925606847997380555e+02 -6.433416595865892305e+02 -2.507809747868511749e+02
4.800000000000000000e+03 6.137845029623051232e+03 1.776385969869797854e-01 3.958955431454907057e+02 -6.543215500436701859e+02 -2.584260068981794802e+02
4.850000000000000000e+03 5.728845519243635863e+03 1.935031984726900411e-01 3.695147722843139491e+02 -6.373145064700393050e+02 -2.677997341857253559e+02
4.900000000000000000e+03 5.791662288504534445e+03 1.179524743833990641e-01 3.735665003525795669e+02 -6.268019081538253658e+02 -2.532354078012457990e+02
4.950000000000000000e+03 6.052260110973571500e+03 1.701682989668710511e-01 3.903752526053629595e+02 -6.581261155531517488e+02 -2.677508629477887894e+02
5.000000000000000000e+03 5.696931836161132196e+03 1.898228006832227144e-01 3.674563161263720303e+02 -6.258563405365615608e+02 -2.584000244101895305e+02
5.050000000000000000e+03 6.067112754983891136e+03 1.947110510931693017e-01 3.913332591270709599e+02 -6.442980667684761329e+02 -2.529648076414051729e+02
5.100000000000000000e+03 5.977898312594003073e+03 1.070255104359958825e-01 3.855788616217732852e+02 -6.361139923653483947e+02 -2.505351307435751096e+02
5.150000000000000000e+03 6.041200493560485484e+03 1.340549129415262164e-01 3.896618991039950402e+02 -6.504034556680377364e+02 -2.607415565640426962e+02
5.200000000000000000e+03 5.892540637942205649e+03 2.015507146573629338e-01 3.800732284875354594e+02 -6.315645222779805863e+02 -2.514912937904451269e+02
5.250000000000000000e+03 6.031777451492751425e+03 1.672831343924990055e-01 3.890541059225960794e+02 -6.460667817168226748e+02 -2.570126757942265954e+02
5.300000000000000000e+03 6.066206710710692278e+03 1.470554331342081023e-01 3.912748186014596854e+02 -6.567959678523511684e+02 -2.655211492508914830e+02
5.350000000000000000e+03 5.943350167832118132e+03 8.328602150312922059e-02 3.833504807374133634e+02 -6.460521129417182919e+02 -2.627016322043049286e+02
5.400000000000000000e+03 6.105196167493463690e+03 1.751549757806895036e-01 3.937896673953711115e+02 -6.420341853066552176e+02 -2.482445179112841060e+02
5.450000000000000000e+03 6.018501283954048631e+03 1.545542375496679610e-01 3.881977832990599495e+02 -6.529298719963155690e+02 -2.647320886972556195e+02
5.500000000000000000e+03 6.000285418929516709e+03 1.425920318695816924e-01 3.870228465349437101e+02 -6.517719453471747784e+02 -2.647490988122310682e+02
5.550000000000000000e+03 6.051617599994837292e+03 1.274792860538864758e-01 3.903338101721188309e+02 -6.301452005851725744e+02 -2.398113904130537435e+02
5.600000000000000000e+03 6.007891442232627014e+03 1.468312032361443753e-01 3.875134406623987502e+02 -6.314499652971461501e+02 -2.439365246347473999e+02
5.650000000000000000e+03 6.008715827829122645e+03 1.622809798799465797e-01 3.875666141429787785e+02 -6.343523602203954397e+02 -2.467857460774166611e+02
5.700000000000000000e+03 5.934461881962094594e+03 1.524366426173551226e-01 3.827771797262013820e+02 -6.394288978710550282e+02 -2.566517181448536462e+02
5.750000000000000000e+03 5.873876957763078281e+03 1.629093270038642904e-01 3.788694073148032544e+02 -6.253314714804463392e+02 -2.464620641656430848e+02
5.800000000000000000e+03 6.127279697346570174e+03 1.221115936794272411e-01 3.952140714009414637e+02 -6.429919781138435155e+02 -2.477779067129020518e+02
5.850000000000000000e+03 5.935108939215955616e+03 1.224112183668149278e-01 3.828189153975529848e+02 -6.247901160888619643e+02 -2.419712006913089795e+02
5.900000000000000000e+03 6.138999794756726260e+03 2.047528798143487816e-01 3.959700263505236535e+02 -6.402010731150818401e+02 -2.442310467645581866e+02
5.950000000000000000e+03 5.969699678273791505e+03 1.519543349304358915e-01 3.850500436454988176e+02 -6.359578460776602924e+02 -2.509078024321614748e+02
6.000000000000000000e+03 6.137746232078087814e+03 1.345956569910189138e-01 3.958891706307830418e+02 -6.417086009060298011e+02 -2.458194302752467593e+02
6.050000000000000000e+03 5.960923056106223157e+03 1.382978670607851734e-01 3.844839450256668556e+02 -6.427860039981692353e+02 -2.583020589725023797e+02
6.100000000000000000e+03 6.066766727450931285e+03 1.215374423131324461e-01 3.913109400953190402e+02 -6.521641155331054733e+02 -2.608531754377864331e+02
6.150000000000000000e+03 5.874978812146215205e+03 1.060237436945811046e-01 3.789404777373007391e+02 -6.505702161665357153e+02 -2.716297384292349761e+02
6.200000000000000000e+03 6.038678968219975104e+03 1.648193304362463585e-01 3.894992588549469588e+02 -6.483902603756087046e+02 -2.588910015206617459e+02
6.250000000000000000e+03 5.971873578522194293e+03 1.080135672678432662e-01 3.851902618190486578e+02 -6.122129021115604246e+02 -2.270226402925117668e+02
6.300000000000000000e+03 6.004679997215379444e+03 2.027525688414098248e-01 3.873063000840281802e+02 -6.380745691222319920e+02 -2.507682690382038118e+02
6.350000000000000000e+03 5.977111810515723846e+03 1.581296199861833007e-01 3.855281316561317908e+02 -6.473905700712411999e+02 -2.618624384151094091e+02
6.400000000000000000e+03 5.785418117220947352e+03 1.808494900149746620e-01 3.731637466874286133e+02 -6.426301603708458288e+02 -2.694664136834172155e+02
6.450000000000000000e+03 6.065519529933490958e+03 1.862221202369688522e-01 3.912304949331825696e+02 -6.363483756826333320e+02 -2.451178807494507623e+02
6.500000000000000000e+03 6.116064796278671565e+03 1.909860317892586867e-01 3.944907019890110291e+02 -6.507222518030067704e+02 -2.562315498139957413e+02
6.550000000000000000e+03 5.964245007644793077e+03 1.570905736402277986e-01 3.846982133563786306e+02 -6.392082761943561309e+02 -2.545100628379775003e+02
6.600000000000000000e+03 5.748796843461895151e+03 1.133777150705280734e-01 3.708016474497406421e+02 -6.088413943672732103e+02 -2.380397469175325682e+02
6.650000000000000000e+03 6.153913385064460272e+03 1.412786396954062718e-01 3.969319639534826933e+02 -6.634154878622182423e+02 -2.664835239087355490e+02
6.700000000000000000e+03 5.914463847001402428e+03 1.550086352641887877e-01 3.814872916833467116e+02 -6.383513060276757187e+02 -2.568640143443290071e+02
6.750000000000000000e+03 5.903103574514843785e+03 1.409974408467535578e-01 3.807545457074152750e+02 -6.427141327853003077e+02 -2.619595870778850326e+02
6.800000000000000000e+03 6.206465513419583658e+03 1.719131538910088353e-01 4.003216150929609967e+02 -6.551010263154354334e+02 -2.547794112224744367e+02
6.850000000000000000e+03 6.075156219148272612e+03 1.056130247369252012e-01 3.918520685135511599e+02 -6.427711008727796980e+02 -2.509190323592285381e+02
6.900000000000000000e+03 6.088994809811061714e+03 1.472663175051781015e-01 3.927446678444842973e+02 -6.456141646059644472e+02 -2.528694967614801499e+02
6.950000000000000000e+03 6.032330897009097498e+03 1.907951734600807914e-01 3.890898035676552240e+02 -6.322478172056996755e+02 -2.431580136380444515e+02
7.000000000000000000e+03 6.050314626984151801e+03 1.410901687969172980e-01 3.902497674494238709e+02 -6.449388536362580453e+02 -2.546890861868341744e+02
7.050000000000000000e+03 6.027112715966212818e+03 1.723021764222512353e-01 3.887532270317156531e+02 -6.393255346278565412e+02 -2.505723075961408881e+02
7.100000000000000000e+03 5.845930949224616597e+03 1.848054973250141397e-01 3.770668690989170386e+02 -6.339783379768821305e+02 -2.569114688779650919e+02
