# time_fs msd_A2
0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 8.399805702463042367e-03
1.000000000000000000e+02 2.987211369657654172e-02
1.500000000000000000e+02 5.623276706760350213e-02
2.000000000000000000e+02 7.840088810635456595e-02
2.500000000000000000e+02 8.952504278008753535e-02
3.000000000000000000e+02 9.085669018414570253e-02
3.500000000000000000e+02 8.751495723841140606e-02
4.000000000000000000e+02 8.256016897263615539e-02
4.500000000000000000e+02 7.797262293894519081e-02
5.000000000000000000e+02 7.503378191446986867e-02
5.500000000000000000e+02 7.282795397911683011e-02
6.000000000000000000e+02 7.015248577951718745e-02
6.500000000000000000e+02 6.796908114238621457e-02
7.000000000000000000e+02 6.719009013028369448e-02
7.500000000000000000e+02 6.899377871537398788e-02
8.000000000000000000e+02 7.282984748548668175e-02
8.500000000000000000e+02 7.606532379691183232e-02
9.000000000000000000e+02 7.714229165273374378e-02
9.500000000000000000e+02 7.673014927631001403e-02
1.000000000000000000e+03 7.613002291263995525e-02
1.050000000000000000e+03 7.590302663874862188e-02
1.100000000000000000e+03 7.559703469161406508e-02
1.150000000000000000e+03 7.479434803509767138e-02
1.200000000000000000e+03 7.376664051690522139e-02
1.250000000000000000e+03 7.283704361149452577e-02
1.300000000000000000e+03 7.161070129637880921e-02
1.350000000000000000e+03 7.086718874495107068e-02
1.400000000000000000e+03 7.163887260690569858e-02
1.450000000000000000e+03 7.210345657285845145e-02
1.500000000000000000e+03 7.060433861280873691e-02
1.550000000000000000e+03 6.939408444007648391e-02
1.600000000000000000e+03 6.907457452187786007e-02
1.650000000000000000e+03 6.799025013389331518e-02
1.700000000000000000e+03 6.591059563654497189e-02
1.750000000000000000e+03 6.342954139516698842e-02
1.800000000000000000e+03 6.209262098153195408e-02
1.850000000000000000e+03 6.315908224175434404e-02
1.900000000000000000e+03 6.639273107424650822e-02
1.950000000000000000e+03 6.906918927198774094e-02
2.000000000000000000e+03 6.979991701237112101e-02
2.050000000000000000e+03 6.928156149046568735e-02
2.100000000000000000e+03 6.736104196856952664e-02
2.150000000000000000e+03 6.506672953549022531e-02
2.200000000000000000e+03 6.430400099785726908e-02
2.250000000000000000e+03 6.595117987946329252e-02
2.300000000000000000e+03 6.768341931186815097e-02
2.350000000000000000e+03 6.747736153504105272e-02
2.400000000000000000e+03 6.567976152119141264e-02
2.450000000000000000e+03 6.268802134584468277e-02
2.500000000000000000e+03 6.035751874094475583e-02
2.550000000000000000e+03 5.988674283554205197e-02
2.600000000000000000e+03 6.113584679018680551e-02
2.650000000000000000e+03 6.434313943741451491e-02
2.700000000000000000e+03 6.899127280418460018e-02
2.750000000000000000e+03 7.363637876769502100e-02
2.800000000000000000e+03 7.701249485915019621e-02
2.850000000000000000e+03 7.962366960991928977e-02
2.900000000000000000e+03 8.114908440755022601e-02
2.950000000000000000e+03 8.042229943726778019e-02
3.000000000000000000e+03 7.807078842659792572e-02
3.050000000000000000e+03 7.478332730205691781e-02
3.100000000000000000e+03 7.097149294181744061e-02
3.150000000000000000e+03 6.756764889972055599e-02
3.200000000000000000e+03 6.523914165730432257e-02
3.250000000000000000e+03 6.440146553313480515e-02
3.300000000000000000e+03 6.426723571328393780e-02
3.350000000000000000e+03 6.443369631114971574e-02
3.400000000000000000e+03 6.532765953582289620e-02
3.450000000000000000e+03 6.625821202903162122e-02
3.500000000000000000e+03 6.734683627886732527e-02
3.550000000000000000e+03 6.869450091106150957e-02
3.600000000000000000e+03 6.883113858800632423e-02
3.650000000000000000e+03 6.747171247099968683e-02
3.700000000000000000e+03 6.586712850516072970e-02
3.750000000000000000e+03 6.425051973487805324e-02
3.800000000000000000e+03 6.252733436711541137e-02
3.850000000000000000e+03 6.180187997809876571e-02
3.900000000000000000e+03 6.241985253129726796e-02
3.950000000000000000e+03 6.364224294000658810e-02
