# k_1_per_A S_k
1.000000000000000056e-01 1.679896104172920790e+00
1.397993311036789255e-01 1.382146134748436506e+00
1.795986622073578731e-01 1.033619809167335424e+00
2.193979933110368208e-01 6.677495001344206926e-01
2.591973244147157684e-01 3.180284541985388680e-01
2.989966555183947161e-01 1.419923904651521074e-02
3.387959866220736083e-01 -2.209574637324829283e-01
3.785953177257525004e-01 -3.738420199751333328e-01
4.183946488294314481e-01 -4.410173716566727631e-01
4.581939799331103957e-01 -4.288828333695233752e-01
4.979933110367893434e-01 -3.521487364419784161e-01
5.377926421404682911e-01 -2.313765446033806406e-01
5.775919732441472387e-01 -8.996092416793866064e-02
6.173913043478260754e-01 4.901620098682313298e-02
6.571906354515050230e-01 1.656391663093672584e-01
6.969899665551839707e-01 2.453670972782586723e-01
7.367892976588629184e-01 2.803577671546738648e-01
7.765886287625418660e-01 2.698056378756411577e-01
8.163879598662208137e-01 2.193351560063295791e-01
8.561872909698997614e-01 1.396151692218247087e-01
8.959866220735787090e-01 4.445076620008758805e-02
9.357859531772575457e-01 -5.134544255318895800e-02
9.755852842809364933e-01 -1.340021989346011910e-01
1.015384615384615552e+00 -1.925021665568380502e-01
1.055183946488294389e+00 -2.197768237378365797e-01
1.094983277591973447e+00 -2.132935301508327441e-01
1.134782608695652284e+00 -1.750359850751410651e-01
1.174581939799331343e+00 -1.109566625475244539e-01
1.214381270903010179e+00 -3.003314716216820557e-02
1.254180602006689238e+00 5.691493972442018823e-02
1.293979933110368075e+00 1.384943448623285889e-01
1.333779264214047133e+00 2.039617393062806983e-01
1.373578595317725970e+00 2.443081731391854028e-01
1.413377926421404807e+00 2.531479316609965835e-01
1.453177257525083865e+00 2.273860154968890823e-01
1.492976588628762702e+00 1.676564822020367718e-01
1.532775919732441761e+00 7.852781115976859017e-02
1.572575250836120597e+00 -3.153571753171302561e-02
1.612374581939799656e+00 -1.504794205430854959e-01
1.652173913043478493e+00 -2.632612853893618876e-01
1.691973244147157551e+00 -3.527801246285973136e-01
1.731772575250836388e+00 -4.011356603315971991e-01
1.771571906354515225e+00 -3.911884924900501659e-01
1.811371237458194283e+00 -3.083343819493957749e-01
1.851170568561873120e+00 -1.423476257024944847e-01
1.890969899665552179e+00 1.109055048563716284e-01
1.930769230769231015e+00 4.481169856262244844e-01
1.970568561872910074e+00 8.577883492128468568e-01
