# time_fs temperature_K pressure_eV_per_A3 kinetic_energy_eV potential_energy_eV total_energy_eV
0.000000000000000000e+00 2.959268745582477322e+02 3.958692148274251150e-03 1.908750223721109407e+01 -4.908939140194555648e+02 -4.718064117822444814e+02
5.000000000000000000e+01 2.947041015195451905e+02 3.942291669327346697e-03 1.900863247201428052e+01 -4.908357741797429412e+02 -4.718271417077286856e+02
1.000000000000000000e+02 3.080237546060242835e+02 3.655075522503448745e-03 1.986775994553815750e+01 -4.916555112858163739e+02 -4.717877513402781915e+02
1.500000000000000000e+02 3.133111700366229115e+02 3.565957355071768670e-03 2.020880215068181940e+01 -4.920483804462036801e+02 -4.718395782955218465e+02
2.000000000000000000e+02 2.961057506681043492e+02 3.910631748875897408e-03 1.909903987856985452e+01 -4.909220293455127830e+02 -4.718229894669429427e+02
2.500000000000000000e+02 3.012266865376683995e+02 3.802407340166052713e-03 1.942934402892061385e+01 -4.912585563457087687e+02 -4.718292123167881300e+02
3.000000000000000000e+02 3.104356474925895668e+02 3.609251057580521900e-03 2.002332882023719307e+01 -4.919064384058771111e+02 -4.718831095856399429e+02
3.500000000000000000e+02 3.013659179370472430e+02 3.798140335511971267e-03 1.943832455713759799e+01 -4.912737509117631021e+02 -4.718354263546254970e+02
4.000000000000000000e+02 3.041007565738063363e+02 3.720497791630112284e-03 1.961472367153190532e+01 -4.915538116728879459e+02 -4.719390880013560263e+02
4.500000000000000000e+02 3.212428439602961703e+02 3.354122266822193860e-03 2.072040098397109631e+01 -4.927631521948397335e+02 -4.720427512108686301e+02
5.000000000000000000e+02 3.195642731684772002e+02 3.395007782256736616e-03 2.061213192665080385e+01 -4.926465926434468088e+02 -4.720344607167959907e+02
5.500000000000000000e+02 3.036697987401366845e+02 3.737549942461398586e-03 1.958692657258104930e+01 -4.915778507820811001e+02 -4.719909242095000650e+02
6.000000000000000000e+02 3.014155851866500484e+02 3.805095765966866415e-03 1.944152813146427761e+01 -4.914324536712082931e+02 -4.719909255397440120e+02
6.500000000000000000e+02 2.969698786962211443e+02 3.880628724194468398e-03 1.915477677537768031e+01 -4.911208233751453349e+02 -4.719660465997676511e+02
7.000000000000000000e+02 3.124152422478417748e+02 3.541884088936973155e-03 2.015101414579626038e+01 -4.922041333312538427e+02 -4.720531191854576036e+02
7.500000000000000000e+02 3.229638829242045972e+02 3.308713378855775763e-03 2.083140926979497820e+01 -4.929653847888048404e+02 -4.721339755190098799e+02
8.000000000000000000e+02 3.126092508277798743e+02 3.531086123823135893e-03 2.016352784266524267e+01 -4.922290851107138110e+02 -4.720655572680485648e+02
8.500000000000000000e+02 3.028987751960873993e+02 3.743644250111427194e-03 1.953719498384328546e+01 -4.914514143155553825e+02 -4.719142193317121041e+02
9.000000000000000000e+02 3.042275941374555828e+02 3.734478283514771398e-03 1.962290478817949335e+01 -4.915143177936485017e+02 -4.718914130054690190e+02
9.500000000000000000e+02 3.044815327463199424e+02 3.753656526191659869e-03 1.963928401623050846e+01 -4.915410604617454169e+02 -4.719017764455148836e+02
1.000000000000000000e+03 3.043683806998246837e+02 3.753221687370663154e-03 1.963198562555934146e+01 -4.915047376880099819e+02 -4.718727520624506155e+02
1.050000000000000000e+03 3.033924832771833735e+02 3.765209085288238108e-03 1.956903952015488457e+01 -4.914148419704488902e+02 -4.718458024502940020e+02
1.100000000000000000e+03 3.058585066450935415e+02 3.728364950343378281e-03 1.972809985092837692e+01 -4.915614617981296419e+02 -4.718333619472012401e+02
1.150000000000000000e+03 3.122434231343492570e+02 3.582611634092263374e-03 2.013993168592140393e+01 -4.920189068706815760e+02 -4.718789751847601792e+02
1.200000000000000000e+03 3.137823337554418686e+02 3.527782336269286861e-03 2.023919255895573599e+01 -4.921181735489867606e+02 -4.718789809900310388e+02
1.250000000000000000e+03 3.003228425748778818e+02 3.784447310529845572e-03 1.937104542495770332e+01 -4.912852622494083334e+02 -4.719142168244506479e+02
1.300000000000000000e+03 3.009056452846706975e+02 3.784042894284676307e-03 1.940863663070280154e+01 -4.913705359854474182e+02 -4.719618993547446166e+02
1.350000000000000000e+03 3.108939289574507256e+02 3.580290504404083033e-03 2.005288831360482860e+01 -4.920749074000527798e+02 -4.720220190864479264e+02
1.400000000000000000e+03 3.021470952155871714e+02 3.760926419660168100e-03 1.948871106925836116e+01 -4.915314581590672560e+02 -4.720427470898088700e+02
1.450000000000000000e+03 2.940428228161254651e+02 3.911022236589518919e-03 1.896597950664982690e+01 -4.910336038292742273e+02 -4.720676243226243969e+02
1.500000000000000000e+03 3.243125272703583732e+02 3.303359794599714221e-03 2.091839782740009213e+01 -4.930171215608799571e+02 -4.720987237334798579e+02
1.550000000000000000e+03 3.294448992169442931e+02 3.213057977130207975e-03 2.124943961317536889e+01 -4.933709669263078013e+02 -4.721215273131324466e+02
