# time_fs msd_A2
0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 8.560076972932545089e-03
1.000000000000000000e+02 3.020620859855718821e-02
1.500000000000000000e+02 5.574600426049784035e-02
2.000000000000000000e+02 7.666682939099245253e-02
2.500000000000000000e+02 8.778024324811417589e-02
3.000000000000000000e+02 8.971266518183267091e-02
3.500000000000000000e+02 8.671991241453645693e-02
4.000000000000000000e+02 8.214469563261614371e-02
4.500000000000000000e+02 7.776709097447849495e-02
5.000000000000000000e+02 7.426546131585459731e-02
5.500000000000000000e+02 7.136272265830023720e-02
6.000000000000000000e+02 6.874531399372096896e-02
6.500000000000000000e+02 6.712076700897634529e-02
7.000000000000000000e+02 6.703506155242031084e-02
7.500000000000000000e+02 6.876887136413725732e-02
8.000000000000000000e+02 7.144299196426567855e-02
8.500000000000000000e+02 7.367248373231669034e-02
9.000000000000000000e+02 7.473592885797157581e-02
9.500000000000000000e+02 7.503095927521340192e-02
1.000000000000000000e+03 7.544164543546495738e-02
1.050000000000000000e+03 7.621808074625492646e-02
1.100000000000000000e+03 7.671820153869901571e-02
1.150000000000000000e+03 7.624475817083256612e-02
1.200000000000000000e+03 7.474247431485937787e-02
1.250000000000000000e+03 7.278969123204487301e-02
1.300000000000000000e+03 7.090898811665520551e-02
1.350000000000000000e+03 6.993886408727972848e-02
1.400000000000000000e+03 7.033293013473382316e-02
1.450000000000000000e+03 7.073958122208238997e-02
1.500000000000000000e+03 6.966923758955745338e-02
1.550000000000000000e+03 6.803796781402431104e-02
1.600000000000000000e+03 6.671299035860266124e-02
1.650000000000000000e+03 6.567695466283267336e-02
1.700000000000000000e+03 6.478730963485797301e-02
1.750000000000000000e+03 6.383209278108870066e-02
1.800000000000000000e+03 6.318148443471521825e-02
1.850000000000000000e+03 6.356284460412707504e-02
1.900000000000000000e+03 6.548717066909863493e-02
1.950000000000000000e+03 6.799442339438187266e-02
2.000000000000000000e+03 6.987661914540291286e-02
2.050000000000000000e+03 7.041331163349318079e-02
2.100000000000000000e+03 6.896107853338218074e-02
2.150000000000000000e+03 6.616787708523585998e-02
2.200000000000000000e+03 6.362134567213903469e-02
2.250000000000000000e+03 6.297566927627665234e-02
2.300000000000000000e+03 6.383409570241357911e-02
2.350000000000000000e+03 6.474940477934854055e-02
2.400000000000000000e+03 6.471504403469441336e-02
2.450000000000000000e+03 6.318133998097850978e-02
2.500000000000000000e+03 6.118586825168704363e-02
2.550000000000000000e+03 6.000389946743134306e-02
2.600000000000000000e+03 6.051981132491373455e-02
2.650000000000000000e+03 6.316301113703833015e-02
2.700000000000000000e+03 6.752126366920868650e-02
2.750000000000000000e+03 7.249147282477594323e-02
2.800000000000000000e+03 7.673379724056564322e-02
2.850000000000000000e+03 7.973603759715790218e-02
2.900000000000000000e+03 8.108056077242455084e-02
2.950000000000000000e+03 8.028061839647802900e-02
3.000000000000000000e+03 7.781302753714151865e-02
3.050000000000000000e+03 7.438225804512098305e-02
3.100000000000000000e+03 7.079221757596335096e-02
3.150000000000000000e+03 6.766424911515747653e-02
3.200000000000000000e+03 6.532758622194907716e-02
3.250000000000000000e+03 6.425498327950543431e-02
3.300000000000000000e+03 6.412541816094667613e-02
3.350000000000000000e+03 6.468528458916948665e-02
3.400000000000000000e+03 6.571109151925789982e-02
3.450000000000000000e+03 6.651374636029148968e-02
3.500000000000000000e+03 6.683032537053196220e-02
3.550000000000000000e+03 6.671406567353423134e-02
3.600000000000000000e+03 6.625845694969237365e-02
3.650000000000000000e+03 6.570718616227255726e-02
3.700000000000000000e+03 6.533731919310990788e-02
3.750000000000000000e+03 6.497608868285986716e-02
3.800000000000000000e+03 6.438242959731826920e-02
3.850000000000000000e+03 6.404196059705462296e-02
3.900000000000000000e+03 6.416210761465705736e-02
3.950000000000000000e+03 6.461034706198684474e-02
4.000000000000000000e+03 6.516325965109143192e-02
4.050000000000000000e+03 6.607592961309928514e-02
4.100000000000000000e+03 6.788335542629783670e-02
4.150000000000000000e+03 7.004539945947925450e-02
4.200000000000000000e+03 7.110468346068085643e-02
4.250000000000000000e+03 7.087146731924150178e-02
4.300000000000000000e+03 7.016036128956198992e-02
4.350000000000000000e+03 6.995194582980686360e-02
4.400000000000000000e+03 7.106487164194200123e-02
4.450000000000000000e+03 7.305206871517010148e-02
4.500000000000000000e+03 7.447245921154790893e-02
4.550000000000000000e+03 7.447515432702465910e-02
4.600000000000000000e+03 7.317001323491502396e-02
4.650000000000000000e+03 7.146850712094819646e-02
4.700000000000000000e+03 6.999667062997985689e-02
4.750000000000000000e+03 6.959987885050142320e-02
4.800000000000000000e+03 7.044967767981233364e-02
4.850000000000000000e+03 7.108028964193152666e-02
4.900000000000000000e+03 7.068516685674028355e-02
4.950000000000000000e+03 6.986273330879327892e-02
5.000000000000000000e+03 6.926661354265063741e-02
5.050000000000000000e+03 6.882258675298949524e-02
5.100000000000000000e+03 6.845183695015334691e-02
5.150000000000000000e+03 6.858077101673656917e-02
5.200000000000000000e+03 6.925142138298809313e-02
5.250000000000000000e+03 6.940847073720152194e-02
5.300000000000000000e+03 6.766552349260986088e-02
5.350000000000000000e+03 6.456828378961450288e-02
5.400000000000000000e+03 6.161123693376912430e-02
5.450000000000000000e+03 6.048259817617218648e-02
5.500000000000000000e+03 6.121790181833981770e-02
5.550000000000000000e+03 6.227716454926043865e-02
5.600000000000000000e+03 6.262776596884879476e-02
5.650000000000000000e+03 6.206064968876762872e-02
5.700000000000000000e+03 6.121310318947102702e-02
5.750000000000000000e+03 6.149824558107842148e-02
5.800000000000000000e+03 6.367086180551807806e-02
5.850000000000000000e+03 6.624200104874841677e-02
5.900000000000000000e+03 6.747498541365358482e-02
5.950000000000000000e+03 6.754839607592566519e-02
6.000000000000000000e+03 6.744164256647365574e-02
6.050000000000000000e+03 6.727263256220246401e-02
6.100000000000000000e+03 6.711036243856960404e-02
6.150000000000000000e+03 6.729515146719011742e-02
6.200000000000000000e+03 6.742605595009873443e-02
6.250000000000000000e+03 6.743190473999441381e-02
6.300000000000000000e+03 6.848638139948232118e-02
6.350000000000000000e+03 7.069263205984310794e-02
6.400000000000000000e+03 7.331116295082987233e-02
6.450000000000000000e+03 7.515896238379808636e-02
6.500000000000000000e+03 7.570562651823038725e-02
6.550000000000000000e+03 7.479676628028397722e-02
6.600000000000000000e+03 7.242529635249969622e-02
6.650000000000000000e+03 6.917564179080309961e-02
6.700000000000000000e+03 6.564232737568791165e-02
6.750000000000000000e+03 6.296392984048983232e-02
6.800000000000000000e+03 6.222933480324545352e-02
6.850000000000000000e+03 6.319016665188204041e-02
6.900000000000000000e+03 6.510478340781190865e-02
6.950000000000000000e+03 6.672129589044258069e-02
7.000000000000000000e+03 6.679012177376240922e-02
7.050000000000000000e+03 6.528176407501704026e-02
7.100000000000000000e+03 6.373106378157404606e-02
7.150000000000000000e+03 6.252421307395329697e-02
7.200000000000000000e+03 6.141215873941136688e-02
7.250000000000000000e+03 6.037989586422715105e-02
7.300000000000000000e+03 5.955203240206992377e-02
7.350000000000000000e+03 5.890218832016958644e-02
7.400000000000000000e+03 5.868050093954545188e-02
7.450000000000000000e+03 5.916747040245754624e-02
7.500000000000000000e+03 5.970432335288552300e-02
7.550000000000000000e+03 6.002541343930474504e-02
7.600000000000000000e+03 6.046692323600383334e-02
7.650000000000000000e+03 6.147138521598025096e-02
7.700000000000000000e+03 6.395977079370622487e-02
7.750000000000000000e+03 6.791313985624145011e-02
7.800000000000000000e+03 7.209387441410072817e-02
7.850000000000000000e+03 7.533002499884768055e-02
7.900000000000000000e+03 7.704823569884099166e-02
7.950000000000000000e+03 7.777152391360385442e-02
8.000000000000000000e+03 7.866157211154865825e-02
8.050000000000000000e+03 7.895185649033403807e-02
8.100000000000000000e+03 7.757306120414890482e-02
8.150000000000000000e+03 7.492498555221553669e-02
8.200000000000000000e+03 7.159119692823140424e-02
8.250000000000000000e+03 6.877885332184022205e-02
8.300000000000000000e+03 6.713220444217508909e-02
8.350000000000000000e+03 6.623740845283720979e-02
8.400000000000000000e+03 6.556631762575337863e-02
8.450000000000000000e+03 6.492330753352415496e-02
8.500000000000000000e+03 6.427971422713044114e-02
8.550000000000000000e+03 6.353002825295277212e-02
8.600000000000000000e+03 6.307881140121764096e-02
8.650000000000000000e+03 6.339241465265056663e-02
8.700000000000000000e+03 6.384457317863503900e-02
8.750000000000000000e+03 6.397642432733666173e-02
8.800000000000000000e+03 6.421463379363907820e-02
8.850000000000000000e+03 6.497142457928785364e-02
8.900000000000000000e+03 6.591321715565796879e-02
8.950000000000000000e+03 6.597446829362377252e-02
9.000000000000000000e+03 6.438598122109809307e-02
9.050000000000000000e+03 6.244037244628244943e-02
9.100000000000000000e+03 6.092500122418170044e-02
9.150000000000000000e+03 6.010893159093629035e-02
9.200000000000000000e+03 6.030054485680497872e-02
9.250000000000000000e+03 6.088900109978492847e-02
9.300000000000000000e+03 6.193910382332561138e-02
9.350000000000000000e+03 6.400959290540236823e-02
9.400000000000000000e+03 6.666524260950588976e-02
9.450000000000000000e+03 6.896865593470531686e-02
9.500000000000000000e+03 6.984286331771784317e-02
9.550000000000000000e+03 6.911659751736801138e-02
9.600000000000000000e+03 6.741603109838506525e-02
9.650000000000000000e+03 6.600163558176933010e-02
9.700000000000000000e+03 6.568979323258679337e-02
9.750000000000000000e+03 6.669152390070663683e-02
9.800000000000000000e+03 6.839799976892356470e-02
9.850000000000000000e+03 6.962389988669315244e-02
9.900000000000000000e+03 7.037778423618550050e-02
9.950000000000000000e+03 7.071683229912058277e-02
1.000000000000000000e+04 7.085266767028203239e-02
