# r_A g_r
2.784375000000000391e-02 0.000000000000000000e+00
8.353125000000001521e-02 0.000000000000000000e+00
1.392187500000000300e-01 0.000000000000000000e+00
1.949062500000000309e-01 0.000000000000000000e+00
2.505937500000000595e-01 0.000000000000000000e+00
3.062812500000000604e-01 0.000000000000000000e+00
3.619687500000000613e-01 0.000000000000000000e+00
4.176562500000000622e-01 0.000000000000000000e+00
4.733437500000000631e-01 0.000000000000000000e+00
5.290312500000000639e-01 0.000000000000000000e+00
5.847187500000001759e-01 0.000000000000000000e+00
6.404062500000000657e-01 0.000000000000000000e+00
6.960937500000001776e-01 0.000000000000000000e+00
7.517812500000000675e-01 0.000000000000000000e+00
8.074687500000001794e-01 0.000000000000000000e+00
8.631562500000000693e-01 0.000000000000000000e+00
9.188437500000001812e-01 0.000000000000000000e+00
9.745312500000001821e-01 0.000000000000000000e+00
1.030218750000000183e+00 0.000000000000000000e+00
1.085906250000000295e+00 0.000000000000000000e+00
1.141593750000000185e+00 0.000000000000000000e+00
1.197281250000000075e+00 0.000000000000000000e+00
1.252968750000000187e+00 0.000000000000000000e+00
1.308656250000000298e+00 0.000000000000000000e+00
1.364343750000000188e+00 0.000000000000000000e+00
1.420031250000000078e+00 0.000000000000000000e+00
1.475718750000000190e+00 0.000000000000000000e+00
1.531406250000000302e+00 0.000000000000000000e+00
1.587093750000000192e+00 0.000000000000000000e+00
1.642781250000000082e+00 0.000000000000000000e+00
1.698468750000000194e+00 0.000000000000000000e+00
1.754156250000000306e+00 0.000000000000000000e+00
1.809843750000000195e+00 0.000000000000000000e+00
1.865531250000000307e+00 0.000000000000000000e+00
1.921218750000000419e+00 0.000000000000000000e+00
1.976906250000000309e+00 0.000000000000000000e+00
2.032593750000000199e+00 0.000000000000000000e+00
2.088281250000000533e+00 0.000000000000000000e+00
2.143968749999999979e+00 0.000000000000000000e+00
2.199656250000000313e+00 0.000000000000000000e+00
2.255343750000000647e+00 0.000000000000000000e+00
2.311031250000000092e+00 0.000000000000000000e+00
2.366718750000000426e+00 0.000000000000000000e+00
2.422406250000000316e+00 0.000000000000000000e+00
2.478093750000000206e+00 0.000000000000000000e+00
2.533781250000000540e+00 0.000000000000000000e+00
2.589468749999999986e+00 0.000000000000000000e+00
2.645156250000000320e+00 0.000000000000000000e+00
2.700843750000000654e+00 0.000000000000000000e+00
2.756531250000000099e+00 0.000000000000000000e+00
2.812218750000000433e+00 0.000000000000000000e+00
2.867906250000000767e+00 0.000000000000000000e+00
2.923593750000000213e+00 0.000000000000000000e+00
2.979281250000000547e+00 0.000000000000000000e+00
3.034968750000000437e+00 0.000000000000000000e+00
3.090656250000000327e+00 5.416288577985164075e-04
3.146343750000000661e+00 1.472062739867520745e-02
3.202031250000000107e+00 1.472607364057226809e-01
3.257718750000000441e+00 7.697649980861409613e-01
3.313406250000000774e+00 2.365295727245169566e+00
3.369093750000000220e+00 4.897525384633063084e+00
3.424781250000000554e+00 7.267865570038176237e+00
3.480468750000000444e+00 8.205196801181870114e+00
3.536156250000000334e+00 7.313276926865508898e+00
3.591843750000000668e+00 5.321630415683781479e+00
3.647531250000000558e+00 3.261393296681936338e+00
3.703218750000000448e+00 1.696552715175477788e+00
3.758906250000000782e+00 7.594931591958162809e-01
3.814593750000000227e+00 2.955253473425811794e-01
