# k_1_per_A S_k
1.000000000000000056e-01 1.709175018066272145e+00
1.397993311036789255e-01 1.405254142084454427e+00
1.795986622073578731e-01 1.049676496760693301e+00
2.193979933110368208e-01 6.766573474180375136e-01
2.591973244147157684e-01 3.204396171574546148e-01
2.989966555183947161e-01 1.138408229148490936e-02
3.387959866220736083e-01 -2.273177602823175381e-01
3.785953177257525004e-01 -3.819058606976786230e-01
4.183946488294314481e-01 -4.490379950203622350e-01
4.581939799331103957e-01 -4.354310754676102846e-01
4.979933110367893434e-01 -3.562725561068285085e-01
5.377926421404682911e-01 -2.326776884577725912e-01
5.775919732441472387e-01 -8.858286186578445687e-02
6.173913043478260754e-01 5.248086533540741172e-02
6.571906354515050230e-01 1.703014818262189589e-01
6.969899665551839707e-01 2.502261529841771637e-01
7.367892976588629184e-01 2.844848341044990958e-01
7.765886287625418660e-01 2.724983254640346297e-01
8.163879598662208137e-01 2.202187019808941049e-01
8.561872909698997614e-01 1.386782429585037280e-01
8.959866220735787090e-01 4.201494780229086956e-02
9.357859531772575457e-01 -5.471209542712074381e-02
9.755852842809364933e-01 -1.376082490782328804e-01
1.015384615384615552e+00 -1.956682790442112463e-01
1.055183946488294389e+00 -2.219587944945660141e-01
1.094983277591973447e+00 -2.141718184928802504e-01
1.134782608695652284e+00 -1.745579746418139955e-01
1.174581939799331343e+00 -1.093271688568520084e-01
1.214381270903010179e+00 -2.765827038094514911e-02
1.254180602006689238e+00 5.951736752122305241e-02
1.293979933110368075e+00 1.407991373811195990e-01
1.333779264214047133e+00 2.055352945772659368e-01
1.373578595317725970e+00 2.448838127779662255e-01
1.413377926421404807e+00 2.526648231057163629e-01
1.453177257525083865e+00 2.259863255947469618e-01
1.492976588628762702e+00 1.656435409820857796e-01
1.532775919732441761e+00 7.629533163822688202e-02
1.572575250836120597e+00 -3.358823003481559155e-02
1.612374581939799656e+00 -1.520278982624392317e-01
1.652173913043478493e+00 -2.641190867770688566e-01
1.691973244147157551e+00 -3.529291746171230315e-01
1.731772575250836388e+00 -4.007214994094769889e-01
1.771571906354515225e+00 -3.904811907670515669e-01
1.811371237458194283e+00 -3.076639268448131403e-01
1.851170568561873120e+00 -1.420272509650442050e-01
1.890969899665552179e+00 1.106524000327419044e-01
1.930769230769231015e+00 4.472115414706027137e-01
1.970568561872910074e+00 8.563214843761236539e-01
