# time_fs temperature_K pressure_eV_per_A3 kinetic_energy_eV potential_energy_eV total_energy_eV
0.000000000000000000e+00 2.959268745582477322e+02 3.958692148274251150e-03 1.908750223721109407e+01 -4.908939140194555648e+02 -4.718064117822444814e+02
5.000000000000000000e+01 3.005646257241337480e+02 4.007145941006959138e-03 1.938664061687540396e+01 -4.906922271591528215e+02 -4.713055865422774104e+02
1.000000000000000000e+02 3.025782944503393423e+02 3.746389687993705118e-03 1.951652373875754876e+01 -4.913488633380237616e+02 -4.718323395992662199e+02
1.500000000000000000e+02 3.014982109285836600e+02 3.488908666179776040e-03 1.944685755291801854e+01 -4.921584578591261447e+02 -4.727116003062081404e+02
2.000000000000000000e+02 2.975359743575716607e+02 3.679118174012019089e-03 1.919129036414393852e+01 -4.915822646504191198e+02 -4.723909742862751955e+02
2.500000000000000000e+02 3.013815432755354209e+02 3.678628064229127418e-03 1.943933240302450827e+01 -4.916223514882200902e+02 -4.721830190851956104e+02
3.000000000000000000e+02 3.005714041735180331e+02 3.524242298010451732e-03 1.938707783187313183e+01 -4.920854049245652959e+02 -4.726983270926921818e+02
3.500000000000000000e+02 2.987308104204689698e+02 3.609104758466444296e-03 1.926835817374283977e+01 -4.918064227709404008e+02 -4.725380645971975468e+02
4.000000000000000000e+02 3.011968544685232132e+02 3.606708042201202304e-03 1.942741983840091535e+01 -4.918574598274099117e+02 -4.724300399890090034e+02
4.500000000000000000e+02 3.030447208818910667e+02 3.246519780432464541e-03 1.954660858849966232e+01 -4.929384958707358351e+02 -4.733918872822361550e+02
5.000000000000000000e+02 3.008433769259542032e+02 3.025569885706647869e-03 1.940462027552018043e+01 -4.935644865619438519e+02 -4.741598662864236644e+02
5.500000000000000000e+02 2.976257958368486243e+02 3.246431260661994736e-03 1.919708391597733765e+01 -4.929588591221078673e+02 -4.737617752061305509e+02
6.000000000000000000e+02 2.980154048443479269e+02 3.507885377042731755e-03 1.922221398506410495e+01 -4.923102273987559556e+02 -4.730880134136918400e+02
6.500000000000000000e+02 2.981891373496879396e+02 3.764398324090159186e-03 1.923341986012801996e+01 -4.914995004700185177e+02 -4.722660806098904800e+02
7.000000000000000000e+02 3.031887764995808539e+02 3.527436849434701944e-03 1.955590028236505162e+01 -4.921609468548742825e+02 -4.726050465725092522e+02
7.500000000000000000e+02 3.016643495750924444e+02 3.216504117557061112e-03 1.945757361847190836e+01 -4.930175628797121590e+02 -4.735599892612402755e+02
8.000000000000000000e+02 2.996057643115433962e+02 3.198442815763663776e-03 1.932479334671680604e+01 -4.930840831404819369e+02 -4.737592897937651060e+02
8.500000000000000000e+02 2.988349863606333656e+02 3.354026307166848350e-03 1.927507759891813066e+01 -4.925718979848218169e+02 -4.732968203859036862e+02
9.000000000000000000e+02 2.991814763454834178e+02 3.468610640742537162e-03 1.929742645915892041e+01 -4.922559550842948397e+02 -4.729585286251358980e+02
