# time_fs msd_A2
0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 1.299386318566086822e-02
1.000000000000000000e+02 2.398121463307137380e-02
1.500000000000000000e+02 1.859637239761261288e-02
2.000000000000000000e+02 1.413661381733920079e-02
2.500000000000000000e+02 1.500334462183367662e-02
3.000000000000000000e+02 1.914936043214374509e-02
3.500000000000000000e+02 2.053374423636097901e-02
4.000000000000000000e+02 1.925984206224815379e-02
4.500000000000000000e+02 1.796907693363327535e-02
5.000000000000000000e+02 1.595777659305123303e-02
5.500000000000000000e+02 1.606782978555736444e-02
6.000000000000000000e+02 1.520499599953201338e-02
6.500000000000000000e+02 1.460964517002800306e-02
7.000000000000000000e+02 1.398191260067464976e-02
7.500000000000000000e+02 1.508520011000579267e-02
8.000000000000000000e+02 1.666489598203866815e-02
8.500000000000000000e+02 1.723122076377892400e-02
9.000000000000000000e+02 1.749339398626970771e-02
9.500000000000000000e+02 1.770969744490736436e-02
1.000000000000000000e+03 1.849187193270412227e-02
1.050000000000000000e+03 2.024571569678966509e-02
1.100000000000000000e+03 1.856660434945047594e-02
1.150000000000000000e+03 1.556359766760445629e-02
1.200000000000000000e+03 1.408915627780203683e-02
1.250000000000000000e+03 1.476553340584999159e-02
1.300000000000000000e+03 1.476865358592418034e-02
1.350000000000000000e+03 1.476393828600892737e-02
1.400000000000000000e+03 1.585963817159020961e-02
1.450000000000000000e+03 1.800537496130247966e-02
1.500000000000000000e+03 1.679228301178068566e-02
1.550000000000000000e+03 1.732503439896276864e-02
1.600000000000000000e+03 1.781172003190399644e-02
1.650000000000000000e+03 1.695033484861504722e-02
1.700000000000000000e+03 1.787988764351369775e-02
1.750000000000000000e+03 1.730588651124160410e-02
1.800000000000000000e+03 1.833428497871078880e-02
1.850000000000000000e+03 1.614505141681716813e-02
1.900000000000000000e+03 1.339172474324851377e-02
1.950000000000000000e+03 1.514748976485449060e-02
2.000000000000000000e+03 1.695258616010340141e-02
2.050000000000000000e+03 1.613792544792147163e-02
2.100000000000000000e+03 1.611478475201066560e-02
2.150000000000000000e+03 1.744656084869469423e-02
2.200000000000000000e+03 1.837933274877322221e-02
2.250000000000000000e+03 1.837603158362183589e-02
2.300000000000000000e+03 1.758453843126973545e-02
2.350000000000000000e+03 1.601552359362299824e-02
2.400000000000000000e+03 1.674205346889414206e-02
2.450000000000000000e+03 1.587146021028727413e-02
2.500000000000000000e+03 1.697152361997388004e-02
2.550000000000000000e+03 1.680796329401542874e-02
2.600000000000000000e+03 1.682431820264507563e-02
2.650000000000000000e+03 1.511286244646943208e-02
2.700000000000000000e+03 1.325743303999171036e-02
2.750000000000000000e+03 1.565491164487570544e-02
2.800000000000000000e+03 1.768654069260703829e-02
2.850000000000000000e+03 1.645937865874993328e-02
2.900000000000000000e+03 1.703230238138101274e-02
2.950000000000000000e+03 2.061736067961165986e-02
3.000000000000000000e+03 2.037362969186344921e-02
3.050000000000000000e+03 1.733142002817359903e-02
3.100000000000000000e+03 1.582605193849460912e-02
3.150000000000000000e+03 1.470600418560202502e-02
3.200000000000000000e+03 1.539385419018740597e-02
3.250000000000000000e+03 1.614738888264167019e-02
3.300000000000000000e+03 1.523325672621258543e-02
3.350000000000000000e+03 1.490028301629995125e-02
3.400000000000000000e+03 1.534422577812586189e-02
3.450000000000000000e+03 1.706262755050666144e-02
3.500000000000000000e+03 1.853684287124894581e-02
3.550000000000000000e+03 1.880237121885187240e-02
3.600000000000000000e+03 1.751862908265871405e-02
3.650000000000000000e+03 1.824804651770359568e-02
3.700000000000000000e+03 1.793524092420936342e-02
3.750000000000000000e+03 1.667368240870978693e-02
3.800000000000000000e+03 1.542817334158696346e-02
3.850000000000000000e+03 1.779051545846409982e-02
3.900000000000000000e+03 1.652176192035411523e-02
3.950000000000000000e+03 1.476562636573155313e-02
4.000000000000000000e+03 1.393785727867194804e-02
4.050000000000000000e+03 1.453062203493067812e-02
4.100000000000000000e+03 1.703466802174253419e-02
4.150000000000000000e+03 2.017200566688025568e-02
4.200000000000000000e+03 2.130010723927116406e-02
4.250000000000000000e+03 2.068498353915346546e-02
4.300000000000000000e+03 1.869774171631629830e-02
4.350000000000000000e+03 1.561779636130170706e-02
4.400000000000000000e+03 1.506956260341289766e-02
4.450000000000000000e+03 1.623458390857772729e-02
4.500000000000000000e+03 1.563530377902949339e-02
4.550000000000000000e+03 1.456060037097378461e-02
4.600000000000000000e+03 1.597782601374807265e-02
4.650000000000000000e+03 1.714070567549731000e-02
4.700000000000000000e+03 1.754016418392828972e-02
4.750000000000000000e+03 1.657335477385019074e-02
4.800000000000000000e+03 1.737163711434839761e-02
4.850000000000000000e+03 1.943178039424788006e-02
4.900000000000000000e+03 1.970733074646977695e-02
4.950000000000000000e+03 1.742971319517529552e-02
5.000000000000000000e+03 1.635786524894506863e-02
5.050000000000000000e+03 1.618713033938176324e-02
5.100000000000000000e+03 1.643444361428410966e-02
5.150000000000000000e+03 1.546177478371156370e-02
5.200000000000000000e+03 1.425754330024465132e-02
5.250000000000000000e+03 1.414298680163151613e-02
5.300000000000000000e+03 1.626304715810168375e-02
5.350000000000000000e+03 1.790700270548388484e-02
5.400000000000000000e+03 1.703896746956097899e-02
5.450000000000000000e+03 1.710946939962721541e-02
5.500000000000000000e+03 1.839319271361662678e-02
5.550000000000000000e+03 1.848331599549254273e-02
5.600000000000000000e+03 1.807733281981992179e-02
5.650000000000000000e+03 1.678225401913103695e-02
5.700000000000000000e+03 1.542188146707340439e-02
5.750000000000000000e+03 1.415267155339489796e-02
5.800000000000000000e+03 1.537087756535811429e-02
5.850000000000000000e+03 1.708576771102278055e-02
5.900000000000000000e+03 1.590574702836441631e-02
5.950000000000000000e+03 1.589331086288974307e-02
6.000000000000000000e+03 1.769303412044392204e-02
6.050000000000000000e+03 1.769504403208888368e-02
6.100000000000000000e+03 1.859005882748633251e-02
6.150000000000000000e+03 1.764458323578233651e-02
6.200000000000000000e+03 1.691428384676457730e-02
6.250000000000000000e+03 1.727393759674127061e-02
6.300000000000000000e+03 1.759193427166550611e-02
6.350000000000000000e+03 1.705399513083958804e-02
6.400000000000000000e+03 1.525506847590576975e-02
6.450000000000000000e+03 1.495789577023081719e-02
6.500000000000000000e+03 1.565252635435260969e-02
6.550000000000000000e+03 1.612366198074179774e-02
6.600000000000000000e+03 1.665400729168604183e-02
6.650000000000000000e+03 1.642461479035456709e-02
6.700000000000000000e+03 1.609157507398546044e-02
6.750000000000000000e+03 1.741596201439349345e-02
6.800000000000000000e+03 1.753862964352425821e-02
6.850000000000000000e+03 1.804704030026595130e-02
6.900000000000000000e+03 1.817402927185106029e-02
6.950000000000000000e+03 1.790214326011825910e-02
7.000000000000000000e+03 1.673851776192543384e-02
7.050000000000000000e+03 1.521317168194300656e-02
7.100000000000000000e+03 1.408979176214116870e-02
7.150000000000000000e+03 1.461218803841074672e-02
7.200000000000000000e+03 1.583551997065910794e-02
7.250000000000000000e+03 1.621013990019983322e-02
7.300000000000000000e+03 1.679539038286261346e-02
7.350000000000000000e+03 1.751201065038464344e-02
7.400000000000000000e+03 1.844564286459339855e-02
7.450000000000000000e+03 1.796199559970067250e-02
7.500000000000000000e+03 1.747503278056826426e-02
7.550000000000000000e+03 1.678842062796432472e-02
