# k_1_per_A S_k
1.000000000000000056e-01 2.946867133129001282e+00
1.397993311036789255e-01 2.607391305665951897e+00
1.795986622073578731e-01 2.191313187542962559e+00
2.193979933110368208e-01 1.725667076043198023e+00
2.591973244147157684e-01 1.239910007513755907e+00
2.989966555183947161e-01 7.636298586411178757e-01
3.387959866220736083e-01 3.242992497035500632e-01
3.785953177257525004e-01 -5.473368591949889783e-02
4.183946488294314481e-01 -3.558515659516050533e-01
4.581939799331103957e-01 -5.682447767811940054e-01
4.979933110367893434e-01 -6.883836006029921961e-01
5.377926421404682911e-01 -7.198662364603483077e-01
5.775919732441472387e-01 -6.726802209742896999e-01
6.173913043478260754e-01 -5.619663532730077016e-01
6.571906354515050230e-01 -4.064159086432768131e-01
6.969899665551839707e-01 -2.264599770219393182e-01
7.367892976588629184e-01 -4.242190957103630922e-02
7.765886287625418660e-01 1.272005485984465389e-01
8.163879598662208137e-01 2.671768141852051137e-01
8.561872909698997614e-01 3.665950725495640272e-01
8.959866220735787090e-01 4.194525981820930172e-01
9.357859531772575457e-01 4.247605421891722521e-01
9.755852842809364933e-01 3.861859884149699829e-01
1.015384615384615552e+00 3.112964431443813185e-01
1.055183946488294389e+00 2.105056206559713372e-01
1.094983277591973447e+00 9.584148506508705090e-02
1.134782608695652284e+00 -2.033361214739359824e-02
1.174581939799331343e+00 -1.265253882220827020e-01
1.214381270903010179e+00 -2.131240979903246124e-01
1.254180602006689238e+00 -2.731529480202246063e-01
1.293979933110368075e+00 -3.026993631620971126e-01
1.333779264214047133e+00 -3.010156150768290573e-01
1.373578595317725970e+00 -2.703096421959259033e-01
1.413377926421404807e+00 -2.152763674032354135e-01
1.453177257525083865e+00 -1.424416161072024067e-01
1.492976588628762702e+00 -5.940301837892869585e-02
1.532775919732441761e+00 2.594563001355043586e-02
1.572575250836120597e+00 1.061276632966586808e-01
1.612374581939799656e+00 1.746713066483523979e-01
1.652173913043478493e+00 2.265300857422511971e-01
1.691973244147157551e+00 2.583181804669856252e-01
1.731772575250836388e+00 2.683667672422818118e-01
1.771571906354515225e+00 2.566278955927780991e-01
1.811371237458194283e+00 2.244673669645963487e-01
1.851170568561873120e+00 1.743959094015439248e-01
1.890969899665552179e+00 1.097881229595432107e-01
1.930769230769231015e+00 3.463166620714841493e-02
1.970568561872910074e+00 -4.666365758916835027e-02
2.010367892976588688e+00 -1.293837728200382120e-01
2.050167224080267747e+00 -2.085596984715820668e-01
2.089966555183946806e+00 -2.789691306648149904e-01
2.129765886287625865e+00 -3.351232328050985920e-01
2.169565217391304479e+00 -3.712781054443718975e-01
2.209364548494983538e+00 -3.815100077355400021e-01
2.249163879598662596e+00 -3.598859657140283108e-01
2.288963210702341655e+00 -3.007477375007878706e-01
2.328762541806020270e+00 -1.991088953169155573e-01
2.368561872909699328e+00 -5.114439001360149284e-02
2.408361204013378387e+00 1.452678600279913024e-01
2.448160535117057002e+00 3.900102576127770782e-01
2.487959866220736060e+00 6.802611456270455381e-01
2.527759197324415119e+00 1.010172973220313297e+00
2.567558528428094178e+00 1.370757190162646744e+00
2.607357859531772792e+00 1.750025236076296675e+00
2.647157190635451851e+00 2.133412500135437817e+00
2.686956521739130910e+00 2.504484052847555375e+00
2.726755852842809524e+00 2.845890177435827617e+00
2.766555183946488583e+00 3.140509623093251879e+00
2.806354515050167642e+00 3.372692552611343597e+00
2.846153846153846700e+00 3.529496572646535935e+00
2.885953177257525315e+00 3.601800573550901774e+00
2.925752508361204374e+00 3.585183956739471878e+00
2.965551839464883432e+00 3.480473594936539516e+00
3.005351170568562047e+00 3.293886679302649778e+00
3.045150501672241106e+00 3.036732347578403157e+00
3.084949832775920164e+00 2.724675494848651347e+00
3.124749163879599223e+00 2.376608525297204011e+00
3.164548494983277838e+00 2.013216728287078983e+00
3.204347826086956896e+00 1.655356252421163799e+00
3.244147157190635955e+00 1.322386628093333183e+00
3.283946488294315014e+00 1.030609700501423864e+00
3.323745819397993628e+00 7.919621724726840784e-01
3.363545150501672687e+00 6.130896489340618150e-01
3.403344481605351746e+00 4.948975394611395684e-01
3.443143812709030360e+00 4.326312140349832802e-01
3.482943143812709419e+00 4.164883588266289349e-01
3.522742474916388478e+00 4.327152490278031172e-01
3.562541806020067536e+00 4.650906598444658480e-01
3.602341137123746151e+00 4.966612021360836682e-01
3.642140468227425210e+00 5.115641461846648363e-01
3.681939799331104268e+00 4.967613288110559466e-01
3.721739130434782883e+00 4.435121342173630188e-01
3.761538461538461942e+00 3.484347822861609822e-01
3.801337792642141000e+00 2.140415794542553929e-01
3.841137123745820059e+00 4.868219440576548873e-02
3.880936454849498674e+00 -1.341150153396513112e-01
3.920735785953177732e+00 -3.168553335528543347e-01
3.960535117056856791e+00 -4.797403918584746130e-01
4.000334448160534961e+00 -6.026316333036467743e-01
4.040133779264214020e+00 -6.671318589548462796e-01
4.079933110367893079e+00 -6.585858560247526139e-01
4.119732441471572137e+00 -5.678034054935581221e-01
4.159531772575251196e+00 -3.923290469339850706e-01
4.199331103678930255e+00 -1.371212063640998569e-01
4.239130434782608425e+00 1.854446156986030436e-01
4.278929765886287484e+00 5.562725915757951167e-01
4.318729096989966543e+00 9.509023080349038315e-01
4.358528428093645601e+00 1.341420004496924889e+00
4.398327759197324660e+00 1.698767506827261631e+00
4.438127090301003719e+00 1.995250190579088478e+00
4.477926421404682777e+00 2.207021887010375494e+00
4.517725752508360948e+00 2.316321112897662626e+00
4.557525083612040007e+00 2.313250001327106453e+00
4.597324414715719065e+00 2.196923597041500198e+00
4.637123745819398124e+00 1.975869738216557092e+00
4.676923076923077183e+00 1.667624041003279656e+00
4.716722408026756241e+00 1.297534883906287906e+00
4.756521739130435300e+00 8.968634987724534158e-01
4.796321070234113471e+00 5.003280131568437206e-01
4.836120401337792529e+00 1.432917808322697883e-01
4.875919732441471588e+00 -1.411691409057898028e-01
4.915719063545150647e+00 -3.250702004414764978e-01
4.955518394648829705e+00 -3.879524520684605182e-01
4.995317725752508764e+00 -3.187333505527203403e-01
5.035117056856187823e+00 -1.168085334234041373e-01
5.074916387959865993e+00 2.076987542134292042e-01
5.114715719063545052e+00 6.345720576275040159e-01
5.154515050167224111e+00 1.134976216050027409e+00
5.194314381270903169e+00 1.673656302721639344e+00
5.234113712374582228e+00 2.211682885777705110e+00
5.273913043478261287e+00 2.709518018980165088e+00
5.313712374581940345e+00 3.130148042028231714e+00
5.353511705685618516e+00 3.442022604032093813e+00
5.393311036789297575e+00 3.621554957746506709e+00
5.433110367892976633e+00 3.654975205924252180e+00
5.472909698996655692e+00 3.539382688749912909e+00
5.512709030100334751e+00 3.282911402604419049e+00
5.552508361204013809e+00 2.903997407737421987e+00
5.592307692307692868e+00 2.429813147198954582e+00
5.632107023411371038e+00 1.894003914312473391e+00
5.671906354515050097e+00 1.333920314002852603e+00
5.711705685618729156e+00 7.875824238033908298e-01
5.751505016722408214e+00 2.906328869225522915e-01
5.791304347826087273e+00 -1.264644585860008608e-01
5.831103678929766332e+00 -4.407464913927410244e-01
5.870903010033445391e+00 -6.384020533239107564e-01
5.910702341137123561e+00 -7.156203245309475935e-01
5.950501672240802620e+00 -6.785742392572913229e-01
5.990301003344481678e+00 -5.425519662734470394e-01
6.030100334448160737e+00 -3.303230353192998514e-01
6.069899665551839796e+00 -6.989129106439007089e-02
6.109698996655518854e+00 2.081611960740386014e-01
6.149498327759197913e+00 4.735013271533491386e-01
6.189297658862876084e+00 6.987925718513281481e-01
6.229096989966555142e+00 8.621215551801306720e-01
6.268896321070234201e+00 9.488926863590345651e-01
6.308695652173913260e+00 9.530287415661661266e-01
6.348494983277592318e+00 8.773781801164690641e-01
6.388294314381271377e+00 7.333012327519867757e-01
6.428093645484950436e+00 5.394801022550076430e-01
6.467892976588629494e+00 3.200674443384408097e-01
6.507692307692307665e+00 1.023455475790141511e-01
6.547491638795986724e+00 -8.588884063080559628e-02
6.587290969899665782e+00 -2.189760179126654105e-01
6.627090301003344841e+00 -2.758414876850621145e-01
6.666889632107023900e+00 -2.420209342139034714e-01
6.706688963210702958e+00 -1.110815977229109297e-01
6.746488294314382017e+00 1.146849776169754920e-01
6.786287625418060188e+00 4.243575726262814873e-01
