# time_fs temperature_K pressure_eV_per_A3 kinetic_energy_eV potential_energy_eV total_energy_eV
0.000000000000000000e+00 2.999290785014155745e+02 1.718863497833228796e-02 1.934564735104378386e+01 -1.060094740240752571e+03 -1.040749092889708891e+03
5.000000000000000000e+01 3.028998070894396619e+02 1.706796685027993019e-02 1.953726154172755614e+01 -1.060194984925309654e+03 -1.040657723383582152e+03
1.000000000000000000e+02 2.807591910171841505e+02 1.809853922630964840e-02 1.810917543280869069e+01 -1.058344793673604954e+03 -1.040235618240796157e+03
1.500000000000000000e+02 2.983885360690248945e+02 1.733693806828310799e-02 1.924628122497405514e+01 -1.059899669922910562e+03 -1.040653388697936407e+03
2.000000000000000000e+02 3.189679819876205897e+02 1.634862004003081321e-02 2.057367070454780844e+01 -1.061692671929291009e+03 -1.041119001224743215e+03
2.500000000000000000e+02 2.872349604087022499e+02 1.768997602051902360e-02 1.852686734718037798e+01 -1.059354311555756794e+03 -1.040827444208576480e+03
3.000000000000000000e+02 2.949123173432130329e+02 1.743611726375774232e-02 1.902206254660961804e+01 -1.059640624365903250e+03 -1.040618561819293518e+03
3.500000000000000000e+02 2.910318015918369952e+02 1.758667433350391551e-02 1.877176641113192090e+01 -1.059416427790197758e+03 -1.040644661379065838e+03
4.000000000000000000e+02 2.937372617404333823e+02 1.746725699956321737e-02 1.894627059131530800e+01 -1.059691020108968132e+03 -1.040744749517652735e+03
4.500000000000000000e+02 3.080642048135833306e+02 1.686253696664012994e-02 1.987036901383731546e+01 -1.060715194409180185e+03 -1.040844825395342923e+03
5.000000000000000000e+02 3.009830468960460621e+02 1.718666432254452314e-02 1.941362909187246188e+01 -1.060114846607241589e+03 -1.040701217515369081e+03
5.500000000000000000e+02 2.998209504803283494e+02 1.724364285585244100e-02 1.933867301372653813e+01 -1.060057289479422479e+03 -1.040718616465695959e+03
6.000000000000000000e+02 3.006464813434401435e+02 1.720499358623821945e-02 1.939192036485020765e+01 -1.060171435276647117e+03 -1.040779514911796923e+03
6.500000000000000000e+02 2.860299301837288795e+02 1.777514838495529090e-02 1.844914200658932657e+01 -1.059106798466105829e+03 -1.040657656459516602e+03
7.000000000000000000e+02 3.125038795020062707e+02 1.670089354928434161e-02 2.015673131423421083e+01 -1.060905778375815999e+03 -1.040749047061581678e+03
7.500000000000000000e+02 2.822483706471844584e+02 1.797526047623381959e-02 1.820522862014313503e+01 -1.058875936036181201e+03 -1.040670707416038113e+03
8.000000000000000000e+02 2.984061946832774765e+02 1.724928930010157305e-02 1.924742021865131392e+01 -1.060013885770296611e+03 -1.040766465551645297e+03
8.500000000000000000e+02 3.087420776558287230e+02 1.678549732786145318e-02 1.991409231342684905e+01 -1.060880736658449223e+03 -1.040966644345022360e+03
9.000000000000000000e+02 2.934299982258728505e+02 1.749026885994545838e-02 1.892645186741487606e+01 -1.059758194113745958e+03 -1.040831742246331032e+03
9.500000000000000000e+02 2.903463953060521590e+02 1.762521971321444683e-02 1.872755719886336223e+01 -1.059337396390446429e+03 -1.040609839191582978e+03
1.000000000000000000e+03 3.038352055877899147e+02 1.703416919120547685e-02 1.959759543656761593e+01 -1.060311863674310871e+03 -1.040714268237743227e+03
1.050000000000000000e+03 2.984645003519200941e+02 1.729999004118499759e-02 1.925118097739389000e+01 -1.059995894481610094e+03 -1.040744713504216179e+03
1.100000000000000000e+03 2.960331310045060604e+02 1.733364596287881310e-02 1.909435585656790835e+01 -1.059882589573867790e+03 -1.040788233717299818e+03
1.150000000000000000e+03 2.911059726721614993e+02 1.755805212067186247e-02 1.877655050065992626e+01 -1.059573481634329028e+03 -1.040796931133669204e+03
1.200000000000000000e+03 3.012053478751099647e+02 1.715173408592865142e-02 1.942796766940635678e+01 -1.060298879070494195e+03 -1.040870911401087824e+03
1.250000000000000000e+03 2.893331566960870873e+02 1.756684631041265099e-02 1.866220255926394245e+01 -1.059428684506128775e+03 -1.040766481946864815e+03
1.300000000000000000e+03 3.010469338917959021e+02 1.721356869280830579e-02 1.941774985034066248e+01 -1.060184231587049680e+03 -1.040766481736709011e+03
1.350000000000000000e+03 2.873796798866987956e+02 1.771734916758065104e-02 1.853620186052645735e+01 -1.059176479581961530e+03 -1.040640277721435041e+03
1.400000000000000000e+03 3.121587549948434344e+02 1.672966939261043631e-02 2.013447052831396888e+01 -1.060826968241041186e+03 -1.040692497712727118e+03
1.450000000000000000e+03 2.853022785697169184e+02 1.776752569638562207e-02 1.840220793941108468e+01 -1.059181728334872105e+03 -1.040779520395461077e+03
1.500000000000000000e+03 3.037382880655430313e+02 1.702847025520301885e-02 1.959134418471536776e+01 -1.060457911693925325e+03 -1.040866567509209972e+03
1.550000000000000000e+03 3.099694156324605956e+02 1.675229175131401349e-02 1.999325652049572355e+01 -1.060859820787545459e+03 -1.040866564267049625e+03
1.600000000000000000e+03 2.786350050585596705e+02 1.808916438537215565e-02 1.797216386771166441e+01 -1.058577606208731368e+03 -1.040605442341019625e+03
1.650000000000000000e+03 3.046038501483992604e+02 1.699313235034203770e-02 1.964717357911432316e+01 -1.060387507242088077e+03 -1.040740333662973853e+03
1.700000000000000000e+03 2.927143322009779922e+02 1.744006093887966180e-02 1.888029087959763785e+01 -1.059751179301652883e+03 -1.040870888422055259e+03
1.750000000000000000e+03 3.098991367540693886e+02 1.673260339732050156e-02 1.998872348087057205e+01 -1.060937948053371429e+03 -1.040949224572500952e+03
1.800000000000000000e+03 2.814556845048938953e+02 1.797124795790212143e-02 1.815409977780002748e+01 -1.058807415935245672e+03 -1.040653316157445715e+03
1.850000000000000000e+03 3.001653757626851871e+02 1.715874271828938050e-02 1.936088869912973820e+01 -1.060201336980908081e+03 -1.040840448281778436e+03
1.900000000000000000e+03 3.057020600498545946e+02 1.688550357571666147e-02 1.971800892984834519e+01 -1.060567159469379476e+03 -1.040849150539531138e+03
1.950000000000000000e+03 2.928925604024003064e+02 1.753668234066656229e-02 1.889178673038327716e+01 -1.059453735109164199e+03 -1.040561948378780926e+03
2.000000000000000000e+03 2.931177590271936424e+02 1.747670709026900859e-02 1.890631220820943525e+01 -1.059533535692980195e+03 -1.040627223484770866e+03
2.050000000000000000e+03 3.003353477655036272e+02 1.712428233919217890e-02 1.937185201900024012e+01 -1.060177488001538904e+03 -1.040805635982538661e+03
2.100000000000000000e+03 2.918175666279198026e+02 1.753008266646467056e-02 1.882244883700669646e+01 -1.059628093092872405e+03 -1.040805644255865673e+03
2.150000000000000000e+03 2.859677086715138330e+02 1.776677862751574466e-02 1.844512867304068848e+01 -1.059172447491341245e+03 -1.040727318818300546e+03
2.200000000000000000e+03 2.965153737203307287e+02 1.732939867672643464e-02 1.912546086834124992e+01 -1.060022481458204538e+03 -1.040897020589863359e+03
2.250000000000000000e+03 3.043627979520430813e+02 1.699897808250903225e-02 1.963162553419916989e+01 -1.060472088072882570e+03 -1.040840462538683369e+03
2.300000000000000000e+03 2.965975865916317957e+02 1.728852924220968673e-02 1.913076365933388701e+01 -1.059771047645007002e+03 -1.040640283985673022e+03
2.350000000000000000e+03 3.056695773457561813e+02 1.696711834171210284e-02 1.971591377141410462e+01 -1.060604237276172171e+03 -1.040888323504758091e+03
2.400000000000000000e+03 2.702283887591618736e+02 1.842363686261293265e-02 1.742993089998386580e+01 -1.058152900704978265e+03 -1.040722969804994364e+03
2.450000000000000000e+03 3.233796431083308676e+02 1.620670370135894253e-02 2.085822610911212038e+01 -1.061877103511907308e+03 -1.041018877402795169e+03
2.500000000000000000e+03 2.839414581865021319e+02 1.782149683722646788e-02 1.831443401841175245e+01 -1.059002595268673531e+03 -1.040688161250261828e+03
2.550000000000000000e+03 2.979181170347798115e+02 1.729135521234664852e-02 1.921593884940582342e+01 -1.060012900809994562e+03 -1.040796961960588760e+03
2.600000000000000000e+03 2.989617896207453782e+02 1.724433689280564785e-02 1.928325650296219962e+01 -1.060019289321914584e+03 -1.040736032818952481e+03
2.650000000000000000e+03 2.999202958338676126e+02 1.719937373056557028e-02 1.934508086249244840e+01 -1.060098518107399286e+03 -1.040753437244906763e+03
