# time_fs msd_A2
0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 1.307888599957760835e-02
1.000000000000000000e+02 2.409568745900833239e-02
1.500000000000000000e+02 1.927390210127378350e-02
2.000000000000000000e+02 1.440313571013464820e-02
2.500000000000000000e+02 1.475069098753271739e-02
3.000000000000000000e+02 1.909672536106692131e-02
3.500000000000000000e+02 2.002544698845546214e-02
4.000000000000000000e+02 1.908305410063285135e-02
4.500000000000000000e+02 1.848216367409986557e-02
5.000000000000000000e+02 1.637981334552378321e-02
5.500000000000000000e+02 1.631591341880422527e-02
6.000000000000000000e+02 1.512359832429205700e-02
6.500000000000000000e+02 1.439652954859639393e-02
7.000000000000000000e+02 1.408762543962794635e-02
7.500000000000000000e+02 1.487222457684146681e-02
8.000000000000000000e+02 1.696219301353243600e-02
8.500000000000000000e+02 1.725092101956784280e-02
9.000000000000000000e+02 1.706228392242981756e-02
9.500000000000000000e+02 1.757398983140253529e-02
1.000000000000000000e+03 1.872898892589127881e-02
1.050000000000000000e+03 2.039904016379380514e-02
1.100000000000000000e+03 1.868246202031556558e-02
1.150000000000000000e+03 1.550079990891452091e-02
1.200000000000000000e+03 1.413629734916750300e-02
1.250000000000000000e+03 1.480551691215054033e-02
1.300000000000000000e+03 1.518209376149631980e-02
1.350000000000000000e+03 1.472867588019294988e-02
1.400000000000000000e+03 1.556883488086354544e-02
1.450000000000000000e+03 1.763175684595742754e-02
1.500000000000000000e+03 1.710128769126537107e-02
1.550000000000000000e+03 1.741162963599646868e-02
1.600000000000000000e+03 1.760233800771150367e-02
1.650000000000000000e+03 1.706824812169609185e-02
1.700000000000000000e+03 1.769652400462538855e-02
1.750000000000000000e+03 1.742966789673610142e-02
1.800000000000000000e+03 1.818770594746643363e-02
1.850000000000000000e+03 1.651679555141053607e-02
1.900000000000000000e+03 1.355720908361006047e-02
1.950000000000000000e+03 1.483291946500862532e-02
2.000000000000000000e+03 1.684536225533815254e-02
2.050000000000000000e+03 1.638746973283459682e-02
2.100000000000000000e+03 1.593243644171977308e-02
2.150000000000000000e+03 1.724066270825351868e-02
2.200000000000000000e+03 1.833804255532971161e-02
2.250000000000000000e+03 1.854921519487789938e-02
2.300000000000000000e+03 1.769426158688212902e-02
2.350000000000000000e+03 1.617926488430999205e-02
2.400000000000000000e+03 1.654753732031404717e-02
2.450000000000000000e+03 1.629979303280856828e-02
2.500000000000000000e+03 1.676159618170179610e-02
2.550000000000000000e+03 1.688442868652207177e-02
2.600000000000000000e+03 1.669901593736047851e-02
2.650000000000000000e+03 1.549481115947165186e-02
2.700000000000000000e+03 1.356509030824053566e-02
2.750000000000000000e+03 1.538262134243933120e-02
2.800000000000000000e+03 1.744138461223152317e-02
2.850000000000000000e+03 1.622930144105743169e-02
2.900000000000000000e+03 1.714931667709425345e-02
2.950000000000000000e+03 2.031661086995353513e-02
3.000000000000000000e+03 2.042079914464180190e-02
3.050000000000000000e+03 1.789693565725823318e-02
3.100000000000000000e+03 1.573245856780468646e-02
3.150000000000000000e+03 1.464597740655087729e-02
3.200000000000000000e+03 1.528071520063978284e-02
3.250000000000000000e+03 1.629572865901404363e-02
3.300000000000000000e+03 1.558013998952270836e-02
3.350000000000000000e+03 1.488647199241001189e-02
3.400000000000000000e+03 1.531834007496499055e-02
3.450000000000000000e+03 1.685125054652453908e-02
3.500000000000000000e+03 1.814084882193008064e-02
3.550000000000000000e+03 1.871164797204871721e-02
3.600000000000000000e+03 1.823789400486891185e-02
3.650000000000000000e+03 1.894210804322614752e-02
3.700000000000000000e+03 1.829387212547441133e-02
3.750000000000000000e+03 1.616130520265674983e-02
3.800000000000000000e+03 1.503760674387592464e-02
3.850000000000000000e+03 1.786682973241728034e-02
3.900000000000000000e+03 1.749990988919093021e-02
3.950000000000000000e+03 1.462383332955129525e-02
4.000000000000000000e+03 1.393610310865100663e-02
4.050000000000000000e+03 1.449057153801336546e-02
4.100000000000000000e+03 1.650216472367498771e-02
4.150000000000000000e+03 1.927406601855966364e-02
4.200000000000000000e+03 2.120063331086455630e-02
4.250000000000000000e+03 2.110282816412288251e-02
4.300000000000000000e+03 1.861016766597600736e-02
4.350000000000000000e+03 1.597540959079300424e-02
4.400000000000000000e+03 1.489776101070529844e-02
4.450000000000000000e+03 1.610468782912000477e-02
4.500000000000000000e+03 1.589390468861788877e-02
4.550000000000000000e+03 1.445685353660621474e-02
4.600000000000000000e+03 1.595030082952285377e-02
4.650000000000000000e+03 1.709698360570562070e-02
4.700000000000000000e+03 1.686152588352157408e-02
4.750000000000000000e+03 1.623307174656785437e-02
4.800000000000000000e+03 1.737737270750756152e-02
4.850000000000000000e+03 1.947697813925915872e-02
4.900000000000000000e+03 1.939937504741573102e-02
4.950000000000000000e+03 1.764140144183098946e-02
5.000000000000000000e+03 1.696300019794261954e-02
5.050000000000000000e+03 1.646339629903711271e-02
5.100000000000000000e+03 1.642755877066116518e-02
5.150000000000000000e+03 1.551737541890887279e-02
5.200000000000000000e+03 1.407285311589892909e-02
5.250000000000000000e+03 1.396126356348751339e-02
5.300000000000000000e+03 1.611344851097852929e-02
5.350000000000000000e+03 1.811583948286708476e-02
5.400000000000000000e+03 1.716771145700190723e-02
5.450000000000000000e+03 1.701828735019578556e-02
5.500000000000000000e+03 1.804157891485566947e-02
5.550000000000000000e+03 1.851443143637722388e-02
5.600000000000000000e+03 1.877867893304732347e-02
5.650000000000000000e+03 1.745852296242017543e-02
5.700000000000000000e+03 1.536972281859155277e-02
5.750000000000000000e+03 1.401664540070520631e-02
5.800000000000000000e+03 1.520549011633644601e-02
5.850000000000000000e+03 1.669011197654798884e-02
5.900000000000000000e+03 1.627203028984514077e-02
5.950000000000000000e+03 1.632940844382049783e-02
6.000000000000000000e+03 1.773255429879338693e-02
6.050000000000000000e+03 1.740775394650721786e-02
6.100000000000000000e+03 1.780487302505339570e-02
6.150000000000000000e+03 1.750611248106392903e-02
6.200000000000000000e+03 1.719915431245268994e-02
6.250000000000000000e+03 1.782336950840097967e-02
6.300000000000000000e+03 1.813693515415704116e-02
6.350000000000000000e+03 1.706472431008126608e-02
6.400000000000000000e+03 1.493583953469833879e-02
6.450000000000000000e+03 1.435610048965733215e-02
6.500000000000000000e+03 1.555880186226086051e-02
6.550000000000000000e+03 1.641125268316578553e-02
6.600000000000000000e+03 1.658925036747169873e-02
6.650000000000000000e+03 1.626344798546974085e-02
6.700000000000000000e+03 1.627175033244986080e-02
6.750000000000000000e+03 1.724224084552434394e-02
6.800000000000000000e+03 1.692311425347793261e-02
6.850000000000000000e+03 1.713370936792743895e-02
6.900000000000000000e+03 1.793807756280401192e-02
6.950000000000000000e+03 1.817264377501067243e-02
7.000000000000000000e+03 1.680154710423039516e-02
7.050000000000000000e+03 1.522888787854021972e-02
7.100000000000000000e+03 1.406666162427052356e-02
7.150000000000000000e+03 1.490805393201756306e-02
7.200000000000000000e+03 1.583508370851929858e-02
7.250000000000000000e+03 1.573395557747618925e-02
7.300000000000000000e+03 1.625544440715245148e-02
7.350000000000000000e+03 1.692893663017601760e-02
7.400000000000000000e+03 1.732160144831178250e-02
7.450000000000000000e+03 1.756524368155416849e-02
7.500000000000000000e+03 1.749981289972897883e-02
7.550000000000000000e+03 1.693961750931551741e-02
7.600000000000000000e+03 1.713625584046809397e-02
7.650000000000000000e+03 1.710168927296467842e-02
7.700000000000000000e+03 1.502737277977555727e-02
7.750000000000000000e+03 1.473922388301360242e-02
7.800000000000000000e+03 1.530998437464249108e-02
7.850000000000000000e+03 1.550239751828824154e-02
7.900000000000000000e+03 1.642991950363894768e-02
7.950000000000000000e+03 1.766632711147183774e-02
8.000000000000000000e+03 1.790670201426399280e-02
8.050000000000000000e+03 1.719945158509180935e-02
8.100000000000000000e+03 1.715469610582023158e-02
8.150000000000000000e+03 1.723435626427946218e-02
8.200000000000000000e+03 1.771501598389868537e-02
8.250000000000000000e+03 1.711651029340664071e-02
8.300000000000000000e+03 1.656013957666397154e-02
8.350000000000000000e+03 1.602285496153613154e-02
8.400000000000000000e+03 1.553335734263256926e-02
8.450000000000000000e+03 1.635672196567036080e-02
8.500000000000000000e+03 1.617162020111290177e-02
8.550000000000000000e+03 1.623283178185461195e-02
8.600000000000000000e+03 1.620274075242121928e-02
8.650000000000000000e+03 1.723824989582716655e-02
8.700000000000000000e+03 1.853942280959848532e-02
8.750000000000000000e+03 1.843474866945534613e-02
8.800000000000000000e+03 1.748787038255741194e-02
8.850000000000000000e+03 1.663077368030694073e-02
8.900000000000000000e+03 1.719420976685609795e-02
8.950000000000000000e+03 1.687585428230205242e-02
9.000000000000000000e+03 1.542583343275373726e-02
9.050000000000000000e+03 1.448075878874696687e-02
9.100000000000000000e+03 1.565419557832254879e-02
9.150000000000000000e+03 1.707871891077377899e-02
9.200000000000000000e+03 1.711141882617784118e-02
9.250000000000000000e+03 1.709968055833217815e-02
9.300000000000000000e+03 1.792318431012037902e-02
9.350000000000000000e+03 1.706987457115238457e-02
