# r_A g_r
2.188124999999999792e-02 0.000000000000000000e+00
6.564375000000000071e-02 0.000000000000000000e+00
1.094062499999999966e-01 0.000000000000000000e+00
1.531687499999999924e-01 0.000000000000000000e+00
1.969312499999999744e-01 0.000000000000000000e+00
2.406937499999999841e-01 0.000000000000000000e+00
2.844562499999999661e-01 0.000000000000000000e+00
3.282187500000000036e-01 0.000000000000000000e+00
3.719812499999999300e-01 0.000000000000000000e+00
4.157437499999999675e-01 0.000000000000000000e+00
4.595062499999999495e-01 0.000000000000000000e+00
5.032687499999999314e-01 0.000000000000000000e+00
5.470312499999999689e-01 0.000000000000000000e+00
5.907937500000000064e-01 0.000000000000000000e+00
6.345562499999999329e-01 0.000000000000000000e+00
6.783187499999998593e-01 0.000000000000000000e+00
7.220812500000000078e-01 0.000000000000000000e+00
7.658437499999999343e-01 0.000000000000000000e+00
8.096062499999998607e-01 0.000000000000000000e+00
8.533687499999998982e-01 0.000000000000000000e+00
8.971312499999999357e-01 0.000000000000000000e+00
9.408937499999998622e-01 0.000000000000000000e+00
9.846562499999998996e-01 0.000000000000000000e+00
1.028418749999999937e+00 0.000000000000000000e+00
1.072181249999999864e+00 0.000000000000000000e+00
1.115943750000000012e+00 0.000000000000000000e+00
1.159706249999999716e+00 0.000000000000000000e+00
1.203468749999999865e+00 0.000000000000000000e+00
1.247231250000000014e+00 0.000000000000000000e+00
1.290993749999999718e+00 0.000000000000000000e+00
1.334756249999999866e+00 0.000000000000000000e+00
1.378518750000000015e+00 0.000000000000000000e+00
1.422281249999999719e+00 0.000000000000000000e+00
1.466043749999999868e+00 0.000000000000000000e+00
1.509806250000000016e+00 0.000000000000000000e+00
1.553568749999999721e+00 0.000000000000000000e+00
1.597331249999999869e+00 0.000000000000000000e+00
1.641093750000000018e+00 0.000000000000000000e+00
1.684856249999999722e+00 0.000000000000000000e+00
1.728618749999999871e+00 0.000000000000000000e+00
1.772381249999999797e+00 0.000000000000000000e+00
1.816143749999999724e+00 0.000000000000000000e+00
1.859906249999999872e+00 0.000000000000000000e+00
1.903668749999999799e+00 0.000000000000000000e+00
1.947431249999999725e+00 0.000000000000000000e+00
1.991193749999999874e+00 0.000000000000000000e+00
2.034956249999999578e+00 0.000000000000000000e+00
2.078718750000000171e+00 0.000000000000000000e+00
2.122481249999999875e+00 0.000000000000000000e+00
2.166243749999999579e+00 0.000000000000000000e+00
2.210006249999999728e+00 0.000000000000000000e+00
2.253768749999999876e+00 0.000000000000000000e+00
2.297531249999999581e+00 0.000000000000000000e+00
