# k_1_per_A S_k
1.000000000000000056e-01 2.962681550642519035e+00
1.397993311036789255e-01 2.621189320175538295e+00
1.795986622073578731e-01 2.202660135494005189e+00
2.193979933110368208e-01 1.734302126415010026e+00
2.591973244147157684e-01 1.245759348697333513e+00
2.989966555183947161e-01 7.668041509148453283e-01
3.387959866220736083e-01 3.250759282942489170e-01
3.785953177257525004e-01 -5.594129147202697716e-02
4.183946488294314481e-01 -3.585351595775359002e-01
4.581939799331103957e-01 -5.718480845993794137e-01
4.979933110367893434e-01 -6.923509836726509103e-01
5.377926421404682911e-01 -7.236884757839221471e-01
5.775919732441472387e-01 -6.759334365663574040e-01
6.173913043478260754e-01 -5.643408110487533325e-01
6.571906354515050230e-01 -4.077325519973853396e-01
6.969899665551839707e-01 -2.266737795845636949e-01
7.367892976588629184e-01 -4.161245175631922422e-02
7.765886287625418660e-01 1.288496556836011830e-01
8.163879598662208137e-01 2.694070179753622618e-01
8.561872909698997614e-01 3.691071269263783705e-01
8.959866220735787090e-01 4.219422642161809733e-01
9.357859531772575457e-01 4.269520718107691071e-01
9.755852842809364933e-01 3.878601275135744597e-01
1.015384615384615552e+00 3.123104129395685158e-01
1.055183946488294389e+00 2.108034888357753767e-01
1.094983277591973447e+00 9.545441422902023465e-02
1.134782608695652284e+00 -2.129666821435316493e-02
1.174581939799331343e+00 -1.278949934183057913e-01
1.214381270903010179e+00 -2.146933294242525658e-01
1.254180602006689238e+00 -2.747032669536162430e-01
1.293979933110368075e+00 -3.040263777474536688e-01
1.333779264214047133e+00 -3.019519054524051338e-01
1.373578595317725970e+00 -2.707422703610413706e-01
1.413377926421404807e+00 -2.151573840070075683e-01
1.453177257525083865e+00 -1.417907204655304287e-01
1.492976588628762702e+00 -5.830242946416785976e-02
1.532775919732441761e+00 2.736317531189247365e-02
1.572575250836120597e+00 1.076961447334110478e-01
1.612374581939799656e+00 1.762117336806539036e-01
1.652173913043478493e+00 2.278714783949076228e-01
1.691973244147157551e+00 2.593168279303332824e-01
1.731772575250836388e+00 2.689216595441223934e-01
1.771571906354515225e+00 2.566907329261951531e-01
1.811371237458194283e+00 2.240462199387016629e-01
1.851170568561873120e+00 1.735523516650072651e-01
1.890969899665552179e+00 1.086283991443262043e-01
1.930769230769231015e+00 3.329311029492265650e-02
1.970568561872910074e+00 -4.802924560023980050e-02
2.010367892976588688e+00 -1.306278006585199769e-01
2.050167224080267747e+00 -2.095534653484043552e-01
2.089966555183946806e+00 -2.796176636874405652e-01
2.129765886287625865e+00 -3.353748056872543071e-01
2.169565217391304479e+00 -3.711285097649765774e-01
2.209364548494983538e+00 -3.810012751173517120e-01
2.249163879598662596e+00 -3.590998809003154157e-01
2.288963210702341655e+00 -2.997950641071176481e-01
2.328762541806020270e+00 -1.981156937154238129e-01
2.368561872909699328e+00 -5.023709208969218132e-02
2.408361204013378387e+00 1.459768688359039945e-01
2.448160535117057002e+00 3.904349161623242859e-01
2.487959866220736060e+00 6.803505231241202544e-01
2.527759197324415119e+00 1.009915716355611837e+00
2.567558528428094178e+00 1.370181256774481771e+00
2.607357859531772792e+00 1.749193117375540618e+00
2.647157190635451851e+00 2.132412649230921886e+00
2.686956521739130910e+00 2.503419653719327620e+00
2.726755852842809524e+00 2.844866660289808724e+00
2.766555183946488583e+00 3.139622431821914805e+00
2.806354515050167642e+00 3.372016591165218458e+00
2.846153846153846700e+00 3.529078513683447937e+00
2.885953177257525315e+00 3.601654837710291712e+00
2.925752508361204374e+00 3.585292711687709133e+00
2.965551839464883432e+00 3.480790635956942491e+00
3.005351170568562047e+00 3.294344595568672318e+00
3.045150501672241106e+00 3.037252003372711506e+00
3.084949832775920164e+00 2.725176604948980064e+00
3.124749163879599223e+00 2.377020005010558990e+00
3.164548494983277838e+00 2.013485559297400140e+00
3.204347826086956896e+00 1.655453814945131885e+00
3.244147157190635955e+00 1.322311779803301501e+00
3.283946488294315014e+00 1.030388291664304568e+00
3.323745819397993628e+00 7.916431247099539048e-01
3.363545150501672687e+00 6.127381394530893033e-01
3.403344481605351746e+00 4.945861748402736735e-01
3.443143812709030360e+00 4.324303083742790932e-01
3.482943143812709419e+00 4.164565248536359343e-01
3.522742474916388478e+00 4.328914586960402877e-01
