# time_fs temperature_K pressure_eV_per_A3 kinetic_energy_eV potential_energy_eV total_energy_eV
0.000000000000000000e+00 2.999290785014155745e+02 1.718863497833228796e-02 1.934564735104378386e+01 -1.060094740240752571e+03 -1.040749092889708891e+03
5.000000000000000000e+01 3.013465631055689755e+02 1.719527354390430404e-02 1.943707615619498696e+01 -1.060003348797688886e+03 -1.040566272641493924e+03
1.000000000000000000e+02 2.929500232677860367e+02 1.840588567279471607e-02 1.889549312769256062e+01 -1.058008363350779518e+03 -1.039112870223086929e+03
1.500000000000000000e+02 3.042859655201863234e+02 1.832718906220639696e-02 1.962666978552934793e+01 -1.058489905604518299e+03 -1.038863235818988869e+03
2.000000000000000000e+02 3.066185931154570881e+02 1.584272208733078155e-02 1.977712599032580343e+01 -1.062303350792304855e+03 -1.042526224801978969e+03
2.500000000000000000e+02 2.940676950352394101e+02 1.744913923270477452e-02 1.896758378317486304e+01 -1.059841786843569025e+03 -1.040874203060394166e+03
3.000000000000000000e+02 2.990356750595638005e+02 1.791189186788614066e-02 1.928802216840184514e+01 -1.058947994275046312e+03 -1.039659972106644545e+03
3.500000000000000000e+02 2.996000486456009639e+02 1.772136262224222394e-02 1.932442468203696961e+01 -1.059285387499396393e+03 -1.039960962817359359e+03
4.000000000000000000e+02 2.990932970541896339e+02 1.772630171655469392e-02 1.929173882966478359e+01 -1.059385527726268720e+03 -1.040093788896603883e+03
4.500000000000000000e+02 3.030834759044166731e+02 1.701714015180754921e-02 1.954910831611062960e+01 -1.060471281250604761e+03 -1.040922172934494029e+03
5.000000000000000000e+02 2.980623433314254385e+02 1.713913603479601255e-02 1.922524155219007369e+01 -1.060182940785200572e+03 -1.040957699233010544e+03
5.500000000000000000e+02 3.005709446175067683e+02 1.765471303721125040e-02 1.938704819017057801e+01 -1.059500123322748323e+03 -1.040113075132577706e+03
6.000000000000000000e+02 3.045909948999554899e+02 1.731752623396445867e-02 1.964634440608366717e+01 -1.060054942850336829e+03 -1.040408598444253130e+03
6.500000000000000000e+02 2.928798263089192915e+02 1.769852471276130157e-02 1.889096537193730896e+01 -1.059249046817112685e+03 -1.040358081445175458e+03
7.000000000000000000e+02 3.122453932472253086e+02 1.732307182167226040e-02 2.014005875965874282e+01 -1.060023348094674247e+03 -1.039883289335015434e+03
7.500000000000000000e+02 2.931188357377027387e+02 1.765394936983343682e-02 1.890638165683346372e+01 -1.059427694872228813e+03 -1.040521313215395367e+03
8.000000000000000000e+02 2.992225273411452235e+02 1.776002276160296503e-02 1.930007427873497150e+01 -1.059262542389117925e+03 -1.039962468110383043e+03
