# time_fs msd_A2
0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 8.764227217142626231e-03
1.000000000000000000e+02 1.950844792045205653e-02
1.500000000000000000e+02 1.804038333573936351e-02
2.000000000000000000e+02 1.571146138954664442e-02
2.500000000000000000e+02 1.411372702780674254e-02
3.000000000000000000e+02 1.378414333416541106e-02
3.500000000000000000e+02 1.507175913601222980e-02
4.000000000000000000e+02 1.503706561938309219e-02
4.500000000000000000e+02 1.467581568945921719e-02
5.000000000000000000e+02 1.694534972089853028e-02
5.500000000000000000e+02 1.690010925370487652e-02
6.000000000000000000e+02 1.265443872278317235e-02
6.500000000000000000e+02 1.218028917482659804e-02
7.000000000000000000e+02 1.390913202100640435e-02
7.500000000000000000e+02 1.350801511892338498e-02
8.000000000000000000e+02 1.348995290183874034e-02
8.500000000000000000e+02 1.291659248187362712e-02
9.000000000000000000e+02 1.256893633362108666e-02
9.500000000000000000e+02 1.298312786417480345e-02
1.000000000000000000e+03 1.313402380840199800e-02
1.050000000000000000e+03 1.296284954545157998e-02
1.100000000000000000e+03 1.360723700580633751e-02
1.150000000000000000e+03 1.542559452308734161e-02
1.200000000000000000e+03 1.843038994284480064e-02
1.250000000000000000e+03 1.884178037225850075e-02
1.300000000000000000e+03 1.735176252818135256e-02
1.350000000000000000e+03 1.369439740377403729e-02
1.400000000000000000e+03 1.103591000155239137e-02
1.450000000000000000e+03 1.050742198570725656e-02
1.500000000000000000e+03 1.235874811427073797e-02
1.550000000000000000e+03 1.382312306126268209e-02
1.600000000000000000e+03 1.243693148918189814e-02
1.650000000000000000e+03 1.183603605446614977e-02
1.700000000000000000e+03 1.368676475304134513e-02
1.750000000000000000e+03 1.512416676347637726e-02
1.800000000000000000e+03 1.548978014992229320e-02
1.850000000000000000e+03 1.569857899132980419e-02
1.900000000000000000e+03 1.594110327736369265e-02
1.950000000000000000e+03 1.495117487310149672e-02
2.000000000000000000e+03 1.452085719209551991e-02
2.050000000000000000e+03 1.392349285895117493e-02
2.100000000000000000e+03 1.276483193457777186e-02
2.150000000000000000e+03 1.339651255799383794e-02
2.200000000000000000e+03 1.431573986197656745e-02
2.250000000000000000e+03 1.411077033649785727e-02
2.300000000000000000e+03 1.395517106002991045e-02
2.350000000000000000e+03 1.319446470782395693e-02
2.400000000000000000e+03 1.211368436455588331e-02
2.450000000000000000e+03 1.279724931177625424e-02
2.500000000000000000e+03 1.378215041096454534e-02
2.550000000000000000e+03 1.474604489739394370e-02
2.600000000000000000e+03 1.490029055101543647e-02
2.650000000000000000e+03 1.495413558167597509e-02
2.700000000000000000e+03 1.471410018192177531e-02
2.750000000000000000e+03 1.511389762250552396e-02
2.800000000000000000e+03 1.563915517975629152e-02
2.850000000000000000e+03 1.483615029114130832e-02
2.900000000000000000e+03 1.419206512035547756e-02
2.950000000000000000e+03 1.416512543040632753e-02
3.000000000000000000e+03 1.323324409359550972e-02
3.050000000000000000e+03 1.244235172296734825e-02
3.100000000000000000e+03 1.247139727499000685e-02
3.150000000000000000e+03 1.255763119740566265e-02
3.200000000000000000e+03 1.251006080589395913e-02
3.250000000000000000e+03 1.264714413047416872e-02
3.300000000000000000e+03 1.424773423157945328e-02
3.350000000000000000e+03 1.549235221825417258e-02
3.400000000000000000e+03 1.572308013121508433e-02
3.450000000000000000e+03 1.498989417581336921e-02
3.500000000000000000e+03 1.523846395612631771e-02
3.550000000000000000e+03 1.555671981359508724e-02
3.600000000000000000e+03 1.378672722194357499e-02
3.650000000000000000e+03 1.316078830883699383e-02
3.700000000000000000e+03 1.249822759567829553e-02
3.750000000000000000e+03 1.211406553735601237e-02
3.800000000000000000e+03 1.301459327805251642e-02
3.850000000000000000e+03 1.371776183099683230e-02
3.900000000000000000e+03 1.418475222282834618e-02
3.950000000000000000e+03 1.454976598480804684e-02
4.000000000000000000e+03 1.303221501207962874e-02
4.050000000000000000e+03 1.165688973784796169e-02
4.100000000000000000e+03 1.247752146710441601e-02
4.150000000000000000e+03 1.451401159184800838e-02
4.200000000000000000e+03 1.582815650758985851e-02
4.250000000000000000e+03 1.535387814331766465e-02
4.300000000000000000e+03 1.499324329559507084e-02
4.350000000000000000e+03 1.429952110700239212e-02
4.400000000000000000e+03 1.501843799205126832e-02
4.450000000000000000e+03 1.554472311201517652e-02
4.500000000000000000e+03 1.359037834506815479e-02
4.550000000000000000e+03 1.140194039493971911e-02
4.600000000000000000e+03 1.197855833745204573e-02
4.650000000000000000e+03 1.363285733242688806e-02
4.700000000000000000e+03 1.319892805636523232e-02
4.750000000000000000e+03 1.308470579596285842e-02
4.800000000000000000e+03 1.295266234581976539e-02
4.850000000000000000e+03 1.303637563726605525e-02
4.900000000000000000e+03 1.468495560102409288e-02
4.950000000000000000e+03 1.651217350244426826e-02
5.000000000000000000e+03 1.784465521326443829e-02
5.050000000000000000e+03 1.754602713764060948e-02
5.100000000000000000e+03 1.527302131073217904e-02
5.150000000000000000e+03 1.320760992766709281e-02
5.200000000000000000e+03 1.265729774652361514e-02
5.250000000000000000e+03 1.242425737009043331e-02
5.300000000000000000e+03 1.319032870143123717e-02
5.350000000000000000e+03 1.462334762182009723e-02
5.400000000000000000e+03 1.429278410691167851e-02
5.450000000000000000e+03 1.243047025301008759e-02
5.500000000000000000e+03 1.201465491077055581e-02
5.550000000000000000e+03 1.322075295000025436e-02
5.600000000000000000e+03 1.409340870695099598e-02
5.650000000000000000e+03 1.500046665421619733e-02
5.700000000000000000e+03 1.619746590807216724e-02
5.750000000000000000e+03 1.631440089197716548e-02
5.800000000000000000e+03 1.576243947536104875e-02
5.850000000000000000e+03 1.514500241060092768e-02
5.900000000000000000e+03 1.433066032962105121e-02
5.950000000000000000e+03 1.381788058967634014e-02
6.000000000000000000e+03 1.346543540254800664e-02
6.050000000000000000e+03 1.397544391839641506e-02
6.100000000000000000e+03 1.403109533408550963e-02
6.150000000000000000e+03 1.401961973603558717e-02
6.200000000000000000e+03 1.283112096530624087e-02
6.250000000000000000e+03 1.271765699673786838e-02
6.300000000000000000e+03 1.266272335770969246e-02
6.350000000000000000e+03 1.355110150494902820e-02
6.400000000000000000e+03 1.547419085730232166e-02
6.450000000000000000e+03 1.634297493583848279e-02
6.500000000000000000e+03 1.545551370499829297e-02
6.550000000000000000e+03 1.492408671487318456e-02
6.600000000000000000e+03 1.539654903210566257e-02
6.650000000000000000e+03 1.607749991188635666e-02
6.700000000000000000e+03 1.575482604227578659e-02
6.750000000000000000e+03 1.474252066657747058e-02
6.800000000000000000e+03 1.335676141562349220e-02
6.850000000000000000e+03 1.168927651018681138e-02
6.900000000000000000e+03 1.120221648594847685e-02
6.950000000000000000e+03 1.215381484440665634e-02
7.000000000000000000e+03 1.335039270138987759e-02
7.050000000000000000e+03 1.421895634954723452e-02
7.100000000000000000e+03 1.457706934938805821e-02
7.150000000000000000e+03 1.595042632947190828e-02
7.200000000000000000e+03 1.672736597590554139e-02
7.250000000000000000e+03 1.538099587341116084e-02
