# r_A g_r
2.205000000000000016e-02 0.000000000000000000e+00
6.615000000000000047e-02 0.000000000000000000e+00
1.102500000000000008e-01 0.000000000000000000e+00
1.543499999999999872e-01 0.000000000000000000e+00
1.984500000000000153e-01 0.000000000000000000e+00
2.425499999999999878e-01 0.000000000000000000e+00
2.866499999999999604e-01 0.000000000000000000e+00
3.307499999999999885e-01 0.000000000000000000e+00
3.748500000000000165e-01 0.000000000000000000e+00
4.189500000000000446e-01 0.000000000000000000e+00
4.630499999999999616e-01 0.000000000000000000e+00
5.071499999999999897e-01 0.000000000000000000e+00
5.512500000000000178e-01 0.000000000000000000e+00
5.953500000000000458e-01 0.000000000000000000e+00
6.394499999999999629e-01 0.000000000000000000e+00
6.835499999999999909e-01 0.000000000000000000e+00
7.276500000000000190e-01 0.000000000000000000e+00
7.717500000000000471e-01 0.000000000000000000e+00
8.158499999999999641e-01 0.000000000000000000e+00
8.599499999999999922e-01 0.000000000000000000e+00
9.040500000000000203e-01 0.000000000000000000e+00
9.481500000000000483e-01 0.000000000000000000e+00
9.922499999999999654e-01 0.000000000000000000e+00
1.036350000000000104e+00 0.000000000000000000e+00
1.080449999999999910e+00 0.000000000000000000e+00
1.124550000000000161e+00 0.000000000000000000e+00
1.168649999999999967e+00 0.000000000000000000e+00
1.212749999999999995e+00 0.000000000000000000e+00
1.256850000000000023e+00 0.000000000000000000e+00
1.300949999999999829e+00 0.000000000000000000e+00
1.345050000000000079e+00 0.000000000000000000e+00
1.389149999999999885e+00 0.000000000000000000e+00
1.433250000000000135e+00 0.000000000000000000e+00
1.477349999999999941e+00 0.000000000000000000e+00
1.521450000000000191e+00 0.000000000000000000e+00
1.565549999999999997e+00 0.000000000000000000e+00
1.609650000000000025e+00 0.000000000000000000e+00
1.653750000000000053e+00 0.000000000000000000e+00
1.697849999999999859e+00 0.000000000000000000e+00
1.741950000000000109e+00 0.000000000000000000e+00
1.786049999999999915e+00 0.000000000000000000e+00
1.830150000000000166e+00 0.000000000000000000e+00
1.874249999999999972e+00 0.000000000000000000e+00
1.918350000000000000e+00 0.000000000000000000e+00
1.962450000000000028e+00 0.000000000000000000e+00
2.006549999999999834e+00 0.000000000000000000e+00
2.050650000000000084e+00 0.000000000000000000e+00
2.094750000000000334e+00 0.000000000000000000e+00
2.138849999999999696e+00 0.000000000000000000e+00
2.182949999999999946e+00 0.000000000000000000e+00
2.227050000000000196e+00 0.000000000000000000e+00
2.271150000000000002e+00 0.000000000000000000e+00
2.315249999999999808e+00 0.000000000000000000e+00
2.359350000000000058e+00 0.000000000000000000e+00
2.403450000000000308e+00 0.000000000000000000e+00
2.447549999999999670e+00 0.000000000000000000e+00
2.491649999999999920e+00 0.000000000000000000e+00
2.535750000000000171e+00 1.682018691099060163e-04
2.579849999999999977e+00 9.831281905047827355e-03
2.623949999999999783e+00 2.693209048223043633e-01
2.668050000000000033e+00 2.324062636182961494e+00
2.712150000000000283e+00 8.134554495844167121e+00
2.756250000000000089e+00 1.326702213611184433e+01
2.800349999999999895e+00 1.122254558483846587e+01
2.844450000000000145e+00 5.373161758551774803e+00
2.888549999999999951e+00 1.541288805635682158e+00
2.932649999999999757e+00 2.731385736684560639e-01
2.976750000000000007e+00 3.246688314119523106e-02
3.020850000000000257e+00 1.955551726951109369e-03
3.064950000000000063e+00 1.151322249872422510e-04
3.109049999999999869e+00 0.000000000000000000e+00
3.153150000000000119e+00 0.000000000000000000e+00
3.197250000000000369e+00 0.000000000000000000e+00
3.241349999999999731e+00 0.000000000000000000e+00
3.285449999999999982e+00 0.000000000000000000e+00
3.329550000000000232e+00 0.000000000000000000e+00
3.373650000000000038e+00 0.000000000000000000e+00
3.417749999999999844e+00 0.000000000000000000e+00
3.461850000000000094e+00 0.000000000000000000e+00
3.505950000000000344e+00 0.000000000000000000e+00
3.550049999999999706e+00 0.000000000000000000e+00
3.594149999999999956e+00 8.372425454396130765e-05
3.638250000000000206e+00 4.085343836507818811e-04
3.682350000000000012e+00 6.261281255685498433e-03
3.726449999999999818e+00 4.957371857182241853e-02
3.770550000000000068e+00 2.525264947214238553e-01
3.814650000000000318e+00 8.408746755876688184e-01
3.858749999999999680e+00 1.862162618300473804e+00
3.902849999999999930e+00 2.690217400731500508e+00
3.946950000000000180e+00 2.533900184241364428e+00
3.991049999999999542e+00 1.546794433417474801e+00
4.035149999999999793e+00 6.348795596762094595e-01
4.079250000000000043e+00 1.632361051633169358e-01
4.123350000000000293e+00 2.954806212546874991e-02
4.167450000000000543e+00 3.331629292722771817e-03
4.211549999999999905e+00 2.439044674190408383e-04
4.255650000000000155e+00 2.985945554214216520e-05
4.299749999999999517e+00 0.000000000000000000e+00
4.343849999999999767e+00 0.000000000000000000e+00
4.387950000000000017e+00 0.000000000000000000e+00
4.432050000000000267e+00 0.000000000000000000e+00
4.476150000000000517e+00 2.699009584045362626e-05
4.520249999999999879e+00 5.028545468244098159e-04
4.564350000000000129e+00 7.449681548540591086e-03
4.608449999999999491e+00 8.323746607610565951e-02
4.652549999999999741e+00 5.368186397588797787e-01
4.696649999999999991e+00 2.125305311417529097e+00
4.740750000000000242e+00 5.088056416599600063e+00
4.784850000000000492e+00 7.559932782011656194e+00
4.828949999999999854e+00 6.967463451431544108e+00
4.873050000000000104e+00 4.041242202244475834e+00
4.917149999999999466e+00 1.481764597639658287e+00
4.961249999999999716e+00 3.473028870875284335e-01
5.005349999999999966e+00 5.311979640984790946e-02
5.049450000000000216e+00 5.662872704251076944e-03
5.093550000000000466e+00 3.751846380466363905e-04
5.137649999999999828e+00 4.097459372945730659e-05
5.181750000000000078e+00 0.000000000000000000e+00
5.225850000000000328e+00 0.000000000000000000e+00
5.269949999999999690e+00 1.947155791196326555e-04
5.314049999999999940e+00 4.289537172665636514e-03
5.358150000000000190e+00 4.273841887552907309e-02
5.402250000000000441e+00 2.650648840482094371e-01
5.446349999999999802e+00 9.563444124487743281e-01
5.490450000000000053e+00 2.103686549208001466e+00
5.534550000000000303e+00 2.859739939829942568e+00
5.578649999999999665e+00 2.452619568298039177e+00
5.622749999999999915e+00 1.333689757233311735e+00
5.666850000000000165e+00 4.660006247883557995e-01
5.710950000000000415e+00 1.087015956651144893e-01
5.755049999999999777e+00 1.660490674095464053e-02
5.799150000000000027e+00 1.720555884360770726e-03
5.843250000000000277e+00 1.108671273253795090e-04
5.887349999999999639e+00 1.872212867885795129e-04
5.931449999999999889e+00 3.212463697755062100e-03
5.975550000000000139e+00 2.645762311961610130e-02
6.019650000000000389e+00 1.611739924389692380e-01
