# k_1_per_A S_k
1.000000000000000056e-01 3.242777949152626960e+00
1.397993311036789255e-01 2.860065455879872154e+00
1.795986622073578731e-01 2.391977823318204521e+00
2.193979933110368208e-01 1.869626024311241475e+00
2.591973244147157684e-01 1.326785473687396966e+00
2.989966555183947161e-01 7.972086221189146338e-01
3.387959866220736083e-01 3.120066025447115754e-01
3.785953177257525004e-01 -1.026724627197024287e-01
4.183946488294314481e-01 -4.274725371274215036e-01
4.581939799331103957e-01 -6.510197094285086195e-01
4.979933110367893434e-01 -7.703890945289100234e-01
5.377926421404682911e-01 -7.908332836932878696e-01
5.775919732441472387e-01 -7.248254690335373951e-01
6.173913043478260754e-01 -5.905317904168854160e-01
6.571906354515050230e-01 -4.098760472238867081e-01
6.969899665551839707e-01 -2.063912873736160059e-01
7.367892976588629184e-01 -3.064374083874055188e-03
7.765886287625418660e-01 1.796290635510370270e-01
8.163879598662208137e-01 3.253293093358570198e-01
8.561872909698997614e-01 4.229096233503332192e-01
8.959866220735787090e-01 4.670316649463813752e-01
9.357859531772575457e-01 4.581232025042432099e-01
9.755852842809364933e-01 4.018186995688481922e-01
1.015384615384615552e+00 3.079530773588101678e-01
1.055183946488294389e+00 1.892369892905114703e-01
1.094983277591973447e+00 5.976498510673144970e-02
1.134782608695652284e+00 -6.648562473276609097e-02
1.174581939799331343e+00 -1.770173725094117412e-01
1.214381270903010179e+00 -2.619133440283176739e-01
1.254180602006689238e+00 -3.145882320083610573e-01
1.293979933110368075e+00 -3.321442921664765624e-01
1.333779264214047133e+00 -3.153309126602932277e-01
1.373578595317725970e+00 -2.681476302798537770e-01
1.413377926421404807e+00 -1.971642500290453626e-01
1.453177257525083865e+00 -1.106550078077936927e-01
1.492976588628762702e+00 -1.765456668340448232e-02
1.532775919732441761e+00 7.295833328055423284e-02
1.572575250836120597e+00 1.532574507448060119e-01
1.612374581939799656e+00 2.168767663987607452e-01
1.652173913043478493e+00 2.593893177599888578e-01
1.691973244147157551e+00 2.784482768226823612e-01
1.731772575250836388e+00 2.737107721631253376e-01
1.771571906354515225e+00 2.465890276927497071e-01
1.811371237458194283e+00 1.998894845185046343e-01
1.851170568561873120e+00 1.374071349479450976e-01
1.890969899665552179e+00 6.353904732834503299e-02
1.930769230769231015e+00 -1.703101478077284625e-02
1.970568561872910074e+00 -9.954377719445184347e-02
2.010367892976588688e+00 -1.792609521975709885e-01
2.050167224080267747e+00 -2.514596273616387379e-01
2.089966555183946806e+00 -3.113573090762247197e-01
2.129765886287625865e+00 -3.540147665694943768e-01
2.169565217391304479e+00 -3.742702940897697506e-01
2.209364548494983538e+00 -3.667565348352233023e-01
2.249163879598662596e+00 -3.260397659177733942e-01
2.288963210702341655e+00 -2.469029012509653676e-01
2.328762541806020270e+00 -1.247698337803644364e-01
2.368561872909699328e+00 4.375674522698191904e-02
2.408361204013378387e+00 2.602957473100040442e-01
2.448160535117057002e+00 5.240967805611652652e-01
2.487959866220736060e+00 8.315392286102876174e-01
2.527759197324415119e+00 1.175803475772421613e+00
2.567558528428094178e+00 1.546786530458700959e+00
2.607357859531772792e+00 1.931314101711622655e+00
2.647157190635451851e+00 2.313672487074101003e+00
2.686956521739130910e+00 2.676449354102302003e+00
2.726755852842809524e+00 3.001636386369224585e+00
2.766555183946488583e+00 3.271912972017728016e+00
2.806354515050167642e+00 3.472002731177508128e+00
2.846153846153846700e+00 3.589977259776225171e+00
2.885953177257525315e+00 3.618376592953754134e+00
2.925752508361204374e+00 3.555024841249450951e+00
2.965551839464883432e+00 3.403442012188907295e+00
3.005351170568562047e+00 3.172787459576654090e+00
3.045150501672241106e+00 2.877313578906872227e+00
3.084949832775920164e+00 2.535356079281636532e+00
3.124749163879599223e+00 2.167934538614258777e+00
3.164548494983277838e+00 1.797078966928802313e+00
3.204347826086956896e+00 1.444030127341622949e+00
3.244147157190635955e+00 1.127479659295603120e+00
3.283946488294315014e+00 8.620182015771571393e-01
3.323745819397993628e+00 6.569449294414294593e-01
3.363545150501672687e+00 5.155611525055402433e-01
3.403344481605351746e+00 4.350265106529848103e-01
3.443143812709030360e+00 4.068029531000945109e-01
3.482943143812709419e+00 4.176542539680708765e-01
3.522742474916388478e+00 4.511130216352757794e-01
3.562541806020067536e+00 4.892786883780672058e-01
3.602341137123746151e+00 5.147738991175799805e-01
3.642140468227425210e+00 5.126669868864772717e-01
3.681939799331104268e+00 4.721671935526184916e-01
3.721739130434782883e+00 3.879174959673510337e-01
3.761538461538461942e+00 2.607459357956853907e-01
3.801337792642141000e+00 9.778701718857973901e-02
