# time_fs temperature_K pressure_eV_per_A3 kinetic_energy_eV potential_energy_eV total_energy_eV
0.000000000000000000e+00 3.070629679127765712e+02 2.497152209370165007e-02 1.980578849335347869e+01 -1.348399682738124511e+03 -1.328593894244771036e+03
5.000000000000000000e+01 3.300335384778609296e+02 2.407610307869161026e-02 2.128740728078389211e+01 -1.349908902085953059e+03 -1.328621494805169277e+03
1.000000000000000000e+02 2.960061800656321793e+02 2.541727426657603567e-02 1.909261750108120737e+01 -1.347609246508716978e+03 -1.328516629007635856e+03
1.500000000000000000e+02 3.232272543608227124e+02 2.430059456567546655e-02 2.084839692221137142e+01 -1.349591303932076016e+03 -1.328742907009864666e+03
2.000000000000000000e+02 3.009385875164585968e+02 2.513009793267275555e-02 1.941076142901281898e+01 -1.348087434122423247e+03 -1.328676672693410410e+03
2.500000000000000000e+02 3.306561413404985501e+02 2.407123862494535416e-02 2.132756562581838722e+01 -1.350059434937348897e+03 -1.328731869311530545e+03
3.000000000000000000e+02 3.065405214867801078e+02 2.502823668543771238e-02 1.977209031254473359e+01 -1.348266641222975750e+03 -1.328494550910430917e+03
3.500000000000000000e+02 3.121494471085653117e+02 2.474652248233811386e-02 2.013387016276615427e+01 -1.348744320969887667e+03 -1.328610450807121424e+03
4.000000000000000000e+02 3.181756072869349623e+02 2.450258797885522533e-02 2.052256195041852038e+01 -1.349215788466076447e+03 -1.328693226515657898e+03
4.500000000000000000e+02 3.174207663635986592e+02 2.450760527968239358e-02 2.047387415268325839e+01 -1.349084307910776033e+03 -1.328610433758092768e+03
5.000000000000000000e+02 3.007230402118091774e+02 2.526173753504638853e-02 1.939685846847277872e+01 -1.347720301747946451e+03 -1.328323443279473622e+03
5.500000000000000000e+02 3.012928585707502407e+02 2.521944086047094719e-02 1.943361217398643959e+01 -1.347895035295076241e+03 -1.328461423121089865e+03
6.000000000000000000e+02 3.346699454647579159e+02 2.388565022933952439e-02 2.158645895990943231e+01 -1.350533557229327243e+03 -1.328947098269417893e+03
6.500000000000000000e+02 3.221597351958579338e+02 2.426109210628225529e-02 2.077954114667578267e+01 -1.349676970083277411e+03 -1.328897428936601727e+03
7.000000000000000000e+02 2.995012985769839702e+02 2.524532394989277909e-02 1.931805522958874377e+01 -1.347956088479429809e+03 -1.328638033249841101e+03
7.500000000000000000e+02 3.173308628008111327e+02 2.456134010644168628e-02 2.046807530640273143e+01 -1.349089547227428966e+03 -1.328621471921026341e+03
8.000000000000000000e+02 3.053760952943549682e+02 2.503893019274764514e-02 1.969698396207838798e+01 -1.348213595885632458e+03 -1.328516611923554137e+03
8.500000000000000000e+02 3.162470481616970233e+02 2.461315947693410236e-02 2.039816846073454215e+01 -1.349014139054824454e+03 -1.328615970594089958e+03
9.000000000000000000e+02 3.140630085438504011e+02 2.466177034011555677e-02 2.025729629035787482e+01 -1.348911898039249536e+03 -1.328654601748891764e+03
9.500000000000000000e+02 3.156896835682103983e+02 2.458948981623840235e-02 2.036221803230184690e+01 -1.349121686262612911e+03 -1.328759468230311086e+03
1.000000000000000000e+03 3.142962136215184614e+02 2.468163445819605145e-02 2.027233819031495798e+01 -1.348910385541453479e+03 -1.328638047351138539e+03
1.050000000000000000e+03 3.137181151070200258e+02 2.474884985517045166e-02 2.023505040864494475e+01 -1.348779282859663454e+03 -1.328544232451018615e+03
1.100000000000000000e+03 3.093524649179198036e+02 2.489357939108584328e-02 1.995346274319305380e+01 -1.348585995579013797e+03 -1.328632532835820712e+03
1.150000000000000000e+03 3.231315786858365868e+02 2.429184067247167414e-02 2.084222577042574898e+01 -1.349524435894533099e+03 -1.328682210124107314e+03
1.200000000000000000e+03 2.900437808004605245e+02 2.567824328925777735e-02 1.870803833947921291e+01 -1.347152925997744433e+03 -1.328444887658265316e+03
1.250000000000000000e+03 3.393910073504424076e+02 2.364499007535957389e-02 2.189097094260628396e+01 -1.350584217881291579e+03 -1.328693246938685206e+03
1.300000000000000000e+03 2.994148853393205627e+02 2.530690246935898835e-02 1.931248151185970130e+01 -1.347939493741941760e+03 -1.328627012230082073e+03
1.350000000000000000e+03 3.152092673590551613e+02 2.458958659152160262e-02 2.033123083155932420e+01 -1.348980318677112336e+03 -1.328649087845552913e+03
1.400000000000000000e+03 3.167959778745307062e+02 2.456485748042025116e-02 2.043357483312781042e+01 -1.349248239444780438e+03 -1.328814664611652688e+03
1.450000000000000000e+03 3.189526843613818414e+02 2.444320781342380899e-02 2.057268399634331857e+01 -1.349381827409095649e+03 -1.328809143412752292e+03
1.500000000000000000e+03 3.137322226071980253e+02 2.472957399976665263e-02 2.023596035283846106e+01 -1.348802259852675434e+03 -1.328566299499836987e+03
1.550000000000000000e+03 2.981160519010660437e+02 2.533220536552655000e-02 1.922870579464761676e+01 -1.347712220605002585e+03 -1.328483514810355018e+03
1.600000000000000000e+03 3.170167567706299678e+02 2.452970206676762313e-02 2.044781523518495447e+01 -1.349185210519913653e+03 -1.328737395284728791e+03
1.650000000000000000e+03 3.231580425701027934e+02 2.431115044455809532e-02 2.084393271053009045e+01 -1.349575804446253414e+03 -1.328731871735723416e+03
1.700000000000000000e+03 3.079754417250475740e+02 2.492730587315977048e-02 1.986464372898937114e+01 -1.348535808972887025e+03 -1.328671165243897576e+03
1.750000000000000000e+03 3.131174366042635029e+02 2.469686483714362765e-02 2.019630620103512442e+01 -1.348817791069337318e+03 -1.328621484868302105e+03
1.800000000000000000e+03 3.139952815398856956e+02 2.471021723620017013e-02 2.025292784852025463e+01 -1.348951670103491779e+03 -1.328698742254971421e+03
1.850000000000000000e+03 3.192401796789435480e+02 2.445871807166751302e-02 2.059122765691939350e+01 -1.349383797219159078e+03 -1.328792569562239578e+03
1.900000000000000000e+03 3.065365368048799724e+02 2.487507851677641518e-02 1.977183329761563257e+01 -1.348454018586633538e+03 -1.328682185289017980e+03
1.950000000000000000e+03 3.161641255195833651e+02 2.466985575538183789e-02 2.039281988899964304e+01 -1.348981182294746304e+03 -1.328588362405746693e+03
2.000000000000000000e+03 3.174761337106980932e+02 2.452962444081367016e-02 2.047744538751350873e+01 -1.349126519203434782e+03 -1.328649073815921383e+03
2.050000000000000000e+03 3.065418321720640051e+02 2.496856166612933248e-02 1.977217485271475539e+01 -1.348448845042329140e+03 -1.328676670189614470e+03
2.100000000000000000e+03 3.206043211648677698e+02 2.437869917507455228e-02 2.067921579149932754e+01 -1.349455231096620309e+03 -1.328776015305121064e+03
2.150000000000000000e+03 3.115153720511344204e+02 2.475733550355526530e-02 2.009297185268418318e+01 -1.348775161134886503e+03 -1.328682189282202216e+03
2.200000000000000000e+03 3.189094305477420903e+02 2.447129397247465796e-02 2.056989409337877817e+01 -1.349340390612146393e+03 -1.328770496518767686e+03
2.250000000000000000e+03 3.175399237650922259e+02 2.450780061623982625e-02 2.048155989319257841e+01 -1.349229981302313718e+03 -1.328748421409121192e+03
2.300000000000000000e+03 2.988383658686996682e+02 2.534189236486902863e-02 1.927529557968744101e+01 -1.347714646341201615e+03 -1.328439350761514106e+03
2.350000000000000000e+03 3.124119921998520226e+02 2.473032257786894617e-02 2.015080451529761874e+01 -1.348656387868901220e+03 -1.328505583353603697e+03
2.400000000000000000e+03 3.182281656823088838e+02 2.446171043801792164e-02 2.052595200578534573e+01 -1.349208147550948524e+03 -1.328682195545163268e+03
2.450000000000000000e+03 3.109433295834464275e+02 2.479989544409599150e-02 2.005607469051168934e+01 -1.348876234500599821e+03 -1.328820159810088171e+03
2.500000000000000000e+03 3.295348908218077213e+02 2.401798898697343754e-02 2.125524413823489667e+01 -1.350053328525886855e+03 -1.328798084387651897e+03
2.550000000000000000e+03 2.984978849077610334e+02 2.531664519057911719e-02 1.925333430593241246e+01 -1.347808582007474342e+03 -1.328555247701541930e+03
2.600000000000000000e+03 3.123491903755466979e+02 2.475759729187998123e-02 2.014675375119003675e+01 -1.348652324823807476e+03 -1.328505571072617386e+03
2.650000000000000000e+03 3.177840022061084255e+02 2.449542334200738997e-02 2.049730313312611329e+01 -1.349256744257962055e+03 -1.328759441124836030e+03
2.700000000000000000e+03 3.192999991678855736e+02 2.441317577614695797e-02 2.059508605819070226e+01 -1.349304858826122654e+03 -1.328709772767932009e+03
2.750000000000000000e+03 3.108833624810196170e+02 2.482473838719796363e-02 2.005220676806145974e+01 -1.348607438447909999e+03 -1.328555231679848475e+03
2.800000000000000000e+03 3.066199715614883985e+02 2.499677561304240389e-02 1.977721490111413871e+01 -1.348332438095583711e+03 -1.328555223194469590e+03
2.850000000000000000e+03 3.148523674170020286e+02 2.456104740107001999e-02 2.030821052138111327e+01 -1.349150423154095279e+03 -1.328842212632714109e+03
2.900000000000000000e+03 3.181574354337276986e+02 2.449931039478162043e-02 2.052138985244916469e+01 -1.349319452303448088e+03 -1.328798062450998941e+03
2.950000000000000000e+03 3.145346272705177739e+02 2.463577232027669428e-02 2.028771604697447728e+01 -1.348920206228740881e+03 -1.328632490181766343e+03
3.000000000000000000e+03 3.116200254908274587e+02 2.480855773137297798e-02 2.009972207693216362e+01 -1.348737725644979719e+03 -1.328638003568047452e+03
3.050000000000000000e+03 3.118257598520905844e+02 2.478230379267467795e-02 2.011299209536743859e+01 -1.348789636299121639e+03 -1.328676644203754222e+03
