# time_fs msd_A2
0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 8.179519394514006211e-03
1.000000000000000000e+02 1.868906911668914012e-02
1.500000000000000000e+02 1.832665808379963998e-02
2.000000000000000000e+02 1.582901278155850189e-02
2.500000000000000000e+02 1.403038177131619643e-02
3.000000000000000000e+02 1.311005992876148121e-02
3.500000000000000000e+02 1.469248603529167523e-02
4.000000000000000000e+02 1.506291240716185753e-02
4.500000000000000000e+02 1.435969980911698529e-02
5.000000000000000000e+02 1.607380022013924631e-02
5.500000000000000000e+02 1.650893402627259463e-02
6.000000000000000000e+02 1.279994082681376079e-02
6.500000000000000000e+02 1.164312133830435782e-02
7.000000000000000000e+02 1.341877948006823217e-02
7.500000000000000000e+02 1.352337554170246828e-02
8.000000000000000000e+02 1.312229712462172765e-02
8.500000000000000000e+02 1.261655701085202808e-02
9.000000000000000000e+02 1.205999853589794640e-02
9.500000000000000000e+02 1.249758547175423493e-02
1.000000000000000000e+03 1.309844890973838397e-02
1.050000000000000000e+03 1.313985407958253443e-02
1.100000000000000000e+03 1.337373557541125975e-02
1.150000000000000000e+03 1.458399073034232808e-02
1.200000000000000000e+03 1.738965731367668466e-02
1.250000000000000000e+03 1.836468483679654790e-02
1.300000000000000000e+03 1.710947681446231897e-02
1.350000000000000000e+03 1.392071982826078094e-02
1.400000000000000000e+03 1.107501988818130993e-02
1.450000000000000000e+03 1.001130720140740171e-02
1.500000000000000000e+03 1.165681427555327089e-02
1.550000000000000000e+03 1.355849675519490288e-02
1.600000000000000000e+03 1.266628240559337926e-02
1.650000000000000000e+03 1.175200343465399727e-02
1.700000000000000000e+03 1.305625844905502521e-02
1.750000000000000000e+03 1.450040795255909051e-02
1.800000000000000000e+03 1.512130699621950548e-02
1.850000000000000000e+03 1.541356342844395037e-02
1.900000000000000000e+03 1.537579051730763105e-02
1.950000000000000000e+03 1.446772625630078635e-02
2.000000000000000000e+03 1.419726829177845630e-02
2.050000000000000000e+03 1.384492076776644084e-02
2.100000000000000000e+03 1.273531812823978926e-02
2.150000000000000000e+03 1.298313332630328214e-02
2.200000000000000000e+03 1.366054546900281712e-02
2.250000000000000000e+03 1.335648369333856771e-02
2.300000000000000000e+03 1.354837867305506982e-02
2.350000000000000000e+03 1.344699319569653446e-02
2.400000000000000000e+03 1.218257835380456150e-02
2.450000000000000000e+03 1.227595514407479882e-02
2.500000000000000000e+03 1.311363667992888025e-02
2.550000000000000000e+03 1.400151529495574990e-02
2.600000000000000000e+03 1.490025257307069258e-02
2.650000000000000000e+03 1.523273325112310499e-02
2.700000000000000000e+03 1.436676481045003929e-02
2.750000000000000000e+03 1.454903110534350175e-02
2.800000000000000000e+03 1.516643862041875367e-02
2.850000000000000000e+03 1.461805686272817789e-02
2.900000000000000000e+03 1.377290156136676963e-02
2.950000000000000000e+03 1.371754119876890561e-02
3.000000000000000000e+03 1.316589620259468220e-02
3.050000000000000000e+03 1.252671544367502977e-02
3.100000000000000000e+03 1.234402186423941804e-02
3.150000000000000000e+03 1.223010449079780376e-02
3.200000000000000000e+03 1.214438909274687638e-02
3.250000000000000000e+03 1.212116035247576794e-02
3.300000000000000000e+03 1.341226800695008263e-02
3.350000000000000000e+03 1.464753809082230442e-02
3.400000000000000000e+03 1.521756385229792140e-02
3.450000000000000000e+03 1.501239145736178379e-02
3.500000000000000000e+03 1.557681835747406693e-02
3.550000000000000000e+03 1.573411740712937767e-02
3.600000000000000000e+03 1.388499381357820826e-02
3.650000000000000000e+03 1.257626594804949795e-02
3.700000000000000000e+03 1.226400072556884865e-02
3.750000000000000000e+03 1.192280404823443940e-02
3.800000000000000000e+03 1.241739025892561049e-02
3.850000000000000000e+03 1.327680235986713336e-02
3.900000000000000000e+03 1.384921648043174920e-02
3.950000000000000000e+03 1.389239522711071921e-02
4.000000000000000000e+03 1.318350533116975816e-02
4.050000000000000000e+03 1.196338765134019079e-02
4.100000000000000000e+03 1.211044619001137336e-02
4.150000000000000000e+03 1.377476828725181755e-02
4.200000000000000000e+03 1.521066879756002507e-02
4.250000000000000000e+03 1.523233882441725820e-02
4.300000000000000000e+03 1.480679967701865885e-02
4.350000000000000000e+03 1.418609032395239458e-02
4.400000000000000000e+03 1.447829349244979073e-02
4.450000000000000000e+03 1.552769159409976216e-02
4.500000000000000000e+03 1.388862512874797402e-02
4.550000000000000000e+03 1.141284206325526678e-02
4.600000000000000000e+03 1.140555306981330327e-02
4.650000000000000000e+03 1.295327692223930197e-02
4.700000000000000000e+03 1.296807758011355415e-02
4.750000000000000000e+03 1.276033169163814235e-02
4.800000000000000000e+03 1.260762034561724136e-02
4.850000000000000000e+03 1.250007626809909039e-02
4.900000000000000000e+03 1.374846341294857707e-02
4.950000000000000000e+03 1.575089967907443086e-02
5.000000000000000000e+03 1.724376234399750685e-02
5.050000000000000000e+03 1.778699773389843738e-02
5.100000000000000000e+03 1.590385635508245049e-02
5.150000000000000000e+03 1.332357476088524666e-02
5.200000000000000000e+03 1.223166615036098102e-02
5.250000000000000000e+03 1.183827043436285441e-02
5.300000000000000000e+03 1.253048995874120504e-02
5.350000000000000000e+03 1.394095576574274666e-02
5.400000000000000000e+03 1.391091175405189187e-02
5.450000000000000000e+03 1.237138718339166228e-02
5.500000000000000000e+03 1.171565421770373941e-02
5.550000000000000000e+03 1.254747331109506113e-02
5.600000000000000000e+03 1.376461959163407731e-02
5.650000000000000000e+03 1.459228859136642298e-02
5.700000000000000000e+03 1.512770625094818182e-02
5.750000000000000000e+03 1.562191544763947768e-02
5.800000000000000000e+03 1.579861365998436878e-02
