# r_A g_r
2.205000000000000016e-02 0.000000000000000000e+00
6.615000000000000047e-02 0.000000000000000000e+00
1.102500000000000008e-01 0.000000000000000000e+00
1.543499999999999872e-01 0.000000000000000000e+00
1.984500000000000153e-01 0.000000000000000000e+00
2.425499999999999878e-01 0.000000000000000000e+00
2.866499999999999604e-01 0.000000000000000000e+00
3.307499999999999885e-01 0.000000000000000000e+00
3.748500000000000165e-01 0.000000000000000000e+00
4.189500000000000446e-01 0.000000000000000000e+00
4.630499999999999616e-01 0.000000000000000000e+00
5.071499999999999897e-01 0.000000000000000000e+00
5.512500000000000178e-01 0.000000000000000000e+00
5.953500000000000458e-01 0.000000000000000000e+00
6.394499999999999629e-01 0.000000000000000000e+00
6.835499999999999909e-01 0.000000000000000000e+00
7.276500000000000190e-01 0.000000000000000000e+00
7.717500000000000471e-01 0.000000000000000000e+00
8.158499999999999641e-01 0.000000000000000000e+00
8.599499999999999922e-01 0.000000000000000000e+00
9.040500000000000203e-01 0.000000000000000000e+00
9.481500000000000483e-01 0.000000000000000000e+00
9.922499999999999654e-01 0.000000000000000000e+00
1.036350000000000104e+00 0.000000000000000000e+00
1.080449999999999910e+00 0.000000000000000000e+00
1.124550000000000161e+00 0.000000000000000000e+00
1.168649999999999967e+00 0.000000000000000000e+00
1.212749999999999995e+00 0.000000000000000000e+00
1.256850000000000023e+00 0.000000000000000000e+00
1.300949999999999829e+00 0.000000000000000000e+00
1.345050000000000079e+00 0.000000000000000000e+00
1.389149999999999885e+00 0.000000000000000000e+00
1.433250000000000135e+00 0.000000000000000000e+00
1.477349999999999941e+00 0.000000000000000000e+00
1.521450000000000191e+00 0.000000000000000000e+00
1.565549999999999997e+00 0.000000000000000000e+00
1.609650000000000025e+00 0.000000000000000000e+00
1.653750000000000053e+00 0.000000000000000000e+00
1.697849999999999859e+00 0.000000000000000000e+00
1.741950000000000109e+00 0.000000000000000000e+00
1.786049999999999915e+00 0.000000000000000000e+00
1.830150000000000166e+00 0.000000000000000000e+00
1.874249999999999972e+00 0.000000000000000000e+00
1.918350000000000000e+00 0.000000000000000000e+00
1.962450000000000028e+00 0.000000000000000000e+00
2.006549999999999834e+00 0.000000000000000000e+00
2.050650000000000084e+00 0.000000000000000000e+00
2.094750000000000334e+00 0.000000000000000000e+00
2.138849999999999696e+00 0.000000000000000000e+00
2.182949999999999946e+00 0.000000000000000000e+00
2.227050000000000196e+00 0.000000000000000000e+00
2.271150000000000002e+00 0.000000000000000000e+00
2.315249999999999808e+00 0.000000000000000000e+00
2.359350000000000058e+00 0.000000000000000000e+00
2.403450000000000308e+00 0.000000000000000000e+00
2.447549999999999670e+00 0.000000000000000000e+00
2.491649999999999920e+00 0.000000000000000000e+00
2.535750000000000171e+00 0.000000000000000000e+00
2.579849999999999977e+00 8.450027422520446294e-03
2.623949999999999783e+00 2.264369112285515850e-01
2.668050000000000033e+00 2.199172662205751472e+00
2.712150000000000283e+00 8.085812892840571919e+00
2.756250000000000089e+00 1.351203412883901400e+01
2.800349999999999895e+00 1.139487337415359036e+01
2.844450000000000145e+00 5.304520138415036001e+00
2.888549999999999951e+00 1.449385709618214557e+00
2.932649999999999757e+00 2.415742173191086917e-01
2.976750000000000007e+00 2.550969389665339385e-02
3.020850000000000257e+00 1.599996867505452903e-03
3.064950000000000063e+00 0.000000000000000000e+00
3.109049999999999869e+00 0.000000000000000000e+00
3.153150000000000119e+00 0.000000000000000000e+00
3.197250000000000369e+00 0.000000000000000000e+00
3.241349999999999731e+00 0.000000000000000000e+00
3.285449999999999982e+00 0.000000000000000000e+00
3.329550000000000232e+00 0.000000000000000000e+00
3.373650000000000038e+00 0.000000000000000000e+00
3.417749999999999844e+00 0.000000000000000000e+00
3.461850000000000094e+00 0.000000000000000000e+00
3.505950000000000344e+00 0.000000000000000000e+00
3.550049999999999706e+00 0.000000000000000000e+00
3.594149999999999956e+00 4.186212727198065383e-05
3.638250000000000206e+00 4.085343836507818811e-04
3.682350000000000012e+00 4.347004183883562689e-03
3.726449999999999818e+00 4.268090774133336679e-02
3.770550000000000068e+00 2.316442766762270566e-01
3.814650000000000318e+00 8.098440328106456532e-01
3.858749999999999680e+00 1.872731119332681882e+00
3.902849999999999930e+00 2.748440298671504411e+00
3.946950000000000180e+00 2.578193798070779419e+00
3.991049999999999542e+00 1.541701938410503514e+00
4.035149999999999793e+00 6.070479489308305832e-01
4.079250000000000043e+00 1.497170488726659587e-01
4.123350000000000293e+00 2.436363357169974569e-02
4.167450000000000543e+00 2.584347956037289992e-03
4.211549999999999905e+00 3.048805842738010479e-05
4.255650000000000155e+00 5.971891108428433039e-05
4.299749999999999517e+00 0.000000000000000000e+00
4.343849999999999767e+00 0.000000000000000000e+00
4.387950000000000017e+00 0.000000000000000000e+00
4.432050000000000267e+00 0.000000000000000000e+00
4.476150000000000517e+00 0.000000000000000000e+00
4.520249999999999879e+00 3.175923453627851412e-04
4.564350000000000129e+00 5.788428520294605986e-03
4.608449999999999491e+00 7.012419136543132647e-02
4.652549999999999741e+00 4.892774134250586493e-01
4.696649999999999991e+00 2.062595161963639345e+00
4.740750000000000242e+00 5.096550065175040167e+00
4.784850000000000492e+00 7.701699088933750659e+00
4.828949999999999854e+00 7.069246124818219457e+00
4.873050000000000104e+00 4.018150821078608992e+00
4.917149999999999466e+00 1.420974025778334093e+00
4.961249999999999716e+00 3.141720195693102347e-01
5.005349999999999966e+00 4.459386403199747106e-02
5.049450000000000216e+00 4.453944823568262677e-03
5.093550000000000466e+00 3.334974560414545814e-04
5.137649999999999828e+00 0.000000000000000000e+00
5.181750000000000078e+00 0.000000000000000000e+00
5.225850000000000328e+00 0.000000000000000000e+00
5.269949999999999690e+00 7.788623164785305950e-05
5.314049999999999940e+00 3.408650074707514962e-03
5.358150000000000190e+00 3.608938323733525827e-02
5.402250000000000441e+00 2.413100304061399359e-01
5.446349999999999802e+00 9.281780294903436701e-01
5.490450000000000053e+00 2.121733165692351264e+00
5.534550000000000303e+00 2.923736564735079924e+00
5.578649999999999665e+00 2.485964546275509335e+00
5.622749999999999915e+00 1.313796959977087120e+00
5.666850000000000165e+00 4.447828028235045750e-01
5.710950000000000415e+00 9.739371155230057420e-02
5.755049999999999777e+00 1.363333051002667273e-02
5.799150000000000027e+00 1.286396922886557520e-03
5.843250000000000277e+00 4.751448313944835617e-05
5.887349999999999639e+00 1.092124172933380514e-04
5.931449999999999889e+00 2.367078514135308870e-03
5.975550000000000139e+00 2.214141099077203412e-02
6.019650000000000389e+00 1.410272433840980832e-01
