# k_1_per_A S_k
1.000000000000000056e-01 3.324089482638437953e+00
1.397993311036789255e-01 2.931008155835712614e+00
1.795986622073578731e-01 2.450319700555204427e+00
2.193979933110368208e-01 1.914030434830702454e+00
2.591973244147157684e-01 1.356878023532578581e+00
2.989966555183947161e-01 8.135626980356170934e-01
3.387959866220736083e-01 3.160507406789863083e-01
3.785953177257525004e-01 -1.088149849303881034e-01
4.183946488294314481e-01 -4.411954489982923278e-01
4.581939799331103957e-01 -6.694760472156187081e-01
4.979933110367893434e-01 -7.907410161131345205e-01
5.377926421404682911e-01 -8.104863934049371110e-01
5.775919732441472387e-01 -7.416269128916095354e-01
6.173913043478260754e-01 -6.029156011649161595e-01
6.571906354515050230e-01 -4.169449224461159176e-01
6.969899665551839707e-01 -2.079305620508569152e-01
7.367892976588629184e-01 5.092845396741374486e-04
7.765886287625418660e-01 1.873754442481828653e-01
8.163879598662208137e-01 3.359349862282762222e-01
8.561872909698997614e-01 4.348633431048598563e-01
8.959866220735787090e-01 4.788056816699292062e-01
9.357859531772575457e-01 4.683418374683869789e-01
9.755852842809364933e-01 4.093976919259649794e-01
1.015384615384615552e+00 3.121971750019298941e-01
1.055183946488294389e+00 1.898882407859466825e-01
1.094983277591973447e+00 5.699976533286321700e-02
1.134782608695652284e+00 -7.210730005125620679e-02
1.174581939799331343e+00 -1.846417978985575026e-01
1.214381270903010179e+00 -2.705101330203978360e-01
1.254180602006689238e+00 -3.230798981976026329e-01
1.293979933110368075e+00 -3.395333098184842857e-01
1.333779264214047133e+00 -3.208102245610051639e-01
1.373578595317725970e+00 -2.711831156650941210e-01
1.413377926421404807e+00 -1.975413570050346124e-01
1.453177257525083865e+00 -1.084861410966730944e-01
1.492976588628762702e+00 -1.334839118283914772e-02
1.532775919732441761e+00 7.876027317228606606e-02
1.572575250836120597e+00 1.597679452717064574e-01
1.612374581939799656e+00 2.232628295765384241e-01
1.652173913043478493e+00 2.648726427919687598e-01
1.691973244147157551e+00 2.823946113082911324e-01
1.731772575250836388e+00 2.756983356527790141e-01
1.771571906354515225e+00 2.464489208892171046e-01
1.811371237458194283e+00 1.977145637345150142e-01
1.851170568561873120e+00 1.335296202882565453e-01
1.890969899665552179e+00 5.848075496135596296e-02
1.930769230769231015e+00 -2.262888615969060879e-02
1.970568561872910074e+00 -1.050022474387071192e-01
2.010367892976588688e+00 -1.839461879460455584e-01
2.050167224080267747e+00 -2.548573394986179963e-01
2.089966555183946806e+00 -3.131301059768203388e-01
2.129765886287625865e+00 -3.540362440406814581e-01
2.169565217391304479e+00 -3.726325909805512371e-01
2.209364548494983538e+00 -3.637513220398929104e-01
2.249163879598662596e+00 -3.221157797340212792e-01
2.288963210702341655e+00 -2.426058156519526054e-01
2.328762541806020270e+00 -1.206721895882347795e-01
2.368561872909699328e+00 4.712687682422045388e-02
2.408361204013378387e+00 2.625187799460613203e-01
2.448160535117057002e+00 5.249108212515334326e-01
2.487959866220736060e+00 8.308689511827899166e-01
2.527759197324415119e+00 1.173765690751849000e+00
2.567558528428094178e+00 1.543672330061687026e+00
2.607357859531772792e+00 1.927550250527774178e+00
2.647157190635451851e+00 2.309767138324390068e+00
2.686956521739130910e+00 2.672928923225149411e+00
2.726755852842809524e+00 2.998981316765186200e+00
2.766555183946488583e+00 3.270500094781192413e+00
2.806354515050167642e+00 3.472060976175021629e+00
2.846153846153846700e+00 3.591561750693728960e+00
2.885953177257525315e+00 3.621363874030550267e+00
2.925752508361204374e+00 3.559129419656223092e+00
2.965551839464883432e+00 3.408251865639296163e+00
3.005351170568562047e+00 3.177813952260044594e+00
3.045150501672241106e+00 2.882049604073448901e+00
3.084949832775920164e+00 2.539335384191934608e+00
3.124749163879599223e+00 2.170785174279397989e+00
3.164548494983277838e+00 1.798564626706655956e+00
3.204347826086956896e+00 1.444074682668086584e+00
3.244147157190635955e+00 1.126172272388174633e+00
3.283946488294315014e+00 8.595987402202438510e-01
3.323745819397993628e+00 6.537717467752304223e-01
3.363545150501672687e+00 5.120653498717777641e-01
3.403344481605351746e+00 4.316583369019484362e-01
3.443143812709030360e+00 4.039768374596607314e-01
3.482943143812709419e+00 4.156990339271974255e-01
3.522742474916388478e+00 4.502332175521590596e-01
3.562541806020067536e+00 4.895312885922656898e-01
3.602341137123746151e+00 5.160632269391073335e-01
3.642140468227425210e+00 5.147580537636178288e-01
3.681939799331104268e+00 4.747157590251330772e-01
3.721739130434782883e+00 3.905131103148993255e-01
3.761538461538461942e+00 2.629627589983947189e-01
3.801337792642141000e+00 9.923635363696825529e-02
3.841137123745820059e+00 -8.767634731038520535e-02
3.880936454849498674e+00 -2.801349865274362916e-01
3.920735785953177732e+00 -4.575422690306503171e-01
3.960535117056856791e+00 -5.984087594086935358e-01
4.000334448160534961e+00 -6.825933372882508898e-01
4.040133779264214020e+00 -6.935016651461030079e-01
4.079933110367893079e+00 -6.200236369772786915e-01
4.119732441471572137e+00 -4.580106652041640025e-01
4.159531772575251196e+00 -2.111332554887828117e-01
4.199331103678930255e+00 1.089848862173015132e-01
4.239130434782608425e+00 4.833930817326398399e-01
4.278929765886287484e+00 8.871653656713061054e-01
4.318729096989966543e+00 1.291372919518210427e+00
4.358528428093645601e+00 1.665511296761328808e+00
4.398327759197324660e+00 1.980169728708500498e+00
4.438127090301003719e+00 2.209702150446791968e+00
4.477926421404682777e+00 2.334653885732241196e+00
4.517725752508360948e+00 2.343714990667105980e+00
4.557525083612040007e+00 2.235009770091210157e+00
4.597324414715719065e+00 2.016588631524898201e+00
4.637123745819398124e+00 1.706058207363219337e+00
4.676923076923077183e+00 1.329362290010634329e+00
4.716722408026756241e+00 9.188026511864245682e-01
4.756521739130435300e+00 5.104582888107636052e-01
4.796321070234113471e+00 1.412177037335481389e-01
4.836120401337792529e+00 -1.543237147806431064e-01
4.875919732441471588e+00 -3.468337283719737929e-01
4.915719063545150647e+00 -4.148214747876803887e-01
4.955518394648829705e+00 -3.465958893549947462e-01
4.995317725752508764e+00 -1.414279458441498605e-01
5.035117056856187823e+00 1.901921674395057327e-01
5.074916387959865993e+00 6.272343531928289417e-01
5.114715719063545052e+00 1.139695165852773195e+00
5.154515050167224111e+00 1.690925667377963126e+00
5.194314381270903169e+00 2.240528537121014629e+00
5.234113712374582228e+00 2.747582772219516301e+00
5.273913043478261287e+00 3.173925507336404106e+00
5.313712374581940345e+00 3.487215018247944442e+00
5.353511705685618516e+00 3.663517334766446254e+00
5.393311036789297575e+00 3.689199473651497474e+00
5.433110367892976633e+00 3.561971572773172667e+00
5.472909698996655692e+00 3.290993001880394786e+00
5.512709030100334751e+00 2.896037512433723649e+00
5.552508361204013809e+00 2.405792724910570168e+00
5.592307692307692868e+00 1.855442785088046609e+00
5.632107023411371038e+00 1.283743496683514174e+00
5.671906354515050097e+00 7.298414504893586674e-01
5.711705685618729156e+00 2.301090123776603491e-01
5.751505016722408214e+00 -1.847361943201699663e-01
5.791304347826087273e+00 -4.919851181633321247e-01
5.831103678929766332e+00 -6.785695099649082795e-01
5.870903010033445391e+00 -7.418415855355888766e-01
5.910702341137123561e+00 -6.894451272956341192e-01
5.950501672240802620e+00 -5.383014619530357425e-01
5.990301003344481678e+00 -3.128106832312400609e-01
6.030100334448160737e+00 -4.243619764531669780e-02
6.069899665551839796e+00 2.411067473191330635e-01
6.109698996655518854e+00 5.068050078810049097e-01
6.149498327759197913e+00 7.271800574137101680e-01
6.189297658862876084e+00 8.807481730690845945e-01
6.229096989966555142e+00 9.538925537035503055e-01
6.268896321070234201e+00 9.419857450083064521e-01
6.308695652173913260e+00 8.496689687784571010e-01
6.348494983277592318e+00 6.902711660687805839e-01
6.388294314381271377e+00 4.844279480994954090e-01
6.428093645484950436e+00 2.580322818945378627e-01
6.467892976588629494e+00 3.970821465140605966e-02
6.507692307692307665e+00 -1.419590505690440096e-01
6.547491638795986724e+00 -2.611826144503042180e-01
6.587290969899665782e+00 -2.974709955987830945e-01
6.627090301003344841e+00 -2.376360272071333934e-01
6.666889632107023900e+00 -7.713012687557263547e-02
6.706688963210702958e+00 1.794067324126210616e-01
6.746488294314382017e+00 5.184376701488281336e-01
6.786287625418060188e+00 9.186281435966856534e-01
6.826086956521739246e+00 1.352651423102754880e+00
6.865886287625418305e+00 1.789534281344391076e+00
6.905685618729097364e+00 2.197328729740496200e+00
6.945484949832776422e+00 2.545867343814680162e+00
6.985284280936455481e+00 2.809353803242808034e+00
7.025083612040134540e+00 2.968557167458973467e+00
7.064882943143812710e+00 3.012416428600060314e+00
7.104682274247491769e+00 2.938917381887998115e+00
7.144481605351170828e+00 2.755171561905071176e+00
7.184280936454849886e+00 2.476700523082641325e+00
7.224080267558528945e+00 2.126001189634511235e+00
7.263879598662208004e+00 1.730532598939464872e+00
7.303678929765887062e+00 1.320315129653796937e+00
7.343478260869565233e+00 9.253656080138420448e-01
7.383277591973244292e+00 5.732026772061453723e-01
7.423076923076923350e+00 2.866457031299599612e-01
7.462876254180602409e+00 8.209860316947203973e-02
7.502675585284281468e+00 -3.153936872923512880e-02
7.542474916387960526e+00 -5.325570996031148141e-02
7.582274247491639585e+00 1.041228280375339210e-02
7.622073578595317755e+00 1.463774324032672824e-01
7.661872909698996814e+00 3.365483422546097225e-01
7.701672240802675873e+00 5.597550756100312386e-01
7.741471571906354932e+00 7.938577844035054065e-01
7.781270903010033990e+00 1.017829786683694504e+00
7.821070234113713049e+00 1.213615825100549106e+00
7.860869565217392108e+00 1.367594833298723778e+00
7.900668896321070278e+00 1.471521280184732383e+00
7.940468227424749337e+00 1.522875276475998518e+00
7.980267558528428395e+00 1.524613268507856390e+00
8.020066889632108342e+00 1.484371999556430843e+00
8.059866220735786513e+00 1.413232355354780534e+00
8.099665551839466460e+00 1.324191392837934522e+00
8.139464882943144630e+00 1.230516276261735875e+00
8.179264214046822801e+00 1.144160733993525803e+00
8.219063545150502748e+00 1.074412660041463186e+00
8.258862876254180918e+00 1.026912221104629319e+00
8.298662207357860865e+00 1.003136653182690630e+00
8.338461538461539035e+00 1.000395588212682263e+00
8.378260869565217206e+00 1.012324863401823594e+00
8.418060200668897153e+00 1.029813236858996506e+00
8.457859531772575323e+00 1.042250827887138742e+00
8.497658862876255270e+00 1.038955070200805020e+00
8.537458193979933441e+00 1.010612775333246560e+00
8.577257525083613388e+00 9.505771057530281176e-01
8.617056856187291558e+00 8.558755582355924707e-01
8.656856187290969729e+00 7.278173722073637553e-01
8.696655518394649675e+00 5.721324739877564625e-01
8.736454849498327846e+00 3.986243751472764441e-01
8.776254180602007793e+00 2.203709714902369887e-01
8.816053511705685963e+00 5.255450819650619998e-02
8.855852842809365910e+00 -8.895980926527924382e-02
8.895652173913044081e+00 -1.891518216039786981e-01
8.935451505016722251e+00 -2.353264203822857947e-01
8.975250836120402198e+00 -2.183971778828879273e-01
9.015050167224080369e+00 -1.338466439153638277e-01
9.054849498327760315e+00 1.772960309490489994e-02
9.094648829431438486e+00 2.305452004660953902e-01
9.134448160535118433e+00 4.940145660112316151e-01
9.174247491638796603e+00 7.935706031165643548e-01
9.214046822742474774e+00 1.111824748171436728e+00
9.253846153846154721e+00 1.429954578820561428e+00
9.293645484949832891e+00 1.729185763165558942e+00
9.333444816053512838e+00 1.992230728317923472e+00
9.373244147157191009e+00 2.204556012362003159e+00
9.413043478260870955e+00 2.355372297621674882e+00
9.452842809364549126e+00 2.438272789316851430e+00
9.492642140468227296e+00 2.451483158603653845e+00
9.532441471571907243e+00 2.397725483428196469e+00
9.572240802675585414e+00 2.283735263933665216e+00
9.612040133779265361e+00 2.119500899546321371e+00
9.651839464882943531e+00 1.917316103032838726e+00
9.691638795986623478e+00 1.690745868506824845e+00
9.731438127090301649e+00 1.453605396875533140e+00
9.771237458193979819e+00 1.219039714947197428e+00
9.811036789297659766e+00 9.987716575779288508e-01
9.850836120401337936e+00 8.025603356188566462e-01
9.890635451505017883e+00 6.378845907919138414e-01
9.930434782608696054e+00 5.098397046635050334e-01
9.970234113712376001e+00 4.212138814536934284e-01
1.001003344481605417e+01 3.726961324057198599e-01
1.004983277591973234e+01 3.631605242973853231e-01
1.008963210702341229e+01 3.899735523299689977e-01
1.012943143812709046e+01 4.492807646086572904e-01
1.016923076923077041e+01 5.362438264988607095e-01
1.020903010033444858e+01 6.452173806196721539e-01
1.024882943143812852e+01 7.698733884417071627e-01
1.028862876254180669e+01 9.032962313170750379e-01
1.032842809364548486e+01 1.038082234484567712e+00
1.036822742474916481e+01 1.166480756300175781e+00
1.040802675585284298e+01 1.280609857248057537e+00
1.044782608695652293e+01 1.372768236577193379e+00
1.048762541806020110e+01 1.435848074673839347e+00
1.052742474916388105e+01 1.463833012751313944e+00
1.056722408026755922e+01 1.452344696747883690e+00
1.060702341137123739e+01 1.399183278880266945e+00
1.064682274247491733e+01 1.304794969446490649e+00
1.068662207357859550e+01 1.172595512320124378e+00
1.072642140468227545e+01 1.009083718555890963e+00
