# time_fs temperature_K pressure_eV_per_A3 kinetic_energy_eV potential_energy_eV total_energy_eV
0.000000000000000000e+00 3.070629679127765712e+02 2.497152209370165007e-02 1.980578849335347869e+01 -1.348399682738124511e+03 -1.328593894244771036e+03
5.000000000000000000e+01 3.030783460390773598e+02 2.292967748022682606e-02 1.954877743600287587e+01 -1.351361354936449288e+03 -1.331812577500446423e+03
1.000000000000000000e+02 2.942556067003231988e+02 2.451664813039670585e-02 1.897970422452727135e+01 -1.349003194635887212e+03 -1.330023490411359944e+03
1.500000000000000000e+02 3.035635443255393398e+02 2.404478482376287349e-02 1.958007308426787318e+01 -1.349771561169008692e+03 -1.330191488084740740e+03
2.000000000000000000e+02 2.941749317850671446e+02 2.415190998287829183e-02 1.897450063283680777e+01 -1.349510574686663858e+03 -1.330536074053826951e+03
2.500000000000000000e+02 3.077420189693716566e+02 2.384866608734081614e-02 1.984958778863981621e+01 -1.350221735637154097e+03 -1.330372147848514260e+03
3.000000000000000000e+02 2.961716527678000261e+02 2.364582435557614770e-02 1.910329061273266404e+01 -1.350234962455976301e+03 -1.331131671843243566e+03
3.500000000000000000e+02 2.997136838839092547e+02 2.429875187009131535e-02 1.933175423893738198e+01 -1.349312014036473556e+03 -1.329980259797536064e+03
4.000000000000000000e+02 2.996854580609067966e+02 2.385336870752537836e-02 1.932993365248165318e+01 -1.350014921309651299e+03 -1.330684987657169586e+03
4.500000000000000000e+02 3.027873540921249855e+02 2.374652796738068242e-02 1.953000824024546134e+01 -1.350131230507017563e+03 -1.330601222266772083e+03
5.000000000000000000e+02 2.941672464042010802e+02 2.440465288412881420e-02 1.897400492008786088e+01 -1.348989504910234700e+03 -1.330015499990146736e+03
5.500000000000000000e+02 3.000980555756422063e+02 2.539967528144781994e-02 1.935654649728439836e+01 -1.347654579213532088e+03 -1.328298032716247690e+03
6.000000000000000000e+02 3.104759964211212377e+02 2.352799286393078212e-02 2.002593135596419316e+01 -1.350821257118340782e+03 -1.330795325762376478e+03
6.500000000000000000e+02 2.979289566100723050e+02 2.218006092033200649e-02 1.921663801002769745e+01 -1.352573398544853262e+03 -1.333356760534825526e+03
7.000000000000000000e+02 2.935504903179569851e+02 2.461559651845757549e-02 1.893422369645424652e+01 -1.348935771311037797e+03 -1.330001547614583615e+03
7.500000000000000000e+02 3.012442284889946222e+02 2.456785078586004242e-02 1.943047549775285177e+01 -1.348919288514405025e+03 -1.329488813016652102e+03
8.000000000000000000e+02 2.982280596124211343e+02 2.413082754839381006e-02 1.923593037485604285e+01 -1.349538210450402403e+03 -1.330302280075546378e+03
8.500000000000000000e+02 3.000278600600143477e+02 2.427578362972807394e-02 1.935201883461912331e+01 -1.349432069156051057e+03 -1.330080050321431827e+03
9.000000000000000000e+02 3.027082565410635766e+02 2.388752924419158125e-02 1.952490638971195835e+01 -1.350009557188800272e+03 -1.330484650799088286e+03
9.500000000000000000e+02 2.993656401572852701e+02 2.355070720094959089e-02 1.930930516120323048e+01 -1.350544530668770221e+03 -1.331235225507567066e+03
1.000000000000000000e+03 2.967250485556297122e+02 2.393845532239646454e-02 1.913898505026568841e+01 -1.349874243478978542e+03 -1.330735258428712768e+03
1.050000000000000000e+03 3.006679622060463544e+02 2.421269654011897268e-02 1.939330589637270208e+01 -1.349527221247894204e+03 -1.330133915351521409e+03
1.100000000000000000e+03 3.016517563998453397e+02 2.424205500442098982e-02 1.945676134935623125e+01 -1.349542806376869748e+03 -1.330086045027513592e+03
1.150000000000000000e+03 2.994350321226213509e+02 2.329589578041802583e-02 1.931378099428048856e+01 -1.350768501608470615e+03 -1.331454720614190137e+03
1.200000000000000000e+03 2.916197203841005035e+02 2.545752072525186288e-02 1.880968760797955142e+01 -1.347555590917088239e+03 -1.328745903309108598e+03
1.250000000000000000e+03 3.131819340920806098e+02 2.319414949745520968e-02 2.020046633669310410e+01 -1.351051350530965692e+03 -1.330850884194272567e+03
1.300000000000000000e+03 2.937966627230357517e+02 2.417495361060928785e-02 1.895010199861823352e+01 -1.349604076418987233e+03 -1.330653974420368968e+03
1.350000000000000000e+03 2.994465654052754644e+02 2.404420772108860349e-02 1.931452489954016016e+01 -1.349676280549537523e+03 -1.330361755649997349e+03
1.400000000000000000e+03 3.049759771450886774e+02 2.418990856410951559e-02 1.967117604557648392e+01 -1.349751638205645349e+03 -1.330080462160068919e+03
1.450000000000000000e+03 2.983743178728029193e+02 2.314693281242364772e-02 1.924536414080385072e+01 -1.351076440887114586e+03 -1.331831076746310828e+03
1.500000000000000000e+03 2.992692605937989470e+02 2.395436648075015967e-02 1.930308860808884219e+01 -1.349898972551059387e+03 -1.330595883942970431e+03
1.550000000000000000e+03 2.957041869822019748e+02 2.483281487798696258e-02 1.907313872388599307e+01 -1.348498903584547861e+03 -1.329425764860661957e+03
1.600000000000000000e+03 3.030136859664552844e+02 2.430604725553343198e-02 1.954460681350475326e+01 -1.349354075412473776e+03 -1.329809468598969033e+03
1.650000000000000000e+03 3.024504468220829949e+02 2.362159611310794827e-02 1.950827747219589270e+01 -1.350454718175902372e+03 -1.330946440703706457e+03
1.700000000000000000e+03 2.992271674215851363e+02 2.379579438159116350e-02 1.930037356735453358e+01 -1.350212862821027784e+03 -1.330912489253673357e+03
1.750000000000000000e+03 2.969944643674792815e+02 2.380388801936513671e-02 1.915636256935412973e+01 -1.350062645844216831e+03 -1.330906283274862744e+03
1.800000000000000000e+03 3.003068308739563008e+02 2.439246052377892077e-02 1.937001265840813247e+01 -1.349329471574028730e+03 -1.329959458915620644e+03
1.850000000000000000e+03 3.027616940748243337e+02 2.377932524723212065e-02 1.952835315015482820e+01 -1.350232581896343845e+03 -1.330704228746189074e+03
1.900000000000000000e+03 2.978741233599388352e+02 2.403221597031075102e-02 1.921310122484670302e+01 -1.349742457616646789e+03 -1.330529356391800093e+03
1.950000000000000000e+03 3.011987683281829504e+02 2.395272862157706364e-02 1.942754328376420503e+01 -1.349919393422019766e+03 -1.330491850138255586e+03
2.000000000000000000e+03 2.993416674268000293e+02 2.369784927138729805e-02 1.930775890235988612e+01 -1.350247370272018543e+03 -1.330939611369658678e+03
2.050000000000000000e+03 2.996018504452014213e+02 2.451866292422135926e-02 1.932454089944357278e+01 -1.349118977898558569e+03 -1.329794436999115078e+03
2.100000000000000000e+03 3.027943572668742718e+02 2.367607647795882259e-02 1.953045995019540726e+01 -1.350352252581867106e+03 -1.330821792631671769e+03
2.150000000000000000e+03 3.002706271021454540e+02 2.395276324658289144e-02 1.936767748835483260e+01 -1.349947358279412583e+03 -1.330579680791057854e+03
2.200000000000000000e+03 2.980572299719329976e+02 2.353391317707096905e-02 1.922491173672165132e+01 -1.350543483441465469e+03 -1.331318571704743817e+03
2.250000000000000000e+03 3.041394077636990119e+02 2.381275181948084782e-02 1.961721670186127042e+01 -1.350199941900675185e+03 -1.330582725198813932e+03
2.300000000000000000e+03 2.920257085570179356e+02 2.456702220749592408e-02 1.883587414534764548e+01 -1.348828462632474157e+03 -1.329992588487126568e+03
2.350000000000000000e+03 3.044732114386952730e+02 2.465406489689084268e-02 1.963874728573538064e+01 -1.348751428946676697e+03 -1.329112681660941234e+03
2.400000000000000000e+03 2.998318692527432745e+02 2.353064369834344596e-02 1.933937728262137412e+01 -1.350429257444545101e+03 -1.331089880161923702e+03
2.450000000000000000e+03 2.982993698455371145e+02 2.406610044289083511e-02 1.924052993762359876e+01 -1.349834046999502561e+03 -1.330593517061878856e+03
2.500000000000000000e+03 3.060145720460323560e+02 2.343681710864678122e-02 1.973816618469416895e+01 -1.350708360780530938e+03 -1.330970194595836801e+03
2.550000000000000000e+03 2.929792651187023580e+02 2.405968067981366365e-02 1.889737924870005159e+01 -1.349713335013869028e+03 -1.330815955765169065e+03
2.600000000000000000e+03 3.011414241300913091e+02 2.437241898312870331e-02 1.942384454058314347e+01 -1.349148085711600743e+03 -1.329724241171017638e+03
2.650000000000000000e+03 3.022075559549082868e+02 2.445352358917402685e-02 1.949261083165330533e+01 -1.349187298198601411e+03 -1.329694687366948074e+03
2.700000000000000000e+03 3.033937394476602094e+02 2.311328516369304600e-02 1.956912054407953860e+01 -1.351106848310177384e+03 -1.331537727766097760e+03
2.750000000000000000e+03 2.965324847854991503e+02 2.394842485882321681e-02 1.912656454469768263e+01 -1.349821100212041756e+03 -1.330694535667344098e+03
2.800000000000000000e+03 2.978597961048434399e+02 2.448904664428708591e-02 1.921217710629851538e+01 -1.349018064378127974e+03 -1.329805887271829533e+03
2.850000000000000000e+03 3.038719467868265838e+02 2.458586537830460481e-02 1.959996527107438880e+01 -1.349025478274311808e+03 -1.329425513003237484e+03
2.900000000000000000e+03 3.001969894669705923e+02 2.320961601824776330e-02 1.936292780643344358e+01 -1.351028147307061545e+03 -1.331665219500628154e+03
2.950000000000000000e+03 2.980512154365367792e+02 2.368665764021726794e-02 1.922452379474104234e+01 -1.350267795257219632e+03 -1.331043271462478515e+03
3.000000000000000000e+03 3.017335894462651709e+02 2.433089120546916284e-02 1.946203964136315889e+01 -1.349403061931240245e+03 -1.329941022289877083e+03
3.050000000000000000e+03 2.982445573548578750e+02 2.397086627156494801e-02 1.923699449144275420e+01 -1.349907255332021350e+03 -1.330670260840578521e+03
3.100000000000000000e+03 2.987271198458109893e+02 2.412194802228380397e-02 1.926812012894833970e+01 -1.349619148892017165e+03 -1.330351028763068825e+03
3.150000000000000000e+03 3.017573850037388752e+02 2.409544799087531136e-02 1.946357447241624428e+01 -1.349539007756724686e+03 -1.330075433284308474e+03
3.200000000000000000e+03 2.976801802550286311e+02 2.427784705130290807e-02 1.920059175116543670e+01 -1.349468321775200593e+03 -1.330267730024035245e+03
3.250000000000000000e+03 3.039783393320316804e+02 2.338701769475760167e-02 1.960682766891391182e+01 -1.350857271201509093e+03 -1.331250443532595227e+03
3.300000000000000000e+03 2.983562410602208388e+02 2.440145248931628597e-02 1.924419817302509728e+01 -1.349367088775919001e+03 -1.330122890602893904e+03
3.350000000000000000e+03 3.030774689380277778e+02 2.314940591240899001e-02 1.954872086233659090e+01 -1.351118584426208599e+03 -1.331569863563872104e+03
3.400000000000000000e+03 2.963499703816259512e+02 2.433325916272277567e-02 1.911479223068445421e+01 -1.349280645139330773e+03 -1.330165852908646229e+03
3.450000000000000000e+03 2.984098252015214143e+02 2.425140120931079668e-02 1.924765438976269394e+01 -1.349391430191003792e+03 -1.330143775801241190e+03
3.500000000000000000e+03 3.040852749205029681e+02 2.384400482606527025e-02 1.961372509344566595e+01 -1.349956154931436458e+03 -1.330342429837990721e+03
3.550000000000000000e+03 2.955593674805857631e+02 2.479633705644015973e-02 1.906379775894248496e+01 -1.348647193851783641e+03 -1.329583396092841213e+03
3.600000000000000000e+03 3.050834634734653719e+02 2.359326479478967079e-02 1.967810899323938756e+01 -1.350559599776933965e+03 -1.330881490783694517e+03
3.650000000000000000e+03 3.006170351663772067e+02 2.307439864009673200e-02 1.939002106465516917e+01 -1.351184940048833369e+03 -1.331794918984178139e+03
3.700000000000000000e+03 2.957455314419386241e+02 2.448082159632894786e-02 1.907580547211187749e+01 -1.349215532715234758e+03 -1.330139727243122934e+03
3.750000000000000000e+03 3.012002986260663988e+02 2.406481854677951573e-02 1.942764198910929352e+01 -1.349839004109908501e+03 -1.330411362120799140e+03
3.800000000000000000e+03 3.011282260813828202e+02 2.408676672962850249e-02 1.942299325668192012e+01 -1.349731705811183019e+03 -1.330308712554501199e+03
3.850000000000000000e+03 2.985275713411276115e+02 2.388344145027112425e-02 1.925524910283669655e+01 -1.349962852836541742e+03 -1.330707603733705128e+03
3.900000000000000000e+03 3.032005900479169895e+02 2.393604880597556203e-02 1.955666226496846249e+01 -1.349975987954017910e+03 -1.330419325689049401e+03
3.950000000000000000e+03 2.950864937498322433e+02 2.404931087089892672e-02 1.903329705363428914e+01 -1.349699076010468616e+03 -1.330665778956834401e+03
4.000000000000000000e+03 3.015535009051544080e+02 2.447814359344455126e-02 1.945042379729195403e+01 -1.349130188253341657e+03 -1.329679764456049725e+03
4.050000000000000000e+03 3.030830896746606982e+02 2.382046446888300834e-02 1.954908340400576350e+01 -1.350247999800625166e+03 -1.330698916396619325e+03
4.100000000000000000e+03 2.997205937025308344e+02 2.367223364344729283e-02 1.933219992734805714e+01 -1.350418615853502843e+03 -1.331086415926154814e+03
4.150000000000000000e+03 2.988994985599944698e+02 2.355520564072871234e-02 1.927923868348157299e+01 -1.350516543284951695e+03 -1.331237304601470214e+03
4.200000000000000000e+03 2.987194819052364210e+02 2.459171357186048373e-02 1.926762747613327420e+01 -1.348974239061475373e+03 -1.329706611585341989e+03
4.250000000000000000e+03 3.000899139195348084e+02 2.403415206390633121e-02 1.935602135444498373e+01 -1.349691657334767797e+03 -1.330335635980322877e+03
4.300000000000000000e+03 2.998125353126960704e+02 2.413348625927753260e-02 1.933813022919151692e+01 -1.349589364417121942e+03 -1.330251234187930322e+03
4.350000000000000000e+03 3.035345490944211519e+02 2.417670059037471675e-02 1.957820287041972662e+01 -1.349746319470401431e+03 -1.330168116599981659e+03
4.400000000000000000e+03 2.951653759326347881e+02 2.311624926523527662e-02 1.903838501275583539e+01 -1.351139393109091316e+03 -1.332101008096335590e+03
4.450000000000000000e+03 3.011829811717819894e+02 2.446132815538973326e-02 1.942652500050225939e+01 -1.349180087284313004e+03 -1.329753562283810652e+03
4.500000000000000000e+03 3.010399611935836219e+02 2.422913380702967218e-02 1.941730010614988799e+01 -1.349548740169186203e+03 -1.330131440063036280e+03
4.550000000000000000e+03 3.010060989180111619e+02 2.395796348016519806e-02 1.941511596433542408e+01 -1.349919402131901506e+03 -1.330504286167566079e+03
4.600000000000000000e+03 3.015322018216527340e+02 2.355938553125418167e-02 1.944904999065612117e+01 -1.350448499855496266e+03 -1.330999449864840244e+03
4.650000000000000000e+03 2.935758581912995737e+02 2.435112459721882130e-02 1.893585994304355324e+01 -1.349137937738553319e+03 -1.330202077795509695e+03
4.700000000000000000e+03 3.041296641480809626e+02 2.401842936382826352e-02 1.961658823144881936e+01 -1.349809745632119530e+03 -1.330193157400670771e+03
4.750000000000000000e+03 2.961915283709575419e+02 2.416453981114999316e-02 1.910457260383367739e+01 -1.349511432533313382e+03 -1.330406859929479651e+03
4.800000000000000000e+03 2.992626116996715950e+02 2.421747547293529382e-02 1.930265974950098951e+01 -1.349501281615099515e+03 -1.330198621865598625e+03
4.850000000000000000e+03 3.037145344935800608e+02 2.356614280454223664e-02 1.958981206175876721e+01 -1.350568266028963080e+03 -1.330978453967204359e+03
4.900000000000000000e+03 2.996658790342378325e+02 2.336425652790260696e-02 1.932867079078345895e+01 -1.350754324264450815e+03 -1.331425653473667353e+03
4.950000000000000000e+03 2.964167439281019938e+02 2.454645722434899147e-02 1.911909917380900481e+01 -1.348936503974083053e+03 -1.329817404800274062e+03
5.000000000000000000e+03 2.986216309538903602e+02 2.433260760840647019e-02 1.926131601741388977e+01 -1.349064238090063782e+03 -1.329802922072649835e+03
5.050000000000000000e+03 3.026951747888448949e+02 2.481427889091337644e-02 1.952406260702032981e+01 -1.348493662730997585e+03 -1.328969600123977216e+03
5.100000000000000000e+03 3.023989880609182705e+02 2.388866481299135175e-02 1.950495834404870621e+01 -1.350047098162221801e+03 -1.330542139818173155e+03
5.150000000000000000e+03 3.013873329827985685e+02 2.316075054208335121e-02 1.943970584342428154e+01 -1.351092399840934377e+03 -1.331652693997510141e+03
5.200000000000000000e+03 2.963767571691167859e+02 2.417788339468796358e-02 1.911651999828556114e+01 -1.349605084345756040e+03 -1.330488564347470401e+03
5.250000000000000000e+03 3.006329844662982964e+02 2.398848036618794755e-02 1.939104980629406327e+01 -1.349922269026244294e+03 -1.330531219219950344e+03
5.300000000000000000e+03 2.998378857011603031e+02 2.391731953555904094e-02 1.933976534799323943e+01 -1.349871433026212799e+03 -1.330531667678219492e+03
5.350000000000000000e+03 3.001564084365726899e+02 2.414805434385408622e-02 1.936031029996443920e+01 -1.349547093188947201e+03 -1.330186782888982862e+03
5.400000000000000000e+03 2.960909333323141368e+02 2.427279765188979435e-02 1.909808414945445065e+01 -1.349281746449921002e+03 -1.330183662300466494e+03
5.450000000000000000e+03 3.022947411126091311e+02 2.403250683493062326e-02 1.949823433879556944e+01 -1.349707291433571299e+03 -1.330209057094775744e+03
5.500000000000000000e+03 3.006269466197397264e+02 2.394518468995533375e-02 1.939066036072624399e+01 -1.349896883544203774e+03 -1.330506223183477459e+03
5.550000000000000000e+03 2.991190718238803470e+02 2.381252737059339972e-02 1.929340132136942998e+01 -1.350020658538243651e+03 -1.330727257216874250e+03
5.600000000000000000e+03 3.001093754313762361e+02 2.381966415818987173e-02 1.935727663634990492e+01 -1.350092337446281135e+03 -1.330735060809931156e+03
5.650000000000000000e+03 3.026217167281798766e+02 2.370968214269184027e-02 1.951932450778761208e+01 -1.350200572886210011e+03 -1.330681248378422424e+03
5.700000000000000000e+03 2.971234807626128145e+02 2.391309295397588824e-02 1.916468422224362911e+01 -1.349808057804556711e+03 -1.330643373582313188e+03
5.750000000000000000e+03 2.974301856139225606e+02 2.466527502942515715e-02 1.918446691195126874e+01 -1.348701075461558503e+03 -1.329516608549607326e+03
5.800000000000000000e+03 3.026799430983315347e+02 2.398138944441242579e-02 1.952308015171888300e+01 -1.349674400620136112e+03 -1.330151320468417225e+03
5.850000000000000000e+03 3.004161789456517226e+02 2.403095444383594043e-02 1.937706568989179701e+01 -1.349694545142227980e+03 -1.330317479452336102e+03
5.900000000000000000e+03 2.965301466688086407e+02 2.376740162240247034e-02 1.912641373444218473e+01 -1.350020765142939808e+03 -1.330894351408497641e+03
5.950000000000000000e+03 3.036995409556890877e+02 2.450330088192081632e-02 1.958884496747756998e+01 -1.349105526964132196e+03 -1.329516681996654597e+03
6.000000000000000000e+03 2.992335881711021557e+02 2.341983449006318149e-02 1.930078771044631480e+01 -1.350666826971784303e+03 -1.331366039261338074e+03
6.050000000000000000e+03 2.990967444574695833e+02 2.382020952159991448e-02 1.929196118972557983e+01 -1.350003037792549776e+03 -1.330711076602824278e+03
6.100000000000000000e+03 2.983552058711324548e+02 2.428835912278757073e-02 1.924413140256340782e+01 -1.349236682431303961e+03 -1.329992551028740536e+03
6.150000000000000000e+03 3.000706398864579114e+02 2.432551981578279232e-02 1.935477816505900961e+01 -1.349193459898264337e+03 -1.329838681733205249e+03
6.200000000000000000e+03 3.041175331848178871e+02 2.367150303019701849e-02 1.961580577534790493e+01 -1.350300681806357261e+03 -1.330684876031009253e+03
6.250000000000000000e+03 2.947071092445709724e+02 2.396440179262128434e-02 1.900882647250255530e+01 -1.349717059558442998e+03 -1.330708233085940492e+03
